year, NorESM2-MM, CMCC-CM2-SR5, MIROC-ES2L, CNRM-ESM2-1, CESM2-WACCM, INM-CM5-0, ACCESS-ESM1-5, EC-Earth3-Veg, MPI-ESM1-2-LR, IPSL-CM6A-LR, NorESM2-LM, GFDL-ESM4, CanESM5, TaiESM1, INM-CM4-8, UKESM1-0-LL
2.015000000000000000e+03, 4.476128206300645118e+00, 5.218592125944394589e+00, 6.797155729964019066e+00, 6.186511185941575341e+00, 4.604824276891768875e+00, 4.786639454376464542e+00, 3.456613294422248739e+00, 3.318531086844829225e+00, 5.942106710120355295e+00, 3.633322765821763500e+00, 3.747412780774448393e+00, 6.012242546884792205e+00, 3.999060456485875825e+00, 2.312586482464214832e+00, 4.491922549968316858e+00, 6.305064836926127292e+00
2.016000000000000000e+03, 3.913978383644486136e+00, 5.433376654211246048e+00, 6.650941671662436327e+00, 6.295275613131571468e+00, 4.632187018234802167e+00, 4.518171271055439142e+00, 3.609488738346208425e+00, 3.514610396167919149e+00, 6.231678662512469380e+00, 3.526014058326501388e+00, 3.949193928511167684e+00, 6.312096571563339253e+00, 3.854858970732879975e+00, 2.026047016296871561e+00, 4.520008187170022396e+00, 6.254175149908022924e+00
2.017000000000000000e+03, 4.111438546811053918e+00, 5.637525955471138772e+00, 6.710740996525042412e+00, 6.529680386566346861e+00, 4.423564083522554036e+00, 4.786979343948218002e+00, 3.670396408977697700e+00, 3.745143863331632073e+00, 6.294407410155692162e+00, 3.529219610517992933e+00, 4.031958120378724253e+00, 6.362302974327539218e+00, 3.855661030313443316e+00, 2.100420930413011256e+00, 4.849318018648539841e+00, 6.357274382885949038e+00
2.018000000000000000e+03, 4.243753772349067255e+00, 5.260282373354042029e+00, 6.642889225711781975e+00, 6.505979179012289393e+00, 4.496596037484615671e+00, 4.730068131844494594e+00, 3.621454751240817060e+00, 4.080710392053010338e+00, 5.954622534992652483e+00, 3.752409798483535397e+00, 3.973931294660948854e+00, 6.575385553943966954e+00, 3.920995495984453960e+00, 2.152826003566842061e+00, 4.767863939525083694e+00, 6.153101552781949479e+00
2.019000000000000000e+03, 4.492915202172712341e+00, 5.363517209808473574e+00, 6.605223747594212824e+00, 6.635271715096894063e+00, 4.630195224884678495e+00, 4.693486071635540213e+00, 3.548441177868684182e+00, 3.829142753759618767e+00, 6.317295714993381495e+00, 3.746362710507855187e+00, 3.812025636384634986e+00, 6.197511563311313587e+00, 4.039250554723383679e+00, 2.056721415105148054e+00, 4.751469393255294271e+00, 6.544526144176627369e+00
2.020000000000000000e+03, 4.240809125963564519e+00, 5.203550745164483793e+00, 6.432320024839345507e+00, 6.629376136536777153e+00, 4.748839251326903543e+00, 4.580817511690713495e+00, 3.537534688560503682e+00, 3.629070226903345020e+00, 6.342834090869927444e+00, 3.706466825957496436e+00, 4.197583597525416543e+00, 6.516797935001235054e+00, 4.291185852374824528e+00, 2.078573195078082136e+00, 4.519444273100849507e+00, 6.226458423271113318e+00
2.021000000000000000e+03, 4.123607137692787639e+00, 5.358887789324838558e+00, 6.678365203538205286e+00, 6.541337700400322142e+00, 4.408100610000945885e+00, 4.470391343206965296e+00, 3.632901065367212468e+00, 4.385646885050790367e+00, 6.282025062111987523e+00, 3.873740897846329467e+00, 3.783397589412909490e+00, 6.742310976303061310e+00, 3.844640640351091321e+00, 2.075218333330045795e+00, 4.788865087098903572e+00, 6.443798505484364725e+00
2.022000000000000000e+03, 4.321643977071835785e+00, 5.638101117392533723e+00, 6.992080281375463002e+00, 6.728450651506889812e+00, 4.748608800968314725e+00, 4.796060853639271926e+00, 3.716105291881886430e+00, 4.040112322519267885e+00, 6.446203007359827097e+00, 3.722410112458780951e+00, 3.728405404865885675e+00, 6.650134344171536149e+00, 4.477841716182522802e+00, 2.048405816912038713e+00, 4.636053746247834617e+00, 6.629436387109547191e+00
2.023000000000000000e+03, 4.387066327423254641e+00, 5.103232348822343667e+00, 6.665311186202677263e+00, 6.730619724294017558e+00, 4.686970436700589104e+00, 4.718682914895808267e+00, 3.674834511384462488e+00, 3.996410633418528313e+00, 6.450531504536770377e+00, 3.725839035461912196e+00, 3.892226702497248780e+00, 6.611384742440474582e+00, 4.396884738282722083e+00, 2.142031917701024746e+00, 4.475905256345205530e+00, 6.253981545131033215e+00
2.024000000000000000e+03, 3.841187516438747451e+00, 5.401557619324560910e+00, 7.008854369827306030e+00, 7.037848528829212746e+00, 4.505436365690675515e+00, 4.768305141175464890e+00, 3.718466968621449098e+00, 3.598061128739403092e+00, 6.561356731556303501e+00, 3.703711990709971591e+00, 3.658527567892252197e+00, 6.761026653496427841e+00, 4.373743592999558949e+00, 2.127596458419086289e+00, 4.851721485620547725e+00, 6.683726193288539008e+00
