year, EC-Earth3-Veg, TaiESM1, CESM2-WACCM, CanESM5, MIROC-ES2L, MPI-ESM1-2-LR, CNRM-ESM2-1, NorESM2-MM, CMCC-CM2-SR5, ACCESS-ESM1-5, IPSL-CM6A-LR, NorESM2-LM, UKESM1-0-LL
2.025000000000000000e+03, 3.137061530730682080e+02, 6.166999790016863159e+01, 9.328383621963575933e+02, 2.144422791891620079e+02, 3.563224068501992861e+02, 1.514479963133434239e+02, 4.335545946607158498e+02, 7.335456222903351318e+02, 1.009747393714660348e+03, 1.963067261476485328e+02, 6.483975632140882794e+01, 1.331834099814218689e+03, 2.490679710172829857e+02
2.026000000000000000e+03, 3.137721512331165172e+02, 6.166518443795580140e+01, 9.327947173536487071e+02, 2.143961797679403105e+02, 3.565083535570581148e+02, 1.514819227701832745e+02, 4.338250553519280288e+02, 7.335753019065568878e+02, 1.009617359218674324e+03, 1.963747065326504639e+02, 6.502733376725473136e+01, 1.331747030712607966e+03, 2.492788506812088940e+02
2.027000000000000000e+03, 3.138528621128558598e+02, 6.165599344169154250e+01, 9.327483237191341914e+02, 2.143689740371176811e+02, 3.567209257961663411e+02, 1.515934069076995172e+02, 4.340553036791725390e+02, 7.335666533337883948e+02, 1.009460818097525816e+03, 1.964493761440008655e+02, 6.520748230622881181e+01, 1.331724254751522267e+03, 2.496248631076022377e+02
2.028000000000000000e+03, 3.138860894566047932e+02, 6.164236274433925189e+01, 9.327277279997058486e+02, 2.143699401456052840e+02, 3.568986177278077321e+02, 1.517213542561740383e+02, 4.342744157648637611e+02, 7.335450715330210869e+02, 1.009323024579093840e+03, 1.965289287859676790e+02, 6.538565794276377119e+01, 1.331687705465220461e+03, 2.500180965410399097e+02
2.029000000000000000e+03, 3.139035820403084358e+02, 6.164111152485108391e+01, 9.326906666304214468e+02, 2.143754803878867108e+02, 3.570725353084183666e+02, 1.518466099982984758e+02, 4.345364847292507875e+02, 7.335373871271989401e+02, 1.009240169603230925e+03, 1.966011930400159997e+02, 6.556063851682780808e+01, 1.331613124821979682e+03, 2.502718947088339689e+02
2.030000000000000000e+03, 3.138879912628926832e+02, 6.162988241077569995e+01, 9.326357074045785112e+02, 2.143910485875327652e+02, 3.573048847616016701e+02, 1.519674869323208668e+02, 4.348339950071417661e+02, 7.335473640229934063e+02, 1.009200113004265063e+03, 1.966662684085521278e+02, 6.574997440249025260e+01, 1.331589563083427265e+03, 2.505503222392864018e+02
2.031000000000000000e+03, 3.138811769427231297e+02, 6.160359067041316194e+01, 9.326101873583774022e+02, 2.144108290476880825e+02, 3.575456714232107629e+02, 1.520708352317486174e+02, 4.350782915248453833e+02, 7.335500867629933737e+02, 1.009137282894716691e+03, 1.967359971661539362e+02, 6.594257821331956393e+01, 1.331584615213635516e+03, 2.507870947787133105e+02
2.032000000000000000e+03, 3.138805098101852877e+02, 6.160564387495524841e+01, 9.325750421900513629e+02, 2.144201956313555684e+02, 3.577325490971697377e+02, 1.521656735220149699e+02, 4.353405538115382001e+02, 7.335507956988936940e+02, 1.009004800252715427e+03, 1.968092159059760036e+02, 6.615084336973806955e+01, 1.331557472007433716e+03, 2.510095978484739874e+02
2.033000000000000000e+03, 3.138672418991054087e+02, 6.161237989896579847e+01, 9.325535862850709918e+02, 2.144320984699692758e+02, 3.578841558786891710e+02, 1.523121734814844785e+02, 4.356310179485329286e+02, 7.335334273413554911e+02, 1.008835686126614064e+03, 1.968789362891807286e+02, 6.634290452335073951e+01, 1.331502917286158663e+03, 2.513722983717525779e+02
2.034000000000000000e+03, 3.139387257346353408e+02, 6.161817223496402818e+01, 9.325772457533533952e+02, 2.144607250443954456e+02, 3.581330909908026001e+02, 1.524468760219141927e+02, 4.359043489463650758e+02, 7.335467987706940676e+02, 1.008660207654767987e+03, 1.969519868239874825e+02, 6.653267608878164197e+01, 1.331425686575201325e+03, 2.516940822463668610e+02
2.035000000000000000e+03, 3.140566056465538054e+02, 6.162070188308197771e+01, 9.326075905532961769e+02, 2.145050985532177492e+02, 3.583825691627033052e+02, 1.524667778488074532e+02, 4.361848844134965475e+02, 7.335834974443833971e+02, 1.008486145992071783e+03, 1.970191146158580580e+02, 6.674132204746990737e+01, 1.331319898694370067e+03, 2.520122227732722990e+02
2.036000000000000000e+03, 3.141878160134822338e+02, 6.163270155919013149e+01, 9.325784020467305027e+02, 2.145593131060429641e+02, 3.585628212347733097e+02, 1.525085442356642602e+02, 4.365031766887617550e+02, 7.336042753070842082e+02, 1.008322161971415767e+03, 1.970841779859728149e+02, 6.694233410577994903e+01, 1.331226657415068303e+03, 2.523632345123037055e+02
2.037000000000000000e+03, 3.142745807469937631e+02, 6.165172042381661299e+01, 9.324801486133092112e+02, 2.146058147510503886e+02, 3.587392988253971566e+02, 1.526839774511725238e+02, 4.368130516264719745e+02, 7.335919822387294289e+02, 1.008149474805505747e+03, 1.971436741264670900e+02, 6.714938020020140641e+01, 1.331132414347617214e+03, 2.526669055143086098e+02
2.038000000000000000e+03, 3.142849169577410748e+02, 6.165825207022693633e+01, 9.323746242737057628e+02, 2.146425050645808881e+02, 3.589458490171110157e+02, 1.528466578208246176e+02, 4.371517719304800949e+02, 7.335696122858182662e+02, 1.007963697079804660e+03, 1.972034409175826966e+02, 6.734552808057426887e+01, 1.331057316056646641e+03, 2.530847915239513952e+02
2.039000000000000000e+03, 3.142900544319182359e+02, 6.167441888485294754e+01, 9.322683168804941261e+02, 2.146999912264759303e+02, 3.591310849165083141e+02, 1.530106253229267850e+02, 4.374790160750417272e+02, 7.336031428064654847e+02, 1.007803374427808990e+03, 1.972737511132503982e+02, 6.754409343754268491e+01, 1.331037613877220110e+03, 2.533542737014250008e+02
2.040000000000000000e+03, 3.143331345833296950e+02, 6.168482805031349869e+01, 9.321634966270385121e+02, 2.147589534006783651e+02, 3.593307152574268457e+02, 1.531890346070813393e+02, 4.378004324998022980e+02, 7.336394781531585068e+02, 1.007691116995049015e+03, 1.973490572535131662e+02, 6.773143669075197693e+01, 1.331002014237846424e+03, 2.536601939853024419e+02
2.041000000000000000e+03, 3.144054545479920648e+02, 6.167213245111642550e+01, 9.320553115806394544e+02, 2.148199606973834364e+02, 3.595584317441982876e+02, 1.533399153493546123e+02, 4.381473276642244059e+02, 7.336601214530063544e+02, 1.007572861085539444e+03, 1.974216058409385823e+02, 6.793446744428766237e+01, 1.330920318637881564e+03, 2.540651219460848154e+02
2.042000000000000000e+03, 3.144906027614406980e+02, 6.165254260686010213e+01, 9.320158587510153438e+02, 2.148517390269807663e+02, 3.597879397257149208e+02, 1.535173832662393920e+02, 4.385030343366001944e+02, 7.336856257147246652e+02, 1.007417752949801184e+03, 1.974926335040106835e+02, 6.816301603075108062e+01, 1.330793308939619692e+03, 2.544908953491428747e+02
2.043000000000000000e+03, 3.145975451877206410e+02, 6.162151711539779342e+01, 9.319960505614744761e+02, 2.148859759561180454e+02, 3.600548683276352904e+02, 1.536450192711817806e+02, 4.388784520804226190e+02, 7.336769665726275207e+02, 1.007264927794419123e+03, 1.975626928891873320e+02, 6.838734975446550379e+01, 1.330693835933479932e+03, 2.549080272388080175e+02
2.044000000000000000e+03, 3.147069471174921773e+02, 6.161482301279946938e+01, 9.319711828056933882e+02, 2.149444977435430530e+02, 3.603621229343478944e+02, 1.538700910437131597e+02, 4.392164538851029647e+02, 7.336109152502568804e+02, 1.007118944356684210e+03, 1.976328778284779162e+02, 6.860817205638494443e+01, 1.330624146968611285e+03, 2.551224177549005390e+02
2.045000000000000000e+03, 3.147620830264976917e+02, 6.161309767817117233e+01, 9.319620182203357217e+02, 2.150255535552700508e+02, 3.606964994338190991e+02, 1.540087061870759726e+02, 4.396048734718174273e+02, 7.335761357146942601e+02, 1.006967892353891102e+03, 1.977008581669513489e+02, 6.883258940168394702e+01, 1.330573044182302965e+03, 2.553750494895931524e+02
2.046000000000000000e+03, 3.147751448277330724e+02, 6.159465636886071849e+01, 9.319271137233308764e+02, 2.151066814952897630e+02, 3.609940564546405994e+02, 1.540345106474689771e+02, 4.399905482061004136e+02, 7.335719012944147153e+02, 1.006798314518509187e+03, 1.977647165935293287e+02, 6.906438469005465208e+01, 1.330502529092709437e+03, 2.557347005956590067e+02
2.047000000000000000e+03, 3.147955173978074868e+02, 6.156662860486907363e+01, 9.318726944941693091e+02, 2.151776944840305816e+02, 3.612761258472623922e+02, 1.540957603742521087e+02, 4.404012168778427281e+02, 7.335618528938999816e+02, 1.006610652068110312e+03, 1.978361131266828750e+02, 6.926718241095083783e+01, 1.330458248308041220e+03, 2.561267200211752879e+02
2.048000000000000000e+03, 3.148357808870302961e+02, 6.154415220159795297e+01, 9.318530919872868026e+02, 2.152346210983015169e+02, 3.615833368002098496e+02, 1.541739946765861475e+02, 4.407862783805189224e+02, 7.335442289760766243e+02, 1.006415226465999581e+03, 1.978977331664112569e+02, 6.947988313203973121e+01, 1.330407714439757910e+03, 2.564360055907338847e+02
2.049000000000000000e+03, 3.148644528646369736e+02, 6.154193300770840835e+01, 9.318283344891706292e+02, 2.153053223172413766e+02, 3.618676416178377053e+02, 1.542545633362150568e+02, 4.411594215128628207e+02, 7.335192695245088998e+02, 1.006251288840256962e+03, 1.979465198984625260e+02, 6.970351096336241881e+01, 1.330352229955820803e+03, 2.567610445512181059e+02
2.050000000000000000e+03, 3.149897107816964876e+02, 6.152631844307360609e+01, 9.317724479411870107e+02, 2.153649809758714753e+02, 3.621380926555822839e+02, 1.543110385316413442e+02, 4.415394190241248680e+02, 7.335079919689663939e+02, 1.006119928827818399e+03, 1.979987963670552631e+02, 6.992065726754196930e+01, 1.330279316400943799e+03, 2.571107058719231304e+02
