year, CNRM-ESM2-1, CMCC-CM2-SR5, TaiESM1, CESM2-WACCM, ACCESS-ESM1-5, MPI-ESM1-2-LR, UKESM1-0-LL, EC-Earth3-Veg, NorESM2-LM, GFDL-ESM4, IPSL-CM6A-LR, INM-CM5-0, MIROC-ES2L, CanESM5, NorESM2-MM, INM-CM4-8
2.025000000000000000e+03, 1.724774635237208642e+00, 1.604442966983520069e+00, 1.484403045780571917e+00, 1.692024085005207512e+00, 1.955108189356912218e+00, 1.836344649654790828e+00, 1.761432750514769552e+00, 1.631588650715141142e+00, 1.556283168505350867e+00, 1.764126183378049051e+00, 1.731801106514665012e+00, 1.698709891948510187e+00, 1.801953102178161847e+00, 1.664873091721337017e+00, 1.517908546209587817e+00, 1.765855323394506460e+00
2.026000000000000000e+03, 1.875304619658739735e+00, 1.696212850483536538e+00, 1.539159191651936265e+00, 1.685084232489913569e+00, 1.932555197644854061e+00, 1.875769658832792564e+00, 1.752544273206984915e+00, 1.649978229821276177e+00, 1.474434124257665291e+00, 1.824555339435255163e+00, 1.909504791986383454e+00, 1.839992671164457194e+00, 1.837127869131751190e+00, 1.668782841460363819e+00, 1.474373350613283895e+00, 1.820809009122396738e+00
2.027000000000000000e+03, 1.810101972342979204e+00, 1.637481767078207140e+00, 1.511916289938285862e+00, 1.659126245092738428e+00, 1.943417712628998428e+00, 1.863528531042155656e+00, 1.729544658583870298e+00, 1.655947851571512697e+00, 1.557325988472963108e+00, 1.763442304767720570e+00, 1.855610621082717904e+00, 1.762327839050230383e+00, 1.819536873403150290e+00, 1.636176457113882599e+00, 1.484169157424250818e+00, 1.812143137283756866e+00
2.028000000000000000e+03, 1.787358538158471344e+00, 1.636059086423637954e+00, 1.516153578814789737e+00, 1.645884688333709711e+00, 2.010949470280336548e+00, 1.816110698738435003e+00, 1.785384519387315683e+00, 1.622709091315064800e+00, 1.553594041377502011e+00, 1.754801311050641077e+00, 1.836060672384085768e+00, 1.756355254795692211e+00, 1.842366728773345619e+00, 1.631544598352007602e+00, 1.522515341016399182e+00, 1.765207418526250960e+00
2.029000000000000000e+03, 1.802129700503672938e+00, 1.653553907892253205e+00, 1.458803924502060978e+00, 1.677960667732179223e+00, 2.064195357581443346e+00, 1.829425385761185296e+00, 1.691226338206433422e+00, 1.628731617920031072e+00, 1.588184862318412272e+00, 1.801280212617250465e+00, 1.912605598590547906e+00, 1.857764110355480502e+00, 1.822722670529665523e+00, 1.710247166983060785e+00, 1.541191501318883050e+00, 1.775983275946990458e+00
2.030000000000000000e+03, 1.842330961701456049e+00, 1.648970220215935756e+00, 1.511324777077559744e+00, 1.744717469798690468e+00, 2.002756511542383766e+00, 1.936467917911636416e+00, 1.746530183825858007e+00, 1.606863332992169768e+00, 1.578180177834149545e+00, 1.851072695113285205e+00, 1.866266598840117474e+00, 1.777281121073078340e+00, 1.855340852970852605e+00, 1.715631215889274364e+00, 1.530232739942897879e+00, 1.722915380296810905e+00
2.031000000000000000e+03, 1.750477251021439917e+00, 1.632535244404199393e+00, 1.563154071745921136e+00, 1.567162013740507120e+00, 1.956855755152142162e+00, 1.817070342204311517e+00, 1.762500208355829212e+00, 1.624000913917519995e+00, 1.617779483777436633e+00, 1.850336987733158800e+00, 1.808861519707608556e+00, 1.788238811144224005e+00, 1.830454522828652841e+00, 1.734422092079716426e+00, 1.455377669911298577e+00, 1.783436279862411711e+00
2.032000000000000000e+03, 1.749113724948374582e+00, 1.684814599045822314e+00, 1.453308278072921844e+00, 1.596902011098719099e+00, 2.032628717696372878e+00, 1.868293479039021321e+00, 1.858788045472811179e+00, 1.534763505628110369e+00, 1.620861306913536026e+00, 1.827880440743611112e+00, 1.861308425320723936e+00, 1.830059070206968341e+00, 1.774552339053499850e+00, 1.751713505685049466e+00, 1.537445478551729972e+00, 1.775480416804061656e+00
2.033000000000000000e+03, 1.853646245290500039e+00, 1.684712864575602875e+00, 1.501607337923272611e+00, 1.683408095134410587e+00, 2.036648149528287988e+00, 1.721087608608813824e+00, 1.824733680207064834e+00, 1.629945850192675350e+00, 1.553421334320768787e+00, 1.821546802393591458e+00, 1.799171296690325716e+00, 1.769298258557951087e+00, 1.826185622434932210e+00, 1.738732611899861169e+00, 1.551210566497787546e+00, 1.840166443043904421e+00
2.034000000000000000e+03, 1.789300176701475342e+00, 1.713878056680538053e+00, 1.524460789722225318e+00, 1.588362127440336335e+00, 2.079937575718044940e+00, 1.889773788369222496e+00, 1.775236167445125135e+00, 1.640693277964068164e+00, 1.544419631535081328e+00, 1.840344668652589499e+00, 1.829689036009683356e+00, 1.827141272626499724e+00, 1.877416942504365638e+00, 1.695331237052684514e+00, 1.527837811765119680e+00, 1.751353946506813974e+00
