year, IPSL-CM6A-LR, ACCESS-ESM1-5, MPI-ESM1-2-LR, UKESM1-0-LL, CNRM-ESM2-1, MIROC-ES2L, CESM2-WACCM, CMCC-ESM2
1.861000000000000000e+03, 5.966162446496986015e-10, 8.587630494313291735e-12, 4.143304446983922909e-10, 2.495931769298502999e-13, 4.062429827739818874e-12, 3.882811423653730977e-10, 2.623461321464612655e-10, 8.558216077398781625e-11
1.862000000000000000e+03, 6.249180879824671123e-10, 6.855972459836371521e-12, 4.123306478671385847e-10, 2.895484928772640227e-13, 3.796653293788415902e-12, 3.891752373464381854e-10, 2.478652466218318380e-10, 8.712278241001640339e-11
1.863000000000000000e+03, 6.231972044572569564e-10, 6.156571055200020928e-12, 3.988199111361479634e-10, 3.240820431539787929e-13, 3.528015156565483754e-12, 3.886648890626471991e-10, 2.444409648989167126e-10, 8.804412406419520265e-11
1.864000000000000000e+03, 6.447932267126606022e-10, 5.836900432616066916e-12, 4.054874324948162154e-10, 2.835747464038211171e-13, 3.271385748454937110e-12, 3.876929296756979012e-10, 2.459936001187999953e-10, 8.846926295559269282e-11
1.865000000000000000e+03, 6.055963558580147560e-10, 5.672209657435716278e-12, 4.078052061516257704e-10, 3.505842595569458495e-13, 3.037998094731539553e-12, 3.872928354793162968e-10, 2.465136555374747235e-10, 8.852142473882876929e-11
1.866000000000000000e+03, 6.436817654066765223e-10, 5.534453711393348090e-12, 4.145467491089273144e-10, 3.050458425570050438e-13, 2.785978454622387573e-12, 3.878235573568369434e-10, 2.635844141999804882e-10, 8.828549148255503041e-11
1.867000000000000000e+03, 5.905907945673220355e-10, 5.422006148659478325e-12, 4.204337963108028366e-10, 3.083833489877868088e-13, 2.541304427358913741e-12, 3.852384407080309678e-10, 2.741030483473698622e-10, 8.781341056191703381e-11
1.868000000000000000e+03, 6.185903223325117153e-10, 5.320638473971975415e-12, 4.199022280796324568e-10, 3.134508564937568906e-13, 2.310865519565329741e-12, 3.805747906145364619e-10, 2.499934555268345036e-10, 8.714694184143535387e-11
1.869000000000000000e+03, 6.436615807981271709e-10, 5.224237662469694641e-12, 4.207874508565054221e-10, 3.011154542079725692e-13, 2.047964587302802154e-12, 3.769708422014113960e-10, 2.631947185790982845e-10, 8.632482369236342479e-11
1.870000000000000000e+03, 6.405772734922677411e-10, 5.130738489764229558e-12, 4.139620534172916814e-10, 2.510040393551709803e-13, 1.784342484673464141e-12, 3.840365556916877120e-10, 2.530771753877400310e-10, 8.577393983297520396e-11
1.871000000000000000e+03, 6.384124258009287108e-10, 6.410677482042140409e-12, 4.056594081903113488e-10, 2.008955623519966133e-13, 1.806488149683891851e-12, 3.831357668423501548e-10, 2.547886291478013136e-10, 8.491065192999430468e-11
1.872000000000000000e+03, 6.226076199609695137e-10, 6.831261054130789644e-12, 4.013671140964637421e-10, 1.677572769099086397e-13, 2.459802464286331154e-12, 3.834232461348620590e-10, 2.594560774732554953e-10, 8.362476188033432730e-11
1.873000000000000000e+03, 6.273964857592899509e-10, 7.054821227362136543e-12, 4.068950495442365467e-10, 1.508486381223472411e-13, 3.108762941486716771e-12, 3.844177709696502666e-10, 2.548493981723245004e-10, 8.260376402040933027e-11
1.874000000000000000e+03, 6.314010265536511866e-10, 7.199251756801219800e-12, 4.070606702417990844e-10, 1.365608820116912780e-13, 3.735683196022371890e-12, 3.854644485048904842e-10, 2.513928608057609455e-10, 8.178293925587865271e-11
1.875000000000000000e+03, 6.547104571876828921e-10, 7.327467959295486669e-12, 3.980545987110882591e-10, 1.337425220620075534e-13, 4.381628252256017163e-12, 3.860058439165602738e-10, 2.545697197541639118e-10, 8.111443604051456320e-11
1.876000000000000000e+03, 6.216022216416567322e-10, 7.412598628111873006e-12, 3.966872327117983850e-10, 1.432377838584976131e-13, 5.022544248290396351e-12, 3.856342006694172995e-10, 2.406682527541397438e-10, 8.058242097954237875e-11
1.877000000000000000e+03, 6.192832735895016133e-10, 7.503603708292985837e-12, 4.016938970206553770e-10, 1.468967314785403162e-13, 5.660528242090835140e-12, 3.858202508843319113e-10, 2.494987532519890596e-10, 8.016788198447418001e-11
1.878000000000000000e+03, 6.319178969987520380e-10, 7.557694225041304399e-12, 3.989397806425955399e-10, 1.122867827199043197e-13, 6.319894453796052382e-12, 3.871620440220032123e-10, 2.412446163336325089e-10, 7.982673464808980504e-11
1.879000000000000000e+03, 6.268229959959764490e-10, 7.613805290668007995e-12, 3.968847563025690804e-10, 1.086341035009783860e-13, 6.974173709033697705e-12, 3.852664016781564655e-10, 2.358529522811213796e-10, 7.953830286280988547e-11
1.880000000000000000e+03, 6.215921049276756596e-10, 7.675535107227625329e-12, 3.968117318315791924e-10, 2.110122298743672153e-13, 7.645107842161666299e-12, 3.924477025095143100e-10, 2.549409309030148843e-10, 7.978622437922271723e-11
