year, CESM2-WACCM, MPI-ESM1-2-LR, CMCC-CM2-SR5, UKESM1-0-LL, EC-Earth3-Veg, IPSL-CM6A-LR, NorESM2-LM, NorESM2-MM, TaiESM1, ACCESS-ESM1-5, INM-CM4-8, MIROC-ES2L, CanESM5, GFDL-ESM4, CNRM-ESM2-1, INM-CM5-0
1.860000000000000000e+03, 3.464760152326403642e+01, 3.408990425111270639e+01, 3.219914573779607281e+01, 3.593366840868424816e+01, 2.322038486034925597e+01, 1.537510211832932328e+01, 3.460942972830362407e+01, 3.190648600724838246e+01, 4.629141542824046240e+01, 4.472520776908585560e+01, 3.318045175214270159e+01, 2.500719953245470606e+01, 2.808241628603743578e+01, 3.408246923576655263e+01, 4.474013471097012484e+01, 3.217797747998847058e+01
1.861000000000000000e+03, 3.475558605900317843e+01, 3.405601227555560229e+01, 3.206843392623029132e+01, 3.583549241718894507e+01, 2.302151958727478842e+01, 1.534036562093662859e+01, 3.474553400524980873e+01, 3.192312844920477843e+01, 4.623648516380648488e+01, 4.465245499451251021e+01, 3.310454185504865166e+01, 2.491580357778074273e+01, 2.806976652897345303e+01, 3.394542547451103331e+01, 4.468080956846817031e+01, 3.219930127092393235e+01
1.862000000000000000e+03, 3.468979601991765804e+01, 3.392194771228378869e+01, 3.233343973562234908e+01, 3.585104809149060401e+01, 2.294113661118279524e+01, 1.533591192490675148e+01, 3.479134410348549977e+01, 3.199384626987802349e+01, 4.624376548594174352e+01, 4.462445805376566454e+01, 3.321134354588838278e+01, 2.494087917057763448e+01, 2.819009337756213185e+01, 3.391418870662463547e+01, 4.470285059550261764e+01, 3.218280037622661638e+01
1.863000000000000000e+03, 3.447274108717913776e+01, 3.396496327225309386e+01, 3.258532936143920722e+01, 3.590176846707289116e+01, 2.293913253152431864e+01, 1.535467542780970618e+01, 3.457192850294159570e+01, 3.208646137926320563e+01, 4.612484955052704549e+01, 4.465913281428230874e+01, 3.328260708635379928e+01, 2.498567340428487071e+01, 2.819680408661336912e+01, 3.392858959479925574e+01, 4.478480255426649137e+01, 3.212276750732380748e+01
1.864000000000000000e+03, 3.430088340707394678e+01, 3.404140747461749328e+01, 3.263201629113914493e+01, 3.592985644979680160e+01, 2.302035505530452397e+01, 1.539525510969815336e+01, 3.438378165021200061e+01, 3.199087241165034001e+01, 4.589737893756864651e+01, 4.474711937228635605e+01, 3.338383848612684801e+01, 2.501652040484744788e+01, 2.823860857775741096e+01, 3.391481439047335300e+01, 4.488932277797090364e+01, 3.213802072234512508e+01
1.865000000000000000e+03, 3.420574383308942856e+01, 3.416247283712477412e+01, 3.279878608808525087e+01, 3.596133558026495791e+01, 2.299516847484426663e+01, 1.539928689177845200e+01, 3.429329070852956107e+01, 3.175019029576985830e+01, 4.616145404955624088e+01, 4.483779193570609323e+01, 3.331223044327586535e+01, 2.505546724664660374e+01, 2.829218830932275708e+01, 3.393424470369239998e+01, 4.488305045454493580e+01, 3.225772010777588150e+01
1.866000000000000000e+03, 3.426765588727693768e+01, 3.426945255998475659e+01, 3.284991815503899915e+01, 3.593414319310402760e+01, 2.297130352754337679e+01, 1.544894536250299666e+01, 3.428370333152737004e+01, 3.170462131507990122e+01, 4.602426896608694307e+01, 4.493743797936814843e+01, 3.326854150539084998e+01, 2.508644221178091982e+01, 2.834398196712447771e+01, 3.380121452072427957e+01, 4.506894417110582651e+01, 3.223177381048586909e+01
1.867000000000000000e+03, 3.433805351458020994e+01, 3.434160041498385141e+01, 3.249838690796217122e+01, 3.596719480051420703e+01, 2.287476664229468781e+01, 1.541053360458613142e+01, 3.426019934567032976e+01, 3.183801489601777135e+01, 4.593020711337209860e+01, 4.501205340657809018e+01, 3.321224770986966490e+01, 2.514761158188027323e+01, 2.830570252787855878e+01, 3.367693248147247687e+01, 4.520615659520557728e+01, 3.221256484001862219e+01
1.868000000000000000e+03, 3.417565813468030456e+01, 3.441545598603650546e+01, 3.242521475269506936e+01, 3.605358498659203548e+01, 2.304730297937567229e+01, 1.542155522250884125e+01, 3.418428914846415267e+01, 3.181492469610623530e+01, 4.599549263020971779e+01, 4.505323940130141835e+01, 3.322617599536281574e+01, 2.517942091092251644e+01, 2.827151470997035076e+01, 3.356178038403124475e+01, 4.523775310497011048e+01, 3.222754524807973553e+01
1.869000000000000000e+03, 3.405882163679051899e+01, 3.445008303564809893e+01, 3.269735349339960351e+01, 3.606886207740495109e+01, 2.309238448866384985e+01, 1.548848289954733026e+01, 3.392971334983306519e+01, 3.168424614755807411e+01, 4.588681508806718767e+01, 4.514425991465353150e+01, 3.336444749768379125e+01, 2.521622563445641063e+01, 2.833265628756123533e+01, 3.357697238483527258e+01, 4.520668436479786578e+01, 3.220576721959699285e+01
1.870000000000000000e+03, 3.392796417902244599e+01, 3.445598154238808775e+01, 3.285340365534418794e+01, 3.609829986496009013e+01, 2.305431565237041980e+01, 1.550862037146422878e+01, 3.377197321928026952e+01, 3.180444638227314869e+01, 4.551742601077307881e+01, 4.525938020599962641e+01, 3.337480795083250484e+01, 2.519765957492698405e+01, 2.834821355639129337e+01, 3.356058474264461466e+01, 4.527666837762202334e+01, 3.217919990361954063e+01
1.871000000000000000e+03, 3.390003018032043514e+01, 3.451697538828180711e+01, 3.317754444017295867e+01, 3.610617259329134754e+01, 2.313842253573927366e+01, 1.551568576703142632e+01, 3.372411107864611779e+01, 3.192287659980572911e+01, 4.602232698022035606e+01, 4.533743967380916473e+01, 3.328991342190802527e+01, 2.512032518610709175e+01, 2.841455100847286275e+01, 3.368931402267941166e+01, 4.533089436212821255e+01, 3.216542014120895487e+01
1.872000000000000000e+03, 3.409635563871083974e+01, 3.461868195542506754e+01, 3.324363697747349988e+01, 3.608103933948243025e+01, 2.315702390638437080e+01, 1.554076962188409539e+01, 3.366940636505623274e+01, 3.192884260423533149e+01, 4.594319860524569776e+01, 4.540213641452879756e+01, 3.330910217708120769e+01, 2.513516573238689134e+01, 2.846416472019521393e+01, 3.370630674155787432e+01, 4.534535174408907920e+01, 3.218921527769680324e+01
1.873000000000000000e+03, 3.420448450577654143e+01, 3.466143953646137277e+01, 3.247099142494823809e+01, 3.617695625915567348e+01, 2.316709573483798223e+01, 1.556134568528213080e+01, 3.376742625576518009e+01, 3.186030364332364684e+01, 4.519512594215767365e+01, 4.548086721629129414e+01, 3.342178302864159889e+01, 2.516338290903467367e+01, 2.840911910113838701e+01, 3.375451445716642240e+01, 4.531869763722568933e+01, 3.210182734771621682e+01
1.874000000000000000e+03, 3.423720844364657978e+01, 3.465006134871548937e+01, 3.263945374716141856e+01, 3.618757236603999417e+01, 2.337466466210509353e+01, 1.556209126888414040e+01, 3.380791875980830952e+01, 3.175713792678713432e+01, 4.558269573072021075e+01, 4.558749202206532658e+01, 3.337039089511333856e+01, 2.517847624064636491e+01, 2.848409833312502570e+01, 3.376580115277858596e+01, 4.543212001630218566e+01, 3.201787215206420711e+01
1.875000000000000000e+03, 3.426063481897153196e+01, 3.456281407133020167e+01, 3.279328415559611898e+01, 3.625416440341189173e+01, 2.329351221624655111e+01, 1.561151350792767722e+01, 3.393187884643815266e+01, 3.177614462845522425e+01, 4.568252305896992738e+01, 4.568230002335359785e+01, 3.323389187596421124e+01, 2.513499921964751849e+01, 2.870280694315880865e+01, 3.375977101716590312e+01, 4.544940185649536346e+01, 3.207707219026988099e+01
1.876000000000000000e+03, 3.421808981288446461e+01, 3.456864885674804810e+01, 3.285929583237967933e+01, 3.628761627327942563e+01, 2.334647355823490500e+01, 1.558788412418980407e+01, 3.404843868331713708e+01, 3.175166895208959161e+01, 4.521741205804552521e+01, 4.575038492421374769e+01, 3.331734037903409273e+01, 2.505105165822516256e+01, 2.880536252127328112e+01, 3.373269871160835720e+01, 4.529485533637334527e+01, 3.214087212427742202e+01
1.877000000000000000e+03, 3.419844799346732600e+01, 3.453061814047259759e+01, 3.319406792308721066e+01, 3.627197849480342029e+01, 2.331380560066953578e+01, 1.557588750966411695e+01, 3.418655066313505841e+01, 3.181466899333571874e+01, 4.537972343687422239e+01, 4.580318681194255959e+01, 3.330415475836800709e+01, 2.508022472269015424e+01, 2.900225227331427291e+01, 3.368985153509640185e+01, 4.541502333717777873e+01, 3.213039097223710883e+01
1.878000000000000000e+03, 3.422477967136698851e+01, 3.444035562184674859e+01, 3.347762043849261460e+01, 3.618781641183511510e+01, 2.330991723112116887e+01, 1.558350081477998650e+01, 3.426700648954567896e+01, 3.191364964867061005e+01, 4.537418334044657087e+01, 4.588500309726785531e+01, 3.326462512717171904e+01, 2.514901744213007007e+01, 2.899425835731977585e+01, 3.376796129339160046e+01, 4.547665969432747346e+01, 3.213116051609398482e+01
1.879000000000000000e+03, 3.404775826034710917e+01, 3.441277055025220477e+01, 3.335941987895343175e+01, 3.612567905659835787e+01, 2.322666972563751031e+01, 1.559512964859481343e+01, 3.403480075007676220e+01, 3.176260532099631817e+01, 4.543229349496198921e+01, 4.601595179091003018e+01, 3.324904662315254456e+01, 2.521509437045581592e+01, 2.889298375764998283e+01, 3.369603768033420010e+01, 4.549073997230797062e+01, 3.221380239973874637e+01
1.880000000000000000e+03, 3.406395287805564465e+01, 3.423866471425173330e+01, 3.330842346608701376e+01, 3.620713616732535911e+01, 2.323125247321711839e+01, 1.564116698889644042e+01, 3.385005987968992969e+01, 3.163128268939427912e+01, 4.543769490025364632e+01, 4.609432459903220547e+01, 3.323011323329820499e+01, 2.511096725099653071e+01, 2.879448215923444110e+01, 3.370961233480874597e+01, 4.553293957618340215e+01, 3.222326814912896253e+01
1.881000000000000000e+03, 3.407508688030448241e+01, 3.440121387998376434e+01, 3.293545638590700264e+01, 3.627550648308643844e+01, 2.332612757132123704e+01, 1.567544321368004923e+01, 3.380329050972056848e+01, 3.156310650257650252e+01, 4.538864086755504701e+01, 4.615254351602977323e+01, 3.315843614123264871e+01, 2.503979518358927692e+01, 2.878675690539439458e+01, 3.380374398172393313e+01, 4.547342497842990383e+01, 3.223708046897269242e+01
1.882000000000000000e+03, 3.389333569339395780e+01, 3.445117983945707607e+01, 3.252113782617298199e+01, 3.628163279426585319e+01, 2.348580542110817504e+01, 1.569272187774087790e+01, 3.383506474710269174e+01, 3.149762166376371653e+01, 4.535498468559080720e+01, 4.626516915334971713e+01, 3.318963202920362932e+01, 2.507495123918184987e+01, 2.891875000662007977e+01, 3.382123316707517091e+01, 4.542685216837137574e+01, 3.224988670286260373e+01
1.883000000000000000e+03, 3.368436606797254740e+01, 3.437774045927312017e+01, 3.368736869146737689e+01, 3.628529304677253720e+01, 2.349296224887479312e+01, 1.573008142390894193e+01, 3.398935048546351823e+01, 3.161325123742311760e+01, 4.565285886902185553e+01, 4.637160545371037301e+01, 3.324000379098363567e+01, 2.506178420855721356e+01, 2.900527761770334934e+01, 3.365541486586836584e+01, 4.547712676930720477e+01, 3.223895166481379704e+01
1.884000000000000000e+03, 3.388338453349881263e+01, 3.432099361650997338e+01, 3.339344561783931198e+01, 3.626502783880385294e+01, 2.327517545144665334e+01, 1.572088538231111876e+01, 3.404387003816466972e+01, 3.177981174195341296e+01, 4.546773060969530178e+01, 4.643122836709164858e+01, 3.331034857123265880e+01, 2.504368756158260112e+01, 2.884325430378235922e+01, 3.350406392084362039e+01, 4.543162338192449567e+01, 3.224726654497273870e+01
1.885000000000000000e+03, 3.382673699227732556e+01, 3.435426748605979697e+01, 3.229122806113456789e+01, 3.622201813084773647e+01, 2.347414244719692888e+01, 1.569380679419044355e+01, 3.400288813352246109e+01, 3.188614477269657854e+01, 4.533156813166282717e+01, 4.654879774787272595e+01, 3.330354941111900047e+01, 2.496675639916266576e+01, 2.877912252913110436e+01, 3.318721362500044592e+01, 4.550973859969363389e+01, 3.213915740340932103e+01
1.886000000000000000e+03, 3.377123323526669196e+01, 3.442142829266048665e+01, 3.235895711661506624e+01, 3.624810209916130077e+01, 2.343326590898433892e+01, 1.576528862916038776e+01, 3.391191241806127721e+01, 3.191724025984810709e+01, 4.560776411278202147e+01, 4.668899280430782284e+01, 3.328308897545865364e+01, 2.495419866400523290e+01, 2.878800143156590963e+01, 3.303727206217942580e+01, 4.552327602432006159e+01, 3.213735058158285796e+01
1.887000000000000000e+03, 3.364821828869505538e+01, 3.447086733157295413e+01, 3.331410817934416002e+01, 3.629003812490314829e+01, 2.340759115216868835e+01, 1.580292401261102064e+01, 3.389309536801064127e+01, 3.185445691316726169e+01, 4.550604976996844897e+01, 4.673557982676557288e+01, 3.323182535532973247e+01, 2.501101448455718668e+01, 2.875674212567530574e+01, 3.310680877627317642e+01, 4.547203927401574219e+01, 3.218485688551936619e+01
1.888000000000000000e+03, 3.374467183056167130e+01, 3.457034780821689424e+01, 3.332505974530603510e+01, 3.632514218202706502e+01, 2.351048806090442866e+01, 1.589711888870604994e+01, 3.391851903526163170e+01, 3.170308553040098332e+01, 4.543213308027051767e+01, 4.672085207792846262e+01, 3.325583173247975566e+01, 2.504318605891525706e+01, 2.865744063468055103e+01, 3.317814689232587000e+01, 4.542670606187019189e+01, 3.216636015684130001e+01
1.889000000000000000e+03, 3.386669499880417789e+01, 3.446931182958265083e+01, 3.309277821903678074e+01, 3.639695730026816278e+01, 2.359216739554171838e+01, 1.590584541790405559e+01, 3.400648410401656463e+01, 3.173901767317829226e+01, 4.566555902668811484e+01, 4.678259138923604610e+01, 3.325728971605284556e+01, 2.501553467802571973e+01, 2.876069205862604150e+01, 3.331986887857032542e+01, 4.542903498288576003e+01, 3.215823144825218094e+01
1.890000000000000000e+03, 3.379614485607910268e+01, 3.426233206081204941e+01, 3.325850666875603423e+01, 3.642998199986510599e+01, 2.349532437882693969e+01, 1.594369135018521533e+01, 3.391764904915259393e+01, 3.179805087319472179e+01, 4.562500675119665061e+01, 4.681181429617527812e+01, 3.328026379126819023e+01, 2.500909345516136995e+01, 2.890605640743828531e+01, 3.333830309565345118e+01, 4.545631196821071285e+01, 3.222054509634681096e+01
1.891000000000000000e+03, 3.377054911172577079e+01, 3.437974076357226494e+01, 3.353838360198958668e+01, 3.643279617791256442e+01, 2.354625931355902679e+01, 1.595793628703926181e+01, 3.374579907349605890e+01, 3.157577918120787785e+01, 4.541002776493111526e+01, 4.686060055036073635e+01, 3.336514717895177995e+01, 2.502137432865609057e+01, 2.895870832984875776e+01, 3.330993480505164683e+01, 4.545059000995406251e+01, 3.224094997678831476e+01
1.892000000000000000e+03, 3.388376659036552496e+01, 3.448699244881270687e+01, 3.317485777001245850e+01, 3.638927285900453512e+01, 2.368410888103247558e+01, 1.594055730034436635e+01, 3.383421165869579283e+01, 3.141488446481004360e+01, 4.552958329550089900e+01, 4.694033065970680241e+01, 3.333267970688653747e+01, 2.503642181185036009e+01, 2.892585255868851135e+01, 3.332732257940725162e+01, 4.550208390268026193e+01, 3.224902830517282837e+01
1.893000000000000000e+03, 3.390043716380974814e+01, 3.458442937857062560e+01, 3.250322452233306336e+01, 3.653432133875402599e+01, 2.348963605679272604e+01, 1.596762038796910055e+01, 3.398835100126047593e+01, 3.137918830557753935e+01, 4.539679922707248494e+01, 4.700110915696235736e+01, 3.323533135130008276e+01, 2.503022103639265694e+01, 2.893582362317235024e+01, 3.326729533136109040e+01, 4.549700138317889753e+01, 3.226491467790276602e+01
1.894000000000000000e+03, 3.373301278671983283e+01, 3.458967031170977435e+01, 3.300695385137291282e+01, 3.663528192054963029e+01, 2.351564482905883935e+01, 1.591730468172622359e+01, 3.392800741411113563e+01, 3.138306948898728876e+01, 4.521637316153506703e+01, 4.704428583993577462e+01, 3.329348960252447398e+01, 2.499328747038020282e+01, 2.891703013466789685e+01, 3.336050304921767662e+01, 4.557018034208512347e+01, 3.217071007383027137e+01
1.895000000000000000e+03, 3.354872394887808440e+01, 3.469969967462608906e+01, 3.340965457017326656e+01, 3.671801434791839824e+01, 2.349736077558636538e+01, 1.594587657047869556e+01, 3.397481550955162533e+01, 3.126299667335609200e+01, 4.523600887312044705e+01, 4.712682873982425491e+01, 3.332282442219942453e+01, 2.501609926312084298e+01, 2.883054554704806094e+01, 3.349451381098983660e+01, 4.563203950215221738e+01, 3.216395273108338415e+01
1.896000000000000000e+03, 3.356266683907276160e+01, 3.469673474441574257e+01, 3.328465131174429814e+01, 3.668135673519122264e+01, 2.338515190649602715e+01, 1.603333845723100382e+01, 3.403767888413701570e+01, 3.115907936563963077e+01, 4.572219623689579038e+01, 4.716736919709397569e+01, 3.341041508607674615e+01, 2.506219429514694497e+01, 2.877658426607662179e+01, 3.346189387903525869e+01, 4.559224394329088170e+01, 3.212328951614228600e+01
1.897000000000000000e+03, 3.374056921002292597e+01, 3.475622722425848110e+01, 3.353433654724912572e+01, 3.670177302435540412e+01, 2.314321795564971751e+01, 1.606304263863649595e+01, 3.407410333222508569e+01, 3.119942859875361307e+01, 4.565140357792252246e+01, 4.721432879997747989e+01, 3.351414601486529676e+01, 2.502049542894075174e+01, 2.879570134579075003e+01, 3.352998551285219264e+01, 4.550253191077565873e+01, 3.213963069456769261e+01
1.898000000000000000e+03, 3.384201326298293822e+01, 3.473383654875105719e+01, 3.368475568506006823e+01, 3.679476389423968641e+01, 2.337722263033456471e+01, 1.609947032993117588e+01, 3.402759355642130856e+01, 3.138415918291656226e+01, 4.542097580382858979e+01, 4.727642383035720286e+01, 3.355142056721902577e+01, 2.503597616759590849e+01, 2.893749034421736255e+01, 3.360068913944602542e+01, 4.559817103178667708e+01, 3.221883108990424205e+01
1.899000000000000000e+03, 3.392313980045442889e+01, 3.475760867425611167e+01, 3.351123955800709098e+01, 3.683420916377313858e+01, 2.340039253019112309e+01, 1.606526033028278988e+01, 3.408643913365783362e+01, 3.152472776790924414e+01, 4.508573622669887726e+01, 4.727610058908656754e+01, 3.351673848134818456e+01, 2.516099051320721358e+01, 2.883399403303812747e+01, 3.351729717869145020e+01, 4.560698349123689610e+01, 3.229691170916908760e+01
1.900000000000000000e+03, 3.391506185215163782e+01, 3.484681677259315080e+01, 3.364303720444712553e+01, 3.691473905401390709e+01, 2.338117713723414326e+01, 1.600333574933216241e+01, 3.405580455760360792e+01, 3.144555657922517611e+01, 4.513823214431155861e+01, 4.722839825539909242e+01, 3.350611332038786827e+01, 2.508135256170784189e+01, 2.882617474189915185e+01, 3.349631741987825961e+01, 4.548773928834521030e+01, 3.225840031534415431e+01
1.901000000000000000e+03, 3.366114693416898263e+01, 3.478835124181399863e+01, 3.352736109721423219e+01, 3.692046462570959164e+01, 2.340777639244053177e+01, 1.600518185550788530e+01, 3.405615556871092764e+01, 3.129270116038810912e+01, 4.506943233104939139e+01, 4.726825081593114675e+01, 3.359029712545529378e+01, 2.510457045317871305e+01, 2.899178432303533981e+01, 3.340153971798948618e+01, 4.549975992214230303e+01, 3.221940783246547113e+01
1.902000000000000000e+03, 3.361931523078336426e+01, 3.463621091114694650e+01, 3.384611098533981988e+01, 3.687998006310284893e+01, 2.328375253495743280e+01, 1.602653537033466336e+01, 3.407606119415012813e+01, 3.110141211740455702e+01, 4.503813194923667140e+01, 4.731193828069741159e+01, 3.353843949226536836e+01, 2.511901472186541895e+01, 2.903615584321893905e+01, 3.350627754812980186e+01, 4.542672969279283990e+01, 3.213743683696834808e+01
1.903000000000000000e+03, 3.372585189042771248e+01, 3.458972281964535966e+01, 3.382568221559407817e+01, 3.682031485783112146e+01, 2.292415888733716045e+01, 1.602984920265716440e+01, 3.387564321029397263e+01, 3.101593887859525722e+01, 4.495037641306689125e+01, 4.740261181873093221e+01, 3.360472620928234022e+01, 2.514567941386153294e+01, 2.893229900861338777e+01, 3.336439889157893646e+01, 4.531935809579493224e+01, 3.212624256993560579e+01
1.904000000000000000e+03, 3.361562872153341175e+01, 3.456862030721267587e+01, 3.369008986442420195e+01, 3.683920745185935175e+01, 2.309837377092560828e+01, 1.593820305236231860e+01, 3.344834615205247275e+01, 3.096807334243154486e+01, 4.499507119034296920e+01, 4.743887746257259863e+01, 3.353812247362323973e+01, 2.506604148273950372e+01, 2.880798228237863512e+01, 3.324209870848954296e+01, 4.537488914155643727e+01, 3.214451244124524720e+01
1.905000000000000000e+03, 3.366966223934107916e+01, 3.472337177443844780e+01, 3.380087364473222067e+01, 3.688492210205765787e+01, 2.316846653838818781e+01, 1.598685865458701016e+01, 3.347396881066622143e+01, 3.105322712694060527e+01, 4.483499584424293971e+01, 4.744588125978756921e+01, 3.344275599724723946e+01, 2.487985829043109831e+01, 2.880107311569352646e+01, 3.331290234176430687e+01, 4.527875031026616881e+01, 3.206984549072632973e+01
1.906000000000000000e+03, 3.379100443376268004e+01, 3.486235609428602089e+01, 3.395519404904958094e+01, 3.685533936402646304e+01, 2.306308159490684417e+01, 1.601323935360677098e+01, 3.370013133654384774e+01, 3.114549385443022089e+01, 4.495741992024795053e+01, 4.747597122582913443e+01, 3.355425075927507095e+01, 2.485307763058674979e+01, 2.884408773218092747e+01, 3.322009436546544947e+01, 4.530161800302101227e+01, 3.203894853835688394e+01
1.907000000000000000e+03, 3.387901519835258313e+01, 3.484942155657566332e+01, 3.411230654945511986e+01, 3.689145594632147862e+01, 2.313239192837955827e+01, 1.603066019026911349e+01, 3.382712825491307029e+01, 3.131395656764230750e+01, 4.458912392452319295e+01, 4.757259010508263941e+01, 3.369053347475144733e+01, 2.481674485836493815e+01, 2.892106122159525938e+01, 3.333094180503945836e+01, 4.535670066816301471e+01, 3.208498197627267956e+01
1.908000000000000000e+03, 3.390572591435106631e+01, 3.491733225016921693e+01, 3.387719658507773346e+01, 3.698165151167818721e+01, 2.317180103475641673e+01, 1.604465244646162603e+01, 3.396441040043429638e+01, 3.138379034876302143e+01, 4.461695991362199720e+01, 4.760483465033114214e+01, 3.361621222394222741e+01, 2.470005760304276521e+01, 2.879100938214874006e+01, 3.336463456794301408e+01, 4.533515350622280948e+01, 3.217789119514907981e+01
1.909000000000000000e+03, 3.374941146430435168e+01, 3.490244081297773704e+01, 3.358572731505319808e+01, 3.699898410900021162e+01, 2.319104998440397480e+01, 1.606638911750241405e+01, 3.393079900134080873e+01, 3.136082867546450359e+01, 4.458729546858575787e+01, 4.763724849194527877e+01, 3.361137828010217277e+01, 2.465304734786358054e+01, 2.877056195886691370e+01, 3.324690915559725113e+01, 4.539098212980826474e+01, 3.216720759709492228e+01
1.910000000000000000e+03, 3.363481000941441579e+01, 3.489280521860573003e+01, 3.382132362042721496e+01, 3.696814418730413365e+01, 2.310658672225264709e+01, 1.606372159944132960e+01, 3.376464272368887265e+01, 3.133868731467892133e+01, 4.461790247946178312e+01, 4.772115379883980069e+01, 3.358615234381201020e+01, 2.473357884797210104e+01, 2.879782176292180296e+01, 3.312579070105286405e+01, 4.536869192524473959e+01, 3.219831052519552372e+01
1.911000000000000000e+03, 3.351707161136707214e+01, 3.473364877167676212e+01, 3.370072445943861084e+01, 3.696202153139232394e+01, 2.316751534522733280e+01, 1.610302296986040460e+01, 3.354059773192713578e+01, 3.129123835570620216e+01, 4.465201833445908619e+01, 4.774222031697672008e+01, 3.358595817859455934e+01, 2.472169962958783529e+01, 2.862889449851591195e+01, 3.314835823212369093e+01, 4.529672858830586080e+01, 3.231275683096756524e+01
