year, CESM2-WACCM, MPI-ESM1-2-LR, CMCC-CM2-SR5, UKESM1-0-LL, EC-Earth3-Veg, IPSL-CM6A-LR, NorESM2-LM, NorESM2-MM, TaiESM1, ACCESS-ESM1-5, INM-CM4-8, MIROC-ES2L, CanESM5, GFDL-ESM4, CNRM-ESM2-1, INM-CM5-0
1.850000000000000000e+03, 3.482587931669502979e+01, 3.409544370402560531e+01, 3.178372883781857183e+01, 3.582881791486819623e+01, 2.374193817199533640e+01, 1.533575025142378934e+01, 3.519471667237560553e+01, 3.260762037074812980e+01, 4.678440425752244636e+01, 4.452475061185829475e+01, 3.300747595293589143e+01, 2.548806649288097503e+01, 2.822912848560816457e+01, 3.420323199264883129e+01, 4.469379674852034867e+01, 3.200178892536088426e+01
1.851000000000000000e+03, 3.506342860538882888e+01, 3.415548578347469544e+01, 3.204795654605128163e+01, 3.574457376698494926e+01, 2.375701043600647111e+01, 1.533143966421150317e+01, 3.522969613888089668e+01, 3.258157121635420594e+01, 4.631989591919246863e+01, 4.460476674583247814e+01, 3.301804151851173685e+01, 2.548034364890516201e+01, 2.835126073978364047e+01, 3.410880013914572118e+01, 4.467753657853671712e+01, 3.201291142106425269e+01
1.852000000000000000e+03, 3.529016787255501697e+01, 3.401303602363220335e+01, 3.211998718639937778e+01, 3.576888689814562383e+01, 2.361657379794041134e+01, 1.530994746376625670e+01, 3.509920737773958876e+01, 3.264658732955957277e+01, 4.667951237563004696e+01, 4.465555963214356439e+01, 3.293613607187410963e+01, 2.542969428950040722e+01, 2.845405808731976904e+01, 3.408644500432232860e+01, 4.466632527959587406e+01, 3.206662646673921557e+01
1.853000000000000000e+03, 3.532115414421801347e+01, 3.403722292838180863e+01, 3.186649598431628405e+01, 3.574319088858473492e+01, 2.333441363102259558e+01, 1.522988247850365262e+01, 3.508209204480623100e+01, 3.264047477898117222e+01, 4.638930456117150669e+01, 4.464977915585212287e+01, 3.301996065430765981e+01, 2.540967666744777631e+01, 2.831721339808605009e+01, 3.400652954782673021e+01, 4.465269459684294873e+01, 3.218341044003837936e+01
1.854000000000000000e+03, 3.518098816789805738e+01, 3.405003040746319698e+01, 3.138872428852454632e+01, 3.579186419098248706e+01, 2.327849459672845001e+01, 1.521726286693583674e+01, 3.491902696394600980e+01, 3.248886821803158398e+01, 4.640385252412560391e+01, 4.465325924516609035e+01, 3.312671591911454527e+01, 2.536088809620228091e+01, 2.816736601430401521e+01, 3.385400383276136438e+01, 4.465290929518774732e+01, 3.216304361759205932e+01
1.855000000000000000e+03, 3.501906961301254029e+01, 3.404103866567615455e+01, 3.198611330856192581e+01, 3.590011544964755075e+01, 2.321474087840224243e+01, 1.529481863585030510e+01, 3.470096463431949729e+01, 3.242062359375646707e+01, 4.643921468582613699e+01, 4.466270083236511823e+01, 3.317669904792625601e+01, 2.527219208643498405e+01, 2.806898506014631067e+01, 3.389288136537349772e+01, 4.455216383564975047e+01, 3.215149326982809441e+01
1.856000000000000000e+03, 3.481666412954501766e+01, 3.411507022569545455e+01, 3.185616544799656680e+01, 3.595011904765743083e+01, 2.331329805846981529e+01, 1.536533974004325209e+01, 3.474056384097019645e+01, 3.248698714248501318e+01, 4.634502045670122783e+01, 4.466137621758004883e+01, 3.318878777818524384e+01, 2.528427571480469638e+01, 2.816475391005410955e+01, 3.398667671550364133e+01, 4.457341041320557196e+01, 3.221266196889200728e+01
1.857000000000000000e+03, 3.448774798024652455e+01, 3.404843305990139868e+01, 3.189738774295571488e+01, 3.597392971760719149e+01, 2.306278675176766058e+01, 1.535008054363945007e+01, 3.486902274632935672e+01, 3.257008546039447339e+01, 4.638179542617041307e+01, 4.472240753029748106e+01, 3.322924161080185712e+01, 2.530734487815633216e+01, 2.813809584357851534e+01, 3.398885804058792104e+01, 4.469019908235564742e+01, 3.214776797366693017e+01
1.858000000000000000e+03, 3.446501658785314959e+01, 3.404728903131870510e+01, 3.206810311147372516e+01, 3.591123600089045453e+01, 2.311899357079472139e+01, 1.532503547099522301e+01, 3.471141593822468963e+01, 3.242610128700955840e+01, 4.612937410712454778e+01, 4.470616334972964978e+01, 3.321647171231259676e+01, 2.526205233841249154e+01, 2.801111860050941971e+01, 3.389743533272658738e+01, 4.464455547648071843e+01, 3.211336062259044866e+01
1.859000000000000000e+03, 3.450958890354030473e+01, 3.407091747922839886e+01, 3.231064830160536161e+01, 3.589294152771633861e+01, 2.303725688274243666e+01, 1.534000848222296476e+01, 3.449400944756222032e+01, 3.207802226366287357e+01, 4.630087937902640505e+01, 4.472818244295412882e+01, 3.313514071957679619e+01, 2.507976118017311506e+01, 2.809972663542013649e+01, 3.393477770158165896e+01, 4.474973539633703012e+01, 3.209189918298191913e+01
