year, CNRM-ESM2-1, CESM2-WACCM, IPSL-CM6A-LR, UKESM1-0-LL, MIROC-ES2L, MPI-ESM1-2-LR, CMCC-CM2-SR5, EC-Earth3-Veg, ACCESS-ESM1-5
1.850000000000000000e+03, 0.000000000000000000e+00, 5.347287737580936479e-02, 1.344060238517315320e-01, 1.390474493691318155e-05, 3.989881840337277663e-01, 7.983486401128027099e-01, 1.554000211144946145e-02, 0.000000000000000000e+00, 0.000000000000000000e+00
1.851000000000000000e+03, 1.066285269479704976e-03, 9.870435030876549554e-02, 1.344219957053291170e-01, 2.397520829449536375e-05, 4.126604977975764088e-01, 8.042186551725167831e-01, 4.836159058868088473e-02, 2.797192815841288943e-04, 3.742746035957806531e-03
1.852000000000000000e+03, 2.038545908507045749e-03, 1.327088804958493906e-01, 1.341409445850636761e-01, 3.120071414925143293e-05, 4.224295097493381279e-01, 8.065965952435982800e-01, 8.069729129230417131e-02, 5.333554958073566561e-04, 6.920336921238406762e-03
1.853000000000000000e+03, 2.927037402915049370e-03, 1.616316283597826753e-01, 1.338732113594565121e-01, 3.228737390942942404e-05, 4.292992666421882042e-01, 8.122198708895765895e-01, 1.080198552338997031e-01, 7.682914045051345139e-04, 9.790577480476648012e-03
1.854000000000000000e+03, 3.719080886399515895e-03, 1.845735333086798713e-01, 1.335569433383916316e-01, 3.321232630952936435e-05, 4.349589066381721603e-01, 8.137631972027196126e-01, 1.313371211649140557e-01, 9.950009598736985449e-04, 1.246259311053356418e-02
1.855000000000000000e+03, 4.420628276136755186e-03, 2.067821890280156782e-01, 1.332989929178665101e-01, 4.286860413222373612e-05, 4.390579235386496415e-01, 8.145489999390741476e-01, 1.513800262530643204e-01, 1.208863027061120830e-03, 1.496906098309706314e-02
1.856000000000000000e+03, 5.033587544041192262e-03, 2.239462727076808601e-01, 1.330614718623163439e-01, 4.635406638019798651e-05, 4.427821267824871843e-01, 8.180284195495353128e-01, 1.687301486213029222e-01, 1.416536268024983425e-03, 1.733420947723689556e-02
1.857000000000000000e+03, 5.560650348699922550e-03, 2.407935501022263058e-01, 1.327973013224237608e-01, 4.488734828734363959e-05, 4.468870347326487358e-01, 8.195688607046600627e-01, 1.839204473164201270e-01, 1.614966717434214048e-03, 1.957981928473591718e-02
1.858000000000000000e+03, 6.006325670801862700e-03, 2.551030294546050570e-01, 1.322389268882645519e-01, 3.891046418229649400e-05, 4.499693406932154249e-01, 8.215858639943096620e-01, 1.973461528837376633e-01, 1.808789468704513452e-03, 2.171415501619475275e-02
1.859000000000000000e+03, 6.400515071844816405e-03, 2.673776160360455956e-01, 1.318405180881661865e-01, 3.448526318296515301e-05, 4.507210997380108330e-01, 8.195767422205811892e-01, 2.092743539985261469e-01, 1.997949972483786373e-03, 2.374686512622763840e-02
1.860000000000000000e+03, 6.653421540660947944e-03, 2.796665594224276297e-01, 1.312757073084591664e-01, 7.663692827112216280e-05, 4.495318711839303982e-01, 8.205735638871106685e-01, 2.197276052202920271e-01, 2.185743177918151973e-03, 2.568516245091747099e-02
1.861000000000000000e+03, 6.053724150631101253e-03, 2.905876538307367030e-01, 1.301435231867311415e-01, 9.518462619253585525e-05, 4.490527024197208394e-01, 8.200654831587179672e-01, 2.295131305651364473e-01, 2.309047235559387370e-03, 2.883100337950811679e-02
1.862000000000000000e+03, 5.508372168545081632e-03, 2.976961707269510371e-01, 1.294453678707163102e-01, 1.098342939700415797e-04, 4.493660656888862071e-01, 8.189912896045705715e-01, 2.387149717706094632e-01, 2.431113237153482987e-03, 2.902138871261403588e-02
1.863000000000000000e+03, 5.023241128522921810e-03, 3.053598723428110895e-01, 1.287367504189083911e-01, 1.213980903970982462e-04, 4.499160749260117664e-01, 8.134866896960190052e-01, 2.466291505620550051e-01, 2.547726001760079219e-03, 2.939767513966146106e-02
1.864000000000000000e+03, 4.617506787239177013e-03, 3.127958390746270467e-01, 1.279724488351538791e-01, 1.068633400728155396e-04, 4.501496507863648744e-01, 8.147408001799906208e-01, 2.534697465074423062e-01, 2.654257134915602705e-03, 2.982248068651891307e-02
1.865000000000000000e+03, 4.254366033212683348e-03, 3.192095377583332727e-01, 1.270266227449111662e-01, 1.312476463289089846e-04, 4.504914382130923434e-01, 8.141273941852705809e-01, 2.594377631634893211e-01, 2.755694715864902451e-03, 3.026346057216642432e-02
1.866000000000000000e+03, 3.950739997344440528e-03, 3.275141656752995623e-01, 1.260665697593930934e-01, 1.136843754259163249e-04, 4.512877574052692187e-01, 8.148265981337876607e-01, 2.646674948654186843e-01, 2.806703353801946743e-03, 3.066495076079072887e-02
1.867000000000000000e+03, 3.708537042228629912e-03, 3.341101312109833188e-01, 1.252702959921259407e-01, 1.154668552457631072e-04, 4.512680731595315464e-01, 8.149921658669418978e-01, 2.692430313898362404e-01, 2.854318810538872785e-03, 3.104393088010562810e-02
1.868000000000000000e+03, 3.507451471014145627e-03, 3.345612871483674700e-01, 1.244098224773479006e-01, 1.170114072843086365e-04, 4.500798602457914965e-01, 8.125817602080586122e-01, 2.732511378241673783e-01, 2.900480607282763124e-03, 3.139984223749171105e-02
1.869000000000000000e+03, 3.365917581140943481e-03, 3.405419320443620612e-01, 1.234366006601610860e-01, 1.122389336778108117e-04, 4.484073816255667033e-01, 8.104296614348462935e-01, 2.767554685390561375e-01, 2.948392242763693463e-03, 3.173274407050676038e-02
1.870000000000000000e+03, 3.342865727133994928e-03, 3.422643242093282856e-01, 1.217048350810886470e-01, 9.441720279043593371e-05, 4.504217872333935446e-01, 8.052123984087833364e-01, 2.806266676876106869e-01, 2.999639923622212257e-03, 3.204358815985394737e-02
1.871000000000000000e+03, 5.015234030495958548e-03, 3.447442600058920892e-01, 1.219052586677075029e-01, 7.826401182588244465e-05, 4.512764581959478605e-01, 7.994419342605169065e-01, 2.836337972020322451e-01, 3.167768259349442155e-03, 3.389329330650073246e-02
1.872000000000000000e+03, 6.542042604333241085e-03, 3.480846357379932532e-01, 1.214773998115875886e-01, 6.791505539859565290e-05, 4.517728207905221671e-01, 7.951571531370109636e-01, 2.854884981395185428e-01, 3.338788722334087161e-03, 3.538423581022966807e-02
1.873000000000000000e+03, 7.920907631996073131e-03, 3.501631497940139170e-01, 1.209816972172708116e-01, 6.341424041689223165e-05, 4.528086975046132778e-01, 7.943916644033810481e-01, 2.876745655547672254e-01, 3.508812508446487646e-03, 3.679326048096080715e-02
1.874000000000000000e+03, 9.158147141746154907e-03, 3.525747552400997908e-01, 1.202043284334562423e-01, 5.944936108631125501e-05, 4.539327669037005464e-01, 7.917249899994343032e-01, 2.900912963337493045e-01, 3.681566754051697216e-03, 3.814677951611884776e-02
1.875000000000000000e+03, 1.025774766186545416e-02, 3.561602075631893904e-01, 1.191359268903510876e-01, 5.974134160716116065e-05, 4.549554420094634177e-01, 7.858316463387572393e-01, 2.926520799383527383e-01, 3.851308508610800513e-03, 3.947707628273879749e-02
1.876000000000000000e+03, 1.125006298836147590e-02, 3.570419268480261588e-01, 1.182455099156873718e-01, 6.443003640028834662e-05, 4.556896010526009233e-01, 7.826440509718238792e-01, 2.953200557236760893e-01, 3.964748265597583567e-03, 4.074839019610929786e-02
1.877000000000000000e+03, 1.210508097998909058e-02, 3.616201922430333227e-01, 1.172223273466733995e-01, 6.628977973353876484e-05, 4.562578962884734635e-01, 7.817136193041076542e-01, 2.980671757228096630e-01, 4.077978868463459465e-03, 4.199911456034527424e-02
1.878000000000000000e+03, 1.281789146042772512e-02, 3.634169814039737711e-01, 1.161509561669985674e-01, 5.462632108093551587e-05, 4.573913267568991414e-01, 7.780694956376320581e-01, 3.008524091342505979e-01, 4.191909061162546121e-03, 4.318803720093446902e-02
1.879000000000000000e+03, 1.339644208774522054e-02, 3.656606044083570706e-01, 1.149990008790595236e-01, 5.444484932992843849e-05, 4.576846321453993394e-01, 7.746757071135443873e-01, 3.036482297375410755e-01, 4.305010770142868488e-03, 4.434579532093808896e-02
1.880000000000000000e+03, 1.370605184710321084e-02, 3.718340736666446711e-01, 1.123612571630746432e-01, 9.563033755365174190e-05, 4.607007246582042748e-01, 7.711615519879405634e-01, 3.075134678042713565e-01, 4.416056620201514078e-03, 4.548243054548095632e-02
1.881000000000000000e+03, 1.623027352660415257e-02, 3.753711276266705754e-01, 1.117744875413840128e-01, 1.312614690821578849e-04, 4.626717532691483337e-01, 7.741820504642934475e-01, 3.108177862379407075e-01, 4.937399817956539608e-03, 4.953181199835043902e-02
1.882000000000000000e+03, 1.875096899803171610e-02, 3.768395928103737136e-01, 1.106062406645629964e-01, 1.323309748287312753e-04, 4.653044125846020895e-01, 7.747349194813502038e-01, 3.126599780420532548e-01, 5.496884875232959516e-03, 5.321449899978845932e-02
1.883000000000000000e+03, 2.101818056229430576e-02, 3.780711029231350051e-01, 1.092066994730478829e-01, 1.246392572398585482e-04, 4.672895118510835277e-01, 7.742169545818112786e-01, 3.146482129324405519e-01, 6.075560169464596684e-03, 5.670294362186908271e-02
1.884000000000000000e+03, 2.308828614602709967e-02, 3.826792783515294838e-01, 1.073569909113765708e-01, 1.361374693991316664e-04, 4.679208242598271172e-01, 7.716687604586067728e-01, 3.167873458050426971e-01, 6.680134234132634186e-03, 6.010963850147747756e-02
1.885000000000000000e+03, 2.497514835961367127e-02, 3.832253371302207223e-01, 1.055582150871690744e-01, 1.365510840863539560e-04, 4.685374613271257593e-01, 7.691757969777179849e-01, 3.190535308434364614e-01, 7.313069395226012674e-03, 6.336893474562937945e-02
1.886000000000000000e+03, 2.663620726068296682e-02, 3.859735375194727203e-01, 1.038633746169414090e-01, 1.490231109661825854e-04, 4.703471741853029187e-01, 7.683213838229367987e-01, 3.213668157259688130e-01, 8.026030893950914999e-03, 6.653012327427434980e-02
