year, CMCC-CM2-SR5, CanESM5, UKESM1-0-LL, NorESM2-MM, EC-Earth3-Veg, CNRM-ESM2-1, MIROC-ES2L, IPSL-CM6A-LR, ACCESS-ESM1-5, MPI-ESM1-2-LR, NorESM2-LM, INM-CM4-8, GFDL-ESM4, INM-CM5-0, TaiESM1, CESM2-WACCM
1.850000000000000000e+03, 2.787001913019799986e+02, 2.752122228185165227e+02, 2.788378794937772227e+02, 2.798477352139491927e+02, 2.773443921015531828e+02, 2.775344970129506805e+02, 2.805679100279702425e+02, 2.747881764447319028e+02, 2.792848658393352252e+02, 2.795070379687506943e+02, 2.802457642764621255e+02, 2.791978416186944401e+02, 2.774802854223013355e+02, 2.789023338610575706e+02, 2.791507707328886454e+02, 2.804747143354567243e+02
1.851000000000000000e+03, 2.783266252577749356e+02, 2.752499951233515390e+02, 2.781398992300175905e+02, 2.797624793749434957e+02, 2.773192574057715092e+02, 2.769827347730940801e+02, 2.801632688578543480e+02, 2.748113175859057264e+02, 2.791772006848626688e+02, 2.787875488046578880e+02, 2.805668995820411169e+02, 2.795886921174364943e+02, 2.778371190093956784e+02, 2.791016927683064637e+02, 2.787602904234477705e+02, 2.799469885322262712e+02
1.852000000000000000e+03, 2.782653378098858070e+02, 2.754542808227922137e+02, 2.785485930322146260e+02, 2.794153203686192342e+02, 2.772101512917587911e+02, 2.768038721080719711e+02, 2.802534358854522338e+02, 2.741995646976909029e+02, 2.793524617925390316e+02, 2.788305224264156550e+02, 2.803994995864401290e+02, 2.790465900607661638e+02, 2.780345333797648664e+02, 2.784912604737060065e+02, 2.789947717800639566e+02, 2.804170257055149591e+02
1.853000000000000000e+03, 2.791993562019050614e+02, 2.753298983357628344e+02, 2.777974938804053409e+02, 2.795175116694128405e+02, 2.769564447164837020e+02, 2.769195521600317420e+02, 2.795862644674725743e+02, 2.742589420678015131e+02, 2.797567163703525921e+02, 2.792067929306093674e+02, 2.809043419318295491e+02, 2.797723788438525503e+02, 2.774679745333687038e+02, 2.796285426101078997e+02, 2.784317256242813414e+02, 2.800329171025694563e+02
1.854000000000000000e+03, 2.784036706745811784e+02, 2.747928178586832360e+02, 2.788365894421630173e+02, 2.790683148533525468e+02, 2.769222081515433160e+02, 2.771876348941597712e+02, 2.795825534767556064e+02, 2.741497230312428428e+02, 2.794730494472575515e+02, 2.791544644392014334e+02, 2.814428854675453522e+02, 2.794308717962666151e+02, 2.772018656252167830e+02, 2.794646814363274530e+02, 2.786498944887038647e+02, 2.797667108399249400e+02
1.855000000000000000e+03, 2.788833403099152974e+02, 2.749290945613460622e+02, 2.783634075508060164e+02, 2.796941480193086704e+02, 2.769810094359402797e+02, 2.765347470398345990e+02, 2.796725152773694845e+02, 2.756703816227218340e+02, 2.793385787812910053e+02, 2.788124618862892135e+02, 2.804706221280046634e+02, 2.793408554992399786e+02, 2.778170181259252445e+02, 2.790993716469595824e+02, 2.786810652151286263e+02, 2.799220551490459457e+02
1.856000000000000000e+03, 2.785418149782574915e+02, 2.752945597843003043e+02, 2.791397554709063797e+02, 2.799615724515363127e+02, 2.768143982194961836e+02, 2.763135465421848380e+02, 2.800428686227042476e+02, 2.748983697698981246e+02, 2.788032072095355147e+02, 2.791588736958947266e+02, 2.803838088054815216e+02, 2.798218971857706379e+02, 2.777748431030535130e+02, 2.791050045667843165e+02, 2.786353769626805956e+02, 2.800757253697317992e+02
1.857000000000000000e+03, 2.787879271483100183e+02, 2.749935897148946538e+02, 2.786010309048950830e+02, 2.800736633173207792e+02, 2.774737474502585997e+02, 2.766758050127207866e+02, 2.804579080721637752e+02, 2.748363137051154013e+02, 2.796822137336275205e+02, 2.790097012748730663e+02, 2.810494917783220785e+02, 2.795598709953239904e+02, 2.774947770712097963e+02, 2.787751035415349747e+02, 2.783862652098897570e+02, 2.797295753624902090e+02
1.858000000000000000e+03, 2.782166974756452760e+02, 2.753685675154063119e+02, 2.783790037885581228e+02, 2.798028388979154784e+02, 2.776601881475455116e+02, 2.768588147595076521e+02, 2.804804914861711609e+02, 2.754517941721973102e+02, 2.794114862422541705e+02, 2.790123711763447432e+02, 2.805390684433426713e+02, 2.795320905467596049e+02, 2.773598837384268450e+02, 2.789869918945059339e+02, 2.786031682948261050e+02, 2.802732251762560054e+02
1.859000000000000000e+03, 2.790557921263745129e+02, 2.757923034234834745e+02, 2.790957910833198525e+02, 2.800356372574601096e+02, 2.776512512294656858e+02, 2.767418311750964222e+02, 2.798185708728710779e+02, 2.743723449027715446e+02, 2.791210691317435248e+02, 2.788342058055097255e+02, 2.805298433446262152e+02, 2.790632574267766017e+02, 2.774609552606733587e+02, 2.790369876903095587e+02, 2.789040551499472258e+02, 2.805793046148005487e+02
