year, GFDL-ESM4, IPSL-CM6A-LR, TaiESM1, CanESM5, MPI-ESM1-2-LR, CNRM-ESM2-1, NorESM2-LM, ACCESS-ESM1-5, NorESM2-MM, MIROC-ES2L, CESM2-WACCM, EC-Earth3-Veg, CMCC-CM2-SR5
1.850000000000000000e+03, 1.202196390768421530e+01, 5.679273900720742674e+00, 1.640138598784897539e+00, 7.138693914167737020e+00, 2.233703921327858666e+01, 1.953003696123861843e+01, 3.485320725762730554e+00, 4.670425567771729014e+00, 3.515550726504812040e+00, 1.755154706284374555e+01, 3.663276086776425799e+00, 3.895413843119006181e+00, 4.586622659440194205e+00
1.851000000000000000e+03, 1.211887426863800954e+01, 5.684887048098906881e+00, 1.729914951212376151e+00, 7.004867336612517370e+00, 2.236852291076770527e+01, 1.955370041267767078e+01, 3.499558724486771411e+00, 4.703313037339587055e+00, 3.433049339397961752e+00, 1.760691548138061790e+01, 3.502158733592734219e+00, 3.908541507201019449e+00, 4.336233898732579917e+00
1.852000000000000000e+03, 1.209928064550888926e+01, 5.696206774310902610e+00, 1.594081067149063946e+00, 7.006328108652866149e+00, 2.245822984382822440e+01, 1.955328539105689245e+01, 3.552730305374288022e+00, 4.715322858370075920e+00, 3.377014698501331402e+00, 1.764424541357481857e+01, 3.512488086927795017e+00, 3.881811670920277901e+00, 4.462926678119839785e+00
1.853000000000000000e+03, 1.210054566428852141e+01, 5.685265122974705321e+00, 1.735542443049978401e+00, 7.183811802106112587e+00, 2.235389583110995204e+01, 1.958606902172644482e+01, 3.452880365187075196e+00, 4.686130783247501874e+00, 3.398730535804548758e+00, 1.758083485534329782e+01, 3.668912809580870071e+00, 3.954626427557404345e+00, 4.664990211555509525e+00
1.854000000000000000e+03, 1.207390661537850818e+01, 5.681682149308774576e+00, 1.619869974319432915e+00, 7.276698655315820830e+00, 2.235004485640710925e+01, 1.954801885993233057e+01, 3.520759390511560838e+00, 4.669687683372631959e+00, 3.374994628116506856e+00, 1.755269846298774894e+01, 3.841271081119128183e+00, 4.019197160706620586e+00, 4.760319294383939415e+00
1.855000000000000000e+03, 1.197428397662033461e+01, 5.646131973055580566e+00, 1.633497988594121209e+00, 7.224306485673645639e+00, 2.235644283746304595e+01, 1.956509629272823858e+01, 3.522165672896077293e+00, 4.669003203790346390e+00, 3.357333052058582901e+00, 1.754894805156846971e+01, 3.874153933648950332e+00, 4.011582169937467413e+00, 4.328703737601795609e+00
1.856000000000000000e+03, 1.197564960509660459e+01, 5.662225411698245559e+00, 1.641547586800321756e+00, 7.092561092751585861e+00, 2.239337922097803357e+01, 1.950734267414375012e+01, 3.460943241338027221e+00, 4.695593001941129607e+00, 3.321591970907346703e+00, 1.750798980864115961e+01, 3.934117928746477588e+00, 3.985938398396818627e+00, 4.558207876201099573e+00
1.857000000000000000e+03, 1.203908836835700313e+01, 5.697769151929481524e+00, 1.697763490817214338e+00, 7.207655645330294902e+00, 2.245301200636772165e+01, 1.945392443549237527e+01, 3.443150814590076880e+00, 4.706936731767310533e+00, 3.364146960009400278e+00, 1.748912774706954210e+01, 3.904362562503854495e+00, 4.030330310590480636e+00, 4.531880499020553899e+00
1.858000000000000000e+03, 1.205593519411298686e+01, 5.670339834437472248e+00, 1.703424108864416420e+00, 7.366742670595630926e+00, 2.245743666315583198e+01, 1.951230006405388551e+01, 3.556581062807289140e+00, 4.704670283580024481e+00, 3.514539250527107139e+00, 1.750445740184208532e+01, 3.747146044301719048e+00, 4.064506441761589706e+00, 4.472786417606577913e+00
1.859000000000000000e+03, 1.199680010895396443e+01, 5.670073553150642098e+00, 1.605223215617984867e+00, 7.140703021383377980e+00, 2.246164474015162682e+01, 1.945483480264624276e+01, 3.520366983912117220e+00, 4.721178997124025223e+00, 3.610723559444937614e+00, 1.751411863766609400e+01, 3.671201779076842531e+00, 4.024048518163197308e+00, 4.435240005637830052e+00
