year, ACCESS-ESM1-5, GFDL-ESM4, IPSL-CM6A-LR, TaiESM1, CESM2-WACCM, INM-CM5-0, UKESM1-0-LL, CanESM5, CMCC-CM2-SR5, INM-CM4-8, EC-Earth3-Veg, NorESM2-MM, NorESM2-LM, CNRM-ESM2-1, MPI-ESM1-2-LR, MIROC-ES2L
1.850000000000000000e+03, 6.594570347778176078e+00, 7.407149556707548044e+00, 4.763880664624522865e+00, 1.121802800139974110e+01, 8.115184657026949466e+00, 8.663060579590633026e+00, 9.782410235189912484e+00, 6.368020986642002335e+00, 8.064910058961425321e+00, 9.180342548448940931e+00, 8.749670492243062370e+00, 7.325922532133362530e+00, 7.979638314220778739e+00, 5.241581212294202707e+00, 9.068820072255206810e+00, 5.864510657704069985e+00
1.851000000000000000e+03, 6.642295739601466131e+00, 7.143052333129410236e+00, 4.714700127639914307e+00, 1.073847528003726381e+01, 8.326217331795151111e+00, 9.213678428778784735e+00, 9.486751217436561134e+00, 6.782904439249954898e+00, 8.335136643310999460e+00, 9.214934072071832460e+00, 8.835279162548289378e+00, 7.539838805802981270e+00, 8.051105650093301591e+00, 5.015439846416650305e+00, 8.944861402620327695e+00, 5.944988307708189978e+00
1.852000000000000000e+03, 6.543668031919438022e+00, 7.291210885819949361e+00, 4.539540494484136879e+00, 1.111519964580400810e+01, 8.671575904561853676e+00, 9.037918701232973362e+00, 1.001184580455542061e+01, 6.527181807523363410e+00, 8.237750127156953539e+00, 8.912744481894334214e+00, 8.633287003434046980e+00, 7.799885796151773576e+00, 7.788813659578192272e+00, 5.092912342838018525e+00, 8.471427917902063953e+00, 5.893388338285211248e+00
1.853000000000000000e+03, 6.462651322660557085e+00, 7.067144094279785627e+00, 4.430919638042382758e+00, 1.069052438508843750e+01, 8.683706841999883963e+00, 9.269249173020046584e+00, 9.357591836050813683e+00, 6.261232602194939822e+00, 8.135119999913708710e+00, 9.461514043914574401e+00, 8.317454933542869355e+00, 7.574085988782693235e+00, 8.176336952305279127e+00, 4.846438708851932731e+00, 8.922004265418387092e+00, 5.876032682154726849e+00
1.854000000000000000e+03, 6.552760332378928965e+00, 6.857915447381146556e+00, 4.580785375405013404e+00, 1.103354819282900401e+01, 8.623749204736069984e+00, 9.113701027862713744e+00, 1.050919294176938834e+01, 6.156993799539931977e+00, 7.834189421135368647e+00, 9.452484697779695466e+00, 8.499561408857152500e+00, 7.444920828185292550e+00, 7.425847759791570191e+00, 5.080681034265870366e+00, 8.726151197096852385e+00, 5.782439989409393633e+00
1.855000000000000000e+03, 6.425687537221349110e+00, 7.154126546323947622e+00, 4.901624034131530472e+00, 1.108614214163097955e+01, 8.468926273389817183e+00, 9.136172005039931321e+00, 1.043892249105562264e+01, 6.452632300310222391e+00, 8.369818616598866612e+00, 9.512301415783921854e+00, 8.674618200918637001e+00, 7.471961815666336548e+00, 7.557759692085628700e+00, 4.713694855975029796e+00, 8.832322406806619952e+00, 5.764801623048117385e+00
1.856000000000000000e+03, 6.525515236330258872e+00, 7.506623659204027632e+00, 4.917965232241142459e+00, 1.095018676443382155e+01, 8.095966221799438145e+00, 9.075570319381283113e+00, 1.020053348543222960e+01, 6.519979555404396443e+00, 7.939895824860366602e+00, 9.330957465965974862e+00, 8.367920878698113185e+00, 7.809676236929760762e+00, 8.013658640781597953e+00, 4.956128743298138239e+00, 8.907015083779331377e+00, 5.881415996625117160e+00
1.857000000000000000e+03, 6.536210367133364230e+00, 7.175254890859866563e+00, 4.588387736778009263e+00, 1.077234986391838234e+01, 7.980854353776924981e+00, 9.045382864656783539e+00, 9.966232839660824183e+00, 6.213287272784800308e+00, 8.331038983228914674e+00, 9.686175674233520994e+00, 8.557975462371176789e+00, 7.897702864242220677e+00, 8.317317058852744083e+00, 5.374237880226704789e+00, 8.961174229508847233e+00, 6.053945050863034361e+00
1.858000000000000000e+03, 6.470835840281334406e+00, 7.061974858709706204e+00, 4.670395238341202848e+00, 1.081041092341592247e+01, 8.201675915304365461e+00, 8.785239591523884783e+00, 9.267275909896428132e+00, 6.516820860946919147e+00, 8.186453960782246853e+00, 9.195687417338691105e+00, 8.529097591439267489e+00, 7.574153558318733381e+00, 7.706799832379883419e+00, 5.026578824465192774e+00, 8.892703993480811420e+00, 5.778326128318987287e+00
1.859000000000000000e+03, 6.502016763121815757e+00, 7.216031453880843216e+00, 4.750793951694302741e+00, 1.132221131980298523e+01, 8.229941709603753708e+00, 9.118499738883542705e+00, 1.003111285370390782e+01, 6.776961068076614580e+00, 8.443349812479556959e+00, 9.178045378734051241e+00, 9.052132639920024815e+00, 7.153092263142675655e+00, 7.688574057039757825e+00, 5.487100647541068632e+00, 8.894399098895322098e+00, 5.550230088206090429e+00
1.860000000000000000e+03, 6.342338958411090744e+00, 7.583476392364637775e+00, 4.801243315738926931e+00, 1.107052488859152817e+01, 8.463879641314488111e+00, 9.186646962136096661e+00, 9.757158627083670766e+00, 6.373915290127488475e+00, 8.207991865771569806e+00, 9.372513412394111398e+00, 8.130567086016775136e+00, 7.168843290601341955e+00, 8.127187440253434758e+00, 5.208475584178541062e+00, 8.548830517206861046e+00, 5.781375804530792806e+00
1.861000000000000000e+03, 6.254636263986151690e+00, 7.004071101172831604e+00, 4.556010803602334569e+00, 1.098093641869796677e+01, 8.772747999199799196e+00, 9.060418430285512414e+00, 9.229444622882324367e+00, 6.539152839768624048e+00, 8.359985703785298483e+00, 9.120423503983637659e+00, 8.752697132375837796e+00, 7.367773733071663500e+00, 8.140054574795179576e+00, 4.797517037809849505e+00, 8.836397236274875056e+00, 5.571605108131143069e+00
1.862000000000000000e+03, 6.225967321178878855e+00, 6.954759126538675673e+00, 4.673471651854720577e+00, 1.094806457873795225e+01, 8.445051876666671120e+00, 8.980477254440646817e+00, 9.865647417781989503e+00, 6.655337988547770145e+00, 8.617786922139222483e+00, 9.503816018371002983e+00, 8.222463886192198146e+00, 7.556356499262959048e+00, 8.251519280578012427e+00, 4.910178461577976883e+00, 8.324612858579957475e+00, 5.915087548326672717e+00
1.863000000000000000e+03, 6.416626385664269350e+00, 7.269771710021217359e+00, 4.683657571722259938e+00, 1.079688434625525595e+01, 8.135278009784853381e+00, 8.730626647082903702e+00, 9.781828344663782815e+00, 6.473283486119279395e+00, 8.357802650860552518e+00, 9.476767232806166064e+00, 8.714218724629317236e+00, 7.688660191040525227e+00, 7.824647372011116708e+00, 5.184124039802848749e+00, 8.583984768736000248e+00, 5.947435647208910936e+00
1.864000000000000000e+03, 6.593775558198889719e+00, 7.297532294635010075e+00, 4.719091148466522334e+00, 1.095546183189712508e+01, 8.240504780415015773e+00, 9.241826500050178694e+00, 1.005103595286718843e+01, 6.666697008962398030e+00, 8.673334281445647775e+00, 9.661264715867382336e+00, 8.877768507410610965e+00, 7.572541287136111521e+00, 7.777003819421011599e+00, 5.236467271427052594e+00, 8.897112402887737304e+00, 5.776881165287563569e+00
1.865000000000000000e+03, 6.569872976220494820e+00, 7.238843902189510793e+00, 4.712835096040377536e+00, 1.104170672628238670e+01, 8.115609333280845661e+00, 9.176011821670591928e+00, 9.648028453390690373e+00, 6.688823783914398469e+00, 8.754723960714926534e+00, 9.218113187184277635e+00, 8.707144386968881378e+00, 7.188446829282022499e+00, 7.764400394368928815e+00, 4.925864175418174895e+00, 9.106788540771942664e+00, 5.956036118726586892e+00
1.866000000000000000e+03, 6.648652265895520053e+00, 7.251451979383810809e+00, 4.846483182440556980e+00, 1.097786259886269278e+01, 8.642273888690414907e+00, 8.972630179101875214e+00, 9.642244853813934924e+00, 6.643610837453088003e+00, 8.765518800913460140e+00, 9.259393361526363719e+00, 8.807643783925660941e+00, 7.657389182550363493e+00, 7.672157516704144697e+00, 5.495571720730754173e+00, 9.092096330952026406e+00, 5.994063375088519052e+00
1.867000000000000000e+03, 6.619383422857958443e+00, 7.415588396309908070e+00, 4.570384166530176984e+00, 1.088091227562049568e+01, 8.482532686235078501e+00, 9.125314143092850827e+00, 9.794892250358572028e+00, 6.382584107658384021e+00, 8.466362941017662180e+00, 9.207339878104118469e+00, 9.228851449570006693e+00, 7.680366530058445385e+00, 7.974474891101289487e+00, 5.421595805873225871e+00, 9.259316702436924729e+00, 5.921276337821497648e+00
