year, NorESM2-LM, INM-CM4-8, CESM2-WACCM, UKESM1-0-LL, NorESM2-MM, CanESM5, INM-CM5-0, IPSL-CM6A-LR, GFDL-ESM4, ACCESS-ESM1-5, MPI-ESM1-2-LR, MIROC-ES2L, TaiESM1, CMCC-ESM2, EC-Earth3-Veg, CNRM-ESM2-1
1.860000000000000000e+03, 1.674455373607690367e+00, 1.075650026165351880e+00, 1.808104690305732731e+00, 2.151525474758426704e+00, 1.442933134602820466e+00, 7.756201349831937097e-01, 1.070874521471198548e+00, 7.434363848079776904e-01, 2.012545389464823309e+00, 1.043326896978597818e+00, 1.198400539525925179e+00, 7.652050667712099186e-01, 2.576838624045037385e+00, 2.063949097121455356e+00, 1.198957237439661094e+00, 9.096858013202476778e-01
1.861000000000000000e+03, 1.718496265028460757e+00, 1.061481762988452537e+00, 1.870275498664670355e+00, 2.104160493337457805e+00, 1.453616888973868315e+00, 8.032534305004779274e-01, 1.060732382781701899e+00, 7.265968110952045755e-01, 1.867136018779822937e+00, 1.006038964751857945e+00, 1.214800170611714858e+00, 7.484663616236968409e-01, 2.515745215298409221e+00, 1.888447728046765084e+00, 1.178636325715433530e+00, 8.618987259270330936e-01
1.862000000000000000e+03, 1.768636279572036063e+00, 1.087434027581508866e+00, 1.832877275468280054e+00, 2.137607543167789892e+00, 1.490207253642821472e+00, 8.077141205090463405e-01, 1.065834396858370114e+00, 7.324846103401243536e-01, 1.865274013010633780e+00, 1.012483249314302558e+00, 1.205066189322699266e+00, 7.693093982584772172e-01, 2.517477070128724126e+00, 1.997267755112326570e+00, 1.178141857968924677e+00, 8.793881357107554697e-01
1.863000000000000000e+03, 1.713846749248910450e+00, 1.081175111839378200e+00, 1.781454827561643972e+00, 2.150296128322957134e+00, 1.567128358385091680e+00, 7.826275105257042286e-01, 1.052904077961430040e+00, 7.296412018911265784e-01, 1.952620524355085596e+00, 1.042562249302083188e+00, 1.204986883034890877e+00, 7.663971094751649282e-01, 2.523668889093433343e+00, 2.122943152765583097e+00, 1.164095790610237380e+00, 9.060862273385626997e-01
1.864000000000000000e+03, 1.685272879350600661e+00, 1.102667882251566311e+00, 1.776401187576018614e+00, 2.141281782039357040e+00, 1.538846832455619262e+00, 8.055971470598667361e-01, 1.073572002750349252e+00, 7.390813789051197125e-01, 1.924484268134097231e+00, 1.071189333109564989e+00, 1.229551245908118817e+00, 7.641994560765781319e-01, 2.472251665037710655e+00, 2.196464514742522578e+00, 1.218467773300624390e+00, 9.099099731515941647e-01
1.865000000000000000e+03, 1.632956100733105487e+00, 1.081156388694291426e+00, 1.775651494580420930e+00, 2.120345282642639440e+00, 1.484244659869558669e+00, 8.060860525779545149e-01, 1.070831421571553532e+00, 7.428401880435566706e-01, 1.962389557860118261e+00, 1.071015733168479311e+00, 1.224312360943847100e+00, 7.859895446970853738e-01, 2.511215320820583852e+00, 2.188940535876520155e+00, 1.204274365887573861e+00, 8.702543749429378916e-01
1.866000000000000000e+03, 1.639126206684001108e+00, 1.077232728602594003e+00, 1.813159032088581313e+00, 2.111007061639306404e+00, 1.494727603990701148e+00, 8.024080774336265209e-01, 1.064766486406980350e+00, 7.553711509970878479e-01, 1.954618694298637882e+00, 1.077452594482531945e+00, 1.238318792988275074e+00, 7.754581371111237686e-01, 2.537226133676477868e+00, 2.137009067872380097e+00, 1.183361525108415080e+00, 9.549383702084288661e-01
1.867000000000000000e+03, 1.674665161089593957e+00, 1.085433974975342331e+00, 1.814426126386337934e+00, 2.134580529314483055e+00, 1.533918892315502269e+00, 7.837298964079800756e-01, 1.066899790668045744e+00, 7.326494848678221095e-01, 1.960295597518399546e+00, 1.080518835643239361e+00, 1.231738524074860175e+00, 7.708327280257434300e-01, 2.503776737789816131e+00, 1.965017468478903906e+00, 1.201742505630177815e+00, 9.458129805978652271e-01
1.868000000000000000e+03, 1.645164910027313798e+00, 1.092438819494303770e+00, 1.742429230418870878e+00, 2.163379818693941914e+00, 1.532149546020165509e+00, 8.021088418908167705e-01, 1.061264834590324391e+00, 7.382626647442966927e-01, 1.913797975566993381e+00, 1.080963556212603205e+00, 1.233041866756193095e+00, 7.825004799267999411e-01, 2.532160242007632345e+00, 1.831714637919021893e+00, 1.235783530963445065e+00, 9.162864116012202631e-01
1.869000000000000000e+03, 1.616243971734961926e+00, 1.101347231387991066e+00, 1.733393015587503472e+00, 2.163835451343917082e+00, 1.477997066852755115e+00, 8.132458238978321763e-01, 1.057373699655343557e+00, 7.557102688512505884e-01, 1.970103234665073977e+00, 1.089676630485439723e+00, 1.222600472395651616e+00, 7.675975223390287816e-01, 2.504363493900050752e+00, 2.135163549417682827e+00, 1.209841588092658959e+00, 8.694659052777103936e-01
