year, UKESM1-0-LL, NorESM2-MM, CESM2-WACCM, NorESM2-LM, GFDL-ESM4, EC-Earth3-Veg, ACCESS-ESM1-5, INM-CM5-0, TaiESM1, CanESM5, INM-CM4-8, CNRM-ESM2-1, MIROC-ES2L, CMCC-CM2-SR5, MPI-ESM1-2-LR, IPSL-CM6A-LR
1.850000000000000000e+03, 5.414860304430038518e+00, 3.273576081625279688e+00, 3.847081462155671705e+00, 3.582571119802840265e+00, 3.449405896764267343e+00, 2.754381265319528538e+00, 3.477363209878288064e+00, 4.712453347830703798e+00, 4.111106602384117181e+00, 3.484690441089949964e+00, 5.002646861273791323e+00, 2.683620786189611973e+00, 3.314909893473871882e+00, 3.514844687063885420e+00, 4.749023253886609730e+00, 2.110057408494534936e+00
1.851000000000000000e+03, 5.259890809233164433e+00, 3.414791204286671267e+00, 3.951646090837446224e+00, 3.547194694886395716e+00, 3.310277195090813862e+00, 2.707512994013194785e+00, 3.530146900196290627e+00, 5.036028998809024770e+00, 4.096888025809843903e+00, 3.814825292015513014e+00, 5.029879049420317827e+00, 2.612453079747125706e+00, 3.365085333073730034e+00, 3.721736214801476539e+00, 4.681758324200459676e+00, 2.071375968618666352e+00
1.852000000000000000e+03, 5.592583546147719353e+00, 3.511419492374997731e+00, 4.038231837854811879e+00, 3.413390533552773665e+00, 3.374224636530612109e+00, 2.649207502079230725e+00, 3.449071094863519260e+00, 4.965696001289453321e+00, 4.248702068544583099e+00, 3.627625491280581205e+00, 4.854942400802308100e+00, 2.693666131772522565e+00, 3.343246515744609404e+00, 3.572049541033960995e+00, 4.403145491641727638e+00, 1.958488514539705738e+00
1.853000000000000000e+03, 5.191531001666060519e+00, 3.323997242942720476e+00, 3.930980413073088542e+00, 3.657009382037665457e+00, 3.255507403405321298e+00, 2.587345331070010968e+00, 3.349471551778181677e+00, 5.065335721279126346e+00, 3.934342489230582718e+00, 3.436086532731367438e+00, 5.190255858726170679e+00, 2.512151673340985880e+00, 3.333331174184489321e+00, 3.538387438092515769e+00, 4.729867612162538038e+00, 1.917790198972555205e+00
1.854000000000000000e+03, 5.825713713982183961e+00, 3.358235626125539497e+00, 3.817661122512049587e+00, 3.339135652230306839e+00, 3.229577172116377071e+00, 2.674784260053655771e+00, 3.422890234564701206e+00, 4.965915416755877665e+00, 4.124325883625216349e+00, 3.353250314748333683e+00, 5.149561083037416331e+00, 2.607807003544066582e+00, 3.278485569180982662e+00, 3.565502621978490883e+00, 4.559916925669623033e+00, 2.032892796230028498e+00
1.855000000000000000e+03, 5.851927091875415599e+00, 3.359432981618312386e+00, 3.865259941546528299e+00, 3.453490549375297647e+00, 3.292755098787031542e+00, 2.803584433325233771e+00, 3.352150807532382704e+00, 5.014575560529932474e+00, 4.142532232508396639e+00, 3.591769957885644349e+00, 5.216245938180948727e+00, 2.473914209520135632e+00, 3.267310297891476978e+00, 3.822275694435326887e+00, 4.683759983600533694e+00, 2.182946537947386911e+00
1.856000000000000000e+03, 5.655650634305263935e+00, 3.523559672747711868e+00, 3.656795015499070267e+00, 3.605484822072277495e+00, 3.505138688163644378e+00, 2.565532348447389310e+00, 3.463556438342637822e+00, 4.975602300074740469e+00, 4.152677102827148303e+00, 3.633203027546325625e+00, 5.083861442229889782e+00, 2.589817446737463058e+00, 3.332293940901648543e+00, 3.500531202589847179e+00, 4.692276929158394339e+00, 2.206870800581088421e+00
1.857000000000000000e+03, 5.514528695940438929e+00, 3.507836982083130550e+00, 3.668496182326349775e+00, 3.732920012923979680e+00, 3.306454939966675166e+00, 2.734304645435093217e+00, 3.397004121091768081e+00, 4.965592638412833715e+00, 4.000737069989159345e+00, 3.398590530504527418e+00, 5.284365641632157384e+00, 2.767529425165585977e+00, 3.439935193230451826e+00, 3.726137577100339549e+00, 4.731003751915372924e+00, 1.995271774345424021e+00
1.858000000000000000e+03, 5.161122380192567860e+00, 3.298710364140937212e+00, 3.804603403022679853e+00, 3.363147117625588489e+00, 3.345924088402476571e+00, 2.626530326102985757e+00, 3.394256018440693357e+00, 4.791250557467831683e+00, 4.019290970516677497e+00, 3.591879388238902848e+00, 4.995675408179219623e+00, 2.610845197152036778e+00, 3.254915886391447799e+00, 3.655945018829079185e+00, 4.686451463853626542e+00, 2.036464178168222006e+00
1.859000000000000000e+03, 5.552836416797147123e+00, 3.154485082478090341e+00, 3.849536289644446274e+00, 3.472940183228499400e+00, 3.341915393130509671e+00, 2.894934272641422890e+00, 3.438601195304171743e+00, 4.994508921789235778e+00, 4.301704869213181404e+00, 3.779241502437781008e+00, 5.010192538238205984e+00, 2.791659070638405016e+00, 3.123412331216355309e+00, 3.681628917502991705e+00, 4.754396210881408180e+00, 2.114284187705663065e+00
1.860000000000000000e+03, 5.464372375226401068e+00, 3.261328181720312358e+00, 3.878807016278448483e+00, 3.745409249943103980e+00, 3.580472324139482243e+00, 2.506292991379255319e+00, 3.308749808618327570e+00, 5.042591730033929132e+00, 4.063990591602583358e+00, 3.468211334986210037e+00, 5.121128213909530658e+00, 2.657111319800856020e+00, 3.273459780397590446e+00, 3.565900736460929199e+00, 4.509541606301247896e+00, 2.142197482574061063e+00
1.861000000000000000e+03, 5.108504389668667933e+00, 3.399775078944511364e+00, 4.039641595095599946e+00, 3.650158689916489063e+00, 3.277250979397039909e+00, 2.705513495579632721e+00, 3.227307522963397179e+00, 4.985507889493669076e+00, 4.163081816315711947e+00, 3.644957033491433851e+00, 4.972864228263888187e+00, 2.506279998423702082e+00, 3.143321296594717928e+00, 3.693368264243515053e+00, 4.674229612913681109e+00, 1.974912766714966406e+00
1.862000000000000000e+03, 5.509233131452460519e+00, 3.403298034701891517e+00, 3.837301904720876067e+00, 3.622367169826150590e+00, 3.258600249999557885e+00, 2.550129116146395702e+00, 3.262120771673806097e+00, 4.930246757444420425e+00, 4.127414638733728047e+00, 3.719712022487931424e+00, 5.208065748921434590e+00, 2.539705895514740686e+00, 3.363477542453000346e+00, 3.854492497511406768e+00, 4.406890875170551780e+00, 2.061245608287340048e+00
1.863000000000000000e+03, 5.447438283603234233e+00, 3.465600266239967642e+00, 3.711080317438237852e+00, 3.412474215383062059e+00, 3.375577512677380376e+00, 2.810973664480904244e+00, 3.379296670750476572e+00, 4.767489847917338430e+00, 3.980432727931745962e+00, 3.549117355968358201e+00, 5.207744026859610464e+00, 2.717851967295514815e+00, 3.390979094243026459e+00, 3.611492625652737765e+00, 4.546281402408351546e+00, 2.097745590841783692e+00
1.864000000000000000e+03, 5.550658427743321077e+00, 3.359329806598963852e+00, 3.694905276319571552e+00, 3.545743723819724025e+00, 3.413290060012968308e+00, 2.742023306989568532e+00, 3.457947370714536284e+00, 5.076968606973299991e+00, 4.166408945671613573e+00, 3.722553635976386666e+00, 5.308270067018463934e+00, 2.715703450492959359e+00, 3.275856610341790098e+00, 3.708309519317909420e+00, 4.659236509710896534e+00, 2.113277793701701768e+00
1.865000000000000000e+03, 5.399646164663941761e+00, 3.186479050542228908e+00, 3.715588220451918833e+00, 3.572961424150971066e+00, 3.316767055463361480e+00, 2.633496579058056675e+00, 3.455481834088181436e+00, 5.024660035074509423e+00, 4.153609822297924303e+00, 3.734827755741693345e+00, 5.053128497858421220e+00, 2.600832025657353164e+00, 3.373296222344079442e+00, 3.772536809229225963e+00, 4.785241635979699204e+00, 2.070624381330322450e+00
1.866000000000000000e+03, 5.351710856663664195e+00, 3.489977087185813343e+00, 3.972317119175282407e+00, 3.454785163168511364e+00, 3.268336906668642960e+00, 2.658506793924097167e+00, 3.481898020046595654e+00, 4.918919467106503518e+00, 4.090265139929773142e+00, 3.674677282186413763e+00, 5.071984854459035574e+00, 2.890354703309553130e+00, 3.409246418699368064e+00, 3.742833942983277318e+00, 4.753149764988438442e+00, 2.134320809867534141e+00
