year, TaiESM1, CMCC-ESM2, NorESM2-LM, NorESM2-MM, UKESM1-0-LL, IPSL-CM6A-LR, CESM2-WACCM, EC-Earth3-Veg, CNRM-ESM2-1, MPI-ESM1-2-LR
1.850000000000000000e+03, 1.522720919210483898e-11, 1.530343144339410007e-11, 1.334949883596312273e-10, 1.372366435074910126e-10, 3.577942914926665936e-14, 5.682608422895032193e-12, 1.567262152476907402e-11, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.680497602408090084e-11
1.851000000000000000e+03, 2.945972542374339623e-11, 3.067608920168650045e-11, 1.689507806974485585e-10, 2.051335959225519856e-10, 6.318526025884407097e-14, 5.694909703704735818e-12, 4.012223518959758074e-11, 7.210632328509181828e-11, 8.111551371587464455e-12, 2.809841360307889274e-11
1.852000000000000000e+03, 4.371624256350699606e-11, 4.509129495797180032e-11, 1.679806182517549842e-10, 2.257358042688536760e-10, 8.136241748915635914e-14, 5.858179544811632117e-12, 5.469087623041320397e-11, 7.084147366295532895e-11, 8.511816733162089283e-12, 3.037191143621884546e-11
1.853000000000000000e+03, 5.417573222273230525e-11, 5.667731269288419301e-11, 2.038057533949973179e-10, 1.990916274475166245e-10, 8.344111167330828623e-14, 6.097709256839883225e-12, 6.621081550031024990e-11, 6.972814499720575466e-11, 9.018267943696341027e-12, 3.144862451208224221e-11
1.854000000000000000e+03, 6.284187217600730438e-11, 6.570789320896419231e-11, 1.979602741647968125e-10, 2.135780725116233832e-10, 8.353581508131532058e-14, 6.312860009424735373e-12, 7.522323649516652889e-11, 6.879128115205709513e-11, 9.372880724472407764e-12, 3.229681458956569558e-11
1.855000000000000000e+03, 6.956083043738961503e-11, 7.256779396191064066e-11, 2.112667459553737675e-10, 2.159613423979413762e-10, 1.089156173878653423e-13, 6.504636815396957168e-12, 8.239267023070791324e-11, 6.833675445320067092e-11, 9.815282732517024531e-12, 3.303352707771060870e-11
1.856000000000000000e+03, 7.493014383508269980e-11, 7.836752578097228338e-11, 2.255383754830345773e-10, 2.297062669223021216e-10, 1.175323041751072989e-13, 6.753501412109873530e-12, 8.819304427400580811e-11, 6.837726591208048410e-11, 1.024960794791140612e-11, 3.354198307122960392e-11
1.857000000000000000e+03, 7.935496915962632427e-11, 8.334254200645054865e-11, 2.434491035760516571e-10, 2.463746272068066951e-10, 1.127993095795622998e-13, 6.775291305665159526e-12, 9.258059060936297707e-11, 6.739133085284542079e-11, 1.071930035499292476e-11, 3.394241344718601247e-11
1.858000000000000000e+03, 8.236772015125814133e-11, 8.694465757612838122e-11, 2.336653978292774942e-10, 2.343247576296623913e-10, 9.559725071562499689e-14, 6.756399853468765423e-12, 9.619264724958404539e-11, 6.728901452055793676e-11, 1.119318827138403660e-11, 3.424972246696961450e-11
1.859000000000000000e+03, 8.507207167056573473e-11, 8.984057840505919935e-11, 2.253332467553660183e-10, 2.139595744026918947e-10, 8.176548079287579815e-14, 6.765725107507978025e-12, 9.895748565450043218e-11, 6.660236555786886428e-11, 1.191915193218407337e-11, 3.436715781331267132e-11
1.860000000000000000e+03, 9.611659483380463449e-11, 9.988674189790369171e-11, 2.382969304443563768e-10, 2.313576543603953479e-10, 1.936737700477996566e-13, 6.844586702666696739e-12, 1.012301586581265149e-10, 6.662878342388597342e-11, 1.256621041263527903e-11, 3.322431296488789344e-11
1.861000000000000000e+03, 9.747160004288289765e-11, 1.015609978500184972e-10, 2.379719091325699008e-10, 2.623499971724245537e-10, 2.495931743834350658e-13, 4.124017930049704636e-12, 1.089067020776918771e-10, 6.099902880386687969e-11, 6.475001310543203414e-12, 3.239945071726404985e-11
1.862000000000000000e+03, 9.909650323307589914e-11, 1.049068747295841130e-10, 2.302233617061725699e-10, 2.747667045725503110e-10, 2.895484960050523765e-13, 3.969329031151542542e-12, 1.105781010228183622e-10, 6.061028178752355640e-11, 6.230525438214477961e-12, 3.196503733750650976e-11
1.863000000000000000e+03, 1.000068206299081938e-10, 1.085149536371223782e-10, 2.265203543346665686e-10, 2.783809662197301135e-10, 3.240820421187103051e-13, 3.838018760053280053e-12, 1.112077904983285755e-10, 5.950544051799847878e-11, 6.060143976004048162e-12, 3.159765595930423594e-11
1.864000000000000000e+03, 9.974087967259897984e-11, 1.083253892305551114e-10, 2.425442908317620088e-10, 2.706676980722538743e-10, 2.835747453852793582e-13, 3.766856904774686216e-12, 1.114905744962716512e-10, 5.922798132225126811e-11, 6.206022050675097941e-12, 3.150210729153646186e-11
1.865000000000000000e+03, 1.012309369749438594e-10, 1.078926363937648920e-10, 2.539620336826019511e-10, 2.581780883846639701e-10, 3.505842594941066287e-13, 3.549203872787433304e-12, 1.109887004540367453e-10, 5.849873149456093804e-11, 5.692477255699678743e-12, 3.155843811272925494e-11
1.866000000000000000e+03, 9.961554732410087571e-11, 1.053453432348411481e-10, 2.281333210906889700e-10, 2.662705388426567892e-10, 3.050458450982361112e-13, 3.507545079548010177e-12, 1.106076358381273315e-10, 3.597059614779761509e-11, 5.580650532979274141e-12, 3.149503708436378772e-11
1.867000000000000000e+03, 1.000557318725567416e-10, 1.039480676080311317e-10, 2.429905904419001981e-10, 2.572670844808764124e-10, 3.083833533540923878e-13, 3.347131330124866202e-12, 1.105256195177712386e-10, 3.530500322845044717e-11, 5.560367758720854912e-12, 3.123972257676952590e-11
1.868000000000000000e+03, 9.956289598536567034e-11, 1.045017295528791049e-10, 2.546948485968511712e-10, 2.408190743292166660e-10, 3.134508624910179771e-13, 3.207176513686271993e-12, 1.101373196703628369e-10, 3.545587469818174023e-11, 5.073751696797984693e-12, 3.112263902134751191e-11
1.869000000000000000e+03, 9.779385710381026474e-11, 1.103956301241138358e-10, 2.349107304891439634e-10, 2.439670905032319717e-10, 3.011154548531696100e-13, 3.108695072046750195e-12, 1.088570102988539887e-10, 3.512253454210234607e-11, 4.927489675274377035e-12, 3.098599260717485600e-11
1.870000000000000000e+03, 9.363684340095192275e-11, 9.887515312618093421e-11, 2.425482566363803731e-10, 2.534407954470749194e-10, 2.510040409106022827e-13, 3.036974997657720755e-12, 1.081889949116997862e-10, 3.452476536760324380e-11, 4.477335361227173139e-12, 3.385890997461900088e-11
1.871000000000000000e+03, 9.340506455707575430e-11, 9.733092638811706572e-11, 2.306131489389425623e-10, 2.405908598813293075e-10, 2.008955613916181369e-13, 8.582311740528482508e-12, 1.052573074561379662e-10, 3.708820129804651946e-11, 1.626324359097372007e-11, 3.578187120233344982e-11
1.872000000000000000e+03, 9.211065129231815808e-11, 9.599249580525401454e-11, 2.250463745702831830e-10, 2.520121744319762230e-10, 1.677572778918762322e-13, 8.880290717180286786e-12, 1.041788888408944272e-10, 3.896040434059145016e-11, 1.694630865370439301e-11, 3.630195649293003736e-11
1.873000000000000000e+03, 9.080711993470081078e-11, 9.532977708859772812e-11, 2.366035205089887413e-10, 2.460155481459275680e-10, 1.508486363100951903e-13, 9.180059085511483496e-12, 1.033865722891505116e-10, 3.990784403524907114e-11, 1.760741462477878476e-11, 3.656946700557821400e-11
1.874000000000000000e+03, 9.055076339462126586e-11, 9.476454217413447187e-11, 2.345980513372764217e-10, 2.474327118003339099e-10, 1.365608797384154594e-13, 9.466258571207632235e-12, 1.026681071043197589e-10, 4.031169370205113607e-11, 1.823743304832945979e-11, 3.675190791298685381e-11
1.875000000000000000e+03, 8.991009250687034373e-11, 9.458615737473109746e-11, 2.302350468082658816e-10, 2.601928873615474378e-10, 1.337425240287108954e-13, 9.761111942092535542e-12, 1.021531135451754432e-10, 4.056678006767634176e-11, 1.895143848098307553e-11, 3.685399680597298805e-11
1.876000000000000000e+03, 8.895318928260647557e-11, 9.339036894083759968e-11, 2.182743750871417827e-10, 2.525277081410883207e-10, 1.432377838394565051e-13, 1.006005389450727109e-11, 1.018007004292689495e-10, 3.630816796275705648e-11, 1.984657879843403456e-11, 3.689647671129652293e-11
1.877000000000000000e+03, 8.868139578664599190e-11, 9.278210264163336431e-11, 2.315874274378689034e-10, 2.548267608519252336e-10, 1.468967318682258398e-13, 1.034871531491135071e-11, 1.011188909731187708e-10, 3.634680597989487802e-11, 2.054361634025928547e-11, 3.699894091072088837e-11
1.878000000000000000e+03, 8.826367633972689350e-11, 9.270282310936614504e-11, 2.426618412814146914e-10, 2.498422911148940407e-10, 1.122867823365064718e-13, 1.059310410048122778e-11, 1.010721110398291635e-10, 3.622731202334992554e-11, 2.124527551494704457e-11, 3.698090621364862634e-11
1.879000000000000000e+03, 8.802021541317490477e-11, 9.267471224782318972e-11, 2.476747101456826110e-10, 2.476379613575301465e-10, 1.086341033300806197e-13, 1.088140962639212959e-11, 1.008460994583166046e-10, 3.678973686115680986e-11, 2.197095723641268395e-11, 3.692624085047393740e-11
1.880000000000000000e+03, 1.009827431911698503e-10, 1.037668364306148496e-10, 2.191254095111526693e-10, 2.616245215060435493e-10, 2.110122306994950477e-13, 1.115831123489491729e-11, 1.005954366602998537e-10, 3.681279987539427590e-11, 2.264007832270023235e-11, 4.673627905028752999e-11
1.881000000000000000e+03, 1.013312137390074079e-10, 1.033880078427043734e-10, 2.398760053004362287e-10, 2.584155313742769545e-10, 3.012637816466447485e-13, 1.688233029530715093e-11, 1.151614598737794981e-10, 4.452530608695569940e-11, 4.038367347983796828e-11, 5.354774709742976268e-11
1.882000000000000000e+03, 1.008536536838546803e-10, 1.028906218350730233e-10, 2.541433861445310362e-10, 2.636414215895434033e-10, 2.949160910011811686e-13, 1.716545644232603848e-11, 1.151215789141371654e-10, 4.699999056877406142e-11, 4.347962198301002326e-11, 5.540260127466766136e-11
