year, NorESM2-MM, IPSL-CM6A-LR, CMCC-CM2-SR5, EC-Earth3-Veg, CNRM-ESM2-1, INM-CM4-8, UKESM1-0-LL, CanESM5, CESM2-WACCM, GFDL-ESM4, NorESM2-LM, INM-CM5-0, MIROC-ES2L, ACCESS-ESM1-5, TaiESM1, MPI-ESM1-2-LR
1.850000000000000000e+03, 2.185447828324003972e+00, 2.088121023669423870e+00, 2.503349865417595410e+00, 2.050065004794240142e+00, 2.215726538452621242e+00, 3.117838617434029125e+00, 2.320840523494626773e+00, 2.373229419823655206e+00, 2.669198410847202663e+00, 2.265401818908653997e+00, 2.249204788920558418e+00, 2.892269386742603920e+00, 2.843330633345781067e+00, 2.941679051089603369e+00, 2.461827776855703309e+00, 2.249261360382230457e+00
1.851000000000000000e+03, 2.239848349711589748e+00, 2.166352877688358269e+00, 2.804703285420629300e+00, 1.811869445623207397e+00, 2.206889457574012781e+00, 3.075751162398653094e+00, 2.431090097208192358e+00, 2.421022025296873270e+00, 2.736832175124833899e+00, 2.181834509276082024e+00, 2.174784526924799177e+00, 3.176362333501623336e+00, 2.988734114892076299e+00, 2.875091325431726297e+00, 2.694712905957959759e+00, 2.205334564586345802e+00
1.852000000000000000e+03, 2.263520778558039126e+00, 2.034342869358395145e+00, 2.650302034537903140e+00, 1.925839160453461707e+00, 2.294978816585686587e+00, 3.059300146272329712e+00, 2.436161233130963222e+00, 2.144256449745667314e+00, 2.576661317463985412e+00, 2.305972285165963420e+00, 2.221674300909943778e+00, 3.206225576199155824e+00, 2.903811716401290433e+00, 2.646166230149006982e+00, 2.647477003222573622e+00, 2.205602459100934443e+00
1.853000000000000000e+03, 2.171944743034305070e+00, 2.101709870744118636e+00, 2.418415463791701470e+00, 1.995366947074898256e+00, 2.041589272475348604e+00, 3.156535278650717036e+00, 2.429817963727247232e+00, 2.099283232423680534e+00, 2.668363932410346973e+00, 2.177681117668574640e+00, 2.269358746266315396e+00, 3.176353593946400711e+00, 2.931181782580625672e+00, 3.017063425084596684e+00, 2.593650356360590159e+00, 2.418135832628300452e+00
1.854000000000000000e+03, 2.191209637010683497e+00, 2.167735193800716331e+00, 2.743241208887991167e+00, 2.063145281381729479e+00, 2.242947352628068103e+00, 3.166590393331566666e+00, 2.701466265097312025e+00, 2.084527689508233639e+00, 2.494307725873078141e+00, 2.198697040514832945e+00, 2.247327656138334184e+00, 3.083627174016141392e+00, 2.944102357311319196e+00, 3.049678923716300893e+00, 2.822251333310912269e+00, 2.272060944667312121e+00
1.855000000000000000e+03, 2.120732910758879264e+00, 2.207244308109094000e+00, 2.548370026232370300e+00, 1.951683956903600414e+00, 2.132963265257706187e+00, 3.121886978143911140e+00, 2.468108427694304829e+00, 2.346571348514352895e+00, 2.583107160224871190e+00, 2.279667722619373116e+00, 2.159117282922088155e+00, 3.155186749857890494e+00, 2.998344085873585918e+00, 2.975404323621125613e+00, 2.837766499854186719e+00, 2.173476140335138140e+00
1.856000000000000000e+03, 2.220361921411897033e+00, 2.096838381148378172e+00, 2.396227970634750015e+00, 1.918732494265459998e+00, 2.184866170146414710e+00, 2.980559709449491557e+00, 2.589187761504991858e+00, 2.176854266398699611e+00, 2.383488209401447566e+00, 2.330428823760295032e+00, 2.257351643467525815e+00, 3.188143255181066227e+00, 2.797436679941138760e+00, 2.858014806185103396e+00, 2.683623044196998375e+00, 2.282570272990347426e+00
1.857000000000000000e+03, 2.075149252377896492e+00, 2.079534325166508602e+00, 2.629932410379606456e+00, 1.896126898699396435e+00, 2.277576776395547675e+00, 3.164453747551851492e+00, 2.588568857155753911e+00, 1.982924120583183125e+00, 2.623736192610088835e+00, 2.132360319728009657e+00, 2.393176168746449672e+00, 3.184951032504958146e+00, 2.789829677810856889e+00, 2.932933090573239365e+00, 2.609215744597575437e+00, 2.349076060111352504e+00
1.858000000000000000e+03, 2.099172360371838408e+00, 2.157781837307176431e+00, 2.634546004259454399e+00, 1.984728551080144454e+00, 2.305167678731342207e+00, 3.087777200055195514e+00, 2.410642785608057448e+00, 2.190155471451117108e+00, 2.710554069907898267e+00, 2.297539299443360328e+00, 2.037652286051671702e+00, 2.910851189822795337e+00, 2.797910638299914599e+00, 2.893546324241107470e+00, 2.723047222015193114e+00, 2.201405191422805885e+00
1.859000000000000000e+03, 2.153591721389330527e+00, 2.199561588946634672e+00, 2.458588521367653268e+00, 1.834879163480614306e+00, 2.315111334297896839e+00, 3.113695386579487856e+00, 2.576380926047526110e+00, 2.204461146250826786e+00, 2.587393766477761758e+00, 2.376143575641867400e+00, 2.313344658138003940e+00, 3.141995949126465071e+00, 2.873064279968750245e+00, 2.690210649743410620e+00, 2.826811603734259215e+00, 2.323853224363562564e+00
