year, EC-Earth3-Veg, MPI-ESM1-2-LR
1.913000000000000000e+03, 1.920834554411322491e-10, 6.053401736667890155e-10
1.914000000000000000e+03, 1.721599267596725925e-10, 6.041424975071155672e-10
1.915000000000000000e+03, 1.917723903682042475e-10, 5.745708109729366626e-10
1.916000000000000000e+03, 1.747678164795839264e-10, 5.948483350450341889e-10
1.917000000000000000e+03, 1.972945022032030428e-10, 5.909744965698065573e-10
1.918000000000000000e+03, 2.074965009234114735e-10, 6.000030320812804616e-10
1.919000000000000000e+03, 2.000320276051470801e-10, 6.032381530315328900e-10
1.920000000000000000e+03, 2.049369159294712162e-10, 5.814374333539080574e-10
1.921000000000000000e+03, 2.131346206073865193e-10, 6.002322520941863897e-10
1.922000000000000000e+03, 2.192488968682441602e-10, 6.189276823602932451e-10
1.923000000000000000e+03, 1.959331761112944505e-10, 6.320528634612521003e-10
1.924000000000000000e+03, 2.101273899081438238e-10, 5.738381116264150448e-10
1.925000000000000000e+03, 1.984232613733148954e-10, 6.256724683367185759e-10
1.926000000000000000e+03, 2.052653513276283437e-10, 5.842558383510609275e-10
1.927000000000000000e+03, 2.143180957270823833e-10, 5.968877649002534585e-10
1.928000000000000000e+03, 2.076566743289545974e-10, 6.495107828717647303e-10
1.929000000000000000e+03, 2.181256158058065846e-10, 6.119158544610182475e-10
1.930000000000000000e+03, 2.179703569541274233e-10, 6.059232178738317919e-10
1.931000000000000000e+03, 2.075568580291785770e-10, 6.316328045841969900e-10
1.932000000000000000e+03, 1.794354036079353236e-10, 6.370650107331613564e-10
1.933000000000000000e+03, 2.039943363916840113e-10, 6.390225023128135390e-10
1.934000000000000000e+03, 1.899691855561646355e-10, 5.868761414265631434e-10
1.935000000000000000e+03, 1.944068370343328361e-10, 6.183186089285405474e-10
1.936000000000000000e+03, 2.081272456644273361e-10, 5.950232754701273654e-10
1.937000000000000000e+03, 2.017865905835634025e-10, 5.846789673584075582e-10
1.938000000000000000e+03, 2.369613434533416417e-10, 5.829673415294962891e-10
1.939000000000000000e+03, 2.136419236217474158e-10, 5.840283069780424746e-10
1.940000000000000000e+03, 1.919836715751429436e-10, 6.097561543382121927e-10
1.941000000000000000e+03, 2.219289398186842959e-10, 6.215597080972416303e-10
1.942000000000000000e+03, 2.210752238692515251e-10, 6.134470460239572180e-10
1.943000000000000000e+03, 2.270757744094312770e-10, 6.075923005710553823e-10
1.944000000000000000e+03, 2.250255209751620829e-10, 6.229597749654397923e-10
1.945000000000000000e+03, 2.301634990797180520e-10, 6.240895075630746836e-10
1.946000000000000000e+03, 2.188107943198699912e-10, 5.969055217724050253e-10
1.947000000000000000e+03, 2.328306444665306368e-10, 5.990794782538488407e-10
1.948000000000000000e+03, 2.166791706545551216e-10, 6.008898743455176818e-10
1.949000000000000000e+03, 1.974494157661501984e-10, 6.590210949915181754e-10
1.950000000000000000e+03, 2.042070416824578192e-10, 6.517085895957378527e-10
1.951000000000000000e+03, 2.175699336074028449e-10, 6.292083288919120017e-10
1.952000000000000000e+03, 2.366230569886636512e-10, 6.110742833223212785e-10
1.953000000000000000e+03, 2.209295757734140538e-10, 6.016174966958182192e-10
1.954000000000000000e+03, 2.300348725168168124e-10, 5.955085225882643369e-10
1.955000000000000000e+03, 2.217601118138895888e-10, 6.096993029077882740e-10
1.956000000000000000e+03, 2.423631415758308243e-10, 6.428175994320707360e-10
1.957000000000000000e+03, 2.326006309812816128e-10, 6.259453304539138874e-10
1.958000000000000000e+03, 2.467877091219854338e-10, 6.342985729233527658e-10
1.959000000000000000e+03, 2.461346531605645700e-10, 5.960011995358832059e-10
1.960000000000000000e+03, 2.698708112470394066e-10, 5.644185914044838445e-10
1.961000000000000000e+03, 2.604876700983490438e-10, 6.070007080818719000e-10
1.962000000000000000e+03, 2.866218900506327401e-10, 5.933448211444540149e-10
1.963000000000000000e+03, 2.513481539306122360e-10, 6.628453776381140120e-10
1.964000000000000000e+03, 2.737043033713524009e-10, 6.323347659516082803e-10
1.965000000000000000e+03, 2.753748126207800896e-10, 5.937438690192394847e-10
1.966000000000000000e+03, 2.845862742358134802e-10, 6.330224394358577186e-10
1.967000000000000000e+03, 2.811594234097709788e-10, 6.159880363752738923e-10
1.968000000000000000e+03, 2.787068551701329187e-10, 6.099488720823249107e-10
1.969000000000000000e+03, 2.676834339667911331e-10, 5.973087669818780713e-10
1.970000000000000000e+03, 2.652053132245066248e-10, 6.039347177191065748e-10
1.971000000000000000e+03, 3.025632124887485114e-10, 6.274736371269666971e-10
1.972000000000000000e+03, 3.120786718819676652e-10, 6.145128937343150765e-10
1.973000000000000000e+03, 3.416333358690109358e-10, 6.027204193252475494e-10
1.974000000000000000e+03, 3.222211708906425198e-10, 6.364098920247608164e-10
1.975000000000000000e+03, 3.200923799404325338e-10, 6.262127630670493739e-10
1.976000000000000000e+03, 3.271087201355749602e-10, 6.331748274154130737e-10
1.977000000000000000e+03, 3.433481657023239573e-10, 6.277584992557835856e-10
1.978000000000000000e+03, 3.306155909188703184e-10, 6.486052591809676081e-10
1.979000000000000000e+03, 4.018568844990511239e-10, 6.883447894208725103e-10
1.980000000000000000e+03, 3.523260077418925417e-10, 6.277900720731614891e-10
