year, CNRM-ESM2-1, CESM2-WACCM, UKESM1-0-LL, IPSL-CM6A-LR
1.850000000000000000e+03, 0.000000000000000000e+00, 1.567262154131210789e-11, 5.937576881970321308e-10, -7.353888513381899715e-10
1.851000000000000000e+03, 8.111551371587464455e-12, 4.024492597147175717e-11, 5.656524578663044681e-10, -6.968254753408831640e-10
1.852000000000000000e+03, 8.511816733162089283e-12, 5.481707799074173350e-11, 5.943115239039892642e-10, -6.656406642548514616e-10
1.853000000000000000e+03, 9.018267943696341027e-12, 6.633831998518586732e-11, 5.298512755949041384e-10, -6.654055221291519154e-10
1.854000000000000000e+03, 9.372880724472407764e-12, 7.534873808301888232e-11, 6.226349383935101287e-10, -6.610766131921144384e-10
1.855000000000000000e+03, 9.815282732517024531e-12, 8.251683357543250069e-11, 6.749478579942476024e-10, -7.125014708517216175e-10
1.856000000000000000e+03, 1.024960794791140612e-11, 8.831854480843384160e-11, 6.516624971852861198e-10, -7.424543974006899893e-10
1.857000000000000000e+03, 1.071930035499292476e-11, 9.270328495042085238e-11, 5.937262877227988558e-10, -7.040860142700492230e-10
1.858000000000000000e+03, 1.119318827138403660e-11, 9.631609956791987486e-11, 5.111817968906360822e-10, -7.053914023179744328e-10
1.859000000000000000e+03, 1.191915193218407337e-11, 9.908049556031302170e-11, 5.725451018576087476e-10, -7.372577780406692061e-10
1.860000000000000000e+03, 1.256621041263527903e-11, 1.013549443758822329e-10, 6.000520943949390301e-10, -7.354475353168599697e-10
1.861000000000000000e+03, 6.475001310543203414e-12, 1.091391578841277151e-10, 5.307804236556563826e-10, -6.741863218823776667e-10
1.862000000000000000e+03, 6.230525438214477961e-12, 1.108166847156736127e-10, 5.796664531917347414e-10, -7.011210444218812537e-10
1.863000000000000000e+03, 6.060143976004048162e-12, 1.114438554103478237e-10, 5.581961864093433582e-10, -6.979828022571772299e-10
1.864000000000000000e+03, 6.206022050675097941e-12, 1.117263580961271010e-10, 5.751538330998948367e-10, -7.182744588746445138e-10
1.865000000000000000e+03, 5.692477255699678743e-12, 1.112159339280822649e-10, 5.649007561530171228e-10, -6.777468123431331365e-10
1.866000000000000000e+03, 5.580650532979274141e-12, 1.108344926487154795e-10, 5.241543611899353748e-10, -7.145140805597533527e-10
1.867000000000000000e+03, 5.560367758720854912e-12, 1.107621270335794557e-10, 5.633383486503335782e-10, -6.601192492895552102e-10
1.868000000000000000e+03, 5.073751696797984693e-12, 1.103807401850575430e-10, 6.315032744354388411e-10, -6.868201447987171132e-10
1.869000000000000000e+03, 4.927489675274377035e-12, 1.090929276738423405e-10, 6.425062627005374645e-10, -7.105930400561791304e-10
1.870000000000000000e+03, 4.477335361227173139e-12, 1.084315827502108776e-10, 6.852418436890051201e-10, -7.028844693481731104e-10
1.871000000000000000e+03, 1.626324359097372007e-11, 1.054719269441046203e-10, 6.469993899716001093e-10, -7.003234888023595739e-10
1.872000000000000000e+03, 1.694630865370439301e-11, 1.043946566633988903e-10, 5.969308281331278050e-10, -6.842858516153953750e-10
1.873000000000000000e+03, 1.760741462477878476e-11, 1.036043233486751920e-10, 6.159868333133289182e-10, -6.888317503136890443e-10
1.874000000000000000e+03, 1.823743304832945979e-11, 1.028857725486330812e-10, 5.804624473955737974e-10, -6.925975642845766334e-10
1.875000000000000000e+03, 1.895143848098307553e-11, 1.023717765307954485e-10, 6.397148454026899582e-10, -7.156825658045335495e-10
1.876000000000000000e+03, 1.984657879843403456e-11, 1.020212499877640710e-10, 6.604383209352296411e-10, -6.823212662544787773e-10
1.877000000000000000e+03, 2.054361634025928547e-11, 1.013333211905265639e-10, 5.867069317244750257e-10, -6.797720734233504914e-10
1.878000000000000000e+03, 2.124527551494704457e-11, 1.012913848049948312e-10, 5.867175389638608655e-10, -6.921670708311892084e-10
1.879000000000000000e+03, 2.197095723641268395e-11, 1.010656505330667901e-10, 5.926687268517215443e-10, -6.868267771206586538e-10
1.880000000000000000e+03, 2.264007832270023235e-11, 1.008138818661973358e-10, 6.580472251074571327e-10, -6.765872355647953291e-10
1.881000000000000000e+03, 4.038367347983796828e-11, 1.156664725600283830e-10, 6.484783254611136955e-10, -6.966100007832565326e-10
1.882000000000000000e+03, 4.347962198301002326e-11, 1.156307410826715843e-10, 6.220481928526090008e-10, -7.299121716667439785e-10
1.883000000000000000e+03, 4.533390878387700379e-11, 1.148038023533540233e-10, 6.654685115735557700e-10, -7.661080338101784320e-10
1.884000000000000000e+03, 4.564925223777580058e-11, 1.144855329301450723e-10, 5.606801481478451229e-10, -7.255709341696075858e-10
1.885000000000000000e+03, 4.735574816877520477e-11, 1.149220558469140589e-10, 6.594175983893802344e-10, -6.571378920693074632e-10
1.886000000000000000e+03, 4.881172663488977921e-11, 1.149106748751112008e-10, 6.616063180955226209e-10, -7.076885339547832136e-10
1.887000000000000000e+03, 5.057607699105967542e-11, 1.151261793583258319e-10, 6.380437179990943813e-10, -7.112207677989091665e-10
1.888000000000000000e+03, 5.116941852770245302e-11, 1.150994729965029984e-10, 6.114420935431204284e-10, -7.546609794339416743e-10
1.889000000000000000e+03, 5.265722625028035166e-11, 1.157141773659889259e-10, 6.578714336041400640e-10, -7.326851345658055761e-10
1.890000000000000000e+03, 5.448627939893439266e-11, 1.157972112284147229e-10, 6.277759630906972572e-10, -7.425397501943085775e-10
1.891000000000000000e+03, 7.567894344181971346e-11, 1.312594572479350432e-10, 5.633677758067672462e-10, -7.191885521120430788e-10
1.892000000000000000e+03, 7.734102563793367446e-11, 1.314506489807789355e-10, 6.229902698029898761e-10, -6.916646417804009669e-10
1.893000000000000000e+03, 8.043297669200548331e-11, 1.316599095808389172e-10, 7.491382262340118325e-10, -7.407106768558153013e-10
1.894000000000000000e+03, 8.195195411058859597e-11, 1.319669480185685052e-10, 7.179979394345813405e-10, -7.095696882392777469e-10
1.895000000000000000e+03, 8.343657133966184313e-11, 1.320934107349143250e-10, 7.089809652860222265e-10, -7.109748158758875103e-10
1.896000000000000000e+03, 8.510579273404698196e-11, 1.325265206615128934e-10, 5.958093636584120986e-10, -7.813908218018806777e-10
1.897000000000000000e+03, 8.892178476919531368e-11, 1.331872858563646149e-10, 6.425969417882846102e-10, -7.778310878449624670e-10
1.898000000000000000e+03, 9.024954535500997067e-11, 1.342965452475471173e-10, 6.538441044871398248e-10, -7.513496407443042958e-10
1.899000000000000000e+03, 9.304490748610550008e-11, 1.348233412074554912e-10, 6.024141913719322366e-10, -7.147969079688768657e-10
1.900000000000000000e+03, 9.801990034719867873e-11, 1.354355225745040640e-10, 6.438778676071940421e-10, -7.049485310511943547e-10
1.901000000000000000e+03, 1.090474306905477756e-10, 1.386638199763782525e-10, 6.049603973548643478e-10, -7.412334379287678228e-10
1.902000000000000000e+03, 1.120940284893904327e-10, 1.389364000494373572e-10, 6.295011776760346539e-10, -7.446440820248282309e-10
