year, UKESM1-0-LL, MPI-ESM1-2-LR, NorESM2-MM, CanESM5, CESM2-WACCM, INM-CM4-8, GFDL-ESM4, INM-CM5-0, CNRM-ESM2-1, CMCC-CM2-SR5, NorESM2-LM, TaiESM1, MIROC-ES2L, EC-Earth3-Veg, IPSL-CM6A-LR, ACCESS-ESM1-5
1.850000000000000000e+03, 2.419829622540824732e-01, 8.941677086096047611e-02, -1.609463961214871452e-01, -1.940702542861367785e-01, -1.283930710669883568e-01, -6.628419579682176543e-02, 6.826177959218847346e-02, -2.200958847164071197e-01, 2.937520944942187753e-02, -1.734009233863453014e-01, 3.952517709210814911e-02, 4.230452869469070176e-02, -2.255314902385626916e-02, 2.271371142188726433e-01, 1.751209385783909778e-02, 1.353971979555249061e-01
1.851000000000000000e+03, -1.152261387442517354e-01, 1.788120556349455659e-01, -1.283575157524841776e-02, 9.141233357756589628e-02, 5.678287143123883496e-02, -5.072079823367536822e-02, -1.024321881511825322e-01, 1.104071224551225888e-01, -3.257997144356428176e-02, 2.511220174441518016e-01, 1.128118024807067826e-01, -1.658320314976791943e-01, 7.328373599558418543e-03, -1.465846065526539010e-01, 1.153977415538916034e-03, 1.735629436028467698e-01
1.852000000000000000e+03, 8.796487516741396950e-02, -2.620593463276730817e-01, 7.999393144313693416e-02, 1.691242763157721485e-01, 2.198529824208847183e-01, -1.215535868331140551e-01, -9.352590422580323026e-02, 2.184834795499778215e-01, -1.562227101131004195e-03, 7.078195068507515952e-02, -1.015523243643991491e-01, 2.507065010791386106e-01, -4.730543915929098786e-02, -3.837857665212200398e-01, -7.971224380851073266e-02, 3.738155258949391047e-02
1.853000000000000000e+03, -1.757612286402860380e-01, 5.806717541539598015e-02, -9.740045818189752014e-02, -8.242362730819204064e-02, 7.985506892037651239e-02, 1.550830348612196874e-01, -4.579669829275163223e-02, 4.054162467142284620e-02, -4.088805404033531155e-02, -8.433425012271258958e-02, 3.515812974326551488e-02, -2.769757219279212479e-01, -3.567514994344471446e-02, 1.400912934534067067e-01, -9.056614841010650341e-02, -8.692013450253742446e-02
1.854000000000000000e+03, -1.568149615341399017e-01, -1.362948586015866603e-01, -5.843212336034104420e-02, -1.105049472544620548e-01, -1.205999753363836031e-02, 7.674826180228543071e-02, -2.492503132843470748e-01, -7.860896415253230268e-03, -2.688760107613196587e-02, -2.150374187394097913e-01, -2.576296973106995680e-01, 4.753249779487964122e-02, -7.905926185507927695e-02, -1.312782143270985712e-02, 1.009456344423237699e-03, 3.005969481448252795e-02
1.855000000000000000e+03, 2.302894516340256714e-01, 2.315445594998912227e-01, -6.167993191954462828e-02, -1.178890310585274936e-01, -8.640395491514614446e-02, 2.411022174872355928e-01, -5.232266858386364072e-02, 1.612059326361720557e-01, -8.775487666267686726e-02, 2.806559953479891290e-01, -1.173035012736412808e-01, 1.074823830447797432e-02, -8.359810117841046107e-02, 1.321513556754485563e-01, 4.694731987691788677e-02, -4.512070924659031257e-02
1.856000000000000000e+03, -8.906302103038801071e-03, 6.286967160331104199e-02, 7.024845704170626370e-02, 7.780915999447934883e-02, -2.591767407966763526e-01, -4.138538338374895035e-04, 1.393749556536177103e-01, 1.060024289296758737e-01, -3.288333350024413154e-02, 2.922615878218643229e-02, 9.508445445626538539e-02, 3.108375128487265993e-02, -1.503321517946095906e-02, -1.469296119987078264e-01, 1.268258004212367562e-01, 1.522953768377390826e-01
1.857000000000000000e+03, -3.056707810222760932e-02, 3.458375872930965350e-02, 1.285228564944762841e-01, 7.551443479336114595e-02, -2.805647613854577171e-01, 2.077854243765207276e-01, -4.117092841347048948e-02, 1.699463178509971195e-01, 6.901316419615696751e-02, 8.762251500156990891e-02, 6.209304019374595890e-02, -7.471003959494529334e-02, 4.596400545982342462e-02, 2.185066976405616035e-01, -7.431065533758474118e-02, -2.396713172995130342e-02
1.858000000000000000e+03, 2.679864069550094100e-03, 3.196184664073811049e-02, -1.022651403314489282e-01, -1.311165099136853973e-01, -1.125019396003384547e-01, -6.984104518677569651e-02, -9.971763628978194682e-02, -1.122451945798310230e-01, -9.996988732244614650e-02, 1.675637955372102916e-01, -1.510786915191755786e-01, -1.301058634288436988e-01, -1.566103072822611353e-01, -6.714345533917044639e-02, -5.295746475793734059e-02, 2.294086297445139047e-02
1.859000000000000000e+03, -1.091338783059440098e-01, 1.199542685369817535e-01, -2.710697307218368213e-01, -8.832611984052487694e-03, -1.188936425605686617e-02, 5.374040976093975158e-02, -9.480471148897488820e-03, 9.614994264143100766e-02, 1.232604535168024679e-01, 1.138094180718468434e-01, -2.160352491296595734e-01, 1.426119009918499492e-01, -2.313670380542793836e-01, 1.020866268164782736e-01, 4.776710716529986717e-02, 9.145818154489453178e-02
