year, UKESM1-0-LL, CESM2-WACCM, EC-Earth3-Veg, IPSL-CM6A-LR, MPI-ESM1-2-LR, NorESM2-LM, TaiESM1, NorESM2-MM
1.850000000000000000e+03, 5.937576881970321308e-10, 1.250615192515378019e-10, 3.478504449636991379e-10, 6.478585684751244011e-10, 3.748060158835892149e-10, 9.374748845908760204e-11, 8.420695215540474561e-11, 9.600523296322141191e-11
1.851000000000000000e+03, 5.656524578663044681e-10, 1.596116556060374018e-10, 3.477304036111717571e-10, 6.097110380977114840e-10, 3.750057512150707484e-10, 1.227805922894889361e-10, 1.112047958695727110e-10, 1.265396020421415173e-10
1.852000000000000000e+03, 5.943115239039892642e-10, 1.632763400228766728e-10, 3.534609442581979809e-10, 5.788658522945424693e-10, 3.713683897273290042e-10, 1.231254400683696798e-10, 1.100445925153598396e-10, 1.257835607612873703e-10
1.853000000000000000e+03, 5.298512755949041384e-10, 1.666845023028125605e-10, 3.493099069901374074e-10, 5.788782412621118561e-10, 3.792633918785126918e-10, 1.223270688957964784e-10, 1.090567471870261557e-10, 1.249135547323080447e-10
1.854000000000000000e+03, 6.226349383935101287e-10, 1.582459704384662216e-10, 3.446980534263548824e-10, 5.747897981238181710e-10, 3.772783683828426100e-10, 1.215053430872321238e-10, 1.082380162649596611e-10, 1.240452883919550820e-10
1.855000000000000000e+03, 6.749478579942476024e-10, 1.658218448712380425e-10, 3.424085828576404325e-10, 6.264573197610195383e-10, 3.744742223771486783e-10, 1.206379582993564378e-10, 1.073416790205174211e-10, 1.231182226065534276e-10
1.856000000000000000e+03, 6.516624971852861198e-10, 1.590592902839054291e-10, 3.297122070053545782e-10, 6.566683571990636711e-10, 3.804771196419626322e-10, 1.197576847078226016e-10, 1.063309488893935004e-10, 1.222508617375913079e-10
1.857000000000000000e+03, 5.937262877227988558e-10, 1.639975328835460430e-10, 3.390158808045478483e-10, 6.188247316458560688e-10, 3.820034434499190734e-10, 1.188791365332572326e-10, 1.054330380647825889e-10, 1.213713313203237173e-10
1.858000000000000000e+03, 5.111817968906360822e-10, 1.645280707712199411e-10, 3.536201763868514482e-10, 6.206291984212443336e-10, 3.856950788059107347e-10, 1.180312145275902653e-10, 1.044680320695862106e-10, 1.205021154291805253e-10
1.859000000000000000e+03, 5.725451018576087476e-10, 1.620014541289767496e-10, 3.520692140649134420e-10, 6.529862135433006436e-10, 3.788140302265451969e-10, 1.171834513906958449e-10, 1.035960003831288770e-10, 1.196269262676980067e-10
1.860000000000000000e+03, 6.000520943949390301e-10, 1.672182437065136946e-10, 3.527374675237984548e-10, 6.497211776642193699e-10, 3.823192586294199802e-10, 1.163033988649197961e-10, 1.027199565902321498e-10, 1.187048645603253270e-10
1.861000000000000000e+03, 5.307804236556563826e-10, 1.655603501254996388e-10, 3.373170750111105118e-10, 5.924922219444853668e-10, 3.819306249282863217e-10, 1.196101941134996329e-10, 1.052750565196136381e-10, 1.218624587593381960e-10
1.862000000000000000e+03, 5.796664531917347414e-10, 1.497275545831817508e-10, 3.435776995363317218e-10, 6.209487514047519539e-10, 3.803672628052334787e-10, 1.174451321860597514e-10, 1.031751883366554787e-10, 1.194327392261247413e-10
1.863000000000000000e+03, 5.581961864093433582e-10, 1.455423248560749551e-10, 3.370276156197553009e-10, 6.193591918618755392e-10, 3.672232455476715583e-10, 1.151723673862507376e-10, 1.009566653875599795e-10, 1.170530494696222234e-10
1.864000000000000000e+03, 5.751538330998948367e-10, 1.467974480989011003e-10, 3.613392993915847740e-10, 6.410263739156201807e-10, 3.739855434280269715e-10, 1.129974996101361566e-10, 9.858990742988006151e-11, 1.147198858454948798e-10
1.865000000000000000e+03, 5.649007561530171228e-10, 1.473735585585482831e-10, 3.529594596771743743e-10, 6.020471445647019972e-10, 3.762499524482801328e-10, 1.107113341480862087e-10, 9.638724071868992901e-11, 1.123508391177455071e-10
1.866000000000000000e+03, 5.241543611899353748e-10, 1.648057278085451052e-10, 3.483470388156795454e-10, 6.401742167629669712e-10, 3.830537400885543879e-10, 1.084575479000536270e-10, 9.406400350372218054e-11, 1.100446504135806108e-10
1.867000000000000000e+03, 5.633383486503335782e-10, 1.759095941311858834e-10, 3.497788190192358553e-10, 5.872436651096121025e-10, 3.891957969326552273e-10, 1.063165148710024620e-10, 9.200634444633224447e-11, 1.077417996040726102e-10
1.868000000000000000e+03, 6.315032744354388411e-10, 1.525487308410168202e-10, 3.598356674073956358e-10, 6.153831480797400883e-10, 3.887821040611516535e-10, 1.042315906683085416e-10, 9.008759501259311104e-11, 1.055030287247836150e-10
1.869000000000000000e+03, 6.425062627005374645e-10, 1.666390872237633954e-10, 3.452808736244701827e-10, 6.405528930031257187e-10, 3.898029853961943345e-10, 1.021445886522888539e-10, 8.818557963475720090e-11, 1.032108251410990370e-10
1.870000000000000000e+03, 6.852418436890051201e-10, 1.575374195095890843e-10, 3.256137326601754671e-10, 6.375402907672857074e-10, 3.801048194504455269e-10, 1.000964989711936134e-10, 8.599805128717728830e-11, 1.010242644271522004e-10
1.871000000000000000e+03, 6.469993899716001093e-10, 1.607222133547079388e-10, 3.354916954630314076e-10, 6.298301091163958050e-10, 3.698778816876457168e-10, 9.100804872342680730e-11, 7.831908485512687908e-11, 9.183302516088616634e-11
1.872000000000000000e+03, 5.969308281331278050e-10, 1.665279475664172007e-10, 3.459279877246698471e-10, 6.137273267927687916e-10, 3.650664331322434470e-10, 9.149727929111497886e-11, 7.787500486769889644e-11, 9.168411461868554860e-11
1.873000000000000000e+03, 6.159868333133289182e-10, 1.628169373999874461e-10, 3.549219543144432790e-10, 6.182164264553468007e-10, 3.703266549586599852e-10, 9.130721406230151196e-11, 7.726663480199776180e-11, 9.137788953655940420e-11
1.874000000000000000e+03, 5.804624473955737974e-10, 1.600744078914468469e-10, 3.507217793006463201e-10, 6.219347642739695876e-10, 3.703109575413343821e-10, 9.106329451657950937e-11, 7.686473522699811532e-11, 9.117297606585862680e-11
1.875000000000000000e+03, 6.397148454026899582e-10, 1.638182905280840627e-10, 3.355990368180817251e-10, 6.449493424932727968e-10, 3.612022973077131833e-10, 9.076738625995431945e-11, 7.658155572572764211e-11, 9.091634180448932501e-11
1.876000000000000000e+03, 6.604383209352296411e-10, 1.503676116585977050e-10, 3.537990607086852926e-10, 6.115421635136285767e-10, 3.597923302511953068e-10, 9.049299082551850591e-11, 7.593980454646110505e-11, 9.057965433279187874e-11
1.877000000000000000e+03, 5.867069317244750257e-10, 1.595609343272740601e-10, 3.353844350434310056e-10, 6.089345515558873254e-10, 3.646959322173001875e-10, 9.024205086716234623e-11, 7.553475421997436426e-11, 9.032786796313131626e-11
