year, MIROC-ES2L, CMCC-ESM2, CESM2-WACCM, UKESM1-0-LL, CanESM5, CNRM-ESM2-1, GFDL-ESM4, MPI-ESM1-2-LR
1.850000000000000000e+03, -6.128492781665004895e-11, 3.384960551730735569e-10, -3.495781173119025265e-10, 6.588467832932052470e-10, -5.273579096517307223e-10, 7.891984061416729263e-11, 1.854915351518410842e-10, 2.428630502724317457e-10
1.851000000000000000e+03, 1.991379769571480428e-11, -3.056085431736288658e-10, 1.546037424413630404e-10, -3.137260993740316493e-10, 2.483998247396303091e-10, -8.977768587051475708e-11, -2.783446892629704403e-10, 4.836500577734159462e-10
1.852000000000000000e+03, -1.285457042449130960e-10, -4.489815611316709716e-10, 5.985976582801777686e-10, 2.395018827234035031e-10, 4.595708144832293631e-10, -4.156115659024464731e-12, -2.541431479658281305e-10, -7.123228002772665368e-10
1.853000000000000000e+03, -9.694207167342796717e-11, -4.911392643605168584e-10, 2.174228283427587929e-10, -4.785449315878865340e-10, -2.239743126170905513e-10, -1.126062296898059335e-10, -1.244459186672055911e-10, 1.630647184164475173e-10
1.854000000000000000e+03, -2.148321350114378603e-10, -2.284265050311265465e-10, -3.283597157977363183e-11, -4.269599479922588179e-10, -3.002812471424207252e-10, -7.246684043667010043e-11, -6.773017569187668082e-10, -3.755404523169010664e-10
1.855000000000000000e+03, -2.271657758705254451e-10, 2.873009681255610238e-10, -2.352535976943806077e-10, 6.270088729475177202e-10, -3.203464292793171899e-10, -2.367581908803459603e-10, -1.421793011674209658e-10, 6.326004367829238500e-10
1.856000000000000000e+03, -4.085059279974118245e-11, -3.954411066494721141e-10, -7.056651604779025154e-10, -2.424918034296700395e-11, 2.114351636080525859e-10, -8.884667961431368014e-11, 3.787313287224611864e-10, 1.714099997332048674e-10
1.857000000000000000e+03, 1.249005517495462139e-10, -6.955720981724415842e-10, -7.638987077271417285e-10, -8.322495474362707444e-11, 2.051995790269007881e-10, 1.881249301550246407e-10, -1.118760565673139684e-10, 9.439984082815428468e-11
1.858000000000000000e+03, -4.255659095314956945e-10, -2.421527723819902066e-10, -3.063110486616868305e-10, 7.296463376757138134e-12, -3.562901942044339794e-10, -2.717314882507559069e-10, -2.709682863178865967e-10, 8.564345707266386161e-11
1.859000000000000000e+03, -6.287065372250254421e-10, -4.472248172929435484e-10, -3.237138529461050025e-11, -2.971387076197768913e-10, -2.400134842821959375e-11, 3.357896627450220969e-10, -2.576181221582117916e-11, 3.263274767353035061e-10
1.860000000000000000e+03, -2.055547956312431994e-10, 1.402437013862195912e-09, -2.966253711646409799e-11, 8.847897064745749987e-10, -1.151871137419719614e-10, -4.873155289179012655e-11, 6.940177136272677211e-10, -3.814652949528917606e-10
1.861000000000000000e+03, -3.682957926922467344e-10, -2.472041355349228121e-10, 1.786859193004409249e-10, -4.337284988644582403e-10, 6.586789733211182238e-11, -3.877083471439774615e-10, -5.733367014455041069e-10, 7.868568623856477529e-11
1.862000000000000000e+03, -1.836434392126182008e-11, -3.054090777617016016e-10, -1.054376495441140785e-11, 1.940257640102462977e-10, 1.569954871396210691e-10, -2.606963516335438436e-10, -4.766177222412377337e-10, -2.642860483199455179e-10
1.863000000000000000e+03, 1.501842182023185135e-10, -7.619199701075658039e-10, -2.115840379894904628e-10, 2.622391874629300722e-10, -3.374208639311376543e-12, 4.707665252317288040e-11, 9.865878620984700574e-11, 2.153494232333962682e-10
1.864000000000000000e+03, -1.067078869841033665e-11, -1.263952207687636745e-10, -2.275767688104682033e-10, -1.968777994152094336e-10, 2.615805267981487925e-10, 1.939932042635600948e-10, 2.002529982093631276e-10, -1.706515346103591195e-10
1.865000000000000000e+03, -9.490822936970915391e-11, 2.440131284949262153e-10, -4.762937549810201278e-10, 2.890723297993833214e-10, 2.413643007013659839e-10, -1.778686883772809491e-10, -1.717622778979229073e-10, 1.800181915877825606e-10
1.866000000000000000e+03, 8.869845953919947591e-11, 3.298221285972082128e-10, 8.458150884858745065e-11, -2.384521122332792717e-10, 1.237849434604825564e-10, 3.396716159943217968e-10, -3.875032362314009717e-10, 1.020136099626347217e-10
1.867000000000000000e+03, -3.452427325529463177e-12, 2.153309410285149774e-09, 2.492094508000885772e-10, 2.368956826721432935e-10, -2.850113139639943812e-10, 1.404919228431605874e-10, 1.565962534647265692e-10, 6.440058769891069092e-10
1.868000000000000000e+03, 2.071392530597058288e-11, -4.842809327896435720e-10, -4.280158986514607572e-10, 1.758676700728367959e-11, -5.502535466202253529e-11, 6.238558474113640707e-11, -2.146286019322600023e-10, 5.044614946210018432e-10
1.869000000000000000e+03, -3.092676212692256779e-10, -1.815431461912944601e-09, -2.656986587295940944e-10, -2.038266668003119348e-10, 8.158851068182616589e-11, -2.631616329314585267e-10, -1.428635858946785052e-10, 1.947602110805212832e-10
1.870000000000000000e+03, -1.090252234531184105e-10, 6.182467873577843053e-10, -3.190883714414563700e-10, -2.331836478354124117e-10, -1.076496137795731249e-10, -5.400313949153485390e-11, 1.532516058682618945e-10, -5.129230364270363783e-10
1.871000000000000000e+03, -2.350526997367209866e-10, 3.794876201904663968e-10, -2.872836285269798783e-10, 8.703519011596437161e-10, 2.877579284671421758e-10, 2.821990866686842973e-10, 2.207242585662552808e-10, 3.892441045142601858e-10
1.872000000000000000e+03, 6.610300614725338723e-11, 3.529215266464895443e-10, 1.630638513607738519e-10, -3.819114412274798133e-11, 3.140612696432568755e-10, -1.583586478738619791e-11, 6.656089424836799685e-11, 3.845485948396094492e-10
1.873000000000000000e+03, 1.230309910522947436e-10, -3.401514272629822357e-11, -3.779778821476180464e-11, 3.843902080816599622e-10, -9.461114437863257900e-11, -1.534588141337204987e-10, 2.030053705003955523e-10, -5.125939502398617528e-11
1.874000000000000000e+03, -1.536540924540352417e-10, -7.510761068265888879e-10, 1.551333035490421254e-10, 4.946625586801199626e-10, 1.414396699778994999e-10, 4.183178856997548835e-10, -3.248270099509123855e-10, -1.116013661585600233e-10
1.875000000000000000e+03, -1.132140770980928775e-10, -5.359002815881070427e-10, 2.209091886720237724e-10, -4.913029983073932511e-11, 7.978370585712165538e-10, 9.086092076563833109e-12, 4.304312352863640884e-11, 1.506000694304740545e-10
1.876000000000000000e+03, -2.953610472905061334e-10, 8.442380580822546599e-10, -3.637720578703119482e-10, 7.225835308414533132e-10, -1.574215202292048357e-11, -2.264040961150165439e-10, -1.873012722371124079e-10, -3.688970977246773847e-10
1.877000000000000000e+03, 9.433177734860018325e-11, 2.853272560987357460e-10, -3.256227525924413285e-11, -2.171046484461908124e-10, 6.299994607106484103e-10, 3.682331531241536405e-10, -2.158966831100137324e-10, -1.910955756777559822e-11
1.878000000000000000e+03, 2.454238431805482399e-10, -5.373616353860912425e-10, 1.152625451271686925e-10, -2.416403177373264649e-10, -4.878669108965705623e-11, 2.501908077338502358e-10, 2.741679017339714632e-10, 1.371552193515534736e-10
