year, NorESM2-MM, TaiESM1, CNRM-ESM2-1, NorESM2-LM, GFDL-ESM4
1.850000000000000000e+03, 2.714516510676447950e-10, 2.478229869723831558e-10, 2.663220952303718607e-10, 2.376118574246993935e-10, 3.602014794318553217e-10
1.851000000000000000e+03, 2.054723646216295490e-10, 1.693832566750506530e-10, 2.397294221238726213e-10, 1.873431540129070881e-10, 3.535634888199867929e-10
1.852000000000000000e+03, 1.675392267595037221e-10, 1.758396883488161040e-10, 1.970385118871724023e-10, 1.885038068776964631e-10, 5.149771964624288835e-10
1.853000000000000000e+03, 2.405520532259462729e-10, 1.347439361529222390e-10, 3.406494243027649949e-10, 1.710690016523892021e-10, 3.812561827434150466e-10
1.854000000000000000e+03, 2.145245999642140912e-10, 1.473356905820163880e-10, 3.802096290864508532e-10, 3.561705869896464185e-10, 6.989542143940452338e-10
1.855000000000000000e+03, 2.834750271521802865e-10, 1.699240538152843337e-10, 3.298861781823917110e-10, 2.157298740696784178e-10, 3.437199416479010681e-10
1.856000000000000000e+03, 1.505195858929448062e-10, 1.271072933745760183e-10, 2.284977801219286685e-10, 1.257360957903268451e-10, 1.985564968032409754e-10
1.857000000000000000e+03, 2.494076513751464047e-10, 2.030720952596970019e-10, 1.547036079411654944e-10, 1.106458815696089978e-10, 3.397368088025440981e-10
1.858000000000000000e+03, 3.140028683337778488e-10, 1.698475706801044550e-10, 2.906413783997168828e-10, 3.397368195450936320e-10, 5.037155403020775489e-10
1.859000000000000000e+03, 4.564259714535401587e-10, 9.672783852418861044e-11, 1.466483953284891278e-10, 2.185074601748565311e-10, 3.311136282227432550e-10
1.860000000000000000e+03, 3.422788018954572948e-10, 1.814526289353794258e-10, 2.625714922070583641e-10, 9.726331580093510506e-11, 1.932923176304413119e-10
1.861000000000000000e+03, 3.505858924508171640e-10, 1.410411495897825128e-10, 3.415234818678675719e-10, 1.043356514598526974e-10, 5.182544823809595138e-10
1.862000000000000000e+03, 1.684662802005094712e-10, 1.496914477960689447e-10, 3.359878858477871114e-10, 2.359024853430385087e-10, 5.556244524294459637e-10
1.863000000000000000e+03, 1.918648973381943961e-10, 2.594557383659159166e-10, 2.155150339040780281e-10, 2.820069563501300092e-10, 3.633179965668307868e-10
1.864000000000000000e+03, 3.397129110328343036e-10, 1.704617917632920564e-10, 2.489719801800104761e-10, 2.967535731644274765e-10, 2.194146735133774699e-10
1.865000000000000000e+03, 4.452486782825791789e-10, 2.373768676705085651e-10, 2.894981977824455428e-10, 2.177835725436377458e-10, 3.866069140188304941e-10
1.866000000000000000e+03, 2.346258050298353936e-10, 1.733570612177498285e-10, 1.935265715317109424e-10, 1.786949055424497040e-10, 3.642230058370209661e-10
1.867000000000000000e+03, 3.271894392858759744e-10, 1.667726669869871867e-10, 1.857381715250489459e-10, 2.862882818429687865e-10, 2.864265657208287226e-10
1.868000000000000000e+03, 4.679001037344527054e-10, 1.225484990147118197e-10, 2.686333582821507580e-10, 3.536817689492761931e-10, 3.440262399611667145e-10
1.869000000000000000e+03, 2.043398036240712582e-10, 2.874037080718959077e-10, 3.597099424885105584e-10, 5.203726440707091402e-10, 3.313097977094368517e-10
1.870000000000000000e+03, 1.575274568685517434e-10, 1.813399276901917295e-10, 3.470369675288835010e-10, 4.797574013851106313e-10, 2.486671873812486210e-10
1.871000000000000000e+03, 1.729833865629245146e-10, 1.449863182323618734e-10, 2.018234804554443785e-10, 3.299517038518820248e-10, 2.546460863645793606e-10
1.872000000000000000e+03, 3.096244921019997911e-10, 3.090410445400610601e-10, 2.466521372733079791e-10, 1.704264946676619126e-10, 4.036491869316648252e-10
1.873000000000000000e+03, 3.516840631337715908e-10, 2.561153811918284890e-10, 2.634735060351046311e-10, 1.762481352413504179e-10, 3.455362761014046647e-10
1.874000000000000000e+03, 2.646513632585487973e-10, 1.053999668239034641e-10, 1.826245432058436924e-10, 2.782337189885660502e-10, 4.630614982826169324e-10
1.875000000000000000e+03, 3.530490089353008032e-10, 3.265003641329236725e-10, 2.518986934710345027e-10, 1.821021273742063664e-10, 4.360654669138405832e-10
1.876000000000000000e+03, 3.515103509318748639e-10, 2.753956215888490168e-10, 2.894089348932651613e-10, 2.883456529558627632e-10, 5.280356943462338957e-10
1.877000000000000000e+03, 1.671820609065892128e-10, 1.761052852632864307e-10, 2.422433553480251661e-10, 2.472304313740280465e-10, 3.955496140750145189e-10
1.878000000000000000e+03, 2.122055209712098520e-10, 1.351186663771762001e-10, 1.922630018536226145e-10, 2.675591735244849945e-10, 2.726969013038657160e-10
1.879000000000000000e+03, 5.905381977234797935e-10, 2.184653884513531656e-10, 1.870407481613502121e-10, 3.920722112749270085e-10, 3.342682704021466464e-10
1.880000000000000000e+03, 1.929854644124630814e-10, 1.401952591446113348e-10, 3.190729972756410929e-10, 1.779380467203472941e-10, 4.212317563254711253e-10
1.881000000000000000e+03, 4.152636056187351333e-10, 1.616070107053253448e-10, 2.751925436621525320e-10, 2.798260549900709977e-10, 3.592169989967889439e-10
1.882000000000000000e+03, 3.040772109888964678e-10, 1.219801445872660080e-10, 3.318171007203635786e-10, 1.894523840581054399e-10, 3.542905995317316684e-10
1.883000000000000000e+03, 2.490320328477376036e-10, 1.661512363968534493e-10, 2.254507516260727993e-10, 1.534667576812656388e-10, 4.362183585517972094e-10
1.884000000000000000e+03, 1.901508866544757356e-10, 2.519543517043947278e-10, 2.717386442379662679e-10, 1.383772218145003309e-10, 5.076367429851055837e-10
1.885000000000000000e+03, 1.547194028869884208e-10, 1.263772108022190797e-10, 2.275710999671007110e-10, 3.734021384752804583e-10, 6.445776657628197585e-10
1.886000000000000000e+03, 2.316078051445540852e-10, 1.182238123706089515e-10, 2.352734576645233816e-10, 1.522008137099330592e-10, 4.474135899615405223e-10
1.887000000000000000e+03, 2.773615330478751317e-10, 1.529043510230885183e-10, 2.463288298881361012e-10, 2.199765775053936613e-10, 2.532030061435199775e-10
1.888000000000000000e+03, 3.814639092766768138e-10, 1.767345252106715943e-10, 3.546267424369610415e-10, 2.766100684919533672e-10, 4.733771988594120372e-10
1.889000000000000000e+03, 1.420511241794125468e-10, 1.441663231921314721e-10, 2.686576271556692775e-10, 2.124636787678932428e-10, 2.826986031846692786e-10
1.890000000000000000e+03, 4.252490058715238193e-10, 1.743114700631533259e-10, 2.204353127257720161e-10, 4.049445579448947339e-10, 5.452251843437472071e-10
1.891000000000000000e+03, 3.593159082866298142e-10, 2.132306281906853687e-10, 1.887699858198983687e-10, 3.820520209554672698e-10, 4.502776042590169341e-10
1.892000000000000000e+03, 3.445060637849654403e-10, 1.989494025912857616e-10, 2.784246115216921228e-10, 1.002269144403161255e-10, 2.402130940782959337e-10
1.893000000000000000e+03, 3.074192542533622735e-10, 2.459945913405114994e-10, 2.326005860076537139e-10, 2.214740077940522924e-10, 5.057585392575973650e-10
1.894000000000000000e+03, 3.408485892709358211e-10, 2.079933317051696506e-10, 1.816066313126540644e-10, 3.195593702387050582e-10, 1.628372019346615758e-10
1.895000000000000000e+03, 5.187910659848683406e-10, 1.660174930487197807e-10, 2.141769789025237424e-10, 2.936899441640593992e-10, 2.469389247251674277e-10
1.896000000000000000e+03, 3.371173934524201374e-10, 1.013215519209184409e-10, 2.583563496102940685e-10, 1.960615347032597153e-10, 4.363916904184340284e-10
1.897000000000000000e+03, 2.960760250870492303e-10, 1.334887218099369738e-10, 2.688500455258512792e-10, 3.898243114761006214e-10, 2.629246205946556572e-10
1.898000000000000000e+03, 1.637232513970094972e-10, 2.278291485946979108e-10, 2.080125097289832442e-10, 1.099502744019981669e-10, 3.732693394863138095e-10
1.899000000000000000e+03, 2.703680086363998373e-10, 2.082609791548683373e-10, 3.455663865895479043e-10, 4.986264133403194022e-10, 9.388516108195625436e-10
1.900000000000000000e+03, 3.811145618109677488e-10, 2.082376715302476941e-10, 3.176900857705134489e-10, 2.793955434153244437e-10, 4.554800064159898835e-10
1.901000000000000000e+03, 3.617129325100756999e-10, 2.468239652166607958e-10, 2.562265070973406855e-10, 1.700893319252555008e-10, 6.889214833827123203e-10
