year, MPI-ESM1-2-LR, GFDL-ESM4, NorESM2-LM, INM-CM4-8, CESM2-WACCM, CMCC-CM2-SR5, ACCESS-ESM1-5, MIROC-ES2L, INM-CM5-0, TaiESM1, CNRM-ESM2-1, IPSL-CM6A-LR, NorESM2-MM, UKESM1-0-LL, EC-Earth3-Veg, CanESM5
2.034000000000000000e+03, 2.463424485689207799e+01, 3.004141853055261180e+01, 5.210704906358807165e+01, 6.201930172570690303e+01, 5.928635643404476951e+01, 5.328919693899001686e+01, 4.522778676123957098e+01, 2.799585182355295032e+01, 6.042934617536998587e+01, 5.725093442075771577e+01, 4.658278819048624797e+01, 3.051838385040711543e+01, 6.132233010158604003e+01, 4.827077817250263791e+01, 3.536901616334840526e+01, 4.276105092499581417e+01
2.035000000000000000e+03, 2.498128037351180808e+01, 3.013913235124998025e+01, 5.223335581086308821e+01, 6.209580324655627948e+01, 5.976064842686730572e+01, 5.501157228843561597e+01, 4.522833669109936494e+01, 2.811043958765874606e+01, 6.066458935242444994e+01, 5.760297848394300502e+01, 4.671351967562740271e+01, 3.044999118826453355e+01, 6.154954540988897094e+01, 4.819624189710877005e+01, 3.554573579122062910e+01, 4.290272961621979420e+01
2.036000000000000000e+03, 2.521259659321927771e+01, 3.017484778885026486e+01, 5.255833877153617806e+01, 6.234998803628030117e+01, 6.000671243420502066e+01, 5.514190080427734131e+01, 4.533975542244868961e+01, 2.828474104640184095e+01, 6.072391822232714276e+01, 5.742210666683904918e+01, 4.683870251102894144e+01, 3.042864244077981439e+01, 6.178140613787030588e+01, 4.820684183812947055e+01, 3.575482675440301250e+01, 4.312472049468302515e+01
2.037000000000000000e+03, 2.528815216139862443e+01, 3.003728762670506924e+01, 5.283928074025286747e+01, 6.260870806211811868e+01, 6.020242039848159266e+01, 5.434268278282556963e+01, 4.525254428347444247e+01, 2.844795283757390081e+01, 6.100522766716750311e+01, 5.771233996707119474e+01, 4.712032160772190537e+01, 3.070227830177607586e+01, 6.187779125935897184e+01, 4.821663285693152545e+01, 3.556225034530305606e+01, 4.326870087253932695e+01
2.038000000000000000e+03, 2.504512164778599725e+01, 3.017919513279710841e+01, 5.326712676566775428e+01, 6.264833643594594292e+01, 6.053417237999132539e+01, 5.340430083090865310e+01, 4.519917020783024242e+01, 2.859630712929702767e+01, 6.116717347078396472e+01, 5.848768061392238593e+01, 4.712881468630093451e+01, 3.057872362265576527e+01, 6.221851732483226982e+01, 4.822162718776918666e+01, 3.588495973302538289e+01, 4.348524967707288624e+01
2.039000000000000000e+03, 2.503297332103529627e+01, 3.033001644248188455e+01, 5.354269653564053755e+01, 6.285531239320369679e+01, 6.073292465761281989e+01, 5.378237257137427463e+01, 4.541324582284416778e+01, 2.875799797361063170e+01, 6.132818092257704023e+01, 5.750920141729805124e+01, 4.693613184901299462e+01, 3.046299363174028585e+01, 6.271967427423412289e+01, 4.826597229643400766e+01, 3.598298872921129288e+01, 4.381126979941071653e+01
2.040000000000000000e+03, 2.559556245882670211e+01, 3.044114425621122066e+01, 5.380297032844926974e+01, 6.309698931460285820e+01, 6.100349028963379538e+01, 5.558243062885307495e+01, 4.555961286450506265e+01, 2.884746383583559037e+01, 6.162843672764132918e+01, 5.707320925683229262e+01, 4.720139454266391965e+01, 3.071378194047004229e+01, 6.310543666629187953e+01, 4.823769787923234986e+01, 3.555318231740263002e+01, 4.422695526655309806e+01
2.041000000000000000e+03, 2.585951763265806136e+01, 3.057466768105609489e+01, 5.408321749678454893e+01, 6.333798858961061740e+01, 6.125190998731160619e+01, 5.574117851066278462e+01, 4.574312895454882977e+01, 2.896358202646927893e+01, 6.191248501761826617e+01, 5.856499081640228610e+01, 4.724824941693208302e+01, 3.079448663555008991e+01, 6.340852125133353212e+01, 4.824313133523146746e+01, 3.583189280862836767e+01, 4.454528820753319707e+01
2.042000000000000000e+03, 2.590448534622997556e+01, 3.044777817020988309e+01, 5.433084759476716386e+01, 6.368950184676425863e+01, 6.170772995780677661e+01, 5.530656804074339306e+01, 4.583844247520448789e+01, 2.921235101288242930e+01, 6.216433912421477004e+01, 5.909613431234863157e+01, 4.749302962230805036e+01, 3.088182516232133779e+01, 6.364498098243952029e+01, 4.835788786923519922e+01, 3.623358287876114048e+01, 4.489544110684109768e+01
2.043000000000000000e+03, 2.596071841294969218e+01, 3.070780719966379735e+01, 5.460253596018437605e+01, 6.390648945348399224e+01, 6.216021033947601637e+01, 5.443809411041712565e+01, 4.577599046705057617e+01, 2.932305267980181540e+01, 6.230639157402082873e+01, 5.833068779633973833e+01, 4.761330818433455647e+01, 3.104974472428501642e+01, 6.407046881517705117e+01, 4.839970766805755176e+01, 3.638323455198605672e+01, 4.513551329509893151e+01
2.044000000000000000e+03, 2.590925335122865292e+01, 3.087753527039679469e+01, 5.491229863742577066e+01, 6.394295107969708170e+01, 6.268675733313919096e+01, 5.387786481747091472e+01, 4.574903881629508362e+01, 2.940266994445627446e+01, 6.235449041634886669e+01, 5.743978614877460132e+01, 4.778166942900901404e+01, 3.107772099903305474e+01, 6.454110298310219207e+01, 4.841607215752377869e+01, 3.638237494671977146e+01, 4.540963058500639704e+01
2.045000000000000000e+03, 2.610175535288060544e+01, 3.082493201545471706e+01, 5.530049482387977378e+01, 6.419443421112228521e+01, 6.306514153649347776e+01, 5.600852376583736714e+01, 4.585643685636509304e+01, 2.954664820122831159e+01, 6.241382598168167561e+01, 5.873194226906485937e+01, 4.804481361536898021e+01, 3.116041861876328412e+01, 6.496778425250049338e+01, 4.844452401014883947e+01, 3.657019517769979444e+01, 4.552488735658782559e+01
2.046000000000000000e+03, 2.613817536385836604e+01, 3.091380774936533626e+01, 5.572919378405328672e+01, 6.452544796079340017e+01, 6.338071312132291268e+01, 5.709502068542426656e+01, 4.602223471703138813e+01, 2.970927625310100950e+01, 6.258328787218078304e+01, 5.930680560302715065e+01, 4.810028572772234412e+01, 3.115233215230550101e+01, 6.529482491781543274e+01, 4.838218409354704619e+01, 3.679092180042157167e+01, 4.556113475257957646e+01
2.047000000000000000e+03, 2.643679017332750192e+01, 3.098585702178949930e+01, 5.612076387898675023e+01, 6.471394123743174021e+01, 6.401429079245964715e+01, 5.676787519678259741e+01, 4.605481937000129022e+01, 2.982512904852142555e+01, 6.275592875478010058e+01, 5.833636977870811080e+01, 4.819065885458518039e+01, 3.116566125906786411e+01, 6.547310973214058549e+01, 4.838741957015083273e+01, 3.691173657568285194e+01, 4.604522434308042733e+01
2.048000000000000000e+03, 2.679298258053701431e+01, 3.091263203815423211e+01, 5.646296251032677560e+01, 6.479179322296938892e+01, 6.453945161600546498e+01, 5.592209763424969537e+01, 4.605561191221572415e+01, 2.989104197134464869e+01, 6.288136052143972421e+01, 5.807554287179848274e+01, 4.849993397327724409e+01, 3.142220814791588523e+01, 6.603059419350424264e+01, 4.835351309876108417e+01, 3.690364140880420507e+01, 4.657515839452340600e+01
2.049000000000000000e+03, 2.687615145831552965e+01, 3.100336702814609424e+01, 5.669204261983759352e+01, 6.498170717261301377e+01, 6.489977853704290567e+01, 5.557944999629758343e+01, 4.609413166305839127e+01, 3.003407921164225414e+01, 6.302529013529712643e+01, 5.959734199699430235e+01, 4.863911665221819902e+01, 3.134453838403308978e+01, 6.651720043300299778e+01, 4.831665315924212933e+01, 3.736977329429164740e+01, 4.683827603550982133e+01
2.050000000000000000e+03, 2.711356363186838792e+01, 3.122862017514368560e+01, 5.687563679536157224e+01, 6.522663747057322325e+01, 6.531405833046899545e+01, 5.698112412923759251e+01, 4.620161422755576552e+01, 3.023376355947858229e+01, 6.332843413638014596e+01, 6.011133946944461570e+01, 4.871717818984228643e+01, 3.148631360916629163e+01, 6.688441642587953595e+01, 4.831343735073930645e+01, 3.766634340971393868e+01, 4.699285042394905076e+01
2.051000000000000000e+03, 2.723990474958963404e+01, 3.122980046000389009e+01, 5.732607878519615241e+01, 6.537553676327348740e+01, 6.568584063881981194e+01, 5.766729971747734140e+01, 4.638431783172937628e+01, 3.034256210214434546e+01, 6.351503959358223739e+01, 5.957855429783208479e+01, 4.895526280808214636e+01, 3.151625492299575626e+01, 6.707862957438857165e+01, 4.830846169897986186e+01, 3.774066894358288238e+01, 4.695804363875779330e+01
2.052000000000000000e+03, 2.750012780902933685e+01, 3.150991442678806109e+01, 5.767353458445723646e+01, 6.544409191020068306e+01, 6.588654420944833134e+01, 5.722540023729701630e+01, 4.639150177598443037e+01, 3.046627642444785522e+01, 6.379539872201290507e+01, 5.873161168603513715e+01, 4.922438439558624879e+01, 3.145955418864974007e+01, 6.741199671391083825e+01, 4.834081640855681883e+01, 3.803653844684832563e+01, 4.742256914532915602e+01
2.053000000000000000e+03, 2.769681614487759092e+01, 3.151308726767127766e+01, 5.791238272787341401e+01, 6.574419925835849199e+01, 6.648617239997477668e+01, 5.662179181029232922e+01, 4.624647173695045410e+01, 3.057981090616479491e+01, 6.402246002612302789e+01, 5.890834168589584152e+01, 4.944311614206851146e+01, 3.156330190202463370e+01, 6.775562420174806277e+01, 4.826272084036808963e+01, 3.820014962407412185e+01, 4.782441321643560883e+01
2.054000000000000000e+03, 2.786242504068062686e+01, 3.160222126959688538e+01, 5.813396366381146407e+01, 6.606150597884736442e+01, 6.708094849879448418e+01, 5.704643702682008666e+01, 4.623220293443657880e+01, 3.071928574319807836e+01, 6.416842767166757255e+01, 5.957814273992045173e+01, 4.955859390964528188e+01, 3.179932664401931319e+01, 6.826623294866269021e+01, 4.828936979402120500e+01, 3.805291865392307926e+01, 4.836360814084927995e+01
2.055000000000000000e+03, 2.782252212353654741e+01, 3.200181883790002502e+01, 5.859668022248734331e+01, 6.622809399445036149e+01, 6.733688068673693294e+01, 5.893848075269858811e+01, 4.622150067632173176e+01, 3.102348654758934998e+01, 6.438035681057289139e+01, 5.992198897705585381e+01, 4.966811970027109879e+01, 3.185254909941407320e+01, 6.865398537232594833e+01, 4.840815127465691603e+01, 3.851461691590637315e+01, 4.882793525390285794e+01
2.056000000000000000e+03, 2.785329124505025433e+01, 3.223340773487233690e+01, 5.892310450756674101e+01, 6.645041719742310704e+01, 6.760990015195631031e+01, 5.942740428081648929e+01, 4.622092947169777943e+01, 3.115119202353922034e+01, 6.457062465196219136e+01, 5.987847750659599910e+01, 4.995582602577241005e+01, 3.180137767306441887e+01, 6.887215204216889219e+01, 4.849629989151107168e+01, 3.875709133322261124e+01, 4.918967452922021977e+01
2.057000000000000000e+03, 2.803560838811619504e+01, 3.215903656336443817e+01, 5.928391058714602480e+01, 6.667502699915564790e+01, 6.819550148215350305e+01, 5.870866186846551926e+01, 4.621107000849444546e+01, 3.123606668589768987e+01, 6.488793262360262304e+01, 5.929989839897683623e+01, 4.995368404517572003e+01, 3.205806081033858135e+01, 6.904554780854169849e+01, 4.857611842516313772e+01, 3.893468593151381185e+01, 4.944964910731247443e+01
2.058000000000000000e+03, 2.843059875457128882e+01, 3.228384591019341343e+01, 5.956712168160459697e+01, 6.688913911806365320e+01, 6.847043647942160760e+01, 5.899187334233312185e+01, 4.607858265694495259e+01, 3.130266405902096949e+01, 6.507953388701393749e+01, 5.904089271783840331e+01, 5.000393282253219951e+01, 3.210464643638967175e+01, 6.969795316968141208e+01, 4.855593939237338219e+01, 3.917783885482178619e+01, 4.971720918862073546e+01
2.059000000000000000e+03, 2.865207106427391182e+01, 3.250076434721196250e+01, 6.001811912415303851e+01, 6.714244235730036792e+01, 6.850031930268669100e+01, 5.935386144145716969e+01, 4.607420270363558501e+01, 3.148603680684002626e+01, 6.533687582317061526e+01, 5.920048914777520821e+01, 5.028986489023665030e+01, 3.220000691651335245e+01, 7.025407424314902016e+01, 4.862230047925612553e+01, 3.933708879030344008e+01, 5.006574724366087281e+01
2.060000000000000000e+03, 2.868608052583265433e+01, 3.246138920113169490e+01, 6.050777398047666367e+01, 6.726080015527628575e+01, 6.915300752302951537e+01, 5.877679008737782596e+01, 4.617409347529733310e+01, 3.166629611439324066e+01, 6.547966003745173680e+01, 6.059843916852749857e+01, 5.044712861642147317e+01, 3.234630313451691563e+01, 7.053273354330443112e+01, 4.869782559680125189e+01, 3.944091094511799156e+01, 5.041843037744958167e+01
2.061000000000000000e+03, 2.843275313337544574e+01, 3.268601955012067606e+01, 6.075788149239386371e+01, 6.738798095276651168e+01, 6.958949803754100571e+01, 5.866523749005884270e+01, 4.623971929882645071e+01, 3.177354691273758291e+01, 6.586432012820776549e+01, 6.067534447554353960e+01, 5.077959550150573165e+01, 3.237724551468556911e+01, 7.099898426556345044e+01, 4.869042194925045663e+01, 3.948228240495408414e+01, 5.074405789996977489e+01
2.062000000000000000e+03, 2.838725452058361753e+01, 3.265875456502211449e+01, 6.088121314369636394e+01, 6.733823655269098651e+01, 6.969869323987127530e+01, 6.001742778960696256e+01, 4.628342068258217523e+01, 3.193303671287756274e+01, 6.601319787320210253e+01, 5.956592721337685248e+01, 5.086382735813967315e+01, 3.235456888931334163e+01, 7.148384862550777541e+01, 4.869457702012706335e+01, 3.981279699246054093e+01, 5.103260040938666009e+01
2.063000000000000000e+03, 2.882720665511915215e+01, 3.302381547523060590e+01, 6.137126430363682061e+01, 6.734269126330333677e+01, 7.013629686851218992e+01, 6.080050409320804761e+01, 4.639244589637120697e+01, 3.202362742768450943e+01, 6.599602877508827703e+01, 5.903385297549060340e+01, 5.103419818052880430e+01, 3.235522070985147280e+01, 7.196998232140344953e+01, 4.878257298625505456e+01, 4.045653196420455089e+01, 5.137740581632873926e+01
2.064000000000000000e+03, 2.912755596246165268e+01, 3.310149274944351561e+01, 6.190521785192563442e+01, 6.745795488986958333e+01, 7.071468872607412948e+01, 6.088974424615388870e+01, 4.663549386081638914e+01, 3.214399839260908465e+01, 6.606097950669933994e+01, 6.071207791426549960e+01, 5.125071967316996080e+01, 3.252868429669238992e+01, 7.237252752951499701e+01, 4.877395124856569453e+01, 4.064873626094606607e+01, 5.167610404094443766e+01
2.065000000000000000e+03, 2.930738519237378625e+01, 3.295610128498226032e+01, 6.218672956799173335e+01, 6.775921176952985547e+01, 7.115474618555364827e+01, 6.102561565315944847e+01, 4.664954314977337191e+01, 3.226932057621132799e+01, 6.638320023745656329e+01, 6.165256845773627958e+01, 5.134952014558215438e+01, 3.265993347185091267e+01, 7.263025796970799774e+01, 4.875032997035533811e+01, 4.079359465910671645e+01, 5.191051939590889219e+01
2.066000000000000000e+03, 2.943998671224668229e+01, 3.342974315475029101e+01, 6.253708388263803641e+01, 6.796927195629129415e+01, 7.136366070394747396e+01, 6.102031470565319182e+01, 4.660319002574909319e+01, 3.247737786394080217e+01, 6.652317571779893512e+01, 6.057419655236026301e+01, 5.144359071518972115e+01, 3.258059810753584884e+01, 7.294945515758725207e+01, 4.887466695955303919e+01, 4.109383321995684923e+01, 5.226965476106686737e+01
2.067000000000000000e+03, 2.964782193300142055e+01, 3.362072858256021135e+01, 6.292564700022649049e+01, 6.831078109441396862e+01, 7.167873665664707516e+01, 6.132987633255726223e+01, 4.647893883119866842e+01, 3.269046238138398053e+01, 6.663664928072046223e+01, 5.977254146140859348e+01, 5.142833829442241012e+01, 3.262188248611462882e+01, 7.337890856438781384e+01, 4.900024930333376716e+01, 4.125891447922348476e+01, 5.256375297965392690e+01
2.068000000000000000e+03, 2.989065168185037535e+01, 3.383232661849797296e+01, 6.339712851610229905e+01, 6.850323467132102451e+01, 7.217895382691999373e+01, 6.065855983422373754e+01, 4.655578521671638015e+01, 3.278432548840888927e+01, 6.680628186931579648e+01, 6.129679418106676536e+01, 5.165390131478268643e+01, 3.272283366735909738e+01, 7.373673215287996641e+01, 4.911719338300466831e+01, 4.109552298915765789e+01, 5.285322112002585015e+01
2.069000000000000000e+03, 3.002605954116473796e+01, 3.371419681997451079e+01, 6.369324600042578055e+01, 6.867150157266350163e+01, 7.246881002086952606e+01, 6.046969404226278755e+01, 4.654134732876128311e+01, 3.293999249755605518e+01, 6.683296186368687586e+01, 6.131618095318351891e+01, 5.176939589869426328e+01, 3.275228836894299889e+01, 7.406059751401602398e+01, 4.918911913588157603e+01, 4.129276337584925471e+01, 5.328987813071589841e+01
2.070000000000000000e+03, 2.994627587053202333e+01, 3.390552547679949669e+01, 6.392502795212862310e+01, 6.891009833272364915e+01, 7.295548068868333758e+01, 6.240973225879553610e+01, 4.667787801342158360e+01, 3.310701974891042454e+01, 6.690177168642108541e+01, 6.059219687757097006e+01, 5.198600927650630865e+01, 3.286520152447549492e+01, 7.455060177755744633e+01, 4.919559331457325868e+01, 4.128110177919002410e+01, 5.377244618351644334e+01
2.071000000000000000e+03, 3.009628687855349227e+01, 3.422228078160845399e+01, 6.425201211052505812e+01, 6.902487866583965115e+01, 7.326479701941727285e+01, 6.221962742635604826e+01, 4.659541925051156852e+01, 3.332280952085282166e+01, 6.705519844659764317e+01, 6.089142619224392661e+01, 5.203489766357097324e+01, 3.299743061423970403e+01, 7.498509022833287929e+01, 4.929022366957820367e+01, 4.168662513266623648e+01, 5.426817293021154143e+01
2.072000000000000000e+03, 3.034915952619977375e+01, 3.429927094257269715e+01, 6.448154304805325410e+01, 6.920683704924120150e+01, 7.371476051400169638e+01, 6.200615890869327274e+01, 4.663542552240139116e+01, 3.346082831120238410e+01, 6.729200382359016430e+01, 6.108141496726120323e+01, 5.228230489743241804e+01, 3.294435888934832946e+01, 7.511558282764413264e+01, 4.931273523698239813e+01, 4.176430779526232584e+01, 5.465207813763373679e+01
2.073000000000000000e+03, 3.068092224783362099e+01, 3.434515924645332063e+01, 6.488081053999901826e+01, 6.943799006670720075e+01, 7.412719673133634046e+01, 6.188572813716977805e+01, 4.678163822368482982e+01, 3.359345668396826312e+01, 6.736551499430930789e+01, 6.089830231223152168e+01, 5.229949684759586148e+01, 3.296911761111037720e+01, 7.551268485647439377e+01, 4.932341040040999758e+01, 4.163061934792349206e+01, 5.500127582860004338e+01
2.074000000000000000e+03, 3.071715699877544381e+01, 3.429625740106142473e+01, 6.534616884717513585e+01, 6.966570220336342345e+01, 7.444185661165653300e+01, 6.159169432931314248e+01, 4.662882198630190089e+01, 3.370686552669588565e+01, 6.740849156420162558e+01, 6.199702955199973076e+01, 5.230081499754170693e+01, 3.307237859805483282e+01, 7.607682050787244066e+01, 4.949444168113343068e+01, 4.165848785327622039e+01, 5.531130462646382995e+01
2.075000000000000000e+03, 3.081120685481167953e+01, 3.462938842548379625e+01, 6.550226339295467426e+01, 6.972019724663468310e+01, 7.468460222292712558e+01, 6.076826442974150666e+01, 4.675669167731985709e+01, 3.387090509843097408e+01, 6.758561969571964312e+01, 6.147462196112053334e+01, 5.249514211574310707e+01, 3.305637570907558143e+01, 7.635837026496210456e+01, 4.955105947258925880e+01, 4.207209775745634772e+01, 5.550678028850146717e+01
2.076000000000000000e+03, 3.121005371868437450e+01, 3.508711040425503569e+01, 6.573476436287178615e+01, 6.986920835512243855e+01, 7.518485524063483183e+01, 6.226196299957987890e+01, 4.690067641800434473e+01, 3.404411460686477398e+01, 6.762013255215251206e+01, 6.117076527632980998e+01, 5.246093243845020027e+01, 3.292308483535308028e+01, 7.660214791868236262e+01, 4.953988573200560808e+01, 4.188584765067890459e+01, 5.596395943832084896e+01
