year, MPI-ESM1-2-LR, GFDL-ESM4, NorESM2-LM, INM-CM4-8, CESM2-WACCM, CMCC-CM2-SR5, ACCESS-ESM1-5, MIROC-ES2L, INM-CM5-0, TaiESM1, CNRM-ESM2-1, IPSL-CM6A-LR, NorESM2-MM, UKESM1-0-LL, EC-Earth3-Veg, CanESM5
2.015000000000000000e+03, 2.315776996756214956e+01, 2.997881834098651055e+01, 4.862049278024250043e+01, 5.820657562894213299e+01, 5.526641399887206774e+01, 5.392805130248800083e+01, 4.519193043647256758e+01, 2.659345551444031841e+01, 5.680501930401367616e+01, 5.596247533682951314e+01, 4.532522516221929010e+01, 2.931029974028391649e+01, 5.790113923785122552e+01, 4.894890163060755128e+01, 3.512158264303929656e+01, 3.951782900024787182e+01
2.016000000000000000e+03, 2.299132285127637942e+01, 2.987279064750599389e+01, 4.893413332067327559e+01, 5.846098293529889389e+01, 5.515842420075917119e+01, 5.323065895673426695e+01, 4.503091115552008006e+01, 2.658423315173726209e+01, 5.698702920289873930e+01, 5.535786799688748516e+01, 4.531522056405358256e+01, 2.932834316456678181e+01, 5.795525046631321686e+01, 4.891065361264296030e+01, 3.511787760872941533e+01, 3.971378930895666315e+01
2.017000000000000000e+03, 2.310010347479441251e+01, 2.959169487129916121e+01, 4.910156625739615777e+01, 5.855897781774631738e+01, 5.534086597975748845e+01, 5.401745558398265246e+01, 4.503904047588752491e+01, 2.657415826403024894e+01, 5.716576906646452727e+01, 5.661187494991454372e+01, 4.539526804165737417e+01, 2.914165593399257048e+01, 5.816208759366582370e+01, 4.890714075092701307e+01, 3.445267871610198540e+01, 3.995402605401736906e+01
2.018000000000000000e+03, 2.306618671594245740e+01, 2.950237984464750696e+01, 4.913193675146183637e+01, 5.878220195334348119e+01, 5.561328016359341575e+01, 5.460755541602037511e+01, 4.508516870584163172e+01, 2.659054128918035786e+01, 5.724935205095366797e+01, 5.700229536757406379e+01, 4.554027541883729668e+01, 2.917293530999390683e+01, 5.834064974767519374e+01, 4.883398443239743614e+01, 3.442270176676260007e+01, 4.005102808549662541e+01
2.019000000000000000e+03, 2.288417899673826383e+01, 2.972931975494137902e+01, 4.925215019838572772e+01, 5.907283508295426344e+01, 5.580314535050766978e+01, 5.417332037936699152e+01, 4.509129302609394330e+01, 2.668680329357812298e+01, 5.753495978815197276e+01, 5.611476449499166819e+01, 4.563350694811019537e+01, 2.940866453460535723e+01, 5.838624029753198386e+01, 4.876065239913638294e+01, 3.460591452468040075e+01, 3.998848411449116469e+01
2.020000000000000000e+03, 2.322908048504989509e+01, 2.972379630450893373e+01, 4.955048613469214303e+01, 5.939565048132662639e+01, 5.614598756622899600e+01, 5.353658761318823878e+01, 4.503061936288460032e+01, 2.676041138910592210e+01, 5.777830576036051013e+01, 5.551022508831914593e+01, 4.573985303080480236e+01, 2.953207378682346373e+01, 5.857446614067843882e+01, 4.869892265566458178e+01, 3.456356921226527135e+01, 4.013011550663578220e+01
2.021000000000000000e+03, 2.349146594443447711e+01, 2.973394751188609320e+01, 4.947976039208302268e+01, 5.958985524079391638e+01, 5.636542205229309133e+01, 5.314009262102378273e+01, 4.497411373143609126e+01, 2.684440258997863182e+01, 5.805340965595951275e+01, 5.689340029183617276e+01, 4.566381664695403941e+01, 2.936861528721346559e+01, 5.886218527524559363e+01, 4.865625530849196423e+01, 3.441002617325032276e+01, 4.037010631365410518e+01
2.022000000000000000e+03, 2.370114127806911242e+01, 2.948493581375971573e+01, 4.922483346951441519e+01, 5.960125708685806245e+01, 5.648755553989855116e+01, 5.378463312794676909e+01, 4.504698710699940278e+01, 2.688751751861898853e+01, 5.815177374077628514e+01, 5.738959720614500526e+01, 4.569517594358936918e+01, 2.951874667181190404e+01, 5.897436444627231111e+01, 4.868516111160349169e+01, 3.419403058256160222e+01, 4.060263706020476349e+01
2.023000000000000000e+03, 2.375606130326936238e+01, 2.970961690223484197e+01, 4.950895166059646613e+01, 5.977656210998664221e+01, 5.650580713965653246e+01, 5.470205062094949966e+01, 4.507290502639028773e+01, 2.701404991484784190e+01, 5.824761159919536624e+01, 5.680435830278904064e+01, 4.589976424882832617e+01, 2.968226974123960105e+01, 5.907722978338846787e+01, 4.869298778171812359e+01, 3.428450444934527752e+01, 4.056864440414931750e+01
2.024000000000000000e+03, 2.380422584601047475e+01, 2.977478620599566383e+01, 4.981054293681444278e+01, 5.988094362413203697e+01, 5.638087778039814424e+01, 5.457765037563728328e+01, 4.493610313142396251e+01, 2.708629182800966717e+01, 5.834768711562117716e+01, 5.657045066464725380e+01, 4.606687413919423335e+01, 2.974862014851323266e+01, 5.921164033988196707e+01, 4.870271424484972300e+01, 3.437720174308719834e+01, 4.074974951619108055e+01
2.025000000000000000e+03, 2.370658777840408149e+01, 2.967952743048762443e+01, 4.999935796706989777e+01, 6.009044536672580250e+01, 5.676756256228249953e+01, 5.396410716068002245e+01, 4.491728849356231024e+01, 2.707106869714950648e+01, 5.862877292166229637e+01, 5.625542673527132820e+01, 4.605538647077568726e+01, 2.961604990540758919e+01, 5.934766118195862816e+01, 4.856478120633673257e+01, 3.428172402840672106e+01, 4.094244629622534148e+01
2.026000000000000000e+03, 2.398192401202023660e+01, 2.970867397043051028e+01, 5.029200870209224661e+01, 6.038776625728895198e+01, 5.693722659215679016e+01, 5.272912826181094914e+01, 4.512270432636964301e+01, 2.720857752299265542e+01, 5.885339524271294920e+01, 5.681442505520377750e+01, 4.617272349339277326e+01, 2.969477743344170761e+01, 5.962855021618963036e+01, 4.850847821918706870e+01, 3.442128196875322033e+01, 4.112564241097473428e+01
2.027000000000000000e+03, 2.406866134172642191e+01, 2.980794170445022928e+01, 5.040971336427170968e+01, 6.053194577451363045e+01, 5.714366524072686815e+01, 5.264488782887816143e+01, 4.520345130817707258e+01, 2.737538930971229689e+01, 5.894799537135993006e+01, 5.702254322298183808e+01, 4.617264969869424363e+01, 2.988363484217761012e+01, 5.961982714919128057e+01, 4.842966054322545233e+01, 3.482048231125177296e+01, 4.121609583697204471e+01
2.028000000000000000e+03, 2.398477283123075665e+01, 2.988222096718027387e+01, 5.050423074430194958e+01, 6.066585497041830877e+01, 5.732458566428559266e+01, 5.428193207842475232e+01, 4.512185007600630371e+01, 2.749399642019450596e+01, 5.921991241670690442e+01, 5.744373506994237033e+01, 4.613940246529093514e+01, 2.980733466448870672e+01, 5.958558090669979634e+01, 4.837844587292228482e+01, 3.509160952123225030e+01, 4.119163139366727222e+01
2.029000000000000000e+03, 2.384160761346441859e+01, 2.985894912769899889e+01, 5.086568654605535045e+01, 6.090718373072876091e+01, 5.768508813121939482e+01, 5.416361841404840760e+01, 4.503027162196022459e+01, 2.750326583871774133e+01, 5.940699130378886395e+01, 5.636299911221200887e+01, 4.622898772549623203e+01, 2.975083890474368431e+01, 5.980643316040676893e+01, 4.837643021944501243e+01, 3.523417845460841846e+01, 4.137988723648091138e+01
2.030000000000000000e+03, 2.427525332486170484e+01, 2.983287433882254192e+01, 5.126662530209637225e+01, 6.119189670310972673e+01, 5.811518740476034850e+01, 5.396247369259516802e+01, 4.515333326632768518e+01, 2.760283533697276681e+01, 5.967461938009608247e+01, 5.584127653178758521e+01, 4.627150110122013160e+01, 2.981545440149042747e+01, 6.020238744963079824e+01, 4.845550469894062928e+01, 3.529498716449790408e+01, 4.163968618095086072e+01
2.031000000000000000e+03, 2.476375150053718599e+01, 3.007465003969996076e+01, 5.154338241465254100e+01, 6.147305130075839941e+01, 5.829155926522662412e+01, 5.384156072220763889e+01, 4.537592570046049190e+01, 2.770315929565390078e+01, 5.982935129363814752e+01, 5.749530369961215825e+01, 4.645578337767231858e+01, 3.015975059896593535e+01, 6.045888791898543957e+01, 4.840581532170853052e+01, 3.541703092447767887e+01, 4.189154899715725833e+01
2.032000000000000000e+03, 2.484269439926629985e+01, 2.997771158098497679e+01, 5.183748585787605379e+01, 6.173067517447334041e+01, 5.843130539778996990e+01, 5.340889255813029735e+01, 4.532816207952611620e+01, 2.780670108058694012e+01, 6.002316100524358689e+01, 5.782702509502491495e+01, 4.653121249388966163e+01, 3.035440219345533208e+01, 6.057971282582438022e+01, 4.829947378096710509e+01, 3.527712719374876826e+01, 4.211033197682132112e+01
2.033000000000000000e+03, 2.462734833614977248e+01, 2.996097658252610785e+01, 5.204512128625027145e+01, 6.185049545341270516e+01, 5.880898545958228141e+01, 5.310776659116397269e+01, 4.522912340828181499e+01, 2.790960293170204665e+01, 6.013638746583841765e+01, 5.717146016356964822e+01, 4.654422541240153777e+01, 3.039229953491417646e+01, 6.093757169701448362e+01, 4.832203758237064761e+01, 3.514714315739853134e+01, 4.242176290094025859e+01
