year, TaiESM1, NorESM2-MM, NorESM2-MM, NorESM2-LM, TaiESM1, MPI-ESM1-2-LR, GFDL-ESM4, EC-Earth3-Veg, GFDL-ESM4, CESM2-WACCM, CNRM-ESM2-1, CNRM-ESM2-1
2.015000000000000000e+03, 1.916180645129841479e-09, 1.576920967736526700e-09, 1.576920967736526700e-09, 7.955290103263902464e-10, 1.916180645129841479e-09, 6.550788756892917027e-10, 4.035775217306493856e-10, 1.157237084626274803e-09, 3.846843464188750837e-10, 1.069781952127961626e-09, 1.559291942467011487e-10, 1.559291942467011487e-10
2.016000000000000000e+03, 1.018789527241125110e-09, 7.545205975492481833e-10, 7.545205975492481833e-10, 1.875248874233417569e-10, 1.018789527241125110e-09, 5.990071825637997105e-10, 8.826251489315895181e-10, 3.131051322668244303e-09, 8.643017273852632207e-10, 8.971014006661077287e-10, 1.523236410706318139e-10, 1.523236410706318139e-10
2.017000000000000000e+03, 3.227938435323129089e-10, 5.830990854533672925e-10, 5.830990854533672925e-10, 4.295464319453249005e-10, 3.227938435323129089e-10, 6.385489899985494158e-10, 1.176729724123869780e-09, 1.663695693488132946e-09, 1.158153357391693615e-09, 5.273983090048364561e-10, 1.748300493535789745e-10, 1.748300493535789745e-10
2.018000000000000000e+03, 3.710662411667707648e-10, 6.301840220212549201e-10, 6.301840220212549201e-10, 5.415115928464639124e-10, 3.710662411667707648e-10, 6.408566546622354653e-10, 3.086650004271577109e-10, 1.258021753134457109e-09, 2.910858800921579236e-10, 5.776076557742651770e-10, 1.634316517015036770e-10, 1.634316517015036770e-10
2.019000000000000000e+03, 1.046758108797206049e-09, 5.513267637867079801e-10, 5.513267637867079801e-10, 4.255215267464585995e-10, 1.046758108797206049e-09, 6.241390085192869525e-10, 3.424445528386660667e-10, 2.222702119381606102e-09, 3.259701108387311933e-10, 5.481645648720263339e-10, 1.333006110739357732e-10, 1.333006110739357732e-10
2.020000000000000000e+03, 6.346382363324191065e-10, 3.981258009516658710e-10, 3.981258009516658710e-10, 3.442003224382426953e-10, 6.346382363324191065e-10, 5.027661027387839545e-10, 3.552210997851578051e-10, 1.698895801095323927e-09, 3.385759121565961476e-10, 4.749251821429514463e-10, 1.613101287909775080e-10, 1.613101287909775080e-10
2.021000000000000000e+03, 1.941119418843726474e-10, 9.367467854612856906e-10, 9.367467854612856906e-10, 1.788224880672027667e-09, 1.941119418843726474e-10, 5.313967913242843304e-10, 9.219824028334614811e-10, 3.298228796581450013e-09, 9.053150271044725880e-10, 1.353501253319450481e-09, 1.674271928262272529e-10, 1.674271928262272529e-10
2.022000000000000000e+03, 3.253914516932888589e-10, 1.032693531882548185e-09, 1.032693531882548185e-09, 1.684060703774008742e-09, 3.253914516932888589e-10, 5.908827751272435249e-10, 5.611558055560791777e-10, 1.266061515313686220e-09, 5.442103767069056412e-10, 1.114148457265474577e-09, 1.297113776376282433e-10, 1.297113776376282433e-10
2.023000000000000000e+03, 4.766724557274968142e-10, 1.016020115697250978e-09, 1.016020115697250978e-09, 6.329267951967837832e-10, 4.766724557274968142e-10, 5.846277146459704532e-10, 2.792247020807692042e-10, 1.460485888317965326e-09, 2.627825831127175185e-10, 1.750268780794372292e-09, 1.220861149919978046e-10, 1.220861149919978046e-10
2.024000000000000000e+03, 7.295153209970432026e-10, 9.429371957407585069e-10, 9.429371957407585069e-10, 7.624760102130643006e-10, 7.295153209970432026e-10, 5.653483550235387992e-10, 6.313069195703235072e-10, 1.900359732073917239e-09, 6.149285447724530532e-10, 1.183129540237322301e-09, 1.434642247688966364e-10, 1.434642247688966364e-10
