year, MPI-ESM1-2-LR, TaiESM1, CMCC-CM2-SR5, IPSL-CM6A-LR, EC-Earth3-Veg, CESM2-WACCM, UKESM1-0-LL, MIROC-ES2L, NorESM2-LM, CanESM5, CNRM-ESM2-1, NorESM2-MM, ACCESS-ESM1-5
2.015000000000000000e+03, 2.245132840026601784e+01, 2.912755052321756111e+01, 7.443157394829697182e+01, 2.332385853163001954e+01, 4.740837954300551615e+01, 3.719988262176274674e+01, 6.548193005775219433e+01, 2.370235510664821987e+01, 3.269713885294634537e+01, 4.951758716235789137e+01, 4.351286964954943670e+01, 3.993108886302136540e+01, 1.606954027370165505e+01
2.016000000000000000e+03, 2.249380301084186939e+01, 2.928706836811806014e+01, 7.458692706823499918e+01, 2.333927617226600404e+01, 4.736792392737847734e+01, 3.721845959319006880e+01, 6.559117835991885670e+01, 2.371190115968810375e+01, 3.267860718339059645e+01, 4.944568614771692694e+01, 4.352189567992275698e+01, 3.990515103702938404e+01, 1.607733404263507282e+01
2.017000000000000000e+03, 2.245394926747740172e+01, 2.905666989789535037e+01, 7.460514131589214060e+01, 2.334760184755017676e+01, 4.727897431083230373e+01, 3.721350344712001146e+01, 6.562131995172227050e+01, 2.373215499481881352e+01, 3.267772055042896540e+01, 4.937279628510975016e+01, 4.350243263696486196e+01, 3.987670608625712276e+01, 1.608245644330838076e+01
2.018000000000000000e+03, 2.248137527765397436e+01, 2.899922650975232230e+01, 7.457495988853352742e+01, 2.333847033030158968e+01, 4.727091421117882675e+01, 3.719662837654840359e+01, 6.577993760265643175e+01, 2.375945123984453744e+01, 3.270550386392618236e+01, 4.931578356406846808e+01, 4.349784375247381263e+01, 3.986524616845995439e+01, 1.609727094382886747e+01
2.019000000000000000e+03, 2.257986232530053528e+01, 2.914435120151529190e+01, 7.465033856983035321e+01, 2.334485966083240882e+01, 4.727475820504810144e+01, 3.719480235853487926e+01, 6.577083856411145746e+01, 2.375534948709602645e+01, 3.271742226459838321e+01, 4.926234120391491444e+01, 4.349189287467061860e+01, 3.986217395669577712e+01, 1.611224351726684745e+01
2.020000000000000000e+03, 2.241969400698620873e+01, 2.926251127826883192e+01, 7.480855817999110968e+01, 2.335543635368686211e+01, 4.724751452450924205e+01, 3.718008790247471751e+01, 6.580133391060581971e+01, 2.374385191286096486e+01, 3.270163518672708847e+01, 4.923354975767639985e+01, 4.347086691272252779e+01, 3.986140187314227035e+01, 1.611260271023240875e+01
2.021000000000000000e+03, 2.239222442738861929e+01, 2.898458614256196952e+01, 7.496357144262597672e+01, 2.336613602605954298e+01, 4.719483755528896296e+01, 3.717763942702269020e+01, 6.574211615762749261e+01, 2.375418597950643473e+01, 3.272693081653610392e+01, 4.917434071200300849e+01, 4.349471548507598584e+01, 3.984309123130151420e+01, 1.610801484129675742e+01
2.022000000000000000e+03, 2.236915683461510085e+01, 2.887624962113078553e+01, 7.495388730536552657e+01, 2.337242688718752959e+01, 4.715654587832113265e+01, 3.718754218062183270e+01, 6.570470141974372780e+01, 2.376631659125097329e+01, 3.276804590564443487e+01, 4.911060499073020225e+01, 4.351638308009196265e+01, 3.984735541605517284e+01, 1.611384400897840763e+01
2.023000000000000000e+03, 2.238732139815116184e+01, 2.898003997932045905e+01, 7.487025652015984178e+01, 2.338941451399339044e+01, 4.712193096750191756e+01, 3.720588783333720073e+01, 6.570216160843558839e+01, 2.379160791005371323e+01, 3.274409658848319538e+01, 4.904655357462946341e+01, 4.347221767293299166e+01, 3.986677430564626690e+01, 1.613670374476845737e+01
2.024000000000000000e+03, 2.242531529208468299e+01, 2.904397788817464843e+01, 7.487982266075499638e+01, 2.340835265283090649e+01, 4.707749540113824338e+01, 3.724769268469099615e+01, 6.587434924930667535e+01, 2.381049875669848248e+01, 3.272330107320633630e+01, 4.901993155950654568e+01, 4.344975266200805919e+01, 3.988151395600465321e+01, 1.612716688129042097e+01
2.025000000000000000e+03, 2.248326257605815570e+01, 2.910151343859111250e+01, 7.502100435187507799e+01, 2.342766192357390409e+01, 4.702575769024210217e+01, 3.722093187201886622e+01, 6.590502205791895562e+01, 2.383256231044334683e+01, 3.273700143660223461e+01, 4.897685454701382923e+01, 4.345005183797702841e+01, 3.988754091980120364e+01, 1.611301562652021602e+01
