year, GFDL-ESM4, CanESM5, EC-Earth3-Veg, CMCC-CM2-SR5, INM-CM4-8, CESM2-WACCM, MIROC-ES2L, NorESM2-MM, NorESM2-LM, MPI-ESM1-2-LR, CNRM-ESM2-1, TaiESM1, UKESM1-0-LL, ACCESS-ESM1-5, INM-CM5-0, IPSL-CM6A-LR
2.015000000000000000e+03, 3.643445206436622952e-01, 2.488666939841166145e-02, 2.115896682991858999e-02, -8.613885556734503235e-02, 6.640450427708818326e-01, -4.756084236125560777e-02, -9.546502915229623798e-02, -2.616864320339867267e-01, 2.549232615274128755e-02, 5.342874006716000213e-02, -3.535009001796452638e-02, -2.581878303096938332e+00, 1.954840479701510647e-01, -1.597993487111898023e-02, 4.720010828786924684e-01, 1.320728328310115940e-01
2.016000000000000000e+03, -6.015608529397158399e-01, 7.410184362081978504e-02, -1.159302382611143933e+00, -1.042088543477524276e-01, 4.785074159190000898e-01, -1.080525599529220115e-01, 6.883927736868550307e-02, 4.658992191017222173e-02, 2.434732661592689806e-01, -1.393298871626264535e-01, 1.171106870100061675e-02, -1.563600517803097834e+00, -1.344561399490801779e-01, -9.068254781930719377e-02, 3.801802936439570013e-01, 5.422335155429477277e-02
2.017000000000000000e+03, -7.175003207560802787e-01, 2.283877533574280028e-01, -2.391255598023495077e-01, 5.644387613448030860e-01, 2.228415627086752226e-01, 1.891337788892754890e-01, -9.201408222849460569e-03, 1.604391699094379897e-01, 1.029189516447315961e-01, 7.503240255016264959e-02, -7.497029047660427881e-02, -5.179386105024944564e-01, 2.064062114909822887e-01, 2.952278616503350300e-02, 4.107191777728484428e-01, -3.182350255645578496e-01
2.018000000000000000e+03, 1.848988126093091822e-01, 8.408505126572696220e-02, 3.205353151907511799e-01, 3.429491645372410025e-01, 4.892935228314768681e-01, 1.549402035259757338e-01, 1.145840441551480293e-01, 7.178203674370595144e-02, 3.142239676036379797e-02, 1.914402196231538775e-02, 2.088343688141793830e-01, -1.293479434198539391e+00, -3.347600548751841331e-03, 1.075731393864520075e-01, 1.871786138778060438e-01, 1.889444247723506554e-01
2.019000000000000000e+03, 4.267564304303629874e-01, -8.244014498225615828e-02, -3.383602120884520587e-02, -2.133082787469344488e-01, 5.385778786564945353e-01, 1.751320354159567050e-01, 5.201395606662408827e-02, 3.889132431132247963e-02, 1.957352901915781762e-01, -1.262324448041126090e-01, 4.275854082759372732e-02, -1.432431157891910223e+00, -1.183732931297555718e-01, -1.023496292145014835e-01, 5.602338456993830595e-01, 2.473109668330595590e-01
2.020000000000000000e+03, 1.433542753081288035e-01, 8.290682621273290365e-02, -3.917332834038702583e-01, -4.695124336045768954e-01, 5.730281046223453245e-01, 3.737269318130329587e-01, 2.591066147051261995e-02, 2.147160719603519452e-01, 2.390339789160394746e-01, 2.756446715312607099e-01, 1.269299938194045907e-01, -5.158494758670115754e-01, -4.737218384679461186e-02, -7.666566452219300554e-02, 4.219333498390665516e-01, 8.776382106278170225e-02
2.021000000000000000e+03, -2.983885412493140210e-01, 1.923367017464899520e-01, -4.364840295712735796e-01, 2.307095828760278300e-01, 3.062148946656252924e-01, 3.327120387673352525e-02, 4.179880089436030510e-02, 2.228576295868893720e-01, -1.523208443690846625e-01, 1.195353192816456245e-01, -1.354320293575339840e-01, 4.895629460946274158e-01, -1.483014704102391390e-01, -9.064933622272770830e-02, 6.768326006646788739e-01, -1.137219754465060573e-01
2.022000000000000000e+03, -1.131001604780933756e-01, 2.817571189785324504e-01, 3.588069435522393130e-02, 4.674312504613389319e-01, 7.367308149465694178e-02, 1.223657058947110604e-01, 1.340984690893194664e-01, 8.104914398633261685e-02, -5.805876762398771290e-02, 2.648662175407848762e-01, 1.302042557352549590e-01, -6.586119729604107409e-01, 1.104451305837364228e-01, 2.150437562242067668e-01, 4.610299584122736632e-02, 2.635085000497521257e-01
2.023000000000000000e+03, 3.614301968338056170e-01, -1.397416967674729726e-01, 1.044207808804326204e-01, 5.064796705405335553e-01, 3.843938607315611766e-01, 1.356879413142711086e-02, 1.471242801690699487e-01, 9.247051189028868134e-02, 3.019294357220370650e-01, 1.693272602243202363e-02, 3.952467692718957676e-02, -6.793414292239496888e-01, -2.404682440895348702e-02, -1.016235357503000869e-01, 1.353617338720176366e-01, 9.853241338964301155e-02
2.024000000000000000e+03, -4.915344861829210737e-02, 1.782694702087081473e-01, -2.734189684106677620e-01, -1.800819786007022971e-01, 2.263282068835170691e-01, 5.300286984021416320e-02, 6.282798177590168121e-02, 1.356688994364526057e-01, 2.291925838684267247e-01, 1.440135036990918826e-01, 9.067880673332512353e-02, -5.352749538268405244e-02, 2.957758436806126601e-01, -2.293720154446746706e-01, 2.217155544414129154e-01, 1.640485629820848668e-01
