year, NorESM2-MM, UKESM1-0-LL, ACCESS-ESM1-5, IPSL-CM6A-LR, CMCC-CM2-SR5, CanESM5, TaiESM1, GFDL-ESM4, CESM2-WACCM, CNRM-ESM2-1, EC-Earth3-Veg, MIROC-ES2L, NorESM2-LM, MPI-ESM1-2-LR
2.041000000000000000e+03, 3.851306971903494247e+00, 6.039981375685081311e+00, 2.610896670087470284e+00, 2.769684428935448750e+00, 3.837366072878483525e+00, 5.533980419162774389e+00, 3.686742582617194230e+00, 4.453955937978748558e+00, 3.605577886386661657e+00, 2.711721082790267356e+00, 2.960424475823510537e+00, 2.842728777214776681e+00, 3.306235669777748853e+00, 4.347110937717172163e+00
2.042000000000000000e+03, 3.930019284515128941e+00, 5.660951536060962574e+00, 2.662994516720486260e+00, 2.760265127831525778e+00, 4.047898912154846762e+00, 5.558451410730643971e+00, 4.156271251411225442e+00, 4.067767164585045947e+00, 3.641372582586480888e+00, 2.743321620282742401e+00, 3.109431803727467081e+00, 2.925196470967997175e+00, 3.210708068191696185e+00, 4.316186486317068471e+00
2.043000000000000000e+03, 4.022104199223933918e+00, 5.049469962936554701e+00, 2.655992470222460433e+00, 2.771750540025689435e+00, 3.703251737218902662e+00, 5.566077156307856377e+00, 4.131592463162442996e+00, 3.963531941681342818e+00, 3.658643083993169842e+00, 2.714263906471289456e+00, 3.277645561416579145e+00, 2.878107773302405192e+00, 3.349903905473221588e+00, 4.268550811782667154e+00
2.044000000000000000e+03, 4.005411686359294343e+00, 5.533217425957873914e+00, 2.604030633490077129e+00, 2.779434894663245004e+00, 3.891432965459360904e+00, 5.465186634552582134e+00, 4.255659716170936413e+00, 4.236723697187453119e+00, 3.758101769300185246e+00, 2.753832977222946621e+00, 3.032214979620699857e+00, 2.867091626849620489e+00, 3.232241088054897293e+00, 4.427297953381521545e+00
2.045000000000000000e+03, 4.055351164143987219e+00, 5.309700984007672098e+00, 2.612443096818160004e+00, 2.771917437007742180e+00, 3.465055761965951664e+00, 5.553092741423513168e+00, 3.804959310342780121e+00, 4.508619245125593977e+00, 3.589943133148454368e+00, 2.730739563863200825e+00, 3.032706938885910031e+00, 2.908340491741717937e+00, 3.440726506875645629e+00, 4.297202770899128943e+00
2.046000000000000000e+03, 3.946812630535473154e+00, 5.190406555909142128e+00, 2.663439706027701082e+00, 2.788832460632416854e+00, 3.635095071884432372e+00, 5.846777110295215074e+00, 4.124290762483966866e+00, 4.122265892006157451e+00, 3.813770358006168593e+00, 2.812433626511419593e+00, 3.320474793057278440e+00, 2.999948331499130205e+00, 3.382376783928424224e+00, 4.387377613094887607e+00
2.047000000000000000e+03, 4.003386172970022194e+00, 5.530831999274997024e+00, 2.670105669343422417e+00, 2.765833557700998480e+00, 4.096996954697818438e+00, 5.885577723904112268e+00, 4.165163711445614148e+00, 4.320959281042803468e+00, 3.858921186745220666e+00, 2.864776644161380226e+00, 3.156756298240193548e+00, 2.912375111035756969e+00, 3.505653560964645088e+00, 4.537271769192465776e+00
2.048000000000000000e+03, 4.115568415994663276e+00, 5.099952316682106357e+00, 2.653046182031055356e+00, 2.850555060322151668e+00, 3.926547241815411482e+00, 5.651542909502236256e+00, 3.906776105061830151e+00, 4.325795971218155955e+00, 3.784899941273358159e+00, 2.742314915272480391e+00, 3.104675682401529802e+00, 2.882962342780992060e+00, 3.407469064388567670e+00, 4.460623033879734578e+00
2.049000000000000000e+03, 4.121536669300122746e+00, 5.374278188848593985e+00, 2.640944169785497841e+00, 2.829477554759474600e+00, 4.050969055475819758e+00, 5.633415343135465214e+00, 3.799052747617699843e+00, 3.977720928389464117e+00, 3.849368126883926600e+00, 2.732548274520427700e+00, 3.106459540440368983e+00, 2.951298465671990723e+00, 3.331341502925651010e+00, 4.328311137628210403e+00
2.050000000000000000e+03, 4.067425477978580339e+00, 5.322267820063149912e+00, 2.645795552491434055e+00, 2.896791163390555646e+00, 3.769985215569393588e+00, 5.569062005462036780e+00, 4.194402319649847222e+00, 4.272972688193317659e+00, 3.802597681429230381e+00, 2.854303251864130697e+00, 3.290712000176599261e+00, 3.040598578392954554e+00, 3.491604199049096469e+00, 4.527188649744715576e+00
2.051000000000000000e+03, 4.032904678360227813e+00, 5.645342341175422440e+00, 2.671783931544875479e+00, 2.813408081293206298e+00, 3.821583654733997193e+00, 6.008736540339412180e+00, 4.379540185462160728e+00, 4.232090097494057623e+00, 3.684945229491273011e+00, 2.777452738212287997e+00, 3.009809713263519981e+00, 2.954645360352287753e+00, 3.444457958945707610e+00, 4.536963617285956651e+00
2.052000000000000000e+03, 4.047853445520014581e+00, 5.116116018936425647e+00, 2.736237858597304395e+00, 2.852436026793123691e+00, 4.092366971637590112e+00, 5.800639155408504166e+00, 4.321450322687575785e+00, 4.201681775930190987e+00, 3.836334228637263255e+00, 2.877821006262585968e+00, 3.333210067727399029e+00, 2.941713133098312838e+00, 3.418259000388702784e+00, 4.483317686443943018e+00
2.053000000000000000e+03, 4.097191075231303437e+00, 5.679247199389208411e+00, 2.672342180874101025e+00, 2.826666453817042957e+00, 3.881850322802400388e+00, 5.960234626608693631e+00, 3.959132971742052476e+00, 4.520598614857345154e+00, 3.903139280255050636e+00, 2.845005447044571145e+00, 3.292123419107447546e+00, 2.979380574910869939e+00, 3.298912409822559955e+00, 4.484928316105068369e+00
2.054000000000000000e+03, 4.133767477784175526e+00, 5.882963870596946698e+00, 2.664627398594796137e+00, 2.870096387533137783e+00, 4.033055923006250154e+00, 5.875255347692800001e+00, 3.868868272805756625e+00, 4.190778464544217208e+00, 3.912513489403083522e+00, 2.735469136799365319e+00, 2.968370940295640192e+00, 3.042576877175820815e+00, 3.476938995313276326e+00, 4.463907654110321310e+00
2.055000000000000000e+03, 4.137393810645174419e+00, 5.845840879454643257e+00, 2.643704709470123149e+00, 2.893479661415250703e+00, 3.616173423225392813e+00, 5.838443939293046725e+00, 4.091395896205460403e+00, 4.198033436858354506e+00, 3.757967931375563175e+00, 2.822838915928503223e+00, 3.143977860840616589e+00, 3.098677296283255167e+00, 3.524521644978974688e+00, 4.379477374047733740e+00
2.056000000000000000e+03, 3.971667703336017929e+00, 5.801577048997013542e+00, 2.627292842093349901e+00, 2.868427279668152696e+00, 3.954200747555828066e+00, 5.845277207984795886e+00, 4.138637112175533872e+00, 4.785144597204719297e+00, 3.926259227605501501e+00, 2.797009465638871539e+00, 3.298149244688616477e+00, 3.084961662366370927e+00, 3.475260879943270709e+00, 4.548489059669896584e+00
2.057000000000000000e+03, 4.135543015439344217e+00, 5.354439888439741502e+00, 2.646180191955525451e+00, 2.951193507255395421e+00, 4.290125955956084702e+00, 5.916819579834410980e+00, 4.236739047083170284e+00, 4.577772448739218625e+00, 3.944766368323298522e+00, 2.739751365336739575e+00, 3.197197161008258348e+00, 3.025369718361804239e+00, 3.525598875836773782e+00, 4.669790109816499779e+00
2.058000000000000000e+03, 4.302154157964340087e+00, 5.523178174723637035e+00, 2.629369955971393669e+00, 2.890328033542905128e+00, 4.157195775184243658e+00, 6.057493707982012587e+00, 3.875275036129029349e+00, 4.383677118307356402e+00, 3.676413698514917616e+00, 2.829203101591376779e+00, 3.145576363417424304e+00, 3.128975735546456693e+00, 3.489349992316738369e+00, 4.571574206781284566e+00
2.059000000000000000e+03, 4.245723681405973338e+00, 5.926455490466636888e+00, 2.583303719699902246e+00, 2.891560064938591079e+00, 3.981689284735119738e+00, 5.998177838732485334e+00, 4.000739359697889519e+00, 4.575036593766853343e+00, 3.931748158620033795e+00, 2.812473374233050105e+00, 3.406966055096208645e+00, 3.184983167801772819e+00, 3.691691854200765732e+00, 4.638100493892594045e+00
2.060000000000000000e+03, 4.232355784240043661e+00, 5.679708053118082134e+00, 2.612117948031527970e+00, 2.976592923596629081e+00, 4.013428820261330188e+00, 6.103881478771882030e+00, 3.903167130634522586e+00, 4.495888474941595270e+00, 4.009007976600177159e+00, 2.858477507581053789e+00, 3.455358849363887597e+00, 3.116938892553657858e+00, 3.642222545662225475e+00, 4.332659017167519444e+00
2.061000000000000000e+03, 4.337639575209618847e+00, 5.188569242511704260e+00, 2.614416840199856651e+00, 2.900166868788366159e+00, 3.965293409461200014e+00, 6.059560067313102927e+00, 4.361116161923537682e+00, 4.680339799804843715e+00, 3.806451484940181818e+00, 2.911702103665728902e+00, 3.068329426336073418e+00, 3.016390300993554430e+00, 3.404826019261465220e+00, 4.306053767792096920e+00
2.062000000000000000e+03, 4.315286612469294347e+00, 5.799334484550038304e+00, 2.636578621360211372e+00, 2.870531886123889986e+00, 3.734201860081999502e+00, 6.069699051379182642e+00, 4.230544247054755402e+00, 4.409039011543439024e+00, 3.886081083794640012e+00, 2.813720906359808094e+00, 3.123305533755414753e+00, 3.073988925003908523e+00, 3.612275640534555965e+00, 4.750656464941807045e+00
2.063000000000000000e+03, 4.379067527151527806e+00, 5.690970301115850560e+00, 2.599699435109090295e+00, 2.933940885211979488e+00, 3.980000816310242939e+00, 6.074340801508161469e+00, 4.154484235214153109e+00, 4.408669788453750904e+00, 3.992103223617027297e+00, 2.891306616238923599e+00, 3.252867576416919704e+00, 3.200785225894786645e+00, 3.672944379553293448e+00, 4.790903706583906185e+00
2.064000000000000000e+03, 4.302875091817803366e+00, 5.247771613877646679e+00, 2.672766566871446869e+00, 2.953184416688401370e+00, 4.140270133547087283e+00, 6.053955196574166919e+00, 3.892650175848472838e+00, 4.830050478942828462e+00, 4.037415853492744233e+00, 2.848184973826979327e+00, 3.306145230844705463e+00, 3.131910095127540039e+00, 3.662403835318149170e+00, 4.565382834456874761e+00
2.065000000000000000e+03, 4.300535253942165070e+00, 5.727900982213759207e+00, 2.707046661937100751e+00, 2.998411443852798453e+00, 4.264124100893329938e+00, 6.145319903351849078e+00, 4.226568858271560813e+00, 4.415426010716140048e+00, 3.970497909140875858e+00, 2.841401559536601340e+00, 3.172332904951111754e+00, 3.115260895778965811e+00, 3.639204741431243395e+00, 4.588825528370425566e+00
2.066000000000000000e+03, 4.293486219546812421e+00, 6.023624457335158944e+00, 2.678809321508182517e+00, 2.912376982676991855e+00, 4.182832099597963982e+00, 6.259747075656995285e+00, 4.522408659603454062e+00, 4.421318728234503226e+00, 3.821692677963467677e+00, 2.750122858829808781e+00, 3.398358735576465506e+00, 3.187129775960977796e+00, 3.627266526070915820e+00, 4.577431273570369719e+00
2.067000000000000000e+03, 4.279291027951308557e+00, 5.887085487402408113e+00, 2.620306245587735727e+00, 2.927606524923542342e+00, 4.164509578038946280e+00, 6.097578169637951184e+00, 4.281095240263256940e+00, 4.589119813506679968e+00, 3.990238360895207670e+00, 2.869565521927624818e+00, 3.726832076186091136e+00, 3.317614576142742688e+00, 3.780356804226473244e+00, 4.655273234878001709e+00
2.068000000000000000e+03, 4.263627608297493765e+00, 5.722901522049695267e+00, 2.633894091960989670e+00, 2.957720200747596895e+00, 3.827854152453014969e+00, 6.345111467235390101e+00, 3.876297810131549504e+00, 4.902218691241079895e+00, 4.025011388869859985e+00, 2.760569072322815121e+00, 3.314547432511887770e+00, 3.184194553824372775e+00, 3.636695904169752858e+00, 4.746750113636176494e+00
2.069000000000000000e+03, 4.282455847948594574e+00, 5.529899065041741224e+00, 2.589905891627050316e+00, 2.992568844855018728e+00, 4.179896722148678911e+00, 6.358123078242744697e+00, 4.366021540971409820e+00, 4.743715682694099378e+00, 3.934370706343822466e+00, 2.921867108997687978e+00, 3.281330966328137588e+00, 3.170926388556394304e+00, 3.597446441728930022e+00, 4.450618015961854468e+00
2.070000000000000000e+03, 4.407440858760617530e+00, 5.865108007734370688e+00, 2.646211196837804369e+00, 2.965357275067750376e+00, 3.454683951302156775e+00, 6.330234651925277234e+00, 4.403184366362734359e+00, 4.409237779507158450e+00, 4.039502278440175509e+00, 2.764254134873000535e+00, 3.162318759042910266e+00, 3.234519565384501583e+00, 3.741091742936845765e+00, 4.532724246977847926e+00
2.071000000000000000e+03, 4.311255501390035327e+00, 5.775316064208576350e+00, 2.642389465323100151e+00, 3.010324064156608692e+00, 4.067718749081781660e+00, 6.286884837941812521e+00, 4.154432121783788290e+00, 4.661998841275304173e+00, 4.009162196780551746e+00, 2.813348324032134418e+00, 3.369339073780321048e+00, 3.345162258733058280e+00, 3.556006426206866244e+00, 4.728336755981640493e+00
2.072000000000000000e+03, 4.270168189897984412e+00, 5.429527329623910603e+00, 2.567765082484467776e+00, 3.011757311003290472e+00, 4.383018471275098804e+00, 6.381137853165614438e+00, 4.104440613542695182e+00, 5.024065527048037438e+00, 4.091778572187948271e+00, 2.719460493034195014e+00, 3.579098511968870522e+00, 3.287383394401321990e+00, 3.697615278197303734e+00, 4.877773995386753825e+00
2.073000000000000000e+03, 4.468383078522202290e+00, 6.381505943074379239e+00, 2.688372600371780052e+00, 2.940129523538682399e+00, 4.396897569476809764e+00, 6.354461975659608797e+00, 4.352786696682032996e+00, 4.963736055646950085e+00, 4.101169325897575213e+00, 2.856337341028588384e+00, 3.291300269496412856e+00, 3.201454347221702967e+00, 3.828690391236154955e+00, 4.606237361722016921e+00
2.074000000000000000e+03, 4.466001222496581491e+00, 6.196519325113676757e+00, 2.594203871693588681e+00, 2.994073392070386141e+00, 4.037284274792646066e+00, 6.342494074737945020e+00, 3.971248371225236884e+00, 4.753102281923228034e+00, 3.986858043210826708e+00, 2.799895629715145162e+00, 3.213072837894772160e+00, 3.277476477510528952e+00, 3.758886737435578329e+00, 4.592821136592898590e+00
2.075000000000000000e+03, 4.370219592045971879e+00, 5.453667302511394865e+00, 2.576452957315038095e+00, 2.983826930497428975e+00, 4.253621304187166885e+00, 6.577666587902341711e+00, 4.464233154168701034e+00, 4.397695933080219000e+00, 4.149271245288685073e+00, 2.778120214892676021e+00, 3.639910305489789000e+00, 3.345177042327533545e+00, 3.549691241834743938e+00, 4.890579974476672476e+00
