year, EC-Earth3-Veg, CESM2-WACCM, IPSL-CM6A-LR, UKESM1-0-LL, ACCESS-ESM1-5, MPI-ESM1-2-LR, CMCC-CM2-SR5, MIROC-ES2L, CNRM-ESM2-1
2.015000000000000000e+03, 1.163704259932038382e-01, 6.471877347216903331e-01, 1.526238500363933936e-01, 1.123838390236368417e-01, 2.015780404224866373e+00, 9.989527146653990330e-01, 4.573986168754497483e-01, 1.770239936296829519e+00, 1.703141957232003345e-01
2.016000000000000000e+03, 1.149443152482629849e-01, 5.923253369772778498e-01, 1.476375311753491681e-01, 9.949817522255548219e-02, 2.109671612831913290e+00, 9.824955495503372438e-01, 4.522179180128829135e-01, 1.759067425507284232e+00, 1.589195255794974282e-01
2.017000000000000000e+03, 1.134000577731922449e-01, 5.587369719157952996e-01, 1.426946250531978821e-01, 9.341119961629368307e-02, 2.085280537727256078e+00, 9.686290860168278449e-01, 4.487335684951124781e-01, 1.752891156408693973e+00, 1.551645759479443609e-01
2.018000000000000000e+03, 1.125980753904816667e-01, 5.331018414308414943e-01, 1.386889421627703900e-01, 8.951808574454621359e-02, 2.071134152290865948e+00, 9.594806850366712769e-01, 4.469681811447222541e-01, 1.747194617237662229e+00, 1.545918792912406026e-01
2.019000000000000000e+03, 1.121878660256568627e-01, 4.986003589849959949e-01, 1.348707648972956308e-01, 8.662660516511863640e-02, 2.061534877959982026e+00, 9.486787684146801292e-01, 4.461158893335770426e-01, 1.745638702310462476e+00, 1.521525767937273732e-01
2.020000000000000000e+03, 1.116839863080982126e-01, 4.987017985353733307e-01, 1.317940667881320749e-01, 8.611149614746965719e-02, 2.054295665323534692e+00, 9.358107353468383405e-01, 4.434706256204153929e-01, 1.743593154872095097e+00, 1.538024846045449867e-01
2.021000000000000000e+03, 1.108625498424158778e-01, 4.713416333722986740e-01, 1.319616302590202461e-01, 8.660958924632926326e-02, 2.045683299190349747e+00, 9.362322220737199219e-01, 4.390722636580356442e-01, 1.747390787585517469e+00, 1.519268463199942021e-01
2.022000000000000000e+03, 1.103866500661931094e-01, 4.405806374281749926e-01, 1.297484737297313895e-01, 8.859016965824814682e-02, 2.038966201838832148e+00, 9.353531211824768210e-01, 4.355308217301808726e-01, 1.753906606780246458e+00, 1.490782208782238105e-01
2.023000000000000000e+03, 1.102174842371217989e-01, 4.209366933915058562e-01, 1.285450544533732198e-01, 9.133872834683405550e-02, 2.033559240058031126e+00, 9.358672329049789740e-01, 4.320060804791120423e-01, 1.761077183000738788e+00, 1.482680845842035688e-01
2.024000000000000000e+03, 1.106366986115633472e-01, 3.980630315738842295e-01, 1.297715752797926891e-01, 9.389725578617864887e-02, 2.029589018953565027e+00, 9.340899722926994109e-01, 4.282220542766646543e-01, 1.769932020004595374e+00, 1.490950627746007173e-01
2.025000000000000000e+03, 1.109332483013614479e-01, 4.001716909864512783e-01, 1.311196257555738154e-01, 9.503870134102174183e-02, 2.025955109151440947e+00, 9.338212476856142530e-01, 4.218442251639480389e-01, 1.778004757304347594e+00, 1.501541120734683210e-01
2.026000000000000000e+03, 1.099776284635681084e-01, 3.889003218248576754e-01, 1.297390392725714936e-01, 8.806487105184426789e-02, 1.999803342480456214e+00, 9.316496802677594058e-01, 4.137376609397273586e-01, 1.784440756238778292e+00, 1.395054067539319709e-01
2.027000000000000000e+03, 1.091309270780136814e-01, 3.781670682698314301e-01, 1.285653276178263249e-01, 8.295811379529305363e-02, 1.977679031100710860e+00, 9.344459526787373127e-01, 4.066611807968739112e-01, 1.794077763459975383e+00, 1.306749488738048193e-01
2.028000000000000000e+03, 1.083607473611766514e-01, 3.639602511384786854e-01, 1.276474189593517772e-01, 7.938645362133486816e-02, 1.957703359063004855e+00, 9.335410813002601449e-01, 4.006199596813945218e-01, 1.804833101873861478e+00, 1.229019996154185335e-01
2.029000000000000000e+03, 1.080083159480899058e-01, 3.634101376490252444e-01, 1.267408120439390273e-01, 7.650827713337966796e-02, 1.939923606127939903e+00, 9.318723904933037261e-01, 3.957493037018242621e-01, 1.815381500540937942e+00, 1.168911974579958518e-01
2.030000000000000000e+03, 1.077383990683203896e-01, 3.653594067871794859e-01, 1.257291780775867673e-01, 7.397033665532946889e-02, 1.923140191027960633e+00, 9.266053792634073583e-01, 3.900692603998836550e-01, 1.814628495273850728e+00, 1.119002839669076821e-01
2.031000000000000000e+03, 1.074313752064868094e-01, 3.531766061613048624e-01, 1.240419030936935896e-01, 7.290050819468787968e-02, 1.902975252045996379e+00, 9.261520574676187501e-01, 3.839812762349333886e-01, 1.815164513004905444e+00, 1.054415384148248008e-01
