year, UKESM1-0-LL, CNRM-ESM2-1, CMCC-ESM2, CanESM5, MPI-ESM1-2-LR, CESM2-WACCM, MIROC-ES2L
2.015000000000000000e+03, 1.238440058655370118e-09, -2.186788514497394985e-10, -1.199364354760362825e-10, 1.483821466361266486e-10, 3.234084816055972987e-10, -3.028043990319682982e-10, -5.961582156219679042e-10
2.016000000000000000e+03, -8.518130843624601271e-10, 7.244572931730454665e-11, 8.852974876815800604e-10, 4.418184872441614780e-10, -8.256305983210276252e-10, -6.879354707784552158e-10, 4.298862224757844185e-10
2.017000000000000000e+03, 1.307634680783550893e-09, -4.637729919767023159e-10, 1.128996731548183330e-09, 1.361719584330568562e-09, 4.320198642814202832e-10, 1.204153194306466016e-09, -5.746078072832488343e-11
2.018000000000000000e+03, -2.120788198832475828e-11, 1.291868277911265345e-09, -5.205387537564540140e-09, 5.013415096683698023e-10, 1.096489172541626484e-10, 9.864538322978375774e-10, 7.155522803361417972e-10
2.019000000000000000e+03, -7.499242501323088229e-10, 2.645081976621056699e-10, -3.998570680229076820e-09, -4.915340612931272631e-10, -7.444285520742893228e-10, 1.115008652129645394e-09, 3.248157729743089903e-10
2.020000000000000000e+03, -3.001145656182411261e-10, 7.852004124697893631e-10, 3.246206644991281462e-09, 4.943165615009432971e-10, 1.649908224134123047e-09, 2.379397701372403441e-09, 1.618064106302546710e-10
2.021000000000000000e+03, -9.395266960175597691e-10, -8.377947726402491660e-10, 2.031158335371969030e-09, 1.146771881169365649e-09, 7.116320427837958475e-10, 2.118269230481816111e-10, 2.610243643938632953e-10
2.022000000000000000e+03, 6.996973687551618779e-10, 8.054552925773057116e-10, 4.552592992799370038e-09, 1.679924520020885896e-09, 1.584492036731995892e-09, 7.790626110893878099e-10, 8.374155935404478857e-10
2.023000000000000000e+03, -1.523426128153792231e-10, 2.445032233289208113e-10, -3.614392828151090401e-09, -8.331839270648122997e-10, 1.069121977073597436e-10, 8.638809467139166164e-11, 9.187589331831207918e-10
2.024000000000000000e+03, 1.873813525963974419e-09, 5.609472931242689657e-10, -4.975536792428367292e-09, 1.062898624391313042e-09, 8.441785656275954678e-10, 3.374520162412022307e-10, 3.923469970024111145e-10
2.025000000000000000e+03, -2.739539036564196651e-09, 2.652575404701416966e-11, 8.418910261406858814e-10, 1.162675967121431939e-09, -3.890882193530197314e-10, 2.073267787853684785e-09, 6.744252432517993020e-10
