year, UKESM1-0-LL, CNRM-ESM2-1, IPSL-CM6A-LR, CESM2-WACCM
2.045000000000000000e+03, 3.920834016199274361e-09, 9.053571029420863744e-11, -4.019251895216233714e-09, 3.497687985961911650e-10
2.046000000000000000e+03, 3.565183925976140432e-09, 9.501699468388884701e-11, -3.792708870914101535e-09, 3.461525482095872873e-10
2.047000000000000000e+03, 4.067423452484160139e-09, 9.236527612605820249e-11, -3.785794510338448851e-09, 3.437347909640438464e-10
2.048000000000000000e+03, 3.565457469742598258e-09, 8.978065390539160702e-11, -4.179465245599940922e-09, 3.434281473281932849e-10
2.049000000000000000e+03, 3.842879550281485148e-09, 8.686902185139385952e-11, -3.971787008044866506e-09, 3.418359429803137441e-10
2.050000000000000000e+03, 3.773775511954045273e-09, 8.141474477460023551e-11, -4.126427950240106498e-09, 3.426812315520073424e-10
2.051000000000000000e+03, 3.975084280268987480e-09, 8.731060711319037556e-11, -4.034727836192204412e-09, 3.362070906076430864e-10
2.052000000000000000e+03, 3.663296711588232252e-09, 8.775899368615231150e-11, -3.883066879834460553e-09, 3.329179590441261472e-10
2.053000000000000000e+03, 3.697304703192630847e-09, 8.626004888356447088e-11, -3.986409974951500417e-09, 3.304639119363882583e-10
2.054000000000000000e+03, 4.021844434142186250e-09, 8.507493594519677976e-11, -4.271189010528366938e-09, 3.294655552496798670e-10
2.055000000000000000e+03, 4.199803166202625743e-09, 8.484179170329437431e-11, -4.072010241956056450e-09, 3.272083618711751739e-10
2.056000000000000000e+03, 4.246059033251477145e-09, 1.004519304780677964e-10, -4.012133706297455271e-09, 3.629748166653733081e-10
2.057000000000000000e+03, 3.887770128121230120e-09, 1.016295543279765086e-10, -4.340547319242739230e-09, 3.640270642905931442e-10
2.058000000000000000e+03, 3.758589190138668407e-09, 1.037653449776874123e-10, -4.146864582060046187e-09, 3.657595616433426528e-10
2.059000000000000000e+03, 4.211794501329685988e-09, 1.025683126279607237e-10, -4.231285988252073376e-09, 3.649545045680681269e-10
2.060000000000000000e+03, 4.098410080317847521e-09, 1.142651992929154964e-10, -4.270272724442941854e-09, 3.645430032733160588e-10
2.061000000000000000e+03, 3.586841162810424497e-09, 1.255726159387064048e-10, -4.155749456306316295e-09, 3.824880388135357583e-10
