year, CMCC-CM2-SR5, IPSL-CM6A-LR, TaiESM1, MIROC-ES2L, CNRM-ESM2-1, INM-CM5-0, EC-Earth3-Veg, NorESM2-MM, MPI-ESM1-2-LR, ACCESS-ESM1-5, INM-CM4-8, CanESM5, NorESM2-LM, UKESM1-0-LL, CESM2-WACCM, GFDL-ESM4
2.015000000000000000e+03, 3.654217968453952192e+00, 3.346691819499846954e+00, 3.056210806592760676e+00, 3.156262572594108473e+00, 2.770915810032995807e+00, 6.088156481786524132e+00, 3.896165764417345745e+00, 3.889094304325539042e+00, 4.720442588314040400e+00, 2.583820113956557307e+00, 6.317531026380247106e+00, 5.027978356093806944e+00, 3.464020255969480822e+00, 5.650722052546016450e+00, 3.845381912624230569e+00, 4.650183365503548494e+00
2.016000000000000000e+03, 3.943609498196213536e+00, 3.178310102414151128e+00, 3.694805937689971120e+00, 3.199346144722585716e+00, 2.898339834140929216e+00, 6.012500034498208024e+00, 3.329921962018479231e+00, 4.079270183984281317e+00, 4.562157450991838559e+00, 2.546701825091715499e+00, 6.194894299325525822e+00, 5.136326419611768834e+00, 3.732970586893667342e+00, 5.791287390736685303e+00, 3.612430409057213243e+00, 4.136876206887166951e+00
2.017000000000000000e+03, 4.268849525631281949e+00, 2.805082055585504275e+00, 4.080211614809885923e+00, 3.164902693084400642e+00, 2.695603495693752905e+00, 6.030730692849077812e+00, 3.734948239672074788e+00, 4.244564743012100294e+00, 4.784222364324985044e+00, 2.622549973607103180e+00, 6.050137089873047103e+00, 5.183327231672763880e+00, 3.447200465615375187e+00, 5.910560406249946830e+00, 3.937280176889796035e+00, 4.024449041560248297e+00
2.018000000000000000e+03, 4.048232544120183185e+00, 3.286054097906067728e+00, 3.429461087118721885e+00, 3.311627290045065397e+00, 3.022003052116463362e+00, 5.889730231774065849e+00, 4.070622495596342816e+00, 4.195323087844697874e+00, 4.647883479052761224e+00, 2.709687868329468063e+00, 6.224922328566774077e+00, 4.999847541754707692e+00, 3.346569124616101565e+00, 5.305730333118196640e+00, 3.871165710556185857e+00, 4.314328109999641114e+00
2.019000000000000000e+03, 3.748995375858913182e+00, 3.423663358867230944e+00, 3.372913026207772003e+00, 3.273091260142629189e+00, 2.944762743396465154e+00, 6.210318199140960616e+00, 3.954617903650722077e+00, 4.050855486277373352e+00, 4.415961799736941806e+00, 2.529872659004390734e+00, 6.360427455298521160e+00, 4.969587982832450734e+00, 3.662619393866539674e+00, 5.721723036011259644e+00, 3.873231216842764724e+00, 4.626294061701242022e+00
2.020000000000000000e+03, 3.727202287689638904e+00, 3.298844944303055193e+00, 4.085978664056572285e+00, 3.288877161396621673e+00, 2.977580819622513086e+00, 6.113833251748212128e+00, 3.661446447429841822e+00, 4.347800693668453675e+00, 5.177393346020990883e+00, 2.544856158809429392e+00, 6.370214663777646003e+00, 5.282498278517776313e+00, 3.629126187851545726e+00, 5.513553308549280274e+00, 4.242648889931193601e+00, 4.400786783399269098e+00
2.021000000000000000e+03, 4.180291671738403103e+00, 2.987436471912847225e+00, 4.591771485957930388e+00, 3.257317991358350540e+00, 2.606925143272441403e+00, 6.323280305995983674e+00, 3.800728853178551248e+00, 4.504780348639654264e+00, 4.906485482520100305e+00, 2.521722996693372298e+00, 6.237812390670529616e+00, 5.307878399468703101e+00, 3.286536664749217351e+00, 5.932966446384422277e+00, 3.927973465115401019e+00, 4.405266481064060713e+00
2.022000000000000000e+03, 4.218239700858056551e+00, 3.441109555318115465e+00, 3.766616743205774664e+00, 3.346386352115472196e+00, 3.041327091203550825e+00, 5.918126178631017531e+00, 3.908180680413462227e+00, 4.375208058603369921e+00, 5.074904579928461779e+00, 2.785082913867237497e+00, 6.093296928176449967e+00, 5.329304589321526286e+00, 3.542272691019852093e+00, 6.186821496971027123e+00, 3.953405600377386531e+00, 4.280116712322840300e+00
2.023000000000000000e+03, 4.185454929534650148e+00, 3.350225890375383653e+00, 3.863036191062040547e+00, 3.395355395999747561e+00, 2.934292308781797587e+00, 6.029323821985933307e+00, 4.009580164298708560e+00, 4.324459378441006585e+00, 4.884563005892686327e+00, 2.558675366249026695e+00, 6.318739235116964004e+00, 5.066356883900318131e+00, 3.963033729318677256e+00, 6.087796812233768229e+00, 3.656593111908021498e+00, 4.678329723338722879e+00
2.024000000000000000e+03, 3.773426936581714131e+00, 3.397990775656884566e+00, 4.137084207323902696e+00, 3.338650606486000427e+00, 2.966573419109978182e+00, 6.057524627309968324e+00, 3.811191166036907330e+00, 4.409805005207225292e+00, 4.849162367551306474e+00, 2.418611414801143056e+00, 6.175091107622172615e+00, 5.419086985096257081e+00, 3.843076998131716326e+00, 5.698811420521630033e+00, 3.823121271593710180e+00, 4.505645590952696011e+00
