year, NorESM2-MM, NorESM2-LM, TaiESM1, GFDL-ESM4, CNRM-ESM2-1
2.035000000000000000e+03, 6.027120553390061536e-10, 3.791181775231492470e-10, 5.970892800537859210e-10, 5.072540177232697366e-10, 1.172962041671821239e-10
2.036000000000000000e+03, 5.933131288038991880e-10, 4.521735532313284287e-10, 6.521102899127051324e-10, 1.243187863164682290e-09, 1.272720318897075633e-10
2.037000000000000000e+03, 6.670769763095945208e-10, 3.784692141878156601e-10, 3.802375539402061575e-10, 5.344482763522381781e-10, 1.304017130454794340e-10
2.038000000000000000e+03, 3.839509045562148631e-10, 3.206990720740161428e-10, 3.835964199753792019e-10, 3.071603285722724839e-10, 1.916868131957761264e-10
2.039000000000000000e+03, 3.075569122648768773e-10, 3.783102972476669424e-10, 1.505081168887570887e-09, 3.892176858620738850e-10, 1.442521588717432729e-10
2.040000000000000000e+03, 3.934036574547599038e-10, 4.603567450115571886e-10, 9.705481254390984321e-10, 4.385841391237889138e-10, 1.487083498127393763e-10
2.041000000000000000e+03, 2.346482965216949127e-10, 8.615778762725415886e-11, 3.716067079912918654e-10, 7.514635602681978514e-10, 1.317037851419398008e-10
2.042000000000000000e+03, 2.569384421679147295e-10, 1.642487613249208909e-10, 2.760692468065612752e-10, 5.597355527378292755e-10, 1.657101165483664152e-10
2.043000000000000000e+03, 1.443239053719015386e-10, 1.330322108980157343e-10, 1.156192724477949933e-09, 4.164349883732875729e-10, 1.095819157414461709e-10
2.044000000000000000e+03, 1.610706607419347510e-10, 1.342334480646095636e-10, 7.198149127835500006e-10, 5.880955296687452954e-10, 1.066535149567205093e-10
2.045000000000000000e+03, 1.589055399779421508e-10, 5.474030325452849919e-11, 4.145634141423027056e-10, 9.382291955042242868e-10, 1.529349072967231316e-10
2.046000000000000000e+03, 2.619426567279164679e-10, 2.006569011425661775e-10, 4.011623732742571417e-10, 4.203307640973764118e-10, 1.385885150117698354e-10
2.047000000000000000e+03, 3.813862211384976646e-10, 1.646180713843650593e-10, 1.646714963565453631e-09, 7.049043376552006444e-10, 1.297663085554367849e-10
2.048000000000000000e+03, 1.071789797860063377e-10, 2.415140907608735017e-10, 4.098441899286242962e-10, 9.886887438339668328e-10, 1.386093543225918072e-10
2.049000000000000000e+03, 1.786693757246431711e-10, 4.833304009906560566e-10, 3.188370153951045741e-10, 4.446479899206463411e-10, 1.188964112256086270e-10
2.050000000000000000e+03, 2.436030931294950856e-10, 3.072666837477053001e-10, 2.732717803033659534e-10, 5.424395399027891746e-10, 1.266468266502776342e-10
2.051000000000000000e+03, 1.507883495496790175e-10, 5.999045107656631872e-11, 4.708397785071252668e-10, 5.212082086868867500e-10, 1.131709123166742375e-10
2.052000000000000000e+03, 1.098380781763567493e-10, 6.946642480805044273e-11, 8.506859080518418661e-10, 2.869496137386671992e-10, 1.130786155371230170e-10
2.053000000000000000e+03, 1.460915186569250195e-10, 2.704448150920392941e-10, 7.249386482936430956e-10, 9.680981827026409657e-10, 9.661316262278153610e-11
2.054000000000000000e+03, 5.596449566319658302e-11, 1.521982210506045082e-10, 7.210963847773958198e-10, 3.677046022227413743e-10, 1.532011560699972577e-10
2.055000000000000000e+03, 1.163971948565324467e-10, 7.934878365852448715e-11, 5.904434791230764397e-10, 2.641976311071911419e-10, 1.083179975688059477e-10
2.056000000000000000e+03, 2.504470861152046846e-10, 2.366311985353049911e-10, 9.052597293729333732e-10, 7.523020106166094184e-10, 1.116512951444008046e-10
2.057000000000000000e+03, 2.512222975978942254e-10, 5.989022213522880323e-11, 1.082493073666946951e-09, 7.172414055942463967e-10, 1.684893386079157346e-10
2.058000000000000000e+03, 8.140734685300451856e-11, 1.117930447091238271e-10, 1.211487636102207446e-09, 4.974246576171787578e-10, 1.108407925911670687e-10
2.059000000000000000e+03, 1.187968312909984226e-10, 2.912113639210118972e-11, 8.073486899683687837e-10, 1.145979567072879287e-09, 1.029835386019553871e-10
2.060000000000000000e+03, 2.218858757403350485e-10, 5.128654645518918810e-11, 3.524299513655176926e-10, 8.874946472387184349e-10, 1.025511604894169399e-10
2.061000000000000000e+03, 1.119685266374893874e-10, 3.996153063425183051e-10, 4.921721854196188822e-10, 5.740538283581886543e-10, 7.556620655150527464e-11
2.062000000000000000e+03, 2.060503812114125615e-10, 3.587343686109819664e-10, 1.835581292267564421e-09, 8.622319387111194166e-10, 1.511636658584148367e-10
2.063000000000000000e+03, 8.287564695890773841e-11, 1.104811793528276006e-10, 5.844777803328665439e-10, 1.478038950691118730e-10, 1.063305979909955370e-10
