year, GFDL-ESM4, INM-CM4-8, NorESM2-MM, NorESM2-LM, MIROC-ES2L, INM-CM5-0, EC-Earth3-Veg, TaiESM1, UKESM1-0-LL, MPI-ESM1-2-LR, CNRM-ESM2-1, ACCESS-ESM1-5, IPSL-CM6A-LR, CanESM5, CMCC-CM2-SR5, CESM2-WACCM
2.015000000000000000e+03, 2.972148877747913502e+02, 2.981496822141639882e+02, 2.991494930777250829e+02, 2.991249603968459496e+02, 2.990184706849056511e+02, 2.981083139269766775e+02, 2.973798631648729724e+02, 2.982312115846921188e+02, 2.992171446147638676e+02, 2.976556600434934694e+02, 2.974409468917075969e+02, 3.005538247558689591e+02, 2.975555091873629863e+02, 2.995975615630570132e+02, 2.989534012153146136e+02, 2.989361533504603585e+02
2.016000000000000000e+03, 2.976201393229534347e+02, 2.981221264840448839e+02, 2.989168352847497090e+02, 2.990608820767375846e+02, 2.981098652310986949e+02, 2.979982874232842960e+02, 2.979239850942215639e+02, 2.986043143420629349e+02, 2.992616902396333671e+02, 2.981207285093007044e+02, 2.974418093246222270e+02, 3.004013067554953977e+02, 2.974798613079731808e+02, 2.997534490687301059e+02, 2.993795694951483597e+02, 2.995749612291562016e+02
2.017000000000000000e+03, 2.979669125377036494e+02, 2.982601249949943281e+02, 2.984877100194350419e+02, 2.992683155502514296e+02, 2.983535064996206643e+02, 2.979805300632241369e+02, 2.983358899466771277e+02, 2.981086866862103193e+02, 2.993123590567328165e+02, 2.979279694429706637e+02, 2.978845323057389578e+02, 3.003010148736827887e+02, 2.982142342538068647e+02, 2.993455673426306589e+02, 2.989875080595397208e+02, 2.991672835857040127e+02
2.018000000000000000e+03, 2.979065419337547951e+02, 2.981998851886256148e+02, 2.988135691945580561e+02, 2.993107667122079079e+02, 2.985887752130744843e+02, 2.981220721993893221e+02, 2.972977905896084962e+02, 2.977459005747226684e+02, 2.997336018390801087e+02, 2.977698541089529840e+02, 2.973460012435609201e+02, 3.002499644572201873e+02, 2.977643220876010446e+02, 2.996112751838682016e+02, 2.985904875465240025e+02, 2.990967072577518024e+02
2.019000000000000000e+03, 2.971983472056630831e+02, 2.983161687143707468e+02, 2.990183715705073269e+02, 2.993645526988399297e+02, 2.990720939841151562e+02, 2.981180845191834692e+02, 2.974468607188897522e+02, 2.981167809595429503e+02, 2.996147668609779657e+02, 2.984879028744650782e+02, 2.976134769771669539e+02, 3.005142134486252985e+02, 2.978104704125572653e+02, 2.998306935249937624e+02, 2.989135438527250130e+02, 2.990520679184430151e+02
2.020000000000000000e+03, 2.975604210683155202e+02, 2.982497782100874133e+02, 2.986561829603601836e+02, 2.991195809854517051e+02, 2.990415374492216642e+02, 2.981896386760947735e+02, 2.979380905515926088e+02, 2.989185051335780940e+02, 2.996516704146744132e+02, 2.976286921817456346e+02, 2.971584823050421846e+02, 3.005056994872539917e+02, 2.977016460063919681e+02, 2.996461620421281964e+02, 2.992126319168459645e+02, 2.988970151641657935e+02
2.021000000000000000e+03, 2.977404266802965935e+02, 2.983770667397375291e+02, 2.984439608745461214e+02, 2.992626258116208646e+02, 2.987627723747463619e+02, 2.980662053097412922e+02, 2.982429166482367577e+02, 2.982498454608820566e+02, 2.996082289277546806e+02, 2.976422788109278486e+02, 2.976806909762652822e+02, 3.006768608612647995e+02, 2.979574518561429954e+02, 2.997870322515014436e+02, 2.994197941198431749e+02, 2.991485946081492102e+02
2.022000000000000000e+03, 2.977677099265481502e+02, 2.985220520843107579e+02, 2.983992499129256544e+02, 2.997990790436463158e+02, 2.986478320409370326e+02, 2.983770599880934924e+02, 2.979120838204500501e+02, 2.979521953124017273e+02, 2.995067380876831749e+02, 2.974717824025209438e+02, 2.975538410527872770e+02, 3.000843540663687463e+02, 2.977274906212141445e+02, 2.997967616706000626e+02, 2.992665118751335172e+02, 2.990788726570394829e+02
2.023000000000000000e+03, 2.974570990388583027e+02, 2.984299625492608925e+02, 2.985765933681091155e+02, 2.992845023053771456e+02, 2.989419194480641977e+02, 2.983745038117954778e+02, 2.976278121613278245e+02, 2.979010909626030639e+02, 2.995100229546316086e+02, 2.976882482483957233e+02, 2.977102977938005210e+02, 3.006952374414277642e+02, 2.978404487387068116e+02, 3.002180416361385369e+02, 2.989230722426337366e+02, 2.989799894707772978e+02
2.024000000000000000e+03, 2.976044176299234891e+02, 2.983398604141038390e+02, 2.988235657537363181e+02, 2.989517253587099503e+02, 2.989884426945525320e+02, 2.983205083438479051e+02, 2.979086234233213872e+02, 2.980782913187055669e+02, 2.997374320437118627e+02, 2.978800172833434203e+02, 2.974978048746356762e+02, 3.008986417633624342e+02, 2.977541068701406175e+02, 2.998981210494702054e+02, 2.987350852960565248e+02, 2.995026024946980669e+02
