year, ACCESS-ESM1-5, NorESM2-LM, MPI-ESM1-2-LR, IPSL-CM6A-LR, EC-Earth3-Veg, INM-CM5-0, CanESM5, GFDL-ESM4, MIROC-ES2L, CNRM-ESM2-1, TaiESM1, CESM2-WACCM, INM-CM4-8, NorESM2-MM, CMCC-CM2-SR5, UKESM1-0-LL
2.033000000000000000e+03, 8.399756458926047387e+00, 9.096127584573476810e+00, 1.197050372076189362e+01, 8.697888041024155470e+00, 9.777845773729149315e+00, 1.535843067353310154e+01, 1.141285045029003342e+01, 9.377834372662135820e+00, 6.839145368451000628e+00, 9.430904294869119298e+00, 1.399145708584454262e+01, 1.009089990517311719e+01, 1.573502749914902665e+01, 1.076508100561916237e+01, 9.767972274228091223e+00, 1.294782987568487087e+01
2.034000000000000000e+03, 8.382680959614772220e+00, 8.805642298836540149e+00, 1.233753866866351245e+01, 8.841796046119592134e+00, 9.453750808067569622e+00, 1.572091436593287384e+01, 1.132059747909106306e+01, 9.397584814119714025e+00, 6.929969201289131853e+00, 9.394855885575465138e+00, 1.430256957771333148e+01, 1.039618286961979443e+01, 1.587130528917979433e+01, 1.093973890500457458e+01, 1.115532915566575944e+01, 1.176311953814568056e+01
2.035000000000000000e+03, 8.684118247157410764e+00, 9.056649548763388680e+00, 1.291392103420818671e+01, 8.177147024908830275e+00, 9.489903716222935159e+00, 1.542670468606753786e+01, 1.119031855698034583e+01, 9.595608176794971911e+00, 6.853598865284058483e+00, 9.528024583602348940e+00, 1.447162743506930482e+01, 1.048277774066852430e+01, 1.562124262538497277e+01, 1.076205494337335189e+01, 1.172578472730939758e+01, 1.214250110336298327e+01
2.036000000000000000e+03, 8.584944745319443626e+00, 9.229754679195899314e+00, 1.302073676274652136e+01, 8.435758355552760435e+00, 9.568904443095020085e+00, 1.522617162473355634e+01, 1.140668756881234280e+01, 9.234908478452096503e+00, 7.109327831264675268e+00, 9.833530712854836153e+00, 1.394087137285790590e+01, 1.019067993678082118e+01, 1.616248002826540997e+01, 1.067899946324086180e+01, 1.177683993445253030e+01, 1.288705660213212667e+01
2.037000000000000000e+03, 8.166267178789420100e+00, 9.243742704627594620e+00, 1.287658043983816114e+01, 9.068969998225915319e+00, 9.789359022918983300e+00, 1.580835459735869897e+01, 1.124698667154352094e+01, 9.162369071737520798e+00, 6.979970409631649275e+00, 1.008908867612285398e+01, 1.465392152694301764e+01, 1.015078415136847134e+01, 1.605039387554397123e+01, 1.032863142268236700e+01, 1.079317992548324234e+01, 1.295579623362223565e+01
2.038000000000000000e+03, 8.594422879928831804e+00, 9.559528644259962959e+00, 1.173115921530845185e+01, 7.864497530568105077e+00, 9.599672798429892850e+00, 1.555531194677635298e+01, 1.151174941283785991e+01, 9.647258181154823475e+00, 7.307258228174847048e+00, 9.362400500407323634e+00, 1.498269697963731772e+01, 1.018233182632409140e+01, 1.567677445814049264e+01, 1.087415212801775866e+01, 1.008748133944167158e+01, 1.325877460757841320e+01
2.039000000000000000e+03, 9.077771780903725940e+00, 9.404666419194830596e+00, 1.228138425368134712e+01, 8.025558669221728891e+00, 9.449036861063602188e+00, 1.556774592976744565e+01, 1.167074711557395261e+01, 9.653878340984684669e+00, 7.043746121105868951e+00, 9.060652673957161340e+00, 1.310366684580218966e+01, 9.967901820070476759e+00, 1.603104573715338432e+01, 1.117654997368136627e+01, 1.137749199586052207e+01, 1.313830051401255439e+01
2.040000000000000000e+03, 8.909246745805717183e+00, 9.424826800390428971e+00, 1.363318157830620869e+01, 8.860399075559847404e+00, 9.693806089598751896e+00, 1.617646460416208143e+01, 1.171803185052936591e+01, 9.710979624006526478e+00, 6.987232251123615789e+00, 9.786214015080705764e+00, 1.341196438911177324e+01, 1.012067761934652133e+01, 1.613168400439111139e+01, 1.112906480974750423e+01, 1.212149873973599234e+01, 1.225351683293863836e+01
2.041000000000000000e+03, 9.171452324975701842e+00, 9.291554331658767651e+00, 1.333458998011897556e+01, 8.514316046121013670e+00, 9.954031594234228564e+00, 1.598418079230499345e+01, 1.171309217704077632e+01, 9.756375336615269234e+00, 7.356825434229690153e+00, 9.452367263586598511e+00, 1.481142408274294731e+01, 9.994364092432022062e+00, 1.620292293626648572e+01, 1.101415361294403539e+01, 1.203976286744045510e+01, 1.383114937051436044e+01
2.042000000000000000e+03, 8.715703565389103957e+00, 9.147201264613608274e+00, 1.284930424003350069e+01, 8.767014593274049972e+00, 9.669632529527500964e+00, 1.588673270092770551e+01, 1.174490043253317140e+01, 9.438309035039468498e+00, 7.288411615346829464e+00, 1.005547386412262156e+01, 1.524426742469659324e+01, 1.028343870861245435e+01, 1.657731776343317165e+01, 1.074808305220800619e+01, 1.201143495269425721e+01, 1.398234688333951148e+01
2.043000000000000000e+03, 8.553140775459150191e+00, 9.358359193005931331e+00, 1.294088637906864747e+01, 8.930208993508712112e+00, 9.704145482327259487e+00, 1.570302384177462152e+01, 1.167285670913914153e+01, 9.971295894030314244e+00, 7.241708649784968976e+00, 9.689233993734184480e+00, 1.395750092953391430e+01, 1.032441328612747711e+01, 1.622133066704054372e+01, 1.116786115210363661e+01, 1.017322591408897914e+01, 1.261501762308078334e+01
2.044000000000000000e+03, 8.701968295986738156e+00, 9.325168140629935820e+00, 1.228013324066486689e+01, 8.479471781332852842e+00, 9.972358313976101840e+00, 1.541185645939763482e+01, 1.172060129945394813e+01, 9.991224363488798943e+00, 7.237765813252484470e+00, 1.005776739088420868e+01, 1.349362883443756722e+01, 1.066777061285713124e+01, 1.593812410289466364e+01, 1.124703201907030170e+01, 1.059741412367937308e+01, 1.338723419401866721e+01
2.045000000000000000e+03, 9.184908199422052277e+00, 9.654667832561926843e+00, 1.314356709538942347e+01, 8.857259798704314235e+00, 9.905580656673993900e+00, 1.578088577922832592e+01, 1.158835007043190402e+01, 9.467502927411983293e+00, 7.377164679335924014e+00, 1.022524560178027464e+01, 1.484001248898154302e+01, 1.039185353149518853e+01, 1.663433394496285089e+01, 1.126992506465983013e+01, 1.267133079414793428e+01, 1.294124119923555760e+01
2.046000000000000000e+03, 9.098486613586535654e+00, 9.722326955035139662e+00, 1.268591520156330787e+01, 8.379626046104981185e+00, 9.716170224022592450e+00, 1.587924502620009193e+01, 1.166073486688494576e+01, 9.898120935766108630e+00, 7.333661209690263583e+00, 9.995533777158787103e+00, 1.528938841221266998e+01, 1.060146907395881932e+01, 1.674948101652237398e+01, 1.123392455359843467e+01, 1.225867720873447730e+01, 1.215126339963908464e+01
2.047000000000000000e+03, 8.762162061313153671e+00, 9.828768583297499362e+00, 1.346688589319828822e+01, 8.685128379309668745e+00, 9.894444843496065900e+00, 1.595610837183324726e+01, 1.227899209837109318e+01, 9.664554438718431228e+00, 7.349010745333353967e+00, 1.011959739017338755e+01, 1.301374565795872584e+01, 1.099500144588822970e+01, 1.644691997084517254e+01, 1.091945211045156938e+01, 1.254693258435655068e+01, 1.340137973409121841e+01
2.048000000000000000e+03, 8.847728755199822714e+00, 9.698203799380632262e+00, 1.381063227421516793e+01, 9.134622655246680267e+00, 1.012888329811056387e+01, 1.590470966551084686e+01, 1.216721767203144999e+01, 9.437358115488569510e+00, 7.314983048038362412e+00, 1.020417406591654164e+01, 1.368693932555336623e+01, 1.093131632015345289e+01, 1.620792692461126805e+01, 1.161627453397309395e+01, 1.124451840926660928e+01, 1.216162417140335883e+01
2.049000000000000000e+03, 8.902182339598564198e+00, 9.549155710596933133e+00, 1.348455519840776162e+01, 8.496618312664892869e+00, 1.004645728258398485e+01, 1.585177425415816366e+01, 1.190012387282772188e+01, 9.910947483019455717e+00, 7.600697256591594453e+00, 1.006931204203544894e+01, 1.483523890920254829e+01, 1.076923007206015193e+01, 1.647867890954220726e+01, 1.170797505066982502e+01, 1.132786529868453584e+01, 1.287287685645646818e+01
2.050000000000000000e+03, 9.215182747978744260e+00, 9.677577952267517603e+00, 1.381268734333879067e+01, 9.191928353747574221e+00, 1.006668333850374353e+01, 1.629546655042356207e+01, 1.179821171811597935e+01, 9.934688330256655320e+00, 7.444194621447597804e+00, 1.024852591789030321e+01, 1.576496930665443053e+01, 1.079279926880071727e+01, 1.675405153638001821e+01, 1.146295826696681175e+01, 1.257060865925830484e+01, 1.282633358333241347e+01
2.051000000000000000e+03, 9.332910642298166692e+00, 9.873188987034344777e+00, 1.351697265117705271e+01, 8.645268024097143567e+00, 1.014648885264951161e+01, 1.600874270260224463e+01, 1.186202195179340713e+01, 9.831995837814508477e+00, 7.575290053598894957e+00, 1.031178540694438439e+01, 1.543741284536975655e+01, 1.062845832051221073e+01, 1.629539069130004236e+01, 1.113093502226063158e+01, 1.234615126234969473e+01, 1.342379790237054493e+01
