year, GFDL-ESM4, EC-Earth3-Veg, MPI-ESM1-2-LR
2.015000000000000000e+03, 2.750059923530258757e-10, 8.059879777398272271e-11, 3.701141291484271445e-09
2.016000000000000000e+03, 2.758049805948010466e-10, 8.615124239015409596e-11, 3.463001744693844690e-09
2.017000000000000000e+03, 2.434891939426669654e-10, 8.148716204038000850e-11, 3.596541555342896215e-09
2.018000000000000000e+03, 2.282162498841183114e-10, 9.297543997104466171e-11, 3.458927180891602698e-09
2.019000000000000000e+03, 2.559143824747549951e-10, 8.555659741541376764e-11, 3.167006658227749631e-09
2.020000000000000000e+03, 2.806536585473427617e-10, 8.760325033503901423e-11, 3.669085128729306869e-09
2.021000000000000000e+03, 2.684408347999081148e-10, 8.687093441474697859e-11, 3.779867249193300017e-09
2.022000000000000000e+03, 2.740460176372365448e-10, 8.824174336726595772e-11, 3.902309353898922579e-09
2.023000000000000000e+03, 2.561313747186847116e-10, 9.028994857016910950e-11, 3.771338147775256959e-09
2.024000000000000000e+03, 2.876253063635565139e-10, 9.346457726066576093e-11, 3.693346631097738105e-09
2.025000000000000000e+03, 2.772997586433385750e-10, 9.185036264801908250e-11, 3.487288014026357763e-09
2.026000000000000000e+03, 2.749784436831513842e-10, 9.388846564963407235e-11, 3.772145353099958414e-09
2.027000000000000000e+03, 2.641671231697332263e-10, 9.180952916834969527e-11, 3.719035504174719158e-09
2.028000000000000000e+03, 2.769581971331952642e-10, 8.303728871303771743e-11, 3.417413307681067137e-09
2.029000000000000000e+03, 2.729959992774940327e-10, 8.906685033064995305e-11, 3.295963075400963816e-09
2.030000000000000000e+03, 2.653120577048252238e-10, 8.814340625254401235e-11, 3.818126581717389899e-09
2.031000000000000000e+03, 2.644579105580394405e-10, 8.975418458156943911e-11, 4.165526324596854352e-09
2.032000000000000000e+03, 2.831410381072967079e-10, 8.373584077632120819e-11, 3.909782254371173092e-09
2.033000000000000000e+03, 2.701290467304615441e-10, 9.003773106412745695e-11, 3.457423258221928418e-09
2.034000000000000000e+03, 2.668212652502245288e-10, 9.163829091599972666e-11, 3.504041410648222676e-09
2.035000000000000000e+03, 2.738556479876590274e-10, 8.461539598532592501e-11, 3.811145499209850019e-09
2.036000000000000000e+03, 2.802068378540292512e-10, 9.229922297914252887e-11, 3.894385654391749705e-09
2.037000000000000000e+03, 2.725602347471598382e-10, 8.873011577365787356e-11, 3.772059344066678651e-09
2.038000000000000000e+03, 2.634133089690515434e-10, 9.452083328575140029e-11, 3.344848682463172635e-09
2.039000000000000000e+03, 2.805503355679797639e-10, 8.867254876444954832e-11, 3.368629140197775238e-09
2.040000000000000000e+03, 2.794720109885157052e-10, 8.747739328520186385e-11, 4.004783765241068989e-09
2.041000000000000000e+03, 2.837851400094701539e-10, 9.107924594403912624e-11, 3.989758588947834335e-09
2.042000000000000000e+03, 2.770832737086779008e-10, 9.397053567068309897e-11, 3.820935126759736940e-09
2.043000000000000000e+03, 2.610447566335450142e-10, 8.838581343039763194e-11, 3.711688159513436754e-09
2.044000000000000000e+03, 2.816054174818821387e-10, 9.106544449933910120e-11, 3.501214949604754570e-09
2.045000000000000000e+03, 2.874346296255898856e-10, 9.041002032010396874e-11, 3.666230602692876816e-09
