year, CMCC-ESM2, MPI-ESM1-2-LR, CESM2-WACCM, UKESM1-0-LL, ACCESS-ESM1-5, CNRM-ESM2-1, IPSL-CM6A-LR, MIROC-ES2L
2.036000000000000000e+03, 4.551224820906216161e-10, 4.582342414493922446e-09, 1.634148119537828019e-09, 2.502433600967358332e-11, 2.608654293105645645e-10, 8.450062555711227969e-11, 3.318019052098486275e-09, 3.606735932208685726e-09
2.037000000000000000e+03, 4.531195438521607265e-10, 4.583582431162805295e-09, 1.504432343679733661e-09, 2.106100622653687046e-11, 2.502121546468593206e-10, 8.354364183630310105e-11, 3.708885052854108198e-09, 3.647316939023232657e-09
2.038000000000000000e+03, 4.514313384714863791e-10, 4.569280722128379625e-09, 1.524617324348802300e-09, 1.920682015949721809e-11, 2.427422692230892327e-10, 8.244488482449998219e-11, 3.204811012076230339e-09, 3.689059415614165534e-09
2.039000000000000000e+03, 4.501238053255069301e-10, 4.519209258412707573e-09, 1.408184300995818872e-09, 1.817255109462365517e-11, 2.368705756877315138e-10, 8.077627001258279672e-11, 3.063415288746591067e-09, 3.725388779199993552e-09
2.040000000000000000e+03, 4.457764444626115367e-10, 4.471357132884067766e-09, 1.466343221464273050e-09, 1.739696391339584554e-11, 2.316489610864427367e-10, 7.899472222723287525e-11, 3.485806497643435332e-09, 3.694190832610107434e-09
2.041000000000000000e+03, 4.392798991759579961e-10, 4.506953697000295242e-09, 1.317903343144778932e-09, 1.635562281188803836e-11, 2.194310274987369603e-10, 7.654212978761151933e-11, 3.393458822279974984e-09, 3.685941185797156435e-09
2.042000000000000000e+03, 4.341990344479607030e-10, 4.528885171424418924e-09, 1.398947334292239485e-09, 1.572920183784740163e-11, 2.115478070723621378e-10, 7.296336109994628904e-11, 3.503214114680717560e-09, 3.723808603318748866e-09
2.043000000000000000e+03, 4.301435440868339094e-10, 4.511533086322321438e-09, 1.418416436086034264e-09, 1.642443212612318055e-11, 2.061932115880095713e-10, 6.783911752212430863e-11, 3.549287833484549930e-09, 3.753341676609626370e-09
2.044000000000000000e+03, 4.267619082666343013e-10, 4.506841693673891673e-09, 1.574935833473519965e-09, 1.705114138303161272e-11, 2.010798431547433511e-10, 6.224989784754475579e-11, 3.476337264534889296e-09, 3.741229059439908009e-09
2.045000000000000000e+03, 4.237247113486343432e-10, 4.490226186518056312e-09, 1.530905993178222263e-09, 1.645676323906680296e-11, 1.966082377988853134e-10, 5.855488617942513974e-11, 3.635579877762786072e-09, 3.743834861533830695e-09
2.046000000000000000e+03, 4.206179139299736440e-10, 4.507073876848800185e-09, 1.381679370479909321e-09, 1.231944691357133724e-11, 1.892033284419845589e-10, 5.552316390966155366e-11, 3.409160418136908486e-09, 3.774633978336796390e-09
2.047000000000000000e+03, 4.176778862247848646e-10, 4.483194995737112766e-09, 1.652068411580525029e-09, 1.007512765967428516e-11, 1.841432724923018136e-10, 5.303465178903744020e-11, 3.402538864200503808e-09, 3.798920029116702915e-09
2.048000000000000000e+03, 4.152448149441469552e-10, 4.497278564408322383e-09, 1.741475041871547730e-09, 8.966470597236390184e-12, 1.801772592845770071e-10, 4.982991997526862748e-11, 3.793697181171671239e-09, 3.808521923199575832e-09
2.049000000000000000e+03, 4.142703794942595448e-10, 4.500998903704164960e-09, 1.480814736090879254e-09, 8.303461942592776699e-12, 1.765423535925817992e-10, 4.676698941282439262e-11, 3.586396758995246440e-09, 3.806816239746897718e-09
2.050000000000000000e+03, 4.168839742378215015e-10, 4.497062964917798568e-09, 1.540120723686525154e-09, 7.751351643431462788e-12, 1.741705906636027991e-10, 4.133500575179884354e-11, 3.766804370589186778e-09, 3.839383887571426456e-09
2.051000000000000000e+03, 4.209571781392601720e-10, 4.520281192672023908e-09, 1.529296979125314892e-09, 7.012111129703633245e-12, 1.772280465961098164e-10, 4.086369750549963331e-11, 3.675556903108617448e-09, 3.855916165503074122e-09
2.052000000000000000e+03, 4.237929334266650310e-10, 4.486448942878832327e-09, 1.403402175494333271e-09, 6.495295067405363975e-12, 1.772308471209206960e-10, 4.043644158064300333e-11, 3.524761379742949160e-09, 3.855288473216114865e-09
2.053000000000000000e+03, 4.262024873595550236e-10, 4.489613979686681061e-09, 1.694165876632193282e-09, 6.111322270071574259e-12, 1.763098010906682925e-10, 3.844211015050047350e-11, 3.628202630723284115e-09, 3.862632149558856092e-09
2.054000000000000000e+03, 4.282076176686318297e-10, 4.500868256039061449e-09, 1.893343818628173125e-09, 5.812799734983823085e-12, 1.749849563046167223e-10, 3.747371895853635265e-11, 3.913688124844694956e-09, 3.865138852827744013e-09
