year, GFDL-ESM4, NorESM2-LM, NorESM2-MM, ACCESS-ESM1-5, INM-CM4-8, UKESM1-0-LL, MPI-ESM1-2-LR, CESM2-WACCM, CNRM-ESM2-1, MIROC-ES2L, CMCC-CM2-SR5, EC-Earth3-Veg, INM-CM5-0, TaiESM1, IPSL-CM6A-LR, CanESM5
2.015000000000000000e+03, 7.226030885876455478e+00, 6.856131389535885745e+00, 6.960980042150928249e+00, 7.744248699776834499e+00, 8.804711840426348246e+00, 5.994073709385489224e+00, 5.714154423063943611e+00, 6.767296009434099702e+00, 6.805705906578816133e+00, 6.512812200483714342e+00, 6.788975632347487910e+00, 6.741454082458055552e+00, 9.217788570396919567e+00, 5.664567724611519139e+00, 9.601345804315906562e+00, 7.942563358193131862e+00
2.016000000000000000e+03, 6.019356135494553506e+00, 7.210458913293535055e+00, 6.964104145710677152e+00, 7.622535166781882587e+00, 8.717039655256970221e+00, 6.816782048006989392e+00, 5.873116802178902418e+00, 8.090757384041172173e+00, 6.867462241614096463e+00, 6.348555835329737995e+00, 7.981286368478699877e+00, 5.323347217753964244e+00, 8.814956698924587997e+00, 7.409207002365713279e+00, 9.764611129671083134e+00, 7.890113753033266342e+00
2.017000000000000000e+03, 5.853546015443395589e+00, 6.824151355241438566e+00, 6.865420228497124633e+00, 8.142067696507718111e+00, 8.793733316992728533e+00, 6.154475999614595239e+00, 5.856388689158463556e+00, 7.440381270077940812e+00, 6.341412280585000616e+00, 6.044285326632437894e+00, 7.576107140800716344e+00, 6.580964906402782866e+00, 8.908085270240036380e+00, 7.154368353447105200e+00, 1.072375014621857581e+01, 7.919113491148772610e+00
2.018000000000000000e+03, 7.703388734937850479e+00, 6.328444573065142187e+00, 7.112780537048813301e+00, 7.770445153341805522e+00, 9.099704961719234930e+00, 5.880223483189653599e+00, 5.667467018605485407e+00, 6.856180092833789708e+00, 6.697498960270056756e+00, 5.749700700558555866e+00, 7.583747774650741569e+00, 7.007921389443978910e+00, 9.181317111828548150e+00, 6.621474143522026345e+00, 9.589551346670871723e+00, 7.754545036043301032e+00
2.019000000000000000e+03, 7.187914244274591802e+00, 7.600875447895488968e+00, 7.516138793962118037e+00, 7.543469702001380561e+00, 8.600873944840007113e+00, 6.594246878773325271e+00, 5.165935312804470492e+00, 8.083886585756051346e+00, 6.882228182296593388e+00, 5.951652563923771844e+00, 7.366826911744531081e+00, 6.325514771129933322e+00, 9.266307096712091962e+00, 6.088021540622531980e+00, 8.988571609395952677e+00, 8.141189387177730552e+00
2.020000000000000000e+03, 7.433926162706542051e+00, 6.879364430133345643e+00, 7.541756277403388609e+00, 6.996809780931996237e+00, 9.022007859819412445e+00, 6.146463401688799344e+00, 6.392516515498919638e+00, 7.990456054297312427e+00, 6.739314147237590369e+00, 6.254843006386530568e+00, 6.849417685305474457e+00, 6.224881197302233105e+00, 9.465859955871287923e+00, 7.504533477585392021e+00, 9.622845520069247982e+00, 8.051310319299458840e+00
2.021000000000000000e+03, 5.931460568377726617e+00, 5.816251118056049663e+00, 7.969241572111153360e+00, 7.988996114162828732e+00, 8.609300227897101365e+00, 6.646940162933275609e+00, 5.959575048732264513e+00, 7.255773902104142081e+00, 6.409191941495753220e+00, 6.298525829324668202e+00, 6.474527933672498570e+00, 6.029325883088241689e+00, 9.261463625125934129e+00, 7.383356767665519627e+00, 1.023932451679574029e+01, 7.555255895899444241e+00
2.022000000000000000e+03, 6.821345060101276836e+00, 7.532473275199774498e+00, 7.484949927862693642e+00, 7.380865919169427691e+00, 8.826617920010823681e+00, 6.507191429008673644e+00, 6.061511597233195658e+00, 7.435969995244756880e+00, 6.996106018084689460e+00, 6.229098974869597072e+00, 7.631495423895344743e+00, 6.262553609979389257e+00, 9.362353029964239681e+00, 7.362712880557966244e+00, 9.211162638880985298e+00, 7.765156057900629349e+00
2.023000000000000000e+03, 6.937761031961068525e+00, 7.491773627380467815e+00, 7.741556318907642620e+00, 7.133026226375670298e+00, 8.852374671535844897e+00, 6.585800192926240193e+00, 6.252650819812131111e+00, 5.760043378844310169e+00, 7.008463547590518594e+00, 6.123599957267988891e+00, 7.172604173791143012e+00, 6.038531464590334963e+00, 8.977396572859335677e+00, 7.105873926043915212e+00, 9.885903303383638985e+00, 7.890751114413582457e+00
2.024000000000000000e+03, 6.345916259529250425e+00, 6.429483376563883468e+00, 7.990624929267397647e+00, 7.669498196580979865e+00, 8.814675620144493351e+00, 5.801713465245644130e+00, 5.612835313211614441e+00, 7.698621976712279213e+00, 6.768126759959748995e+00, 6.216201184249638523e+00, 7.240956445010167997e+00, 5.997709888415081458e+00, 9.386680798622373700e+00, 6.178159353040732604e+00, 9.930140646384646885e+00, 7.969428893263028613e+00
2.025000000000000000e+03, 6.575235707646569061e+00, 7.724843693985134152e+00, 8.205704128106438233e+00, 7.632709894932760974e+00, 8.994473712231727092e+00, 6.570711046534060351e+00, 6.006664314046947339e+00, 7.510281120077189065e+00, 6.548054475069583269e+00, 6.095267322838712865e+00, 7.028502960348806283e+00, 6.578624368599067296e+00, 9.004416709152291531e+00, 6.620099417111392270e+00, 1.035741385723903996e+01, 7.642960018706664194e+00
2.026000000000000000e+03, 6.943502066378211879e+00, 6.935843707122757884e+00, 7.575751514133470366e+00, 7.657812684275375759e+00, 8.873528827673188957e+00, 6.030848238814082940e+00, 6.123839374158499993e+00, 7.510343302784362685e+00, 6.320368968042130220e+00, 5.873797984311948994e+00, 5.922151684843198538e+00, 6.998400708444233231e+00, 8.851500162861158927e+00, 6.926459546301581227e+00, 9.565335910922264873e+00, 7.886959474937641268e+00
2.027000000000000000e+03, 7.197571144304645507e+00, 6.772595432918236291e+00, 6.713393074711734521e+00, 7.529889510563544164e+00, 8.782351470139827754e+00, 6.192268478473230253e+00, 5.797169063156045965e+00, 6.938622021510178151e+00, 6.146144243714826594e+00, 5.824183020272408307e+00, 7.117756176111035060e+00, 7.062734910374075525e+00, 8.806970015249957484e+00, 7.455778453891241497e+00, 9.579538592390672846e+00, 7.288071055327109526e+00
2.028000000000000000e+03, 6.396664177129655293e+00, 7.622649519494384407e+00, 7.801440026233091629e+00, 7.679755850795813465e+00, 9.435776041791848812e+00, 6.347741795387228159e+00, 4.876238606375230766e+00, 7.470895195578182602e+00, 6.325785374823574614e+00, 6.410612209063153877e+00, 6.459042883457128958e+00, 6.526472981510408999e+00, 9.536870046104917620e+00, 6.976479488216550173e+00, 1.036667042390000582e+01, 8.327404277157391732e+00
2.029000000000000000e+03, 6.632479098496337322e+00, 7.649731890650353527e+00, 7.654426638956431717e+00, 8.880652248405841220e+00, 9.142426543847246734e+00, 6.962223143338751363e+00, 5.945115383969504563e+00, 7.970434615750188634e+00, 6.328268233144639154e+00, 6.375073213353617874e+00, 7.289471209154772424e+00, 6.904920224844387278e+00, 9.395333266786682458e+00, 5.627429421415019561e+00, 1.090513486513683006e+01, 7.878700765138755280e+00
2.030000000000000000e+03, 7.616158143662318025e+00, 7.569043748323077914e+00, 7.776958300871232410e+00, 7.916341345689089870e+00, 8.944705998327521002e+00, 6.233047096998300063e+00, 6.694454401885948869e+00, 7.664593266096094482e+00, 6.703768480012840314e+00, 6.104080956850572726e+00, 7.302269407362694587e+00, 6.877909731988311570e+00, 9.357590000054882395e+00, 7.445888046296788687e+00, 9.445218858937739270e+00, 7.866614441709685934e+00
2.031000000000000000e+03, 6.592982358670133713e+00, 7.713803020920516396e+00, 7.189365876382741938e+00, 7.305404195144290291e+00, 8.992831227242712444e+00, 5.826001361685336555e+00, 6.377949596686774747e+00, 7.462848804326362107e+00, 6.549109123009685618e+00, 5.586691895536337604e+00, 7.292675775396866733e+00, 5.736881389351525584e+00, 8.919110597437912347e+00, 7.179730088751813177e+00, 9.100657072170982076e+00, 7.777715153117073399e+00
2.032000000000000000e+03, 6.257833769640968491e+00, 7.365461849629167723e+00, 8.018022819200973927e+00, 7.344212600016276404e+00, 9.356502007776928309e+00, 6.773797892259564080e+00, 5.743238326535844429e+00, 7.811420465749115749e+00, 6.634996168479522893e+00, 6.493432670589392330e+00, 6.719585176223856315e+00, 6.079180240522199519e+00, 9.385954961192657819e+00, 6.866230571360927293e+00, 9.886207743612777321e+00, 8.169604896583098963e+00
2.033000000000000000e+03, 6.523000649715505084e+00, 7.087838195386646056e+00, 8.211813650026600797e+00, 7.281805742531574310e+00, 9.104974352440720509e+00, 6.277607437034096627e+00, 4.979394414823922865e+00, 7.472883445870355246e+00, 6.344455891917539780e+00, 6.491951439433534254e+00, 5.999157971176900972e+00, 7.182249211477215844e+00, 9.062559004761158832e+00, 7.447383956284657103e+00, 1.037898884229250918e+01, 7.936619189690826914e+00
2.034000000000000000e+03, 6.604753315718144613e+00, 6.535918937341776314e+00, 7.622809276317231486e+00, 7.763355818865585789e+00, 8.889168940354252868e+00, 5.899030834602079665e+00, 6.061643030805346832e+00, 7.970089638315792868e+00, 6.242543810846766128e+00, 6.263311040445073807e+00, 8.154953541829765840e+00, 6.659702821646726889e+00, 9.537423771536928996e+00, 7.350512158961868714e+00, 9.712158905307886059e+00, 8.364797009297445740e+00
2.035000000000000000e+03, 6.788363634287422066e+00, 8.065346848192861628e+00, 7.636778231244489845e+00, 8.064038877667284666e+00, 9.399012436441585905e+00, 6.100084445259665422e+00, 6.030327505544000211e+00, 8.287239564141570369e+00, 6.417902208792019891e+00, 5.553915650127324355e+00, 7.314936380628977552e+00, 6.395335690228674430e+00, 9.232726555857817985e+00, 6.944915964057880586e+00, 1.047656007144160917e+01, 8.000430099080514168e+00
2.036000000000000000e+03, 5.740695744875842443e+00, 7.026005716661399170e+00, 7.418452271136701803e+00, 6.894373485739019536e+00, 8.999644858172077377e+00, 6.282025721843771393e+00, 6.163013952028193465e+00, 7.234355103019758815e+00, 6.521679471427654029e+00, 6.123899651510605224e+00, 7.875832133696151871e+00, 6.206066416059462298e+00, 9.544181451882632672e+00, 7.071591827248506767e+00, 1.033834144845537217e+01, 8.044478257103460095e+00
2.037000000000000000e+03, 6.275901216679105943e+00, 7.334520023767506558e+00, 7.107151315006985826e+00, 7.080400405150526488e+00, 8.893631974032029319e+00, 6.417627179242308522e+00, 5.303328800351462036e+00, 7.579351818700824417e+00, 6.643722106054098298e+00, 6.424308571628683850e+00, 6.516217258602474693e+00, 7.120840129355063830e+00, 9.056678085216365304e+00, 7.351987661845052813e+00, 9.912216770749758155e+00, 7.885017049653583854e+00
2.038000000000000000e+03, 7.151802161070167863e+00, 7.611230414793356047e+00, 7.979943121208465051e+00, 8.077537179231136122e+00, 8.874405963211350112e+00, 7.128987147433985427e+00, 5.273404208218587463e+00, 7.219077874989874744e+00, 5.913755810517089984e+00, 6.166190970988636444e+00, 6.403368131645837735e+00, 6.519371406613053921e+00, 9.155605153783614725e+00, 7.214098560422225859e+00, 1.030433086835201273e+01, 7.714376344724528600e+00
2.039000000000000000e+03, 6.983150095367677501e+00, 6.807178440285733600e+00, 7.872264706320336813e+00, 7.518911146465588224e+00, 9.085895447924185575e+00, 6.185170706181630784e+00, 5.604604665415814146e+00, 6.986126593592693723e+00, 6.585936502962407069e+00, 6.255168115503873416e+00, 7.203428420641675878e+00, 5.757922216661588877e+00, 9.619865102690532410e+00, 5.852235576227103664e+00, 1.064822463841867517e+01, 8.433748809372318078e+00
2.040000000000000000e+03, 7.369822511511345375e+00, 7.441322652170414997e+00, 7.944884607368687846e+00, 8.841330392698766971e+00, 8.792061688382851514e+00, 6.080421665297754963e+00, 6.505755961427493794e+00, 6.672768102429810888e+00, 6.397576444080827152e+00, 5.922082992446562777e+00, 7.830290156027614579e+00, 6.404461385479025992e+00, 9.566712444505732549e+00, 7.247683976440116638e+00, 9.466767182401142122e+00, 8.041918045528872128e+00
2.041000000000000000e+03, 5.816754088249723509e+00, 7.034075661707945848e+00, 6.867565330646753452e+00, 7.488591813596643831e+00, 9.128442749374217513e+00, 7.343064050381696184e+00, 6.279948085699188276e+00, 8.083162064989023676e+00, 6.539178515358877064e+00, 5.826423935623953554e+00, 7.429476436955006591e+00, 6.836049778814327738e+00, 9.482982818154232163e+00, 7.448591721167196589e+00, 1.052886263693782887e+01, 7.810096951148254973e+00
2.042000000000000000e+03, 7.134234729016012189e+00, 6.269927877968271446e+00, 8.155803441069348736e+00, 8.166582710836260972e+00, 9.242817750469185967e+00, 6.647269021819413481e+00, 6.183357954495566133e+00, 7.352004626369819107e+00, 6.564921209167438043e+00, 6.779220900753841761e+00, 7.540284110915980165e+00, 6.466220874783726202e+00, 9.174125104440424394e+00, 7.516614480843306190e+00, 1.037828207105691725e+01, 8.342427735935837418e+00
2.043000000000000000e+03, 7.256173781869891037e+00, 7.470303995605577008e+00, 8.022751957448287286e+00, 7.336150583213584930e+00, 9.105854897180959640e+00, 6.225041765041728681e+00, 6.008509298187780345e+00, 7.819470119820257636e+00, 6.548051851304131254e+00, 6.442829797434815653e+00, 6.190072415919286364e+00, 6.151343976515907919e+00, 9.273921394844339972e+00, 6.124973811342090180e+00, 9.721707332352027109e+00, 8.249520683382801423e+00
2.044000000000000000e+03, 6.749496848069163057e+00, 6.463740196179930564e+00, 7.844381910302632654e+00, 7.911980227627675610e+00, 9.197634778511138975e+00, 6.647143021443514321e+00, 5.843622241435426190e+00, 8.165753315707107163e+00, 6.718489840146798286e+00, 6.107815776800486596e+00, 7.287975442868651399e+00, 6.711112081939686114e+00, 9.152778109954317287e+00, 7.622956595553485037e+00, 1.022471394429710756e+01, 7.505337747784951219e+00
2.045000000000000000e+03, 6.065889373442920451e+00, 7.508430457085566445e+00, 7.441146718596111320e+00, 7.636326738823915328e+00, 9.004438288197256668e+00, 6.193802900814895374e+00, 5.556617874909066224e+00, 6.687741395431455516e+00, 6.415175838178427625e+00, 6.009596727512101388e+00, 7.293976524201563727e+00, 6.839926224512843156e+00, 9.522653871302676265e+00, 7.302333022370362414e+00, 1.003207983336750075e+01, 7.309619153447216355e+00
2.046000000000000000e+03, 6.920410444402615546e+00, 6.842204006472079492e+00, 7.056273300443075769e+00, 7.771382071566654837e+00, 9.568292283646929519e+00, 6.187028814850106251e+00, 5.676147821932531201e+00, 9.245088071216358117e+00, 6.572270830150116261e+00, 6.846327362380071335e+00, 7.059598937877391123e+00, 6.016129511522627205e+00, 9.858141926923453369e+00, 7.087848713513024812e+00, 1.060011079014429036e+01, 8.118527806365730015e+00
2.047000000000000000e+03, 6.415689989019711881e+00, 7.855676716004882820e+00, 8.534904663725352947e+00, 8.177813375252931394e+00, 9.001691518540276604e+00, 6.600861492294439969e+00, 6.516128507931466807e+00, 8.210702943016066513e+00, 6.997590174086111503e+00, 6.508907504327278382e+00, 7.841409152686408923e+00, 6.942964522842431485e+00, 8.956250183794116637e+00, 5.849205855784361141e+00, 1.025975012236947670e+01, 7.866967989562851926e+00
