year, UKESM1-0-LL, ACCESS-ESM1-5, INM-CM4-8, MIROC-ES2L, EC-Earth3-Veg, NorESM2-LM, GFDL-ESM4, INM-CM5-0, CMCC-CM2-SR5, TaiESM1, NorESM2-MM, CanESM5, CESM2-WACCM, IPSL-CM6A-LR, MPI-ESM1-2-LR, CNRM-ESM2-1
1.850000000000000000e+03, 1.406516171585693975e+00, 7.452891780430639379e-01, 1.848712391617073791e+00, 1.835854089712759096e+00, 1.261407940175665710e+00, 5.763712050647974428e-01, 1.023629848161176303e+00, 1.882124970371245931e+00, 1.020404385124717761e+00, 1.374602899458286176e+00, 6.943812713936245995e-01, 2.722249671465958532e+00, 7.576437991153320839e-01, 1.231797623904700156e+00, 1.607070677120788771e+00, 1.325032451029998670e+00
1.851000000000000000e+03, 1.169376511261913665e+00, 6.261166309927473916e-01, 2.189217531182386267e+00, 1.661097203551288981e+00, 1.092273077239781953e+00, 6.753172194500074443e-01, 1.147381770702533776e+00, 1.966718824959890366e+00, 9.914689767163451517e-01, 1.271152474088831807e+00, 6.884293635918049548e-01, 2.721778686808260961e+00, 8.847154199975418853e-01, 1.044372419988629064e+00, 1.433825860462487389e+00, 1.271392637466600473e+00
1.852000000000000000e+03, 1.186339511166014216e+00, 6.811348708155311460e-01, 2.302679034436192484e+00, 1.571536617599889718e+00, 1.052298211257332694e+00, 6.842873375671373326e-01, 1.039510321826158767e+00, 1.820299383277275362e+00, 1.234265577891768828e+00, 1.228709278466209032e+00, 7.909582184680195027e-01, 2.668943690360312981e+00, 9.445028084646849287e-01, 1.035485410331924427e+00, 1.496029580497230338e+00, 1.270441644600234454e+00
1.853000000000000000e+03, 1.168775004840900245e+00, 6.593290929693211844e-01, 2.266931540336345474e+00, 1.617236582922776167e+00, 1.157316889128930937e+00, 5.968053472044175800e-01, 9.709985592453836967e-01, 2.041524998709939087e+00, 9.551865641784469396e-01, 9.700759935161387126e-01, 7.054812752685171162e-01, 2.701128706287685866e+00, 8.234753243829869840e-01, 9.918487067643146915e-01, 1.348331563340060324e+00, 1.078180201813195849e+00
1.854000000000000000e+03, 1.422409100392350911e+00, 6.375896728651544443e-01, 2.172874050177151073e+00, 1.641658977636147654e+00, 1.349427753819382847e+00, 6.447883415604362956e-01, 9.919214959909079532e-01, 2.054232790960399235e+00, 8.748871929903075939e-01, 1.258414845811298921e+00, 5.968691853022974891e-01, 2.754789910011128384e+00, 8.011870709268251733e-01, 1.152372560843518912e+00, 1.473084498791718877e+00, 1.065086746769399406e+00
1.855000000000000000e+03, 1.168068892688544080e+00, 7.610977635874084379e-01, 2.154071514994038594e+00, 1.754493669827668301e+00, 8.281327387472988688e-01, 5.912717384723643610e-01, 1.176763248401253126e+00, 1.780224647449661246e+00, 1.064374721273754210e+00, 1.569053868143652997e+00, 6.600354052036921937e-01, 2.750132958999781607e+00, 7.232452218549706435e-01, 9.866398599037587980e-01, 1.595974251758991436e+00, 1.225724364326373328e+00
1.856000000000000000e+03, 1.199713249582683661e+00, 6.678646095750379041e-01, 2.337045051231025017e+00, 1.656605938765669972e+00, 9.741914880292925627e-01, 4.887839526600871731e-01, 9.621669629084363962e-01, 1.714080250975601016e+00, 1.139887464950363860e+00, 1.094492419677587813e+00, 7.507161373251902692e-01, 2.717533482879461726e+00, 7.039753516753239904e-01, 1.248998761743901120e+00, 1.444601625050432325e+00, 1.113206918290936320e+00
1.857000000000000000e+03, 1.195045541101574793e+00, 7.409477279139883299e-01, 2.336180340240258779e+00, 1.681459082606959310e+00, 1.114125385883642183e+00, 5.482179131287534535e-01, 1.066723130483220539e+00, 1.732046864038882417e+00, 9.993425668416053842e-01, 1.101909899054209108e+00, 6.571518175395933969e-01, 2.660794069163177955e+00, 6.923530955828469668e-01, 1.095885588584381898e+00, 1.377625825549060767e+00, 1.172736961811498446e+00
1.858000000000000000e+03, 1.106241108396251116e+00, 7.697707882298234772e-01, 2.296388007463987968e+00, 1.669271534684223512e+00, 1.025782900485179727e+00, 5.965461181371513044e-01, 9.695665472146448582e-01, 1.928963079304625072e+00, 9.533348484211700002e-01, 1.357559176403851264e+00, 7.361859082045497660e-01, 2.710586239822475818e+00, 6.763103633099293299e-01, 1.082710644075091322e+00, 1.682728128857571726e+00, 1.499181370318109607e+00
1.859000000000000000e+03, 1.294313274608000164e+00, 7.680612458970157430e-01, 2.379379943386277230e+00, 1.639044289952677591e+00, 1.156480576271510463e+00, 6.823287058705862496e-01, 1.062205193576976958e+00, 1.872110976830446027e+00, 1.066382229757013578e+00, 1.296530974084262100e+00, 7.138352362824169628e-01, 2.757701195611311107e+00, 8.079176931426014230e-01, 1.186130019184202355e+00, 1.676098907765757318e+00, 1.153761550268902925e+00
