year, MPI-ESM1-2-LR, GFDL-ESM4, CNRM-ESM2-1, TaiESM1, EC-Earth3-Veg, UKESM1-0-LL, NorESM2-MM, MIROC-ES2L, ACCESS-ESM1-5, IPSL-CM6A-LR, CESM2-WACCM, NorESM2-LM, CanESM5, INM-CM5-0, CMCC-CM2-SR5, INM-CM4-8
1.850000000000000000e+03, 2.942893948358087073e+02, 2.940842757373140444e+02, 2.939428987648215639e+02, 2.956664689408953564e+02, 2.941607018235785063e+02, 2.961728629142592126e+02, 2.966400131015095099e+02, 2.953889550762742715e+02, 2.954436121307915073e+02, 2.919909546639186146e+02, 2.970028086161784699e+02, 2.969117823537313825e+02, 2.939632670921877775e+02, 2.937011787919994390e+02, 2.965380297012921460e+02, 2.937713011544134929e+02
1.851000000000000000e+03, 2.949161006557408768e+02, 2.939338091859428346e+02, 2.937223059191731522e+02, 2.954982696145531804e+02, 2.941714675370169516e+02, 2.963158085429997755e+02, 2.963331893255290197e+02, 2.960987949770320711e+02, 2.954899347902228328e+02, 2.918123433198483099e+02, 2.962327092217597624e+02, 2.968750188005364521e+02, 2.942076445348070024e+02, 2.936244489236445929e+02, 2.965116072379417460e+02, 2.934159518657972399e+02
1.852000000000000000e+03, 2.944317344025083116e+02, 2.944525018555819997e+02, 2.941364003613541627e+02, 2.954184134559504855e+02, 2.945928546681889202e+02, 2.967145428774924767e+02, 2.961025410239656139e+02, 2.960764533502932636e+02, 2.952658042807137804e+02, 2.918160703520180732e+02, 2.961249449223984698e+02, 2.967766832547602007e+02, 2.939620631072712627e+02, 2.935129906594739850e+02, 2.957117475868111569e+02, 2.932774608036322661e+02
1.853000000000000000e+03, 2.953935429275489923e+02, 2.945709148938011026e+02, 2.940017320406004728e+02, 2.961816498558602575e+02, 2.942723030050164539e+02, 2.963440213172805784e+02, 2.961141153956968992e+02, 2.954436162376668449e+02, 2.952736212904169406e+02, 2.915245876378720595e+02, 2.967445625810809702e+02, 2.969664025315238973e+02, 2.943455956520168684e+02, 2.935404152217761293e+02, 2.962462221183725433e+02, 2.938570190656608361e+02
1.854000000000000000e+03, 2.947342129723921857e+02, 2.941349817794756518e+02, 2.943967532346359235e+02, 2.965922448506576075e+02, 2.937702594205823630e+02, 2.964769008740498748e+02, 2.969020331982067660e+02, 2.946897471368440620e+02, 2.956055219550230504e+02, 2.921584448118879322e+02, 2.961587548847507492e+02, 2.973402795349010717e+02, 2.937916115714505167e+02, 2.936703494887543116e+02, 2.966108125004544718e+02, 2.939562099054406872e+02
1.855000000000000000e+03, 2.942211620039280433e+02, 2.937971793513352736e+02, 2.937693936133126726e+02, 2.952656392348463896e+02, 2.943923790298067615e+02, 2.960858300884454479e+02, 2.967111488212311770e+02, 2.952092574140553438e+02, 2.951458375057798662e+02, 2.924819584895729463e+02, 2.968380886260347324e+02, 2.971141738495241498e+02, 2.941572439580822333e+02, 2.936512323053461273e+02, 2.962336244192972003e+02, 2.937511593032925816e+02
1.856000000000000000e+03, 2.948948135538591941e+02, 2.945671360958905893e+02, 2.941677408729642025e+02, 2.956827551980964017e+02, 2.938298310737568499e+02, 2.966232138424185223e+02, 2.961045593986942777e+02, 2.955933490829066272e+02, 2.953831928935752558e+02, 2.920719447933658444e+02, 2.969652893017671431e+02, 2.970260833450178097e+02, 2.945676749076625924e+02, 2.935446991535885104e+02, 2.963277977286899727e+02, 2.940371256033460554e+02
1.857000000000000000e+03, 2.949493071145445811e+02, 2.942343078212421119e+02, 2.942369004418538339e+02, 2.956942417263258562e+02, 2.948335347116634466e+02, 2.964886448956190179e+02, 2.957923738336842234e+02, 2.956831159873006527e+02, 2.954031152810193248e+02, 2.921976482942943107e+02, 2.973723351134817108e+02, 2.973165470284657204e+02, 2.937373355690991730e+02, 2.936791900362797492e+02, 2.963733336392770639e+02, 2.933529472193440597e+02
1.858000000000000000e+03, 2.944243409720929776e+02, 2.940428294947866448e+02, 2.933727501394145634e+02, 2.961536791360093730e+02, 2.947532676007953683e+02, 2.961156597895716232e+02, 2.959995334184858393e+02, 2.960726156471262129e+02, 2.952139435458397543e+02, 2.924447046981391054e+02, 2.968834298753361622e+02, 2.969659620106741045e+02, 2.940118109144881942e+02, 2.934711474991660225e+02, 2.962181273628398799e+02, 2.936157408353354299e+02
1.859000000000000000e+03, 2.943782881200740462e+02, 2.937091977282356652e+02, 2.937949896418585922e+02, 2.952430268071665296e+02, 2.942045954224200273e+02, 2.964720319542593643e+02, 2.961663275020865171e+02, 2.955314029394474460e+02, 2.949748501602427950e+02, 2.918642778977192620e+02, 2.969479803448355710e+02, 2.967968381386214105e+02, 2.939560985500849597e+02, 2.938517098020741400e+02, 2.965085506458076452e+02, 2.933298682976598002e+02
1.860000000000000000e+03, 2.942813194357360089e+02, 2.938525023412254882e+02, 2.939494560867790369e+02, 2.960595089055197491e+02, 2.937932265941437322e+02, 2.962500492012607651e+02, 2.963182341574657244e+02, 2.960307190990782829e+02, 2.956849788214261707e+02, 2.922281055624341661e+02, 2.968567996116027530e+02, 2.965213169276678400e+02, 2.942090167324490153e+02, 2.937769466574517878e+02, 2.963104073333764745e+02, 2.931182299572583361e+02
1.861000000000000000e+03, 2.951332709883067764e+02, 2.932816499297568953e+02, 2.935379508255204541e+02, 2.959221928078316068e+02, 2.946077501353343564e+02, 2.960153244267805803e+02, 2.955579204471125649e+02, 2.954749829818727562e+02, 2.951179582288031042e+02, 2.925661455774280171e+02, 2.961466313302981916e+02, 2.966137294883190521e+02, 2.942094278269894971e+02, 2.934645955555231467e+02, 2.963204265861738236e+02, 2.933165879519408463e+02
