year, CMCC-ESM2, CNRM-ESM2-1, MPI-ESM1-2-LR, GFDL-ESM4, CESM2-WACCM, UKESM1-0-LL, CanESM5, MIROC-ES2L
1.850000000000000000e+03, 6.375702741721918535e-10, 8.034784256404985783e-10, 2.334444380944737066e-10, -5.108001389279920592e-10, -2.735614785896701981e-10, 6.802838700422257351e-10, -4.577056618867290974e-10, -1.536903458291397641e-11
1.851000000000000000e+03, 3.267403413608540886e-10, 2.629200394879209484e-10, -6.164208764620836057e-10, 3.202047435245328504e-10, 1.623605772932719351e-10, -2.254504215390458025e-10, 5.321535909692908979e-10, -1.585246561564699665e-09
1.852000000000000000e+03, -2.254152232600731454e-09, 1.195788045715918296e-10, -4.552118645141675210e-10, -7.625482462781721562e-10, 6.972871646167779385e-10, -3.102852670920413272e-10, 8.594052395002542062e-10, -2.178745549872357322e-09
1.853000000000000000e+03, 3.800326028219421501e-10, -5.619614820602846708e-10, -1.989087721780064534e-09, -8.329235277821289749e-10, -1.711628099616180314e-10, -7.859056878406034808e-11, -1.231564298870948054e-09, -1.648872009894804106e-09
1.854000000000000000e+03, 1.055614949387649322e-09, -4.772638093842849871e-10, -1.279666372861322737e-09, -3.446413417820657977e-10, -8.472497274924918071e-11, 4.655865067396721197e-10, 7.790610129569816248e-10, -8.734981609305052995e-10
1.855000000000000000e+03, 9.577642587928411132e-10, 4.589311031861974856e-10, -3.128214500660916361e-10, 7.123406544833007669e-10, -4.602549877078586236e-10, 7.729087688201361448e-11, 1.061989746587546302e-09, -2.286520087919403687e-10
1.856000000000000000e+03, -8.192088897145856980e-10, -3.420465974942232432e-10, -1.516020690717748211e-09, -1.056479571309383899e-09, -3.180781216111451762e-10, 1.963037061183898539e-10, -6.066669121669462553e-10, -9.698255048234822259e-10
1.857000000000000000e+03, -2.288837365204065432e-10, -2.633937352201305959e-10, -1.359071689261736364e-09, -4.692322582726371686e-11, -6.246648244752329791e-10, -2.235973970896271894e-10, -1.081166865109848648e-09, -7.400030806341022834e-10
1.858000000000000000e+03, -2.112168568393380379e-10, 1.574613735627567657e-09, 7.205206000961026135e-11, -9.216350325489845838e-10, -3.593955280847823659e-10, -3.394113694881542046e-10, 1.254798348819961034e-09, -8.744278885025241847e-10
1.859000000000000000e+03, 1.563601321540358516e-09, -5.844118050604740658e-10, 3.683628452512774780e-10, 1.928416272438797203e-10, 8.992462803148530600e-11, 1.330499703880909040e-10, -1.527596126124418850e-09, -7.217320292556038242e-10
1.860000000000000000e+03, 1.143607576043223641e-09, 1.010139432069043547e-09, -5.674403355896412242e-10, 1.050877115592223335e-09, 1.668182063227086029e-10, 5.423252632670451685e-10, 2.441176764173466001e-11, -1.019109428891158964e-09
1.861000000000000000e+03, -7.004780468521971301e-11, -2.330286672384423676e-10, -1.731398085622738672e-09, 7.757798321714391162e-10, 1.936509798623336184e-10, -5.213263973058966303e-11, -1.478758060395576961e-10, -1.161169602875684414e-09
1.862000000000000000e+03, -4.009232885994553422e-10, -3.009930193118744174e-10, -1.159593583998233065e-09, -6.990536518083518621e-10, 2.718090365536523037e-10, 3.923757360859286728e-10, 1.493850241202747907e-09, -5.530032139662438552e-10
1.863000000000000000e+03, -8.284076437004296610e-10, -5.343925452472095610e-10, -1.190805113127057125e-09, -7.146551212616666041e-10, -2.639123102294524302e-10, 5.399879126744446053e-10, 7.135696312370957076e-10, -9.676183922397384137e-10
1.864000000000000000e+03, 1.184400770615102341e-09, 1.248899138266787983e-09, -1.021693788120804615e-09, 6.082049590204364830e-10, -6.863328360405417557e-11, -2.482434780665616390e-10, -1.551271604299497523e-09, -1.193775202599378997e-09
1.865000000000000000e+03, -6.846923279327589947e-10, 7.355547544660503593e-10, 4.088508797615996000e-10, -6.167533483459858785e-10, -6.737365054758644274e-10, 1.269458221690487211e-10, -5.316074051584943272e-10, -1.878298199548713690e-09
