year, EC-Earth3-Veg, CESM2-WACCM, CanESM5, NorESM2-MM, NorESM2-LM, CNRM-ESM2-1, MIROC-ES2L, IPSL-CM6A-LR, CMCC-CM2-SR5, MPI-ESM1-2-LR, ACCESS-ESM1-5, TaiESM1, GFDL-ESM4
1.850000000000000000e+03, 8.707779123651149256e-01, 4.726146323229946100e-01, 4.705906160652541637e+00, 4.572080437993954471e-01, 4.208198369988097043e-01, 5.534796102263056738e+00, 5.667860151882618602e+00, 2.114492773358363831e+00, 7.333890821111361813e-01, 5.329791322434131118e+00, 6.030872969754956792e-01, 2.387014249731274629e-01, 1.166446442536308359e+00
1.851000000000000000e+03, 9.343658482162683354e-01, 4.450725190705743795e-01, 4.687250604069879145e+00, 4.583778247775343595e-01, 4.354336742326673226e-01, 5.572800826942808428e+00, 5.621168932827608877e+00, 2.147915713489345624e+00, 7.760710598756654921e-01, 5.375938580136976341e+00, 5.984188142676364341e-01, 2.489335599551238398e-01, 1.128134649083046392e+00
1.852000000000000000e+03, 8.783271215014297750e-01, 4.328629855681858651e-01, 4.817938549655386815e+00, 4.378186247945174969e-01, 4.104693806384602239e-01, 5.541097784506554547e+00, 5.549004520274611885e+00, 2.159535614150803973e+00, 5.734983243247617768e-01, 5.394748231262600058e+00, 5.854525118803155515e-01, 3.037060954670553481e-01, 1.136840970185082567e+00
1.853000000000000000e+03, 8.410997179153488768e-01, 4.762461156181997946e-01, 4.854231307563792619e+00, 4.428739030305192115e-01, 4.249751370367563230e-01, 5.582362949236408411e+00, 5.460858277874101496e+00, 2.149829342969119317e+00, 7.169463144006943400e-01, 5.396095685579226142e+00, 5.805781433068329944e-01, 3.613839780496015952e-01, 1.124642634241628691e+00
1.854000000000000000e+03, 8.186296784860401798e-01, 4.807384191977929211e-01, 4.759309086169421832e+00, 4.717762455999032767e-01, 4.302437305952586666e-01, 5.595342383337099434e+00, 5.372160570586001604e+00, 2.120514582446756613e+00, 8.968209142515495280e-01, 5.339855676127218231e+00, 5.709448547579224487e-01, 2.790897242693109459e-01, 1.089499620871066998e+00
1.855000000000000000e+03, 8.809157550578906593e-01, 4.767023293574789156e-01, 4.897299578103914364e+00, 4.539949391870243822e-01, 4.220067523347285632e-01, 5.578413155752246944e+00, 5.344024702048650433e+00, 2.123948761621091919e+00, 7.247324288997651909e-01, 5.309572253618754623e+00, 5.728381577991293883e-01, 1.383024178293907336e-01, 1.070415851191885315e+00
1.856000000000000000e+03, 8.887190561643977249e-01, 4.655651316909817372e-01, 4.953889727153182321e+00, 4.360291050744330432e-01, 4.443486505148901977e-01, 5.605490324028435722e+00, 5.300291359874640840e+00, 2.117680349171683574e+00, 6.926289060425514510e-01, 5.292229821834603776e+00, 5.813110047801826052e-01, 3.200862036918596387e-01, 1.118670060628122354e+00
1.857000000000000000e+03, 7.924383473853890969e-01, 4.660090817603917968e-01, 4.936589012885689520e+00, 4.535955498116328033e-01, 4.527769453046995296e-01, 5.576644560202867140e+00, 5.275241767783501956e+00, 2.138448804986350815e+00, 7.487958351685063407e-01, 5.271867172411868196e+00, 5.740883743868289146e-01, 3.857521959061153138e-01, 1.096710309586279575e+00
1.858000000000000000e+03, 8.085469015201932619e-01, 4.608069361361123994e-01, 4.872724749160678215e+00, 4.508744492972643902e-01, 4.227270723927044060e-01, 5.535562406035098526e+00, 5.216135044216181349e+00, 2.148023501586544981e+00, 7.990946078400771313e-01, 5.222062359395494013e+00, 5.762562457304747365e-01, 2.465069623591930603e-01, 1.097436075886836893e+00
1.859000000000000000e+03, 8.422420055678192519e-01, 4.382678353695307338e-01, 4.914804650339587688e+00, 4.452743118661584010e-01, 3.903268332391326423e-01, 5.629787862499084916e+00, 5.196502982489612954e+00, 2.148802796799636816e+00, 7.338648358150764439e-01, 5.274167124565367182e+00, 5.894412459010155425e-01, 2.479300299836443011e-01, 1.059962061995711302e+00
1.860000000000000000e+03, 8.382952399551661937e-01, 4.320377502245559831e-01, 4.781717264542137968e+00, 4.463592145341479522e-01, 4.006682275310060604e-01, 5.586116600908525243e+00, 5.198289339433642908e+00, 2.152860140329248217e+00, 6.719930193860060852e-01, 5.309720535583799084e+00, 5.895797866088400285e-01, 3.689333461732937636e-01, 1.045830354217059943e+00
1.861000000000000000e+03, 8.410480973551638373e-01, 4.383646978224723934e-01, 4.683446850320207133e+00, 4.197852055119835057e-01, 4.246101948003904725e-01, 5.655330530759628438e+00, 5.174715698274344078e+00, 2.138387976438056892e+00, 7.036417653727589094e-01, 5.325018150437869302e+00, 5.825132528692970046e-01, 2.608550128865328999e-01, 1.096968580810657290e+00
1.862000000000000000e+03, 8.914225877828281241e-01, 4.608159423729144000e-01, 4.769598673595552896e+00, 4.456988494249675137e-01, 4.261817487045139741e-01, 5.649281451768531248e+00, 5.163990570086255616e+00, 2.130059235758078984e+00, 8.274772100816667475e-01, 5.274523126734548484e+00, 5.784428808265783539e-01, 2.395501487714472300e-01, 1.141649503039836366e+00
1.863000000000000000e+03, 8.991020544751886501e-01, 4.820688978152999349e-01, 4.884801346663421917e+00, 4.745291748566795587e-01, 4.328049400448870654e-01, 5.678985636444509488e+00, 5.135017333007204421e+00, 2.097550592954136484e+00, 6.693700520320268188e-01, 5.236367714494404524e+00, 5.714700492462271297e-01, 3.387751976069703908e-01, 1.102413661317651394e+00
1.864000000000000000e+03, 8.715006139521968009e-01, 4.795124033382772155e-01, 4.955560520135771085e+00, 4.766234676075017940e-01, 4.191537100299326246e-01, 5.613090786110398689e+00, 5.140876033857105121e+00, 2.139576651884041780e+00, 6.646612261493252127e-01, 5.182594848450078118e+00, 5.620547488743065090e-01, 2.692252323010504989e-01, 1.080777129724035390e+00
1.865000000000000000e+03, 8.619499213522455738e-01, 5.002181996351507953e-01, 4.712814222760496108e+00, 4.612917864815722635e-01, 3.953699864295704969e-01, 5.619228588117111123e+00, 5.111477636880509934e+00, 2.128163175712606492e+00, 7.791379361033098361e-01, 5.153955449040239500e+00, 5.588183849254146907e-01, 3.120614654548067302e-01, 1.131843515082929130e+00
