year, CESM2-WACCM, IPSL-CM6A-LR, ACCESS-ESM1-5, EC-Earth3-Veg, UKESM1-0-LL, CNRM-ESM2-1, NorESM2-MM, GFDL-ESM4, CMCC-CM2-SR5, MIROC-ES2L, NorESM2-LM, TaiESM1, CanESM5, MPI-ESM1-2-LR
1.850000000000000000e+03, 7.193390371743594303e-01, 9.367392032459346263e-01, 7.266570150699522834e-01, 9.934944106983497614e-01, 1.178896934497486670e+00, 1.193029251239760002e+00, 6.196613879767375321e-01, 9.128564277648311132e-01, 8.733185560795301283e-01, 1.630146024980997144e+00, 5.204821387002378508e-01, 1.108934275256117097e+00, 2.786365742629777653e+00, 1.352389573791158872e+00
1.851000000000000000e+03, 7.881062306549562191e-01, 9.139853856542229371e-01, 7.171562844076768695e-01, 1.087282859364299581e+00, 1.104415148582893247e+00, 1.206883048170233508e+00, 6.267773186879062042e-01, 9.216481239261671288e-01, 9.914420738910895148e-01, 1.664720598266279827e+00, 6.111607289577680735e-01, 1.142032125548877897e+00, 2.645951237142181167e+00, 1.221271259372421758e+00
1.852000000000000000e+03, 7.866162650636358000e-01, 8.864234331275029355e-01, 6.997373584009305425e-01, 1.072797329066348393e+00, 1.130310993076613313e+00, 1.231659746523942056e+00, 6.847078086949573983e-01, 9.405049467544553954e-01, 8.635810410990122366e-01, 1.657803586245868654e+00, 6.020194638889154737e-01, 1.190424776198995893e+00, 2.546859283786736317e+00, 1.276220116029878948e+00
1.853000000000000000e+03, 7.541282935520817743e-01, 8.740787205899616108e-01, 6.985833348064001136e-01, 9.997387443497929294e-01, 1.087950980055937267e+00, 1.130551302275213166e+00, 6.296077726344426750e-01, 9.108890042202404391e-01, 8.684609423155631447e-01, 1.629608817625989303e+00, 5.378713179566537717e-01, 1.185231190634576270e+00, 2.874612872977857503e+00, 1.343345375432322131e+00
1.854000000000000000e+03, 7.296248367095444776e-01, 9.207077635327185483e-01, 6.951362591306045058e-01, 9.286876046529382034e-01, 1.229566955346181878e+00, 1.109709533423465011e+00, 5.626236913044038168e-01, 8.577968011416039484e-01, 9.891153032636965658e-01, 1.545740432864824321e+00, 5.805261720465962894e-01, 1.186373519160563328e+00, 2.644059895020715256e+00, 1.386065781240866990e+00
1.855000000000000000e+03, 6.823202909360542856e-01, 8.670415227461950591e-01, 6.784824699467209008e-01, 1.037287249694661462e+00, 1.053243744139353621e+00, 1.133679403989233281e+00, 6.024561792183608100e-01, 9.082511052728015066e-01, 9.495766308583346582e-01, 1.571153309579081503e+00, 5.148782165274509159e-01, 9.207199616154894128e-01, 2.599410188593641813e+00, 1.362844204040897678e+00
1.856000000000000000e+03, 6.568180201307807220e-01, 9.284429098656487023e-01, 7.043015427221197555e-01, 1.045574514466514282e+00, 1.071947572964771389e+00, 1.132086948055685438e+00, 6.499304630115400050e-01, 9.265183016932010407e-01, 9.379051432506544383e-01, 1.580864567887930949e+00, 4.436861123267789031e-01, 1.229290829795293805e+00, 2.802688156801224295e+00, 1.381502213873739837e+00
1.857000000000000000e+03, 6.521278461439253826e-01, 9.168424421840318805e-01, 6.972373341497405397e-01, 9.552041095075446409e-01, 1.126287905069702333e+00, 1.186218810479602315e+00, 5.964018695707995477e-01, 9.081307828935845095e-01, 9.387235087686572887e-01, 1.575921984426523315e+00, 5.243663858132640021e-01, 1.292570215613604079e+00, 2.813027057263199016e+00, 1.306261592927289161e+00
1.858000000000000000e+03, 6.132191549681830223e-01, 9.053131086273817907e-01, 7.133432843005007573e-01, 9.470966306737601537e-01, 1.060054877929755834e+00, 1.245560468628226447e+00, 6.481117998653646017e-01, 8.964755511249151709e-01, 9.502318329640377925e-01, 1.585003940041754822e+00, 5.375047622692766813e-01, 1.139371000709635595e+00, 2.532617887935749490e+00, 1.414987388316197192e+00
1.859000000000000000e+03, 7.321295285881791459e-01, 9.582503110864218909e-01, 7.082939702220626410e-01, 9.575307993514008409e-01, 1.169331586667442968e+00, 1.206019510621024970e+00, 6.328013731296131539e-01, 8.694610215035025735e-01, 9.429927828062719675e-01, 1.534357613782989960e+00, 5.805218236353003602e-01, 1.109214370653629711e+00, 2.973032061920141356e+00, 1.340567037305109288e+00
1.860000000000000000e+03, 7.237778675288472074e-01, 9.208284587145899591e-01, 7.284131819061341329e-01, 9.455797302291885087e-01, 1.176693420998536910e+00, 1.264933090909235558e+00, 6.543171304258608156e-01, 8.877476813209995710e-01, 9.625010223036323254e-01, 1.568550168528864530e+00, 5.766424520762166717e-01, 1.270584588499945822e+00, 2.703185985977021311e+00, 1.299015709562588938e+00
1.861000000000000000e+03, 7.692882181776079520e-01, 8.494264841237182395e-01, 7.054598090310028047e-01, 9.822410387725940550e-01, 1.119295824506350900e+00, 1.181082303190011729e+00, 7.300953933009532992e-01, 9.577733448672971495e-01, 9.027775445071042348e-01, 1.544221546110079224e+00, 5.450476312408748525e-01, 1.162163293396815122e+00, 2.871804321506846502e+00, 1.187661960422698781e+00
1.862000000000000000e+03, 7.357347817711982207e-01, 8.416854598218406203e-01, 6.929862706780992587e-01, 9.888370220758391227e-01, 1.122516885305373968e+00, 1.168632836700019384e+00, 6.792273498082797012e-01, 9.670371484967457132e-01, 1.010222298703330024e+00, 1.515312664925944741e+00, 5.915069270360328035e-01, 1.157156164512016971e+00, 2.549475827761571445e+00, 1.259953055013030898e+00
1.863000000000000000e+03, 7.270421673369665827e-01, 9.114411597123220909e-01, 6.961268563884089877e-01, 1.025118520878821382e+00, 1.186123018792182293e+00, 1.093978543152885896e+00, 6.305098909753940051e-01, 9.435452963816495231e-01, 9.480744325624061997e-01, 1.530526184524878985e+00, 5.526695916422469379e-01, 1.251184344544441940e+00, 2.660888542766160825e+00, 1.261481982505660682e+00
1.864000000000000000e+03, 6.926414230489097434e-01, 9.044694775398048892e-01, 6.859125762558366812e-01, 9.910674952906732837e-01, 1.143514507392358048e+00, 1.227951569768263695e+00, 6.729728093070356243e-01, 9.411245130658576485e-01, 9.405630204151946838e-01, 1.511415588187113412e+00, 6.073570348462976609e-01, 1.123753426320282855e+00, 2.972530187515974642e+00, 1.299689938520587118e+00
1.865000000000000000e+03, 6.237565154746236296e-01, 8.615234838397703987e-01, 6.805774321645434721e-01, 9.790589889869113494e-01, 1.128366288032846665e+00, 1.231988104059299483e+00, 6.522284804770289712e-01, 9.499043952142603997e-01, 1.035666671624066559e+00, 1.566937101229457063e+00, 5.856691600762599093e-01, 1.203789433347675519e+00, 3.021035855748255727e+00, 1.381128895066574103e+00
1.866000000000000000e+03, 6.422111589780057361e-01, 8.412397499543210477e-01, 6.711359052117258361e-01, 1.000706725466401714e+00, 1.172907041771940273e+00, 1.114541040103562031e+00, 6.011906763764509609e-01, 9.014816503217506494e-01, 9.307280330062636109e-01, 1.506655295433115826e+00, 5.952471132931655973e-01, 1.140663048509807265e+00, 2.697385903167360155e+00, 1.356868658402181183e+00
1.867000000000000000e+03, 6.185641800241107324e-01, 8.435915773845493737e-01, 6.749402211705888277e-01, 1.013246876623863368e+00, 1.031393422792584058e+00, 1.148099398916325509e+00, 6.252072245666014938e-01, 8.985762727608196387e-01, 9.778524778401121997e-01, 1.465524471807627682e+00, 5.658699879220423501e-01, 1.085421380860345675e+00, 2.696101718303500316e+00, 1.334666802268205332e+00
1.868000000000000000e+03, 6.813549087417674066e-01, 8.877091854595539067e-01, 6.810677566887145540e-01, 9.802532652701204663e-01, 1.257257282432658663e+00, 1.066893020408074433e+00, 6.460050685770161172e-01, 9.502606761479911457e-01, 1.117862407021414484e+00, 1.475800265747284623e+00, 4.912282200503364504e-01, 1.258419974159184385e+00, 2.526198860486814191e+00, 1.415276351257835685e+00
1.869000000000000000e+03, 6.578456604641641503e-01, 8.823198817760922186e-01, 6.706253891082036844e-01, 9.523884857339184329e-01, 1.396608601324296206e+00, 1.192358933434808144e+00, 6.158805865279137759e-01, 9.745493779174638771e-01, 9.657891290933183770e-01, 1.495201535858976305e+00, 5.632030511702372788e-01, 1.305856645584536846e+00, 2.947110268774094877e+00, 1.243554953948691200e+00
1.870000000000000000e+03, 6.860095431122508192e-01, 8.296277989340962167e-01, 6.668740417465810477e-01, 9.631418793082261454e-01, 1.386157658487504607e+00, 1.242064469051316733e+00, 6.498261206967772541e-01, 9.926800859296739388e-01, 1.021664055376634517e+00, 1.481877199036010007e+00, 5.262813622914008782e-01, 1.195559221224295143e+00, 2.678789865100007717e+00, 1.226553807424412001e+00
1.871000000000000000e+03, 7.832265759173038244e-01, 8.907312838350665007e-01, 6.823560300241651166e-01, 1.038147798667001354e+00, 1.166208131676045756e+00, 1.131742568259240134e+00, 6.871087798095772969e-01, 9.481641443723640705e-01, 9.338118819444537477e-01, 1.489483426684937273e+00, 4.947960182821499742e-01, 1.229170103427288385e+00, 2.545933321225614776e+00, 1.223696493997112222e+00
1.872000000000000000e+03, 7.283730269128918522e-01, 8.653807756144097363e-01, 6.705666031927445259e-01, 1.024593469557386394e+00, 1.142348839327246512e+00, 1.151374108340851743e+00, 7.078495922844098009e-01, 8.957439005162226575e-01, 9.764210311933181341e-01, 1.534457469746731251e+00, 6.268786120822782415e-01, 1.215031836701549794e+00, 2.694564946756597301e+00, 1.180862742252897002e+00
1.873000000000000000e+03, 7.164852097670167952e-01, 9.218676118264732544e-01, 6.782946790297749162e-01, 9.223386230504377892e-01, 1.225546371502816312e+00, 1.242212130182815955e+00, 6.116169000278011136e-01, 8.478931087518671861e-01, 9.183454305482482427e-01, 1.478460681358761297e+00, 5.512431620562017187e-01, 1.240246835075038190e+00, 2.803345896062317877e+00, 1.210309401095671200e+00
1.874000000000000000e+03, 6.677713303173659076e-01, 9.452725922761290311e-01, 6.760959274007616315e-01, 9.401219744349259555e-01, 1.223373321838736594e+00, 1.237084015903243239e+00, 6.327108820167138825e-01, 8.780956539328376165e-01, 9.716320552387021081e-01, 1.455148602627047705e+00, 5.112732148967672474e-01, 1.210264987668646208e+00, 2.975627138443669661e+00, 1.271195470322448395e+00
1.875000000000000000e+03, 7.530186111695641449e-01, 9.653356929982881418e-01, 6.817507690380588681e-01, 9.365055240668932468e-01, 1.223963656273397316e+00, 1.203200111516724569e+00, 6.600057420223529592e-01, 8.796029959632967188e-01, 8.634925976659908464e-01, 1.493913144750157240e+00, 6.023373430325025257e-01, 1.135596423898942664e+00, 3.011207775748742765e+00, 1.318730135900556322e+00
1.876000000000000000e+03, 6.214620857267781906e-01, 9.317472866892833050e-01, 6.972349810605817932e-01, 1.045500804563278319e+00, 1.231361411648241200e+00, 1.184117429313597869e+00, 6.486966019001504380e-01, 9.297678244894725941e-01, 1.013756953629521895e+00, 1.493609608128240618e+00, 5.799446933000529381e-01, 1.318915338713943619e+00, 2.700591950417217113e+00, 1.327455102888876803e+00
1.877000000000000000e+03, 7.103257161561112865e-01, 9.359920462507959060e-01, 7.228089603226582893e-01, 1.061048944340973854e+00, 1.120129174140473971e+00, 1.124083984240909606e+00, 6.480161767606898993e-01, 9.854299620580829755e-01, 9.619511378917784405e-01, 1.498337862279993216e+00, 5.651560844606877687e-01, 1.144860053571476577e+00, 2.817956464968956798e+00, 1.443306752027329276e+00
