year, MPI-ESM1-2-LR, CNRM-ESM2-1, UKESM1-0-LL, EC-Earth3-Veg, CESM2-WACCM, CMCC-CM2-SR5, IPSL-CM6A-LR, ACCESS-ESM1-5, MIROC-ES2L
1.934000000000000000e+03, 4.345638483225462978e-01, 5.223068031117306109e-02, 8.450950030157195359e-05, 1.345377943279722245e-02, 1.316178031196685583e-01, 7.231935321260254956e-02, 2.640639064600460925e-02, 1.350048386529243694e-01, 7.989142388998310418e-01
1.935000000000000000e+03, 4.245592384097931493e-01, 5.305198281866471688e-02, 8.537899860494306179e-05, 1.357911691692815712e-02, 1.354149520658389783e-01, 7.410073836160689653e-02, 2.719583513538517683e-02, 1.388072192709144670e-01, 8.050777735465869389e-01
1.936000000000000000e+03, 4.174742562819202529e-01, 5.375577830572286775e-02, 8.552402482968688010e-05, 1.373250347386216312e-02, 1.350212117168411163e-01, 7.605102278521062853e-02, 2.815707729732025086e-02, 1.425188767238865228e-01, 8.108197464083845007e-01
1.937000000000000000e+03, 4.346424145273813378e-01, 5.448606362740075065e-02, 8.432665408283671299e-05, 1.393908122448977820e-02, 1.409745349898723077e-01, 7.807735322223190166e-02, 2.905328543766168281e-02, 1.460769498660225429e-01, 8.166834372031198663e-01
1.938000000000000000e+03, 4.488104165659593248e-01, 5.504197915869709495e-02, 8.492526590639872430e-05, 1.409386175435035742e-02, 1.427868239071038992e-01, 8.016574222264902239e-02, 3.003486908640541284e-02, 1.496293727218400982e-01, 8.232011065935788130e-01
1.939000000000000000e+03, 4.703013850595527123e-01, 5.567735698648280246e-02, 8.455444122444675332e-05, 1.422168131200683867e-02, 1.456435477965137282e-01, 8.230775634231261850e-02, 3.099586866125046691e-02, 1.531106904529735691e-01, 8.281230588725904118e-01
1.940000000000000000e+03, 4.754077262463015652e-01, 5.625781879982415939e-02, 8.007734415823962578e-05, 1.435163175677625289e-02, 1.496023509791343797e-01, 8.457470315336575173e-02, 3.212676929385008956e-02, 1.565280628176962952e-01, 8.334216768293720712e-01
1.941000000000000000e+03, 4.832221397401723073e-01, 5.818034843145059726e-02, 8.467715562360895922e-05, 1.459074795794071920e-02, 1.539284993881963604e-01, 8.687032417139263496e-02, 3.325311086573654734e-02, 1.607234091338604343e-01, 8.388639655822059948e-01
1.942000000000000000e+03, 4.659343305151861236e-01, 5.970058127999489789e-02, 9.068455442646571692e-05, 1.483546516525881091e-02, 1.542324487315540060e-01, 8.903657169228877677e-02, 3.444907954746255496e-02, 1.647718480427655952e-01, 8.426818900819587066e-01
1.943000000000000000e+03, 4.591580995227385609e-01, 6.099053861783300390e-02, 8.818747494974735180e-05, 1.507844261969588408e-02, 1.578035246781858691e-01, 9.116465091754198669e-02, 3.546394674769311195e-02, 1.685239571185567498e-01, 8.481117183196306142e-01
1.944000000000000000e+03, 4.545324273671854098e-01, 6.201096926106831192e-02, 7.948833810259172241e-05, 1.531349752788277105e-02, 1.606783140679553246e-01, 9.334473586487029850e-02, 3.671114119615738469e-02, 1.722198503604002728e-01, 8.544160437478151016e-01
1.945000000000000000e+03, 4.866738032179134810e-01, 6.268810724687691460e-02, 8.299970413333288108e-05, 1.558631547367121499e-02, 1.683087487691400930e-01, 9.558272154317158653e-02, 3.785676659846181485e-02, 1.755493186959093677e-01, 8.606223955817486893e-01
1.946000000000000000e+03, 4.688458552987428973e-01, 6.309567742185999417e-02, 8.545838082847232104e-05, 1.581605513778198968e-02, 1.740670704616322506e-01, 9.784541930632266460e-02, 3.905717872162150356e-02, 1.785019537187647609e-01, 8.668031815100524229e-01
1.947000000000000000e+03, 4.695136638819638053e-01, 6.341506008449392107e-02, 9.037048462976306814e-05, 1.611323577135845980e-02, 1.773945299219474858e-01, 1.001690467039540039e-01, 4.037120137717744445e-02, 1.815214081269735658e-01, 8.709213786678904334e-01
1.948000000000000000e+03, 4.788386379952659366e-01, 6.344366709650640923e-02, 8.615610534852365305e-05, 1.634629759784035977e-02, 1.816893146728115749e-01, 1.026310585169587369e-01, 4.160942620827555449e-02, 1.843976469948963026e-01, 8.734432524691416733e-01
1.949000000000000000e+03, 5.067353384929378368e-01, 6.366547089899650402e-02, 8.509593329588585728e-05, 1.661225595120176951e-02, 1.829051516319699644e-01, 1.051926630453059036e-01, 4.274062623913152392e-02, 1.871600099151572716e-01, 8.778718049243259269e-01
1.950000000000000000e+03, 5.101906064925152418e-01, 6.376401567030015594e-02, 9.574600510872407317e-05, 1.686946973415144602e-02, 1.874593736998650395e-01, 1.080187472545600519e-01, 4.406971426815198267e-02, 1.896545677971184229e-01, 8.947809415462066873e-01
1.951000000000000000e+03, 5.106271294640933878e-01, 6.610409076035621279e-02, 1.160946799166203775e-04, 1.708602117631743619e-02, 1.922098553231549323e-01, 1.110047642793942219e-01, 4.629712360726989662e-02, 1.937602357380232843e-01, 9.036729633334863454e-01
1.952000000000000000e+03, 4.965997019999189299e-01, 6.809338647959328750e-02, 1.233261589515286883e-04, 1.736020546515597285e-02, 1.998606127018262291e-01, 1.140688553797139237e-01, 4.834851695360915802e-02, 1.978180265256744563e-01, 9.123501378439692333e-01
1.953000000000000000e+03, 4.987596837814918249e-01, 6.985101072584476434e-02, 1.241010508022903766e-04, 1.760978188440840211e-02, 2.030718924519895052e-01, 1.173985304542478070e-01, 5.012811910025324197e-02, 2.009391436411324394e-01, 9.213849018573295746e-01
