year, MPI-ESM1-2-LR, MIROC-ES2L, CNRM-ESM2-1, INM-CM5-0, UKESM1-0-LL, TaiESM1, NorESM2-LM, NorESM2-MM, INM-CM4-8, EC-Earth3-Veg, IPSL-CM6A-LR, ACCESS-ESM1-5, CMCC-ESM2, CanESM5, GFDL-ESM4, CESM2-WACCM
1.850000000000000000e+03, 1.283470064090018514e+00, 1.133416807372655821e+00, 1.349123544272682107e+00, 1.437636471002866179e+00, 1.495455701931305725e+00, 1.394511429619640586e+00, 6.090363669827667525e-01, 6.468001610979315918e-01, 1.468886996862235783e+00, 1.497613480930851448e+00, 8.565452204516373902e-01, 5.923913978431045724e-01, 6.771572255819188202e-01, 8.669445331906234786e-01, 1.059787410010161635e+00, 7.901426713218600018e-01
1.851000000000000000e+03, 1.243403048444946091e+00, 1.095133704130603958e+00, 1.405677170946435295e+00, 1.446115767613928238e+00, 1.436021438371137160e+00, 1.564250701242277497e+00, 6.420306925491003902e-01, 6.371517520248325406e-01, 1.565388126809169833e+00, 1.315513259960438885e+00, 7.879722658092375154e-01, 5.382146065205645202e-01, 6.625687254243406432e-01, 8.938448599923157767e-01, 1.174927180537799876e+00, 7.917138386453153043e-01
1.852000000000000000e+03, 1.224049017241663151e+00, 1.030868670098314732e+00, 1.386068937141568869e+00, 1.441149613185417788e+00, 1.424712542615456989e+00, 1.552373441889450589e+00, 6.570561357787989554e-01, 6.735229297179166075e-01, 1.588336794401774554e+00, 1.307112626957607437e+00, 7.344630624184189660e-01, 5.371265745924357349e-01, 8.771246839404275297e-01, 8.542993036302616305e-01, 1.133166785153759459e+00, 8.289617696380876533e-01
1.853000000000000000e+03, 1.197443161925801469e+00, 1.025451671151198063e+00, 1.304811932074969816e+00, 1.497070281432453243e+00, 1.376976258753646931e+00, 1.317998571705750521e+00, 6.458734743615025531e-01, 6.804997873254148288e-01, 1.534861850004005879e+00, 1.379998571301469301e+00, 7.232369404139770142e-01, 5.323767893083093394e-01, 9.922760025227300718e-01, 8.717199431655626718e-01, 1.096078425365882181e+00, 8.318784642817800279e-01
1.854000000000000000e+03, 1.225123814646265519e+00, 1.039823060425535850e+00, 1.215310489405846628e+00, 1.517370925151532379e+00, 1.402138398724289026e+00, 1.102274535763211549e+00, 6.360193846650763483e-01, 6.311386595096455387e-01, 1.575082455068460119e+00, 1.538026707145929706e+00, 7.788139776343018239e-01, 5.237692394190864853e-01, 9.581744178180856553e-01, 9.153157445775914614e-01, 1.003599633215304099e+00, 8.006545104316215022e-01
1.855000000000000000e+03, 1.290061222709258493e+00, 1.031651603040207865e+00, 1.286797973834661768e+00, 1.436819495434145777e+00, 1.445112057314291931e+00, 1.470976982986263115e+00, 5.978206829043112291e-01, 6.009196123405331491e-01, 1.565566926072198273e+00, 1.272124917739992034e+00, 7.268301203737792537e-01, 5.690117475150753279e-01, 7.798897268689256590e-01, 8.917004592461428292e-01, 1.267978776962261689e+00, 7.344718162580936571e-01
1.856000000000000000e+03, 1.211849552867724000e+00, 1.020239950977690047e+00, 1.273862243052228616e+00, 1.361950035765908451e+00, 1.421661514038482510e+00, 1.803585723829504772e+00, 5.402138603432671271e-01, 6.423150110567056315e-01, 1.580288798287988294e+00, 1.151021246425821598e+00, 8.083042046095533228e-01, 5.449227911436524963e-01, 8.902279258542767915e-01, 8.863985099952434998e-01, 1.040660779046593820e+00, 7.180986915530745973e-01
1.857000000000000000e+03, 1.159025958825824043e+00, 1.026068021674443109e+00, 1.283890506862544800e+00, 1.376970658261661207e+00, 1.450279714927655839e+00, 1.459078463958767058e+00, 5.440900735383179532e-01, 6.333915455620635626e-01, 1.612073779773870452e+00, 1.305401405992696384e+00, 8.058675646413560045e-01, 5.553554908220111885e-01, 9.969266297289423040e-01, 8.325796698971641430e-01, 1.131054516488615880e+00, 7.064266223798667532e-01
1.858000000000000000e+03, 1.296743692344509036e+00, 1.004319802573323983e+00, 1.435205327208619375e+00, 1.454336943988687514e+00, 1.375242144502796471e+00, 1.445897820619598040e+00, 5.423962136499996811e-01, 6.541444170324848262e-01, 1.593786117495933796e+00, 1.272308402428743435e+00, 7.690623223347611281e-01, 5.551124534870282012e-01, 1.148608069671644749e+00, 8.713559017129732798e-01, 1.061368544024312355e+00, 6.653916631447476249e-01
1.859000000000000000e+03, 1.360669585279670635e+00, 1.012423537064373269e+00, 1.346346322208060942e+00, 1.442156502701324783e+00, 1.381117391806264694e+00, 1.616903487879198797e+00, 6.001836271341703943e-01, 6.661819939068122087e-01, 1.602632114622428050e+00, 1.261384992234941604e+00, 8.179883561331598996e-01, 5.747174353859749729e-01, 9.216111726281887018e-01, 8.845487503872631052e-01, 1.075986888206242442e+00, 6.983598661104704064e-01
