year, NorESM2-MM, MPI-ESM1-2-LR, TaiESM1, CNRM-ESM2-1, ACCESS-ESM1-5, CanESM5, INM-CM5-0, MIROC-ES2L, IPSL-CM6A-LR, CESM2-WACCM, GFDL-ESM4, NorESM2-LM, EC-Earth3-Veg, CMCC-CM2-SR5, INM-CM4-8, UKESM1-0-LL
1.850000000000000000e+03, 1.838331207887974970e-03, 3.121584308531078628e-02, 1.980163902701768397e-01, 1.136057508068091526e-01, 1.863216917239796794e-02, -6.469837482817457353e-02, 5.733757515332064958e-02, -2.166625332503434222e-03, 8.494056653371170884e-02, -3.845981001322578557e-02, -7.220347398460941202e-02, 5.637111881298257667e-03, -1.174259110624702729e-01, 6.002652882665678730e-02, -4.205273005099614547e-01, 9.590194219261782838e-02
1.851000000000000000e+03, -2.427772404684312713e-02, -8.612785079137252886e-02, 6.963849781730539756e-02, 3.704250912505914484e-02, -9.163655552350238875e-02, 7.522186278571910134e-02, 1.672168666694392736e-01, -2.234776257428938984e-01, -7.068085996621266409e-02, 2.282615589201120870e-02, 4.526211546720305262e-02, 4.979728705413688505e-03, -3.995714598551518004e-01, -1.527154852824262055e-01, 2.265261639724973353e-02, -3.178251645507462753e-02
1.852000000000000000e+03, 3.110640621996714830e-02, -6.470451087316266003e-02, -3.793873223398362693e-02, 1.690812304031713911e-02, -1.943384584426244288e-02, 1.214800841337303483e-01, 9.950171096835106616e-03, -3.071452065493081585e-01, -3.480595778248873895e-02, 9.803109711966154216e-02, -1.077889927314941571e-01, 2.738745848037473993e-02, -3.954588842849951491e-01, 2.120939627736192490e-01, 1.614924705507546354e-01, -4.374197457604704631e-02
1.853000000000000000e+03, -7.519167467575647683e-03, -2.807786507719648994e-01, -3.400254359874775312e-01, -7.950492198627190366e-02, -4.020282772210160421e-02, -1.740861327886949195e-01, 2.554174931276760874e-01, -2.324471226491696685e-01, -6.198824546723602502e-02, -2.406365540349975421e-02, -1.177367970094934380e-01, -2.063439069791650482e-02, -1.166271022292262732e-01, -9.975270820685848416e-02, 8.041005987059812732e-02, -1.107918108354690769e-02
1.854000000000000000e+03, -1.123912859938402120e-01, -1.813917606014951722e-01, -6.863032133730594120e-02, -6.717028233331789888e-02, -5.856847889882146191e-02, 1.101231328940429771e-01, 2.260653425755677626e-01, -1.231400211351705437e-01, 3.528712782925552682e-02, -1.191142251500792310e-02, -4.871631829937742714e-02, -1.074652894128331169e-02, 9.892533418847847260e-02, -2.597833556789002074e-01, -6.446067738964847416e-02, 6.563532110828881883e-02
1.855000000000000000e+03, -4.137524903645699303e-02, -4.275224233373581956e-02, 6.090111584572454051e-01, 6.472830077486949052e-02, 8.153865441606461539e-02, 1.501161475808944767e-01, -9.442976608628815549e-02, -3.223385515230503540e-02, -6.627021906250575578e-02, -6.470691515538629091e-02, 1.006919653978701756e-01, 3.706296177696894942e-03, -6.840838988498567641e-01, 1.940519858057192237e-02, -3.401410344103393546e-02, 1.089595907410757791e-02
1.856000000000000000e+03, 2.276038828525126997e-02, -2.142366027285775298e-01, -1.914191867206410935e-01, -4.843165291627511693e-02, -3.756054960038680834e-02, -8.575459415868413870e-02, -1.446178057015694851e-01, -1.367196160254907922e-01, 1.143275592287245901e-01, -4.471837259250104751e-02, -1.493372640861044820e-01, -3.536494952062865099e-02, -2.770895087910035248e-01, 1.173586473535912639e-01, 1.392451122795702045e-01, 2.767360436635653634e-02
1.857000000000000000e+03, -3.916332330838274284e-02, -1.915696564052696838e-01, -2.674942972997715329e-01, -3.722330986436762912e-02, 4.254353697378268628e-02, -1.528269036531828828e-01, -1.466941050963563586e-01, -1.043207634144342616e-01, -2.980578683493401507e-02, -8.782117495167562904e-02, -6.632770152340151416e-03, -4.553709497104483500e-02, -6.499012565001600905e-02, -6.320725194900254917e-02, 2.185937212757041725e-01, -3.152128926528601632e-02
1.858000000000000000e+03, 4.868612476601283205e-03, 7.363439495621240498e-03, 1.740026644299273728e-01, 2.225842829313607329e-01, 5.522097048040566086e-02, 1.773703510047889564e-01, 1.351190263478178610e-01, -1.232710880085643168e-01, -1.497129121666136188e-02, -5.052715682413926740e-02, -1.302764937292552327e-01, -1.838835995761085862e-02, -1.583576043025657909e-01, -1.099726368629181106e-01, 1.363555724977542072e-01, -4.784798077624535795e-02
1.859000000000000000e+03, -1.158419149719579558e-02, 5.318416907443004882e-02, 1.382134526492944937e-01, -8.267669239135401471e-02, 5.852597329833121587e-02, -2.159313178400747713e-01, 2.373454528069323874e-02, -1.017450308559210842e-01, 1.907166445455372658e-02, 1.264243828272507662e-02, 2.725887163044815251e-02, 4.307969648583770406e-02, 1.893209372901774254e-02, -5.874949360093243561e-02, 2.501036630507254555e-01, 1.875650905569200069e-02
