year, CMCC-ESM2, MIROC-ES2L, CESM2-WACCM, CNRM-ESM2-1, UKESM1-0-LL, ACCESS-ESM1-5, MPI-ESM1-2-LR, IPSL-CM6A-LR
1.850000000000000000e+03, 2.775820565523901408e-13, 1.474558695532381301e-09, 1.379428968972978264e-10, 0.000000000000000000e+00, 2.157881508239629433e-14, 0.000000000000000000e+00, 1.371474107364792952e-09, 1.487651639660664242e-09
1.851000000000000000e+03, 1.062202452981603273e-12, 1.559511111871987385e-09, 1.413949879183452273e-10, 0.000000000000000000e+00, 4.003573251550797730e-14, 4.234288142459740480e-12, 1.772895003977411336e-09, 1.422534510947331986e-09
1.852000000000000000e+03, 2.109254919521704113e-12, 1.566849723168240108e-09, 2.245647306660641578e-10, 1.661634542819019183e-12, 4.589500821208989428e-14, 5.897393816485519725e-12, 1.748104659576748502e-09, 1.299529154211241739e-09
1.853000000000000000e+03, 3.167660203484270501e-12, 1.561096617631790544e-09, 1.965124554287768032e-10, 3.315270141668575836e-12, 4.585995086466080390e-14, 6.728967855359362283e-12, 1.742254119363589991e-09, 1.269422785647442997e-09
1.854000000000000000e+03, 4.250476027738748971e-12, 1.553898159658549411e-09, 1.710973832454867887e-10, 4.984325504751539761e-12, 4.739028077719136218e-14, 7.248910469304643710e-12, 1.669410974937088187e-09, 1.386333628619562683e-09
1.855000000000000000e+03, 5.441718950936418294e-12, 1.529179502912997108e-09, 1.578164218069970432e-10, 6.633424415237134532e-12, 4.886699760050942301e-14, 7.637394118268363373e-12, 1.709179716841096378e-09, 1.310812296774402226e-09
1.856000000000000000e+03, 6.550934870576528308e-12, 1.507099472593493509e-09, 1.578607955595887296e-10, 8.277002194114589777e-12, 4.801806201830177688e-14, 7.970543510968561622e-12, 1.681377084827261713e-09, 1.454306214832718964e-09
1.857000000000000000e+03, 7.553680397266283599e-12, 1.488658538405500198e-09, 1.406445382197773272e-10, 9.928245312256633961e-12, 4.677392813514992726e-14, 8.277300230811219270e-12, 1.615014143240690180e-09, 1.471986365842216937e-09
1.858000000000000000e+03, 8.624766830262983094e-12, 1.472212895537660779e-09, 1.303047702407873188e-10, 1.157779246938768607e-11, 4.536669362429859668e-14, 8.558829239274028327e-12, 1.584449646429846223e-09, 1.354154978759608114e-09
1.859000000000000000e+03, 9.762059467190916818e-12, 1.464357513231485050e-09, 1.671540445341953019e-10, 1.322691607484025731e-11, 4.501047266738537477e-14, 8.805415177000014777e-12, 1.689550221911392474e-09, 1.469831945534094763e-09
1.860000000000000000e+03, 1.083771870664606305e-11, 1.440939014682388748e-09, 1.568261327886249029e-10, 1.492135732568744789e-11, 5.134840036588162173e-14, 9.051049067300838089e-12, 1.723569774772812162e-09, 1.378384729060430077e-09
1.861000000000000000e+03, 1.189795743948780191e-11, 1.423815306389856393e-09, 2.038956299554555090e-10, 1.505757904724512748e-11, 5.682956164490089553e-14, 9.427579356600180868e-12, 1.508989727688443793e-09, 1.303144093229381903e-09
1.862000000000000000e+03, 1.298237520832708780e-11, 1.407826131543248136e-09, 2.231953175807248827e-10, 1.525483494442280900e-11, 5.203362705849231676e-14, 9.712579522706239398e-12, 1.395043111447582380e-09, 1.196122996302026750e-09
1.863000000000000000e+03, 1.408032796487437639e-11, 1.403262365217634797e-09, 2.169349946060887749e-10, 1.543122786210048413e-11, 5.116783171249972855e-14, 9.946420007626369312e-12, 1.377791526929467771e-09, 1.550972930055966724e-09
1.864000000000000000e+03, 1.519129545689421871e-11, 1.384550309422668337e-09, 1.956327808547416530e-10, 1.562241558713600243e-11, 5.004485584805934735e-14, 1.015150206701511619e-11, 1.334923717718086627e-09, 1.418200745039262576e-09
1.865000000000000000e+03, 1.630989377298434568e-11, 1.369848547400684945e-09, 1.647942163092403196e-10, 1.580461767615075407e-11, 4.720561809103295974e-14, 1.033407406852412106e-11, 1.428538373607292970e-09, 1.378505597162950279e-09
1.866000000000000000e+03, 1.743780460707674916e-11, 1.367865949695921483e-09, 1.970694377834628787e-10, 1.602567161192098209e-11, 4.911968966200513188e-14, 1.050188165857992265e-11, 1.500375367506009090e-09, 1.096505576196080218e-09
1.867000000000000000e+03, 1.857309046123220378e-11, 1.369041280062749688e-09, 1.736381116537252157e-10, 1.626305543423340940e-11, 4.958082403749594581e-14, 1.040241509185270154e-11, 1.551353103953202833e-09, 1.237145677087779547e-09
1.868000000000000000e+03, 1.970683222340610215e-11, 1.366966060012083983e-09, 1.674975733992029516e-10, 1.643801751579586000e-11, 4.668398904957037619e-14, 1.069665743336142548e-11, 1.554219933938532323e-09, 1.335030676214395126e-09
1.869000000000000000e+03, 2.082654447934258229e-11, 1.369409416614740421e-09, 1.819215589299983983e-10, 1.658861474997587388e-11, 6.014358370966320995e-14, 1.089900509000850318e-11, 1.522960775829237522e-09, 1.427418910784927733e-09
