year, UKESM1-0-LL, MPI-ESM1-2-LR, TaiESM1, NorESM2-MM, EC-Earth3-Veg, CESM2-WACCM, NorESM2-LM, IPSL-CM6A-LR
1.860000000000000000e+03, 9.015901354544165990e-10, 9.474509748967438417e-10, 2.692651820841460225e-11, 2.399163119879671466e-11, 3.216912012250921473e-10, 1.356765938617272240e-10, 2.152316427084222410e-11, 1.362398569426097137e-09
1.861000000000000000e+03, 7.587555983210948966e-10, 7.590763225607989487e-10, 2.773558089524528603e-11, 2.512147499946775900e-11, 4.835791149945036807e-10, 1.811898742240166286e-10, 2.266789186953987744e-11, 1.287299819469815397e-09
1.862000000000000000e+03, 7.485256381157194930e-10, 6.743716440953206352e-10, 2.866948311966700919e-11, 2.672059004539849984e-11, 5.201473324864705982e-10, 1.989271734628846564e-10, 2.371305835970219628e-11, 1.180334108034454777e-09
1.863000000000000000e+03, 8.529132463437931466e-10, 6.721530589863499061e-10, 2.938273092998160323e-11, 2.807623597064072993e-11, 4.042945620744685282e-10, 1.910973034767167160e-10, 2.483814274596212813e-11, 1.535237289275800984e-09
1.864000000000000000e+03, 7.219034899455259122e-10, 6.534505448399839791e-10, 3.045788387646737123e-11, 2.920781755458564742e-11, 4.981432236816162676e-10, 1.682552017644188890e-10, 2.598177385270684361e-11, 1.401936904673599892e-09
1.865000000000000000e+03, 7.668288549218012348e-10, 7.550227395925494926e-10, 3.143597374494194639e-11, 3.078762321509087212e-11, 4.608562482387485241e-10, 1.359440571911056377e-10, 2.706546362868701959e-11, 1.362341660004833861e-09
1.866000000000000000e+03, 8.102566678549413857e-10, 8.434005640612251101e-10, 3.236628754195403802e-11, 3.232126538931462124e-11, 4.252734778085934306e-10, 1.667916973539057780e-10, 2.805436351829168523e-11, 1.080386996036248426e-09
1.867000000000000000e+03, 5.751976971326263106e-10, 9.199011347781049622e-10, 3.343907237915244805e-11, 3.387506239854293087e-11, 4.264433882067732270e-10, 1.421775048565104732e-10, 2.909559978694756938e-11, 1.221131916916786809e-09
1.868000000000000000e+03, 9.207875398561772625e-10, 9.491173167693416654e-10, 3.458013600375717008e-11, 3.525059892344569880e-11, 4.122116962699003104e-10, 1.348202746872886765e-10, 3.014153775282927065e-11, 1.318953054936042542e-09
1.869000000000000000e+03, 1.234639252438103851e-09, 9.274564141931940611e-10, 3.532786027810371963e-11, 3.569700196985364633e-11, 5.457465391146655873e-10, 1.480058977561219637e-10, 3.122646951374646147e-11, 1.411261375605902115e-09
