year, GFDL-ESM4, TaiESM1, CNRM-ESM2-1, ACCESS-ESM1-5, CMCC-CM2-SR5, EC-Earth3-Veg, CanESM5, INM-CM5-0, CESM2-WACCM, INM-CM4-8, IPSL-CM6A-LR, MIROC-ES2L, UKESM1-0-LL, NorESM2-MM, NorESM2-LM, MPI-ESM1-2-LR
1.850000000000000000e+03, 2.900643728510108321e+00, 8.330383021952352252e+00, 1.141536380112838245e+01, 9.274135257332760673e+00, 4.026075519787554846e+00, 8.284079896143790478e+00, 6.109423698715023221e+00, 1.641485813004495142e+01, 7.363682307178804898e+00, 1.915093047574950802e+01, 4.102384679087854202e+00, 1.440342955412604731e+01, 7.288094935315843514e+00, 6.599664308455961859e+00, 5.334086100521250096e+00, 8.587896358125838958e+00
1.851000000000000000e+03, 2.927538631358549637e+00, 8.586044414249052181e+00, 1.153486427956766747e+01, 9.224670213236969118e+00, 3.912905864271956968e+00, 7.789774797689472230e+00, 6.107586636527813972e+00, 1.648196311489844135e+01, 7.369369624196947299e+00, 1.907960610117039124e+01, 4.071930054597120652e+00, 1.426771003289344897e+01, 7.287527867252038938e+00, 6.573371033963734789e+00, 5.333471427069826021e+00, 8.309124941325979563e+00
1.852000000000000000e+03, 2.905152258680971933e+00, 8.511700655454232489e+00, 1.152755187711458973e+01, 9.167694269577609134e+00, 4.249312369371915032e+00, 7.481623106843711568e+00, 6.077820213374222291e+00, 1.651485611154117805e+01, 7.482672033914820275e+00, 1.920734468709420995e+01, 4.003685109101383865e+00, 1.407023691307856161e+01, 7.297020016996508041e+00, 6.591077921107413751e+00, 5.382795191452973249e+00, 8.066006856684104775e+00
1.853000000000000000e+03, 2.880569595886661283e+00, 8.227570884440103427e+00, 1.149460807114494543e+01, 9.154645096612945565e+00, 4.357915758812198170e+00, 7.233515111636743100e+00, 6.034398820752298498e+00, 1.654755305642521890e+01, 7.470792614127278242e+00, 1.922158959030480574e+01, 3.975330214359256154e+00, 1.391212758903590263e+01, 7.279505624745101322e+00, 6.625605050256214490e+00, 5.362486494300898521e+00, 7.857743842740599227e+00
1.854000000000000000e+03, 2.803124451617923896e+00, 7.866430513885027231e+00, 1.139386155664201539e+01, 9.126630105584373709e+00, 3.919471434207671745e+00, 7.129847051790333623e+00, 6.112844948564253755e+00, 1.665187539295536823e+01, 7.419142492942540024e+00, 1.923507785175085871e+01, 4.026808725486344720e+00, 1.382619177608774663e+01, 7.297136480611809972e+00, 6.513141506274114256e+00, 5.335920273546353343e+00, 7.654976654086658172e+00
1.855000000000000000e+03, 2.885439931815816816e+00, 8.603841034494536189e+00, 1.140069788556807850e+01, 9.122747563631568468e+00, 3.974002575781744984e+00, 7.036350840872230172e+00, 6.102629158476394089e+00, 1.662421201035450835e+01, 7.350997810528501653e+00, 1.928015362780340425e+01, 3.984192598998375967e+00, 1.378744921262828527e+01, 7.321861218578337827e+00, 6.438045467989065962e+00, 5.341644865559293187e+00, 7.564723664803503667e+00
1.856000000000000000e+03, 2.829452498942433891e+00, 8.780670189954854266e+00, 1.139883536654644836e+01, 9.158926870921160202e+00, 4.119653169998730213e+00, 6.503963157678039231e+00, 6.067895925853847849e+00, 1.652512375422555380e+01, 7.293081898455279877e+00, 1.931458808387182557e+01, 4.035955181149443405e+00, 1.378743629027527007e+01, 7.296884005215642510e+00, 6.456919970402606346e+00, 5.292630232280506775e+00, 7.428452774926943114e+00
1.857000000000000000e+03, 2.833753862924584865e+00, 8.336163425883469813e+00, 1.137661327231957031e+01, 9.144959856861015979e+00, 4.187589225521389125e+00, 6.406744153700786981e+00, 6.001426045252356900e+00, 1.644778909778656839e+01, 7.216824237609642090e+00, 1.943372462408711243e+01, 4.048393924196985516e+00, 1.374504279646535210e+01, 7.289538760807136697e+00, 6.453248918991986827e+00, 5.235518187560974646e+00, 7.229665065489792930e+00
1.858000000000000000e+03, 2.788258524745376832e+00, 8.413054433280601430e+00, 1.148677167212882289e+01, 9.188146425551522611e+00, 4.039134971978131539e+00, 6.350510184096157751e+00, 6.002282423925286992e+00, 1.649932471977498949e+01, 7.142264988445248264e+00, 1.946111063352872605e+01, 4.012646958660384122e+00, 1.374388796779251010e+01, 7.278236737669296907e+00, 6.431702350435398507e+00, 5.215311987887457867e+00, 7.159492136451999222e+00
1.859000000000000000e+03, 2.790419950941877225e+00, 8.658594257025450602e+00, 1.151916203493211377e+01, 9.250809981005604143e+00, 3.973749141492859849e+00, 6.272525652139107954e+00, 5.991505586860433219e+00, 1.653674671628480297e+01, 7.142586364417816469e+00, 1.951177233612258632e+01, 4.041327163086973151e+00, 1.373308957741909353e+01, 7.278244103380784757e+00, 6.439883029625453226e+00, 5.285287840310042284e+00, 7.125877993034795743e+00
1.860000000000000000e+03, 2.857688119973495589e+00, 8.447285802318955206e+00, 1.162936616154457958e+01, 9.251998269041644463e+00, 4.106160612939015131e+00, 6.348713941273027572e+00, 6.017590833475948919e+00, 1.646408436907074702e+01, 7.190609326054962835e+00, 1.960432776486812756e+01, 4.000569225750074231e+00, 1.368283003905119521e+01, 7.311726106232034894e+00, 6.443213216438858915e+00, 5.329598316137536429e+00, 7.005556958352664232e+00
1.861000000000000000e+03, 2.919377033530794030e+00, 8.430150826890711713e+00, 1.155236478377954334e+01, 9.216056936445516712e+00, 4.216861107362832151e+00, 6.441477566897724216e+00, 6.036134469803380753e+00, 1.651867447481014395e+01, 7.241044596719333093e+00, 1.956172599464201411e+01, 3.968070432229493072e+00, 1.360827079935925887e+01, 7.319365454999735121e+00, 6.522869118662487864e+00, 5.308608398564873987e+00, 6.769625689780446542e+00
1.862000000000000000e+03, 2.855065878303856941e+00, 8.616015200203339219e+00, 1.151687012211882788e+01, 9.206269787519465453e+00, 3.924870598703994240e+00, 6.330314550407943663e+00, 6.045728401246937445e+00, 1.656749438307279121e+01, 7.269506275335833934e+00, 1.951044450339022518e+01, 3.898356619820121605e+00, 1.357016389702380010e+01, 7.315290097833308636e+00, 6.582424942876257568e+00, 5.284880083254551053e+00, 6.650242099619300795e+00
1.863000000000000000e+03, 2.853182958534127511e+00, 8.501035775316056586e+00, 1.146604010928717088e+01, 9.172192915399348223e+00, 4.129830861237106632e+00, 6.216510121532283328e+00, 6.044356622678142443e+00, 1.659283300225978408e+01, 7.240609218524780566e+00, 1.951417948140345260e+01, 4.010259349137291984e+00, 1.353295943791690625e+01, 7.365119548714165632e+00, 6.555227397288211577e+00, 5.306742712871960421e+00, 6.556263096115438671e+00
1.864000000000000000e+03, 2.887422734570168181e+00, 8.480752667689840152e+00, 1.149326610694781969e+01, 9.127770688019968048e+00, 4.351387400667128702e+00, 6.149277383673921626e+00, 6.023746497540821920e+00, 1.668785916419013304e+01, 7.203950027745501750e+00, 1.958649631855972117e+01, 3.954426877957446074e+00, 1.345326259037981309e+01, 7.367714676164012211e+00, 6.512668035518897725e+00, 5.267281242127821450e+00, 6.451594074111158150e+00
1.865000000000000000e+03, 2.909700696523476626e+00, 8.334730538123586996e+00, 1.167615517442158968e+01, 9.103385316195089061e+00, 4.289372448361286949e+00, 6.246346783104197442e+00, 6.070536349861051839e+00, 1.665694175878575578e+01, 7.097774250718772215e+00, 1.957488778052785250e+01, 3.929455885369479429e+00, 1.336374147484819908e+01, 7.352153274983238340e+00, 6.512537204212063280e+00, 5.305272550762586192e+00, 6.500944778792409728e+00
1.866000000000000000e+03, 2.850494054387255893e+00, 8.413082224272558918e+00, 1.151321216535182046e+01, 9.099372112145807989e+00, 4.617641024973755393e+00, 6.240371218339584303e+00, 6.128846025312656209e+00, 1.655639439290188619e+01, 7.035675182400168204e+00, 1.952877004381474180e+01, 3.828549865275071795e+00, 1.328257771725265179e+01, 7.358159642698368863e+00, 6.482746821041444285e+00, 5.327079440498656560e+00, 6.425654783863296693e+00
1.867000000000000000e+03, 2.877813941762580097e+00, 8.788706508501705983e+00, 1.137689189273696044e+01, 9.071943639723768271e+00, 4.624181730474360208e+00, 6.163310629453829570e+00, 6.092708304576571976e+00, 1.650590154986700497e+01, 6.972143171563327968e+00, 1.951186338239530116e+01, 3.840634991948962629e+00, 1.331588103670965850e+01, 7.327920504623532949e+00, 6.411647605131522987e+00, 5.339956113575301089e+00, 6.399738962712668844e+00
