year, TaiESM1, EC-Earth3-Veg, MIROC-ES2L, NorESM2-LM, CMCC-CM2-SR5, CNRM-ESM2-1, CESM2-WACCM, MPI-ESM1-2-LR, UKESM1-0-LL, GFDL-ESM4, NorESM2-MM, CanESM5, ACCESS-ESM1-5, INM-CM4-8, INM-CM5-0, IPSL-CM6A-LR
1.887000000000000000e+03, 3.156902503192763110e+00, 3.970082726067539980e+00, 3.099360484215962774e+00, 1.529833951061452257e+00, 2.354488113183329734e+00, 2.916891643337264028e+00, 1.879431757686393034e+00, 3.982659200899972607e+00, 2.200950918532469824e+00, 2.380260752400512381e+00, 1.921160773374275932e+00, 4.695302580583726737e+00, 1.531823421832721355e+00, 4.495786724051428429e+00, 4.020871343105514306e+00, 2.466254690106767455e+00
1.888000000000000000e+03, 3.467819962105447740e+00, 3.919112809899800265e+00, 3.001351197813182825e+00, 1.281484732988846797e+00, 2.410376829161438028e+00, 2.997266143752372436e+00, 2.055914774164061765e+00, 3.937852396465497673e+00, 1.977410180823633290e+00, 2.039372043494165343e+00, 1.828394824950356545e+00, 4.716073202056999314e+00, 1.535230152692748762e+00, 4.300966851951558922e+00, 3.938585814755357628e+00, 2.635256419464079514e+00
1.889000000000000000e+03, 3.653297845386941134e+00, 3.792342355343036431e+00, 2.969959261564586672e+00, 1.504749658982379668e+00, 2.270882183257227904e+00, 2.545978371261300222e+00, 2.024132341273855218e+00, 3.641616051364328310e+00, 2.364808456578570528e+00, 2.227032509244680991e+00, 1.882527334293964572e+00, 4.814495136205721337e+00, 1.403875316357668490e+00, 4.770784655261818052e+00, 4.040956563338334639e+00, 2.382526612975667479e+00
1.890000000000000000e+03, 3.032380091670197064e+00, 3.887994693926120071e+00, 3.075358338204674524e+00, 1.554297675791905142e+00, 2.132005472010195302e+00, 2.749175312657596848e+00, 2.060875169863316980e+00, 3.853811626632213994e+00, 2.480436490793689330e+00, 2.402087167155391167e+00, 2.114805140664524963e+00, 4.694718939151097281e+00, 1.468664016554507512e+00, 4.464262141818216456e+00, 3.882131106296119238e+00, 2.279937799595607828e+00
1.891000000000000000e+03, 3.340090050999439342e+00, 4.032547167814835021e+00, 3.041329094698605573e+00, 1.421728492673115740e+00, 2.152007470589451188e+00, 2.884403567495434029e+00, 1.941049044476926388e+00, 3.343000765383172812e+00, 1.928132929457186950e+00, 2.335081950568027587e+00, 1.713162797724648856e+00, 4.950932760358512930e+00, 1.528641787129428886e+00, 4.505055649790207895e+00, 3.705588717645529329e+00, 2.048718593956020406e+00
1.892000000000000000e+03, 3.817295403430477130e+00, 3.954217527906323859e+00, 2.964542783071731247e+00, 1.517858988481419091e+00, 2.254299033001732067e+00, 2.587511247566627759e+00, 2.040121201995829026e+00, 3.606982878728611563e+00, 2.536056901886781567e+00, 2.431539197025552657e+00, 1.773988807341529750e+00, 4.811749708233495681e+00, 1.436156141504849382e+00, 4.762199748488108675e+00, 3.920933451428870509e+00, 2.257436066797923413e+00
1.893000000000000000e+03, 3.531560721158891525e+00, 3.948052185567876293e+00, 3.021372159387293976e+00, 1.512129061085411674e+00, 1.782183495938343576e+00, 2.366393905630989281e+00, 1.926893257752427813e+00, 3.770841187499688552e+00, 2.977040220753055966e+00, 2.464113604332153873e+00, 1.909108827977205713e+00, 4.819770993817334315e+00, 1.584981063300058501e+00, 4.934020190238102010e+00, 3.879913242920845384e+00, 2.525728018488415216e+00
1.894000000000000000e+03, 3.562205181553496747e+00, 3.906124724561680583e+00, 2.998353115481398490e+00, 1.512571761001623605e+00, 1.794651728372389066e+00, 2.581204296184933078e+00, 1.893103371125414380e+00, 3.789650355927558945e+00, 2.943855043932866788e+00, 2.364696586533582057e+00, 1.726375322392051270e+00, 4.723279788280962954e+00, 1.688215766214264502e+00, 4.608494744498122131e+00, 4.025759764209848157e+00, 2.610716025316709654e+00
1.895000000000000000e+03, 3.444597779664919202e+00, 3.631908692805561500e+00, 3.148584096306683566e+00, 1.742063430053938156e+00, 1.935699609963802637e+00, 2.894656396262949904e+00, 1.987535679259442745e+00, 3.776806566284902189e+00, 2.841664390333006995e+00, 2.166393189223188909e+00, 1.702697881836517713e+00, 4.651172467178296799e+00, 1.697569994224659817e+00, 4.362572712276588049e+00, 4.065662104587877579e+00, 2.190431684027995374e+00
1.896000000000000000e+03, 3.524821111858503997e+00, 4.086029653599049460e+00, 3.091881700912281428e+00, 1.801943799673568769e+00, 2.796574532272382729e+00, 2.688471178033736031e+00, 2.010500939622929195e+00, 3.677558910434965078e+00, 2.413943891905069528e+00, 2.216320256190107862e+00, 1.709966574290411767e+00, 4.718613168685108050e+00, 1.684810675217937703e+00, 4.695058239268979250e+00, 3.957478368254971013e+00, 2.703255590617180459e+00
1.897000000000000000e+03, 3.322520607255776248e+00, 4.255051075131026650e+00, 3.046317314845466306e+00, 1.548836203834488945e+00, 2.915440443204291299e+00, 3.028421958864060404e+00, 1.961232872319947695e+00, 3.541674026492622751e+00, 2.375289987082639609e+00, 2.113570850770786880e+00, 1.749817328386826132e+00, 4.676718410864606490e+00, 1.759475373817447563e+00, 4.543601060135467051e+00, 4.038174602361388033e+00, 2.359145169219807325e+00
1.898000000000000000e+03, 3.313839515388224743e+00, 4.275218453938532726e+00, 3.098876680091634306e+00, 1.621761706969136352e+00, 2.439846410845688762e+00, 2.824042953898890485e+00, 1.936929465018829122e+00, 3.957425467072099856e+00, 2.572409459319139557e+00, 2.009410746392553460e+00, 1.864598649211383963e+00, 4.743318945124427977e+00, 1.701082750050179060e+00, 4.398844401751897948e+00, 3.815410845365597936e+00, 2.456128502967700467e+00
1.899000000000000000e+03, 3.201997964470191693e+00, 3.762171890188012569e+00, 3.115001263574174839e+00, 1.769618056053703370e+00, 2.242272978387992222e+00, 3.069951177086370997e+00, 1.917184697522508197e+00, 4.264664109929941382e+00, 2.149041845732373002e+00, 1.904348483760586186e+00, 1.856458385093181507e+00, 4.919361102006912567e+00, 1.426621443470558637e+00, 4.537764981346097848e+00, 3.777922037180635684e+00, 2.852703116914451442e+00
