year, TaiESM1, CMCC-ESM2, UKESM1-0-LL, MPI-ESM1-2-LR, NorESM2-MM, CNRM-ESM2-1, NorESM2-LM, EC-Earth3-Veg, CESM2-WACCM, IPSL-CM6A-LR
1.850000000000000000e+03, 1.035455036632036874e-11, 4.066805107179938333e-12, 2.157881464444424674e-14, 6.099597943929003513e-10, 1.014453965844774206e-10, 0.000000000000000000e+00, 7.182277462452842180e-11, 0.000000000000000000e+00, 1.434853348643802252e-12, 5.971529262901652814e-12
1.851000000000000000e+03, 1.608107952412588628e-11, 4.582898738028952385e-12, 4.003573251711705791e-14, 9.591458778331370973e-10, 1.467235946166289014e-10, 3.040904794953491405e-11, 1.475828750502263370e-10, 1.468914242374570132e-09, 1.082378667970547545e-11, 1.385268821015063722e-11
1.852000000000000000e+03, 1.987635626860946210e-11, 7.159270456445254720e-12, 4.589500947905682643e-14, 9.709502120792629647e-10, 1.849906408818121764e-10, 3.194715194581751225e-11, 1.751959951693931169e-10, 1.266130029561198448e-09, 1.358191318503125165e-11, 1.415245552773099566e-11
1.853000000000000000e+03, 2.230608668777514744e-11, 8.789168689227679648e-12, 4.585995070665805459e-14, 9.458392762503230864e-10, 1.802508289123804331e-10, 3.387732656705520390e-11, 1.445903701801792812e-10, 1.217162254997719647e-09, 1.585075554202101304e-11, 1.452790855398968436e-11
1.854000000000000000e+03, 2.371350122918923903e-11, 9.120996728420269995e-12, 4.739028195208102952e-14, 9.284746479216507398e-10, 1.450678710361454034e-10, 3.520217383712573332e-11, 1.402954714414157565e-10, 1.004219275420929517e-09, 1.765613255476764173e-11, 1.489512948737970648e-11
1.855000000000000000e+03, 2.627816956751495195e-11, 9.630165272341524764e-12, 4.886699756520643338e-14, 9.100961217648694264e-10, 1.548417549793366053e-10, 3.674531085346180413e-11, 1.253440881568474914e-10, 8.884109707138687748e-10, 1.949753447650965610e-11, 1.536756702199385886e-11
1.856000000000000000e+03, 2.730863763845715429e-11, 1.161092163583104851e-11, 4.801806174758713679e-14, 8.914011300927287161e-10, 1.942725849650819964e-10, 3.851631618796078628e-11, 1.121674865621961031e-10, 6.534413866574793203e-10, 2.120827791498666263e-11, 1.571054237694389098e-11
1.857000000000000000e+03, 2.762787894012075355e-11, 1.278308317191454392e-11, 4.677392708849798723e-14, 8.639598287945317540e-10, 1.851471867714142599e-10, 4.015839105505891414e-11, 1.373346345440013838e-10, 4.953074674240106994e-10, 2.279815972044753850e-11, 1.602508585568026255e-11
1.858000000000000000e+03, 2.862031347484536694e-11, 1.428727358868715768e-11, 4.536669265577823013e-14, 8.353944419684470554e-10, 1.769457215774941789e-10, 4.178506392651635607e-11, 1.263637864437980553e-10, 4.441753051378794618e-10, 2.423684078949859034e-11, 1.562969387912110472e-11
1.859000000000000000e+03, 2.975026485188054673e-11, 1.429363468335019303e-11, 4.501047247288427174e-14, 8.073219673514031927e-10, 1.748852972363700354e-10, 4.422170716870853311e-11, 1.636032284135070048e-10, 4.021423850464368280e-10, 2.566698964933242250e-11, 1.579870871394960686e-11
1.860000000000000000e+03, 2.982095445486748637e-11, 1.487987532305371140e-11, 5.134839952473049081e-14, 7.761263267115000224e-10, 1.777805464215821093e-10, 4.544312025613866573e-11, 1.804973643984659814e-10, 3.340551474362430135e-10, 2.771892711755983923e-11, 1.598615985509078546e-11
1.861000000000000000e+03, 3.060845139813684282e-11, 1.565398781264802168e-11, 5.682956180248515728e-14, 7.499150826298284739e-10, 2.415101518232087673e-10, 4.656688637535125816e-11, 1.844587966638796291e-10, 3.319676392353402569e-10, 3.073802361782386648e-11, 1.584427313098201922e-11
1.862000000000000000e+03, 3.162285896967202934e-11, 1.745426558853494914e-11, 5.203362735495569234e-14, 7.206709317608162275e-10, 2.490320516953413029e-10, 4.665572507809817786e-11, 1.685238202287726036e-10, 3.229143953542873599e-10, 3.235693557117190296e-11, 1.578887371487575488e-11
1.863000000000000000e+03, 3.225530160116843362e-11, 1.905632639000572170e-11, 5.116782999684909137e-14, 7.056368436204876928e-10, 2.136045108234504127e-10, 4.674156113268311248e-11, 1.678321620280617125e-10, 3.117526531705262133e-10, 3.380713344552202093e-11, 1.573565215104723118e-11
1.864000000000000000e+03, 3.303675361564035346e-11, 1.990928048186505749e-11, 5.004485587835575867e-14, 6.814723859945737413e-10, 2.057738770223228513e-10, 4.671581479399670014e-11, 1.856057706392624644e-10, 2.992919559340998384e-10, 3.509938726693766079e-11, 1.626384217691227309e-11
1.865000000000000000e+03, 3.366539154805491941e-11, 2.087077985436667107e-11, 4.720561796486606172e-14, 6.735152121979249009e-10, 1.894367828127024033e-10, 4.771035857211952473e-11, 1.688730007076213040e-10, 3.008521112432401985e-10, 3.644470278788753572e-11, 1.616395683526782637e-11
1.866000000000000000e+03, 3.460822866437347875e-11, 2.124320581921800825e-11, 4.911968985499838093e-14, 6.569787263936711675e-10, 1.974957316614287276e-10, 4.816726890369067024e-11, 1.564506645774120392e-10, 8.613766509339590514e-11, 3.744473093409179279e-11, 1.611858711749575229e-11
1.867000000000000000e+03, 3.597202094770981293e-11, 2.240460384147382440e-11, 4.958082280196427508e-14, 6.314544885228737710e-10, 1.981344752027456614e-10, 4.732820143514491566e-11, 1.911759930112733986e-10, 1.056364229188037504e-10, 3.847009484818605641e-11, 1.601373796891752934e-11
1.868000000000000000e+03, 3.699762362743502151e-11, 2.394980402137745085e-11, 4.668398955576911572e-14, 6.051051139313103033e-10, 1.817526948574270761e-10, 4.779951174400711196e-11, 1.795574066250892608e-10, 1.141817807208701520e-10, 3.963423079001666923e-11, 1.607760967056928299e-11
1.869000000000000000e+03, 3.751120389372124212e-11, 2.726081091578889815e-11, 6.014358378682089991e-14, 5.955044205614477074e-10, 2.171375899071786294e-10, 4.768516252157157283e-11, 1.310080332763015281e-10, 1.274276600674248483e-10, 4.124469928615655058e-11, 1.615752090704914525e-11
1.870000000000000000e+03, 3.869031475789481217e-11, 2.743176494949954468e-11, 7.152845411049917992e-14, 5.825383284224841036e-10, 2.149551967780237172e-10, 4.842502684580367186e-11, 1.616810407669006884e-10, 1.279758427743919339e-10, 4.241486727126884497e-11, 1.614781269229469100e-11
1.871000000000000000e+03, 3.953927446235022614e-11, 2.669253653943242124e-11, 7.802464115416391461e-14, 5.636188349764203320e-10, 2.251282564522371962e-10, 4.496652132943405814e-11, 1.699962221314535892e-10, 1.305212115373733483e-10, 4.527542401920189856e-11, 1.539765595634788634e-11
1.872000000000000000e+03, 4.049378664221385931e-11, 2.798501562357662829e-11, 7.552779270641409950e-14, 5.482553383583693433e-10, 2.188991269794684547e-10, 4.416364504947644789e-11, 1.974906466769159964e-10, 1.294422773597401605e-10, 4.695851211969765436e-11, 1.542909552890261794e-11
1.873000000000000000e+03, 4.111140710361516899e-11, 2.933052299503401657e-11, 6.821773758383696153e-14, 5.356670707814014893e-10, 2.207596407537335345e-10, 4.428904225050203174e-11, 1.971353087079984747e-10, 1.241862634012159502e-10, 4.816818188503445522e-11, 1.545867386148128569e-11
1.874000000000000000e+03, 4.206342775142657408e-11, 3.068525516416824890e-11, 6.779009665063642207e-14, 5.250285075455507843e-10, 2.103942216289754557e-10, 4.473333623551657352e-11, 2.122097047585570824e-10, 1.203713370746700687e-10, 4.932318533919138212e-11, 1.549912371497368122e-11
1.875000000000000000e+03, 4.308016895001372319e-11, 3.293798935961774764e-11, 7.462320928004585933e-14, 5.184490921050808597e-10, 2.094197306306923091e-10, 4.452595033463666171e-11, 2.020133724076599030e-10, 1.297935684782949231e-10, 5.003154660536019021e-11, 1.559821265627669854e-11
1.876000000000000000e+03, 4.358245772941184774e-11, 3.220618280096305593e-11, 7.089473527669599257e-14, 5.130663131191263154e-10, 2.298516805478320265e-10, 4.402829431865496134e-11, 1.854641526248182600e-10, 1.296733354674205282e-10, 5.177092442298039878e-11, 1.571553482013670321e-11
1.877000000000000000e+03, 4.479025555722492675e-11, 3.200349085675655651e-11, 6.991767748317519852e-14, 5.112026515952051655e-10, 2.210406309697759343e-10, 4.416388008680831735e-11, 1.953202331401437854e-10, 1.228165421367069277e-10, 5.240170233627866025e-11, 1.569049952165029290e-11
1.878000000000000000e+03, 4.558845849039017728e-11, 3.407950864906229958e-11, 6.765535156269617165e-14, 5.040196841670052648e-10, 2.037703339663885078e-10, 4.444174976477061603e-11, 2.099106931454424512e-10, 1.207442846055328685e-10, 5.385606280159882767e-11, 1.576717134636887232e-11
1.879000000000000000e+03, 4.600241105732206412e-11, 3.478752241648774015e-11, 6.151794204297034286e-14, 4.999114112468225289e-10, 2.064455887346958823e-10, 4.446982215282700451e-11, 2.059215754415050503e-10, 1.196417634075747159e-10, 5.456437696964340540e-11, 1.583970757816729757e-11
1.880000000000000000e+03, 4.836198519268178172e-11, 3.612696609596809437e-11, 5.862496235477885462e-14, 4.893162062246778841e-10, 2.740307358913772731e-10, 4.450804908264345485e-11, 2.023916283549270398e-10, 1.215050247214323687e-10, 5.598138726580658267e-11, 1.593839358684916149e-11
1.881000000000000000e+03, 4.954261933894277869e-11, 3.725016296919922327e-11, 6.159489280576043468e-14, 4.855577388231663061e-10, 2.241583615596606914e-10, 5.757329198795965117e-11, 1.936306844054673815e-10, 1.330943311754954936e-10, 5.781462967033597747e-11, 1.864470565815639862e-11
1.882000000000000000e+03, 4.974455099874953989e-11, 3.732482038574118734e-11, 7.011716271962580376e-14, 4.836570910550843040e-10, 2.329888185353512578e-10, 5.750357323041130465e-11, 1.877956725435336819e-10, 1.183055768952547935e-10, 5.887049714238230996e-11, 1.859830913963170831e-11
1.883000000000000000e+03, 5.065276706904112293e-11, 3.882652049645849843e-11, 7.478734140618566175e-14, 4.760890156548491262e-10, 2.243534429856410329e-10, 5.814093415521216551e-11, 1.797670548018814831e-10, 1.112742406967751356e-10, 5.985150298741458965e-11, 1.872228668684195348e-11
1.884000000000000000e+03, 5.207057747043745169e-11, 3.981081488772257628e-11, 6.864194679777590573e-14, 4.626445202648365973e-10, 2.306394206276343718e-10, 5.977167583226690248e-11, 1.786893617853813845e-10, 1.351049413547684911e-10, 6.127476269480464504e-11, 1.826132757123397421e-11
1.885000000000000000e+03, 5.260069529728732129e-11, 4.109852928563908451e-11, 7.075220954356525178e-14, 4.463591924138545865e-10, 2.414788787981134482e-10, 6.002522852269439181e-11, 1.763167393917591775e-10, 1.323349413072343176e-10, 6.284165746333638581e-11, 1.817634026780358384e-11
1.886000000000000000e+03, 5.346058950149909989e-11, 4.063598551503782105e-11, 7.112989261177406707e-14, 4.390400565042568980e-10, 2.696192923052410459e-10, 6.125972552139079063e-11, 1.747730997551161400e-10, 1.304612964907424562e-10, 6.444112223206805481e-11, 1.809983298887745942e-11
1.887000000000000000e+03, 5.405222731266456801e-11, 4.086507417642462560e-11, 7.261079712544940162e-14, 4.317013484683478490e-10, 2.586974468530175810e-10, 6.158436940558104344e-11, 1.704075423861604534e-10, 1.348543614912544058e-10, 6.510785260648807169e-11, 1.818648657472231211e-11
1.888000000000000000e+03, 5.488868546384443088e-11, 4.252062641551601349e-11, 7.282889897672592114e-14, 4.292499943677859818e-10, 2.166456481963118194e-10, 6.309726503461187199e-11, 1.803004356534153365e-10, 1.236662955996575393e-10, 6.644362955914436719e-11, 1.818973642693160522e-11
1.889000000000000000e+03, 5.597883933260640214e-11, 4.314094389853991432e-11, 6.356065948194760033e-14, 4.191341954035599685e-10, 2.145877610840578344e-10, 6.407042783502607083e-11, 1.808343483729037348e-10, 1.448741497837496726e-10, 6.781077151480666778e-11, 1.830054759690059003e-11
