year, CNRM-ESM2-1, CESM2-WACCM, IPSL-CM6A-LR, UKESM1-0-LL
1.916000000000000000e+03, 5.498283794711815973e-11, 8.415982089181863450e-11, -1.437665158904539493e-09, 9.861079210143472437e-10
1.917000000000000000e+03, 5.521989776877216457e-11, 8.359271263662596884e-11, -1.656951226865800924e-09, 9.140286742308433031e-10
1.918000000000000000e+03, 5.522129147601190776e-11, 8.367660308267829118e-11, -1.704654616633137719e-09, 9.191901404539786511e-10
1.919000000000000000e+03, 5.511793023562016796e-11, 8.397209402756866540e-11, -1.627559892946098710e-09, 9.830132481585486169e-10
1.920000000000000000e+03, 5.596618063944640859e-11, 8.407558342072534491e-11, -1.590509724810306637e-09, 8.360800210476609084e-10
1.921000000000000000e+03, 1.903170940637627889e-10, 1.208356072697480925e-10, -1.351989447215048140e-09, 8.734717648310786429e-10
1.922000000000000000e+03, 1.967556508827291612e-10, 1.227009131246692019e-10, -1.712007808123567385e-09, 8.078494376760487294e-10
1.923000000000000000e+03, 2.062707515553199780e-10, 1.263988138052173945e-10, -1.869014302939828090e-09, 7.275683930462574884e-10
1.924000000000000000e+03, 2.142375787613830858e-10, 1.272368895127597480e-10, -1.725242720855130889e-09, 5.700541651714401667e-10
1.925000000000000000e+03, 2.218789905772343540e-10, 1.307981152685705078e-10, -1.592697518278005392e-09, 5.671295506348931177e-10
1.926000000000000000e+03, 2.286316688730444137e-10, 1.334144756232393743e-10, -1.742020031950534151e-09, 6.924408804240437296e-10
1.927000000000000000e+03, 2.366507827630404113e-10, 1.368989962249347093e-10, -1.932385382346847757e-09, 8.728425026327108810e-10
1.928000000000000000e+03, 2.477787565278537035e-10, 1.380360795935802717e-10, -1.797148951445647446e-09, 8.514151288268293425e-10
1.929000000000000000e+03, 2.550144495336116375e-10, 1.422505112529378380e-10, -1.547539209340416323e-09, 7.137775464764238323e-10
1.930000000000000000e+03, 2.631619126015857292e-10, 1.461052275642632106e-10, -1.636890914398103022e-09, 5.760773267401172264e-10
1.931000000000000000e+03, 2.625305538214747979e-10, 1.450689731883283376e-10, -1.745044251262722136e-09, 7.539404332489436961e-10
1.932000000000000000e+03, 2.622865236444661564e-10, 1.479496942478933453e-10, -1.783798501758786491e-09, 8.655984513611679992e-10
1.933000000000000000e+03, 2.664531744634033602e-10, 1.529055473914486329e-10, -1.708840447337893324e-09, 8.605430794747736852e-10
1.934000000000000000e+03, 2.698830882901635610e-10, 1.578125596599913644e-10, -1.704875000352257003e-09, 9.382505722485306397e-10
1.935000000000000000e+03, 2.724895131505070415e-10, 1.593818002979580322e-10, -1.850956562082002813e-09, 8.961108631887392048e-10
1.936000000000000000e+03, 2.725081492151535115e-10, 1.592374182853580599e-10, -2.090816893700002893e-09, 1.034086058357728969e-09
1.937000000000000000e+03, 2.771243800067941419e-10, 1.651025015186951512e-10, -2.042318469781491601e-09, 9.230218018679826224e-10
1.938000000000000000e+03, 2.761098933474032943e-10, 1.687062803492129099e-10, -1.706926991937293029e-09, 1.053464975559152105e-09
1.939000000000000000e+03, 2.815616314695075342e-10, 1.699457047435125540e-10, -1.960066551088920795e-09, 8.354972257194549211e-10
1.940000000000000000e+03, 2.832941069909732727e-10, 1.736057744614413981e-10, -1.929388003564115578e-09, 8.232716785148768567e-10
1.941000000000000000e+03, 3.251386572973811703e-10, 1.858843244306190054e-10, -1.996139656461859659e-09, 8.962475806415949449e-10
1.942000000000000000e+03, 3.256398462316688370e-10, 1.890120333517943885e-10, -1.697355852505422066e-09, 1.068480904004786760e-09
1.943000000000000000e+03, 3.313387134359057684e-10, 1.908906213049018136e-10, -1.942835902049876621e-09, 6.794431328372316391e-10
1.944000000000000000e+03, 3.336197080122830053e-10, 1.929655308717537035e-10, -1.847575230477350208e-09, 7.002351414017271501e-10
1.945000000000000000e+03, 3.261268874201170799e-10, 1.985487436207724831e-10, -1.950743186219969238e-09, 8.946314366145535961e-10
1.946000000000000000e+03, 3.250229878431051622e-10, 2.034012287259472520e-10, -2.136246442890668887e-09, 9.519904681269499665e-10
1.947000000000000000e+03, 3.301038483653413532e-10, 2.102361484750118678e-10, -2.022889620476141905e-09, 8.069275185912271886e-10
1.948000000000000000e+03, 3.292000927903300129e-10, 2.180149639696137800e-10, -2.054298332457748436e-09, 6.466889534121238975e-10
1.949000000000000000e+03, 3.388759375184832678e-10, 2.188866348614980244e-10, -1.882887010905125445e-09, 8.010546395339943914e-10
1.950000000000000000e+03, 3.460667184378213271e-10, 2.238387781511374316e-10, -2.468608695571510558e-09, 8.652591867038136566e-10
1.951000000000000000e+03, 3.780213482714940992e-10, 2.458426411491554701e-10, -2.232987016104791317e-09, 9.533787264801059892e-10
1.952000000000000000e+03, 3.811077168730947097e-10, 2.500111486847002140e-10, -2.161703939315106721e-09, 8.988929726931440274e-10
1.953000000000000000e+03, 3.865628399527744417e-10, 2.589035167858705855e-10, -1.949947945413441537e-09, 8.441347599052858215e-10
1.954000000000000000e+03, 3.948728510133028997e-10, 2.673576948873274690e-10, -2.256496158796247140e-09, 7.549496991091836293e-10
1.955000000000000000e+03, 4.019492042628262721e-10, 2.742439540892776770e-10, -2.132327407978343761e-09, 1.006670224428741695e-09
1.956000000000000000e+03, 4.087628335819262327e-10, 2.812965020300060906e-10, -1.992226175047358030e-09, 1.201034365625857304e-09
1.957000000000000000e+03, 4.096621903085349512e-10, 2.864584306231929076e-10, -2.085441121708444995e-09, 9.550528596126185465e-10
1.958000000000000000e+03, 4.171454480557633578e-10, 2.914194878477968822e-10, -1.871582290782518990e-09, 8.139905285651876902e-10
1.959000000000000000e+03, 4.182942646353852844e-10, 2.981394357685925803e-10, -2.200851897259235568e-09, 9.904204804741558981e-10
1.960000000000000000e+03, 4.235127443710380682e-10, 3.056406963481943684e-10, -1.984336438366812590e-09, 1.234122008357027743e-09
1.961000000000000000e+03, 2.577551491279296417e-10, 2.715480604187989075e-10, -2.208044581290748644e-09, 1.132506047572832707e-09
1.962000000000000000e+03, 2.493807855532148814e-10, 2.737038150061539984e-10, -2.227790092883279064e-09, 7.952622284178407955e-10
1.963000000000000000e+03, 2.420191040831925605e-10, 2.758556814599375970e-10, -2.414224499476558196e-09, 9.260535320645203143e-10
1.964000000000000000e+03, 2.333706068894156578e-10, 2.802454779406907643e-10, -2.137401465297911882e-09, 1.179649916251756797e-09
1.965000000000000000e+03, 2.249125711491610529e-10, 2.879880603908226739e-10, -1.941367920290945608e-09, 1.076899386437024197e-09
1.966000000000000000e+03, 2.169317383360630901e-10, 2.936678494931018257e-10, -2.166918616648314051e-09, 1.163591202741921628e-09
1.967000000000000000e+03, 2.069891049359794981e-10, 3.005940525508773488e-10, -2.284170923999615488e-09, 1.267230900448994520e-09
1.968000000000000000e+03, 2.013392011921158997e-10, 3.075154751513823176e-10, -2.246023370518489612e-09, 1.023334768847682577e-09
1.969000000000000000e+03, 1.922712379877641661e-10, 3.160181936065230450e-10, -1.915671223612420488e-09, 8.938840511273370226e-10
1.970000000000000000e+03, 1.863135956646403864e-10, 3.217522570961252675e-10, -1.785638926260669076e-09, 8.224246625463458717e-10
1.971000000000000000e+03, 1.378801001264561402e-10, 3.166910994081883662e-10, -2.508145002315139079e-09, 9.699182903067819844e-10
1.972000000000000000e+03, 1.349510251956322218e-10, 3.212119833765631001e-10, -2.344962759145156014e-09, 8.024781830366109061e-10
1.973000000000000000e+03, 1.331376630832190162e-10, 3.251620184150253159e-10, -2.088703620096417858e-09, 7.921198698366039018e-10
1.974000000000000000e+03, 1.292146458742616894e-10, 3.319378257209164135e-10, -2.425185064401484179e-09, 6.991711533334384316e-10
1.975000000000000000e+03, 1.271044191310520896e-10, 3.385803618500937001e-10, -2.789558975561244233e-09, 7.903641399525177491e-10
1.976000000000000000e+03, 1.240081080180105266e-10, 3.426112381819572690e-10, -2.368502677685555869e-09, 7.995290024979315121e-10
1.977000000000000000e+03, 1.220854099844384984e-10, 3.476297095522864447e-10, -2.332210155595380743e-09, 9.722969298943787720e-10
1.978000000000000000e+03, 1.190709408804704395e-10, 3.513994102427155276e-10, -2.297225363317989299e-09, 8.898330857670948418e-10
1.979000000000000000e+03, 1.168296148151033577e-10, 3.568994667767913209e-10, -2.416138059923297129e-09, 1.077404150888685525e-09
1.980000000000000000e+03, 1.172371275101870651e-10, 3.623879164480482603e-10, -2.016007481173237302e-09, 1.091701838119330629e-09
1.981000000000000000e+03, 9.290833441938858396e-11, 3.547587870980731982e-10, -1.827630520482352864e-09, 7.003365561937918587e-10
1.982000000000000000e+03, 9.007924094129267392e-11, 3.509004105606829382e-10, -2.063817548351695865e-09, 7.230977681784534834e-10
1.983000000000000000e+03, 8.789263031788093333e-11, 3.496570263484507505e-10, -2.230141400707896149e-09, 7.479969735287919370e-10
1.984000000000000000e+03, 8.650674730380576751e-11, 3.464481697266558337e-10, -2.146510787945899058e-09, 7.139413053948613241e-10
1.985000000000000000e+03, 8.364459136360105687e-11, 3.446630997712752886e-10, -3.058795248235704362e-09, 7.194086440030637925e-10
1.986000000000000000e+03, 8.226027656407811175e-11, 3.446071177912114611e-10, -3.020364735133519152e-09, 7.021684768650422616e-10
1.987000000000000000e+03, 8.074343283627905741e-11, 3.488454816816530324e-10, -2.444905606181878712e-09, 9.338358545052729901e-10
1.988000000000000000e+03, 7.882599077788528745e-11, 3.517709494811204679e-10, -2.358944178809294325e-09, 8.807613699707947019e-10
1.989000000000000000e+03, 7.720684099797459939e-11, 3.517847450084196047e-10, -2.251010885790248423e-09, 9.097225771243752080e-10
1.990000000000000000e+03, 7.575456718416402460e-11, 3.505951009711679919e-10, -2.779774624722404838e-09, 1.195343436572186031e-09
1.991000000000000000e+03, 8.258230969906854249e-11, 3.494666795643979320e-10, -2.665979975657767739e-09, 1.406080509607095791e-09
1.992000000000000000e+03, 8.370292728854604209e-11, 3.480873618269666880e-10, -2.477967666498052333e-09, 1.465754342874018698e-09
1.993000000000000000e+03, 8.297946308995939505e-11, 3.384879669315912408e-10, -2.584379083415574911e-09, 1.152092541688575941e-09
1.994000000000000000e+03, 8.287330421564559934e-11, 3.531427973037589839e-10, -2.745984072724510631e-09, 1.113925524017781255e-09
1.995000000000000000e+03, 8.354592218078878517e-11, 3.692849798230647187e-10, -2.439959250989453274e-09, 1.083638912789518651e-09
1.996000000000000000e+03, 8.277960239303535954e-11, 3.823791373587872011e-10, -2.838082193271772107e-09, 1.283650791285769970e-09
1.997000000000000000e+03, 8.258982094927024345e-11, 3.903170748247443654e-10, -2.444060667235872402e-09, 1.376042238082900556e-09
1.998000000000000000e+03, 8.213452454919591045e-11, 3.976331011459237084e-10, -2.671351964392853410e-09, 1.224922284879510069e-09
1.999000000000000000e+03, 8.106402492703272382e-11, 4.054412000981545624e-10, -2.567730214536658512e-09, 8.690579631774506516e-10
2.000000000000000000e+03, 8.133482240945339197e-11, 4.103030543385751445e-10, -2.543956393349621381e-09, 9.382205144231294224e-10
2.001000000000000000e+03, 4.188901502011861285e-10, 5.347273715393273290e-10, -2.442418488164047012e-09, 9.200387831367641152e-10
2.002000000000000000e+03, 7.077034177339209594e-11, 4.221003658776538736e-10, -2.499279347677343300e-09, 1.078488798712250904e-09
2.003000000000000000e+03, 1.058481483650637091e-10, 4.546463634434549150e-10, -2.731678193910982545e-09, 1.223600221665367009e-09
2.004000000000000000e+03, 5.485859520210113749e-11, 4.185725236551901930e-10, -2.379408694984605170e-09, 1.256405085399403674e-09
2.005000000000000000e+03, 1.078575670952963255e-10, 4.545522085156636490e-10, -2.504398874003798480e-09, 1.161313446747093896e-09
2.006000000000000000e+03, 9.407755787325377612e-11, 4.619375103189947395e-10, -2.327281331831127015e-09, 1.217408404145947252e-09
2.007000000000000000e+03, 5.394223481931406065e-11, 4.345424258602841515e-10, -2.638496908355220034e-09, 1.248104949186037928e-09
2.008000000000000000e+03, 1.362798567136831229e-10, 4.562555556603761098e-10, -2.813767778618596310e-09, 1.345979772457680105e-09
2.009000000000000000e+03, 1.871667959483667886e-10, 4.966574504348867258e-10, -2.238816892490842584e-09, 1.165802917410293778e-09
2.010000000000000000e+03, 1.023023853417752208e-10, 4.719764707835011846e-10, -2.247811327777284885e-09, 1.325721037680110274e-09
2.011000000000000000e+03, 2.074634017784717127e-10, 4.919963698157825532e-10, -2.630544731353940885e-09, 1.346716042069351553e-09
2.012000000000000000e+03, 4.687548430163456520e-11, 4.428971071163705675e-10, -2.778749961659823897e-09, 1.566149911012546439e-09
2.013000000000000000e+03, 1.311363902836084332e-10, 4.737963711673679644e-10, -2.606422866066664728e-09, 1.532607979393072605e-09
2.014000000000000000e+03, 1.107583731093865565e-10, 4.676207772692119396e-10, -3.182393091233433539e-09, 1.200759349724579769e-09
