year, CNRM-ESM2-1, CESM2-WACCM, IPSL-CM6A-LR, UKESM1-0-LL
1.850000000000000000e+03, 0.000000000000000000e+00, 1.434853358480574118e-12, -1.490478551975050628e-09, 9.343197263245620927e-10
1.851000000000000000e+03, 3.040904794953491405e-11, 1.095305568406602927e-11, -1.426282288907081853e-09, 6.862162519249868849e-10
1.852000000000000000e+03, 3.194715194581751225e-11, 1.372003125074714682e-11, -1.304273830785044017e-09, 7.076797610603416788e-10
1.853000000000000000e+03, 3.387732656705520390e-11, 1.599150589490094007e-11, -1.275121458624081343e-09, 6.518728501171657110e-10
1.854000000000000000e+03, 3.520217383712573332e-11, 1.779193920190919643e-11, -1.393012136738589541e-09, 9.022988512249319838e-10
1.855000000000000000e+03, 3.674531085346180413e-11, 1.963003284983437540e-11, -1.318465285785361136e-09, 7.371764751586894774e-10
1.856000000000000000e+03, 3.851631618796078628e-11, 2.133767142712525955e-11, -1.462887733721749572e-09, 7.099587360498887012e-10
1.857000000000000000e+03, 4.015839105505891414e-11, 2.292558967634216484e-11, -1.481477389357153993e-09, 7.112854277990768510e-10
1.858000000000000000e+03, 4.178506392651635607e-11, 2.436000351760770822e-11, -1.364575213745198590e-09, 6.669898635774201673e-10
1.859000000000000000e+03, 4.422170716870853311e-11, 2.578575391086057801e-11, -1.481187340977014527e-09, 7.534671488277168503e-10
1.860000000000000000e+03, 4.544312025613866573e-11, 2.784491540907542646e-11, -1.390694361115000037e-09, 9.015901354544165990e-10
1.861000000000000000e+03, 4.656688637535125816e-11, 3.089206782548991389e-11, -1.316392281531105176e-09, 7.587555983210948966e-10
1.862000000000000000e+03, 4.665572507809817786e-11, 3.251206323443518774e-11, -1.210311041043184366e-09, 7.485256381157194930e-10
1.863000000000000000e+03, 4.674156113268311248e-11, 3.395997256434302445e-11, -1.566033434718223735e-09, 8.529132463437931466e-10
1.864000000000000000e+03, 4.671581479399670014e-11, 3.524747727398194061e-11, -1.434173010999400432e-09, 7.219034899455259122e-10
1.865000000000000000e+03, 4.771035857211952473e-11, 3.659035067743170690e-11, -1.395364192233110217e-09, 7.668288549218012348e-10
1.866000000000000000e+03, 4.816726890369067024e-11, 3.758218025930554708e-11, -1.114228975029045074e-09, 8.102566678549413857e-10
1.867000000000000000e+03, 4.732820143514491566e-11, 3.860452380981163691e-11, -1.255709092742831938e-09, 5.751976971326263106e-10
1.868000000000000000e+03, 4.779951174400711196e-11, 3.976765196336645555e-11, -1.354401904476730408e-09, 9.207875398561772625e-10
1.869000000000000000e+03, 4.768516252157157283e-11, 4.138525597621143610e-11, -1.447599629014786791e-09, 1.234639252438103851e-09
1.870000000000000000e+03, 4.842502684580367186e-11, 4.255396249338731865e-11, -1.242772441827288453e-09, 1.410903568719011289e-09
1.871000000000000000e+03, 4.496652132943405814e-11, 4.544696689012748872e-11, -1.280588580168380991e-09, 1.046025254404263295e-09
1.872000000000000000e+03, 4.416364504947644789e-11, 4.713952743110515444e-11, -1.384458090037361851e-09, 7.001137726792808283e-10
1.873000000000000000e+03, 4.428904225050203174e-11, 4.834929135239205713e-11, -1.398138628980343755e-09, 8.673283776666326414e-10
1.874000000000000000e+03, 4.473333623551657352e-11, 4.950333350263436231e-11, -1.667774470846964683e-09, 9.892938631061949628e-10
1.875000000000000000e+03, 4.452595033463666171e-11, 5.020213353007001120e-11, -1.710349437786618516e-09, 1.011110320366784927e-09
1.876000000000000000e+03, 4.402829431865496134e-11, 5.195192668325839074e-11, -1.479317160578302418e-09, 9.983581327017081557e-10
1.877000000000000000e+03, 4.416388008680831735e-11, 5.257238427007967106e-11, -1.485610119742939065e-09, 7.617973326163699951e-10
1.878000000000000000e+03, 4.444174976477061603e-11, 5.403317364405881540e-11, -1.741347240954710251e-09, 7.863760576343722771e-10
1.879000000000000000e+03, 4.446982215282700451e-11, 5.473424045856991254e-11, -1.627939988915397702e-09, 6.958475929168945917e-10
1.880000000000000000e+03, 4.450804908264345485e-11, 5.615769852735092976e-11, -1.587187522842009459e-09, 8.218611237899114228e-10
1.881000000000000000e+03, 5.757329198795965117e-11, 5.799738574761831911e-11, -1.364069929232604408e-09, 9.708609193961609024e-10
1.882000000000000000e+03, 5.750357323041130465e-11, 5.904548629085102149e-11, -1.551594369871937596e-09, 9.422419513138019158e-10
1.883000000000000000e+03, 5.814093415521216551e-11, 6.001773491142570138e-11, -1.636647763946445490e-09, 1.087593639750598683e-09
1.884000000000000000e+03, 5.977167583226690248e-11, 6.144138880790722334e-11, -1.368347748411524374e-09, 8.282981373456208519e-10
1.885000000000000000e+03, 6.002522852269439181e-11, 6.301205520479788792e-11, -1.215899922484625323e-09, 1.008725248148308456e-09
1.886000000000000000e+03, 6.125972552139079063e-11, 6.461636624277966959e-11, -1.377223005421517150e-09, 9.574335358201743940e-10
1.887000000000000000e+03, 6.158436940558104344e-11, 6.527069966053877815e-11, -1.604538289694311844e-09, 8.725735165800262883e-10
1.888000000000000000e+03, 6.309726503461187199e-11, 6.660765245831711711e-11, -1.610686712036864402e-09, 6.667290051207884756e-10
1.889000000000000000e+03, 6.407042783502607083e-11, 6.797725143130055696e-11, -1.549135151209628182e-09, 7.927700887045770834e-10
1.890000000000000000e+03, 6.457054485550953907e-11, 6.908687566801299690e-11, -1.495131367751862773e-09, 9.202596574396773978e-10
1.891000000000000000e+03, 6.031465407557455005e-11, 7.110991338299992199e-11, -1.222221083734959311e-09, 6.889456336816487197e-10
1.892000000000000000e+03, 5.999485102115141533e-11, 7.205440538672132406e-11, -1.433659344778538591e-09, 9.116096671372941598e-10
1.893000000000000000e+03, 5.986625034972064347e-11, 7.247540069253817408e-11, -1.548099773780882385e-09, 1.223761381158883622e-09
1.894000000000000000e+03, 5.922366802817572438e-11, 7.302844065089077835e-11, -1.667490673100160320e-09, 1.293132035687460633e-09
1.895000000000000000e+03, 5.920618273344975418e-11, 7.366527227070399356e-11, -1.432044991432145200e-09, 1.174985865238980521e-09
1.896000000000000000e+03, 5.937692903644256365e-11, 7.465840063314431750e-11, -1.655001271446199202e-09, 9.836699522450489984e-10
1.897000000000000000e+03, 5.878587760409425621e-11, 7.532514443604711098e-11, -1.555425911042988367e-09, 8.792403999556363173e-10
1.898000000000000000e+03, 5.876828541255991685e-11, 7.576493893537106679e-11, -1.554655545130281352e-09, 9.798206803237981584e-10
1.899000000000000000e+03, 5.894728388170332046e-11, 7.631443855545499530e-11, -1.907613392828594353e-09, 8.518994431139223592e-10
1.900000000000000000e+03, 5.926549792098638140e-11, 7.678508387297193451e-11, -1.568124324341668346e-09, 9.363247342297079366e-10
1.901000000000000000e+03, 5.396492428330108085e-11, 7.742797812761837516e-11, -1.794217191383297786e-09, 1.044724434559283437e-09
1.902000000000000000e+03, 5.465956598424950858e-11, 7.882483437905414989e-11, -1.616097457981318954e-09, 9.980361463655218427e-10
1.903000000000000000e+03, 5.423167146912865195e-11, 7.883778773792340880e-11, -1.692690344668715261e-09, 1.079381898877906374e-09
1.904000000000000000e+03, 5.332653490627008536e-11, 7.864665841643343358e-11, -1.302441219622360574e-09, 8.285025479734132576e-10
1.905000000000000000e+03, 5.400041891342016575e-11, 7.887012888090248201e-11, -1.451313314730435288e-09, 8.456669943070261230e-10
1.906000000000000000e+03, 5.381595410111970716e-11, 7.825543628211189806e-11, -1.621673205852980948e-09, 8.233294309025573772e-10
1.907000000000000000e+03, 5.365842821328343109e-11, 7.796273110674873193e-11, -1.527231750257013751e-09, 8.651879350502771655e-10
1.908000000000000000e+03, 5.390304321548528790e-11, 7.851612860726679318e-11, -1.625238883448770372e-09, 1.081428799483313715e-09
1.909000000000000000e+03, 5.348839771636597849e-11, 7.916701682135806820e-11, -1.476294889537959600e-09, 7.657807380637071926e-10
1.910000000000000000e+03, 5.371537404143073184e-11, 7.844207139373412261e-11, -1.318088647585610885e-09, 8.393413001783410909e-10
1.911000000000000000e+03, 5.488069097169416404e-11, 8.334852294256158202e-11, -1.331809230091358022e-09, 9.908010013793694138e-10
1.912000000000000000e+03, 5.497344028357376080e-11, 8.359198680743975502e-11, -1.412927862745994354e-09, 9.855104498622638612e-10
1.913000000000000000e+03, 5.418581358267299861e-11, 8.373904588562822312e-11, -1.481564243274330831e-09, 6.220735581429452392e-10
1.914000000000000000e+03, 5.480897102610375524e-11, 8.409543783452701850e-11, -1.450026102376914661e-09, 8.399759318714970602e-10
1.915000000000000000e+03, 5.461654728351501580e-11, 8.409237849008403380e-11, -1.458840122686522381e-09, 1.001523257815538752e-09
