year, CNRM-ESM2-1, NorESM2-MM, TaiESM1, TaiESM1, CESM2-WACCM, CNRM-ESM2-1, NorESM2-MM, GFDL-ESM4, MPI-ESM1-2-LR, EC-Earth3-Veg, NorESM2-LM, GFDL-ESM4
1.850000000000000000e+03, 1.076132528625157202e-10, 4.142359861496133000e-10, 4.682479869962538216e-10, 4.682479869962538216e-10, 4.081681744535909418e-10, 1.076132528625157202e-10, 4.142359861496133000e-10, 3.546410612272790802e-10, 2.880099823542038291e-10, 2.092036475178844574e-09, 2.837707408311193172e-10, 3.568633842034226193e-10
1.851000000000000000e+03, 1.421913468554249697e-10, 4.612863044788141727e-10, 4.047204966345723837e-10, 4.047204966345723837e-10, 3.766693421684517109e-10, 1.421913468554249697e-10, 4.612863044788141727e-10, 3.374441325509734843e-10, 4.451648789500695392e-10, 8.563826082403782206e-10, 2.711734879019219213e-10, 3.395871284452607352e-10
1.852000000000000000e+03, 1.012281122825393755e-10, 3.467214092106203449e-10, 5.193613497887557212e-10, 5.193613497887557212e-10, 1.939774886755365208e-10, 1.012281122825393755e-10, 3.467214092106203449e-10, 4.348189618194556943e-10, 3.647296037187111786e-10, 1.000756096411163137e-09, 2.131867776999694464e-10, 4.369709124555888517e-10
1.853000000000000000e+03, 1.386389932378561527e-10, 4.098365991927909964e-10, 8.610825272528150935e-10, 8.610825272528150935e-10, 4.605866753457875353e-10, 1.386389932378561527e-10, 4.098365991927909964e-10, 3.336953301947924789e-10, 3.798687431968017327e-10, 7.749774670077030293e-10, 4.184727526864212935e-10, 3.357457916124432435e-10
1.854000000000000000e+03, 1.045973311065954018e-10, 8.924621966555900992e-10, 9.714616102148093027e-10, 9.714616102148093027e-10, 4.156114287933545578e-10, 1.045973311065954018e-10, 8.924621966555900992e-10, 4.028133526758213971e-10, 3.238429350938505529e-10, 9.601823495346191005e-10, 3.905258691702275736e-10, 4.048606489755739169e-10
1.855000000000000000e+03, 1.345674027149592611e-10, 5.453798818457522234e-10, 2.519088062145684357e-10, 2.519088062145684357e-10, 5.866958420285501561e-10, 1.345674027149592611e-10, 5.453798818457522234e-10, 2.626093657415919246e-10, 3.395612127977312928e-10, 2.189656412900897177e-09, 3.890709985039836227e-10, 2.646535680551952323e-10
1.856000000000000000e+03, 1.514215659199334063e-10, 3.578921017469928797e-10, 3.732525826099797677e-10, 3.732525826099797677e-10, 4.889888031325336145e-10, 1.514215659199334063e-10, 3.578921017469928797e-10, 2.704480295219366978e-10, 3.781531901852014746e-10, 6.470537629298366649e-10, 4.572627284924120407e-10, 2.725550504450475317e-10
1.857000000000000000e+03, 1.063954577916715811e-10, 5.218892515029942173e-10, 5.159305097800573209e-10, 5.159305097800573209e-10, 7.636001344161503962e-10, 1.063954577916715811e-10, 5.218892515029942173e-10, 3.002804363483847335e-10, 3.375662152681209762e-10, 1.111253779468856316e-09, 3.537626659708841755e-10, 3.023669609787473087e-10
1.858000000000000000e+03, 1.515903202123473645e-10, 4.119203070791391743e-10, 2.839679780279189599e-10, 2.839679780279189599e-10, 6.715496301997945459e-10, 1.515903202123473645e-10, 4.119203070791391743e-10, 5.359708563609108839e-10, 3.491464152136180321e-10, 1.239944143200034017e-09, 4.216339691157462256e-10, 5.380455463778374601e-10
1.859000000000000000e+03, 1.521017662033732574e-10, 4.805992137218331689e-10, 3.176276006817100226e-10, 3.176276006817100226e-10, 2.759274376509017397e-10, 1.521017662033732574e-10, 4.805992137218331689e-10, 2.682133595008258374e-10, 4.072002306438808433e-10, 5.694190905211415328e-10, 2.520924638272634200e-10, 2.702294440116565993e-10
