year, CESM2-WACCM, UKESM1-0-LL, INM-CM4-8, MPI-ESM1-2-LR, INM-CM5-0, MIROC-ES2L, EC-Earth3-Veg, CMCC-ESM2, TaiESM1, GFDL-ESM4, NorESM2-LM, ACCESS-ESM1-5, CanESM5, CNRM-ESM2-1, IPSL-CM6A-LR, NorESM2-MM
1.850000000000000000e+03, 1.103474880607005382e+00, 1.697770297019808750e+00, 8.768159276697113924e-01, 1.348071440726412717e+00, 9.263332485378277248e-01, 6.140925588874058816e-01, 7.515075343048331913e-01, 1.560913210388387373e+00, 1.023259043389565637e+00, 2.469483177875906321e+00, 9.777710837189851345e-01, 9.744688885311284521e-01, 8.303059415131036625e-01, 9.642269735191624225e-01, 4.903496551306902318e-01, 9.908044756282422538e-01
1.851000000000000000e+03, 1.101381566339422635e+00, 1.679353919385915272e+00, 9.099818015747813682e-01, 1.306648640883401491e+00, 8.781931817931214468e-01, 6.223296600609589113e-01, 7.458800166157569800e-01, 1.595190056615538143e+00, 1.014649410664634654e+00, 2.471079403182127709e+00, 9.896534090909673287e-01, 9.578708655238734604e-01, 8.084393422095552673e-01, 1.006256428317886531e+00, 4.884217460693680568e-01, 9.907649537712581722e-01
1.852000000000000000e+03, 1.154054572991624728e+00, 1.705969565605413685e+00, 8.942829505702687420e-01, 1.321242993297131463e+00, 8.759861086841221889e-01, 6.229273816325459068e-01, 7.629995252569192754e-01, 1.625959751160284794e+00, 1.032685743538008571e+00, 2.471127006471372400e+00, 1.033920604906487073e+00, 9.462140845381686871e-01, 8.174985489628916469e-01, 9.692251255004280530e-01, 4.871267180782358763e-01, 1.027032548623070696e+00
1.853000000000000000e+03, 1.120753207148347697e+00, 1.687759087198646313e+00, 8.696505982166113924e-01, 1.321337313208393649e+00, 8.482048971358190359e-01, 6.079047430032735733e-01, 7.351039959772239785e-01, 1.641026477698143582e+00, 1.017075794639278108e+00, 2.482680242019914552e+00, 1.031332578088810958e+00, 9.507098350463142333e-01, 7.986604548821980565e-01, 9.272296909355074446e-01, 4.963639011434122228e-01, 1.049983681789806944e+00
1.854000000000000000e+03, 1.098804012352954773e+00, 1.685228743429263432e+00, 8.820077981719700588e-01, 1.341084191604995146e+00, 8.831886320285311509e-01, 6.115879746782553195e-01, 7.640961952410334490e-01, 1.617125250414682025e+00, 9.996101718950433090e-01, 2.467726129914603828e+00, 1.029162435985352397e+00, 9.597672442876591381e-01, 7.950713677488285835e-01, 9.533941595737098762e-01, 4.990971533345965327e-01, 1.053010352187121024e+00
1.855000000000000000e+03, 1.077352323276861812e+00, 1.628244734951982409e+00, 8.848036536923186146e-01, 1.331362976047954616e+00, 8.818406970274929035e-01, 6.106749881536758240e-01, 7.786097784381136311e-01, 1.632472739928013894e+00, 1.016072384890361224e+00, 2.456025368094763461e+00, 1.016286220210329994e+00, 9.517732759277793830e-01, 7.954434924374853555e-01, 9.544946851653106634e-01, 5.030136823167845606e-01, 1.076916480328706571e+00
1.856000000000000000e+03, 1.100473895654539902e+00, 1.663950972614654855e+00, 9.068428686121665638e-01, 1.305770043274759429e+00, 9.107002188049364566e-01, 6.092410359840755296e-01, 7.946238854363641968e-01, 1.639133974277967365e+00, 1.026030468542411533e+00, 2.462098254175692169e+00, 1.027392447889923233e+00, 9.442438251227691648e-01, 7.919589731970705371e-01, 9.448822825351331778e-01, 5.099404824462414609e-01, 1.056963790755355292e+00
1.857000000000000000e+03, 1.110374065019351209e+00, 1.706718831085239030e+00, 8.649909904636334801e-01, 1.334240279418195119e+00, 8.935613916198758000e-01, 5.677535000599158721e-01, 7.734915691605770416e-01, 1.657145884248203638e+00, 1.011206541129132885e+00, 2.458909082750892594e+00, 1.035315765969957225e+00, 9.409620099720047426e-01, 7.769777757415918806e-01, 9.509966911097885722e-01, 5.184811063026367739e-01, 1.030152260699376043e+00
1.858000000000000000e+03, 1.110352611349759488e+00, 1.716799701530512756e+00, 8.613714392129303565e-01, 1.312821778617522028e+00, 8.785212544896422449e-01, 5.691395317918976904e-01, 7.668376234905515121e-01, 1.576404151864579939e+00, 1.014812987107860831e+00, 2.460224189415526119e+00, 1.059593575258694687e+00, 9.495348091161266435e-01, 7.787656584143669569e-01, 9.173834943672052322e-01, 5.310515307355329062e-01, 1.023192056450199727e+00
1.859000000000000000e+03, 1.089879810393451720e+00, 1.693929659815858635e+00, 8.407064093743880084e-01, 1.333034525532534653e+00, 8.529807854211851614e-01, 5.813438146708428400e-01, 7.733622973699968428e-01, 1.632806830091673600e+00, 1.052451107528894481e+00, 2.460514974338189553e+00, 1.030599447092207521e+00, 9.524107393999780014e-01, 7.820097207616449886e-01, 9.017255965926205263e-01, 5.353534811132281135e-01, 1.028048571653709997e+00
