year, CanESM5, TaiESM1, ACCESS-ESM1-5, CESM2-WACCM, CNRM-ESM2-1, INM-CM4-8, CMCC-CM2-SR5, MIROC-ES2L, GFDL-ESM4, UKESM1-0-LL, NorESM2-LM, INM-CM5-0, EC-Earth3-Veg, NorESM2-MM, MPI-ESM1-2-LR, IPSL-CM6A-LR
1.860000000000000000e+03, 5.097662163267412810e-02, -9.370269749211780630e-02, 9.552742952277760990e-02, -2.032897459613809688e-02, -1.748963521570540691e-01, 7.098376229622299638e-02, -3.512262618935012293e-02, 7.308979711655745615e-02, -1.060846040531075452e-01, -1.121896857414835386e-01, -1.641377639833818958e-01, -2.259129169874000281e-02, -1.268119917109990225e-01, -1.579874613003150463e-01, -3.568071199259866683e-02, -1.224833451074035066e-02
1.861000000000000000e+03, -6.345605505841800387e-02, -1.595526712360112176e-01, 8.471569157040936826e-02, -1.828935956713314270e-01, -2.703287502029794176e-01, 2.193624365032448842e-01, 6.064603502488771086e-02, 1.696171912115750358e-01, -1.205303258471129429e-01, 5.591606799340582967e-02, -1.821481338323906532e-02, 3.180332614909498479e-01, -5.578721607128618309e-01, -8.785390000620425799e-02, 7.619761230899517457e-02, -2.838334029047838436e-02
1.862000000000000000e+03, 1.206585647414150642e-01, 4.982949248864126240e-02, 1.194488590967734826e-01, -2.223774533226984540e-01, 4.033215290802655284e-02, 2.972232662771476241e-02, -2.585309821373742503e-02, 1.071283813390152134e-01, -9.194531709346263904e-02, 1.915915607916272023e-01, -3.918105486437391954e-02, 1.666789165497291891e-01, -7.610609652113030366e-02, -1.847467231439244295e-01, -2.656652909230221987e-02, -1.781446740893929265e-02
1.863000000000000000e+03, -2.808017203904933021e-02, -4.795269052126960307e-03, 1.286424111095745559e-01, -2.330112805781818786e-01, -2.939229503169092997e-02, 3.101884852025676431e-01, 7.369732468926311342e-02, -1.230828750297144475e-01, -8.604849973420435061e-02, 3.602077352574193508e-02, -1.703218008416216012e-01, 2.368391664525164031e-01, -7.926507860236288172e-01, 5.822125277380824776e-02, 1.854101736664937883e-01, -2.221920818469522857e-02
1.864000000000000000e+03, -2.071351908285361532e-01, -5.098920081523553721e-02, 1.915915898550594743e-01, -7.924422981125975318e-02, -1.884293845014906321e-01, 2.070945246031841158e-01, -2.267567564486417178e-02, 2.104410903089172155e-03, -7.060753959202645258e-02, -9.065504910972921326e-02, -1.138511304875674118e-01, 1.656832334831477571e-01, 2.148749862619874634e-02, 4.196600033305546151e-02, -3.463179830653708713e-01, -7.049090004318156466e-02
1.865000000000000000e+03, -8.440459868625106721e-02, -9.436364542728127580e-02, 1.110953032043733579e-01, 4.141958807317203811e-02, 7.227436330128325648e-02, 1.029496725576875271e-01, -3.255142512474096805e-01, 7.494635019566890655e-02, -2.121283514018327265e-01, -1.529194916402060456e-01, 7.148557491577157974e-02, 8.866770000935490781e-02, -8.106894617699041128e-03, -1.539348566159147273e-02, -2.090772760979563993e-01, -3.409035611427912310e-02
1.866000000000000000e+03, -9.730795144540292652e-02, -6.759709089139610827e-02, 4.067638083231165519e-02, -8.634337672018740917e-02, 5.834842085649966960e-03, 1.645792196072042302e-01, -3.735626310393180827e-01, 6.038487338067118938e-03, 9.814354224043527614e-03, 1.130989359882494522e-01, 2.992379410424008887e-02, 8.034171642691276261e-02, -2.048740579591236052e-02, -1.466703292381506540e-01, -9.569909405457339979e-02, -8.923610934366074318e-03
1.867000000000000000e+03, -1.305757747325174412e-01, 6.307260843338804990e-02, 1.050666314883295371e-01, -3.197781078486146566e-01, 1.204333499759150695e-02, 3.218806644174740939e-01, -2.558143188621264316e-02, 1.451296169424499682e-01, 1.101013846213179208e-02, -1.243437128332116302e-02, -1.583914331682316767e-01, 2.697138126912843603e-01, 8.260241832200158896e-02, -9.200436624568769650e-02, 6.003604690280600620e-02, -1.798270777860706826e-02
1.868000000000000000e+03, 1.202817026601304407e-01, 5.311360308174294803e-02, 1.542757169875491607e-01, 1.039149668023035822e-02, -2.442592597802890897e-02, 3.973126723661526971e-01, -2.910023248614584390e-01, 9.311590236558593692e-02, -1.922280863034258047e-01, -1.563989145159620786e-02, -1.010157867676742816e-01, 4.052164025924668289e-01, -1.109569887849797959e-01, 1.465463445023338640e-01, -1.398433300987765859e-01, -4.336342479522811016e-02
1.869000000000000000e+03, 2.571113633508220406e-02, -3.759098542431566631e-02, -9.169716799414996677e-02, -1.210354491440079339e-01, -1.171757555061295544e-02, 1.537440526204639779e-01, -2.158932168738467994e-01, -2.068126303999008597e-02, -1.302475224856886882e-01, 5.581915502591922734e-02, -9.282167913744072962e-02, 1.744037448202773455e-01, -6.112119227682696332e-01, -1.095338092532483279e-02, -9.141231384669658289e-02, -2.001736772533711795e-01
1.870000000000000000e+03, 1.200478673135041002e-01, -1.566963231740575446e-01, -8.052472978399917436e-02, 1.777068538873168846e-01, 2.784762240200678862e-01, 1.292196930122921084e-01, -8.178970643787650263e-02, -1.238759771022196615e-01, -1.571057832795437481e-01, 6.977623431611708338e-02, 8.641556294175364861e-02, -1.539759181847174807e-01, 1.722522258107582749e-01, -7.671160842373288269e-02, 2.963500937259520018e-01, -2.693119059027542297e-02
1.871000000000000000e+03, -1.290864193734325982e-01, 1.245312669278478453e-02, -8.517494314384217724e-02, 3.098732676994647370e-02, 6.626976057133740494e-02, 4.344136495086314831e-01, 2.150132411821271960e-01, -1.269979998719878711e-01, -4.131495505995388257e-02, -9.161316629928707711e-02, -2.320923114356029382e-01, 2.264955126265154883e-01, -4.888637601490304907e-01, 2.892323029069255452e-02, 6.212849090975521016e-02, 3.663995972596297002e-02
1.872000000000000000e+03, -2.665528968398471130e-02, -8.668263657322700100e-02, 1.813834909517492433e-01, -1.361466377429532970e-01, 3.898682129254218282e-02, 1.523953427924452375e-01, -2.848424347321377725e-01, 1.599996429297592671e-01, -4.137012948807297086e-01, 1.399196483219261322e-01, -3.116785837435530060e-01, 3.242756830322482964e-01, -2.974583818009753355e-01, 1.007192804325985069e-01, 9.427924168224699475e-02, -7.331842724851439508e-02
1.873000000000000000e+03, 2.673802369867167017e-01, -9.470638527271102447e-02, 5.963472440836917882e-02, -1.162618163031335222e-01, 1.864188537644941579e-01, 1.771064877824150841e-01, -1.692711108752699145e-01, 1.043965362314693175e-02, -2.281724398836768586e-01, -1.043914302004871758e-01, -4.043105178941037992e-02, 1.807518869941173723e-01, 1.145214745931914108e-01, -3.663316437122379754e-02, -1.751281539800672860e-01, -8.277742283292366388e-02
1.874000000000000000e+03, 2.816792781791413805e-02, -7.493131330975774662e-02, 6.066103237958109240e-02, -1.031171339884588839e-01, 2.584380804366133710e-01, 1.130326654786601576e-02, -8.809279679214229719e-02, -4.280218920559267781e-01, -3.697444543275200668e-01, -1.139899635010922507e-01, -2.251036956418605017e-01, 1.927090739348449877e-01, -1.820749960197892009e-02, -1.142713270115619517e-01, -7.201190394455415922e-02, -5.138239530353580498e-02
1.875000000000000000e+03, 1.579851099293878847e-01, -1.135119025683977920e-02, -7.194844400758197700e-02, -3.169333253076244139e-01, -2.333409308205538213e-01, -1.831857749841708238e-01, -1.992175971783306243e-01, -1.284267357181669289e-01, -2.433521066566030344e-01, 4.651927649881747173e-02, 7.688326742768802902e-02, 1.921335963569749949e-01, 2.098728312690889830e-01, -2.771976787479085019e-02, 1.071011978404839277e-02, 4.916845826690276200e-02
1.876000000000000000e+03, 2.420768274124932007e-01, 7.173847564657178343e-03, -5.262400017937854391e-02, -1.113615468827903188e-01, -1.163605900414690919e-01, -8.087374692099828788e-02, -2.166065261648939325e-02, -2.384171522290260137e-01, -2.426296932653658478e-01, -9.116023764257351336e-02, -6.967303579349271025e-03, -4.198976449655572596e-02, -6.574106563539302561e-01, -1.682124358926115060e-01, -7.289217989263228892e-02, 4.625315567554785096e-02
1.877000000000000000e+03, 1.197665953677225364e-01, -4.353704218916865792e-02, 6.313873835336450413e-02, -1.608799103194880897e-01, -2.136527607427889108e-02, 1.197514989556568293e-01, 6.322990290763486065e-02, -3.156421180445482394e-02, 1.033725867994110190e-02, 2.882291503687998968e-02, 3.809401698680380671e-02, 8.069254428315932037e-02, -3.701918282380341485e-01, -1.310655845588755974e-01, -1.543571681705478427e-01, 1.073551599859668554e-02
1.878000000000000000e+03, -2.012339310597207886e-01, -6.076088726266815759e-02, -4.584901430986332294e-02, -3.145481107267680126e-02, 2.758817833770544348e-01, 2.506771146563353536e-01, -3.703898757764464283e-02, 1.701963976811112778e-01, -1.548559926094029982e-01, -4.630601455087140356e-02, -1.245121270196295898e-01, 1.899992999411573569e-01, -4.929821531290581316e-01, 5.669954964923369645e-02, 1.140266998712318874e-01, -9.556779707308614077e-03
1.879000000000000000e+03, 5.669788180940009414e-02, -2.627405685348365924e-02, -4.465869145493542476e-03, -1.685891990376040817e-01, -7.440615923990155645e-02, 2.531512098225827678e-01, -2.625387616640751376e-01, 8.456085850858049979e-02, -1.911130903273062023e-02, 1.761668699810690353e-01, -2.253150771471139902e-01, 2.184482112553236266e-01, -1.014988833160564430e-01, -1.035700002105443412e-01, 1.172514917212046232e-01, 8.077479758565678236e-02
1.880000000000000000e+03, 1.988602112594828678e-02, 3.586984572370899987e-02, -1.033586807494732557e-01, -2.578912491549002484e-01, -1.742917926761612391e-01, 2.681922457608786337e-01, 1.224706877794269275e-02, -9.713715112663150186e-02, -1.762640091074779147e-01, -1.103304562510822456e-01, -2.145978051624481964e-01, 2.263720922212773545e-01, -1.238903764565350285e-01, -1.610451011945316924e-01, 1.883388983893549973e-01, 6.912667527314761418e-02
1.881000000000000000e+03, 1.128607455670436605e-01, -7.106893163852765968e-03, 1.947550225403397658e-02, -2.754869409446350156e-02, 1.930729938566098647e-01, -2.410016850748638098e-02, -1.506010994919019241e-01, 5.329854997588442389e-01, -1.685754496033982364e-01, -3.351779549576527906e-01, -3.237073439343469278e-02, 2.443994158118066584e-01, -6.698574723165813261e-01, -5.408817044627277359e-02, 6.000498563450080286e-02, -1.088787735650502131e-01
1.882000000000000000e+03, 5.358162613604936647e-02, -1.401223183426337782e-01, 1.506534758185170408e-01, -1.883426514287231401e-01, -7.864762479341962098e-02, 4.060476458328249327e-01, -1.398006845482347160e-01, -8.111740615632573315e-02, -2.212868591887088843e-01, -1.890460628214354205e-02, -2.856073537520752992e-01, -3.386405276989987168e-02, -5.099100501010809250e-01, 3.897948114292686898e-03, -1.762786661908508634e-01, -7.882333602350129892e-03
1.883000000000000000e+03, 9.873376394276565937e-03, -8.564748142460001934e-02, 1.995200425152470480e-01, -1.222967319037270850e-01, -3.394541322527290517e-02, 9.147093755895302492e-02, -2.570618862909251900e-01, -1.971553245201913274e-01, -1.081163731953513063e-01, -6.375992560524364194e-02, 1.338741053637558520e-01, 2.033511096666258677e-01, -6.211625202062613926e-01, -9.091994301654407473e-02, -2.103571737382705920e-01, -1.351946870261390432e-01
1.884000000000000000e+03, -4.678742812039803772e-02, 1.725294482315672950e-01, 3.091059444519185240e-01, -4.622283093399221637e-02, 7.203227776225345266e-04, 5.008752829727548539e-01, -1.148893635667687235e-01, 8.887670959804504223e-02, 3.630776491000462652e-02, -1.387588802777456887e-01, -1.534980823065097144e-01, 5.976048155458401068e-01, -8.035801396881594449e-01, -6.577273357738133708e-02, 2.208241259898866549e-01, -1.016696788484603847e-01
