year, CESM2-WACCM, IPSL-CM6A-LR, CNRM-ESM2-1, UKESM1-0-LL
1.873000000000000000e+03, 1.386327338900959033e-10, -2.864713682011515149e-10, 9.171614993794446608e-11, 9.257670547439664672e-11
1.874000000000000000e+03, 1.390613834301768409e-10, -2.899003096342131204e-10, 9.449529745165814290e-11, 8.618110057073608379e-11
1.875000000000000000e+03, 1.392285286228593728e-10, -3.237096193130495845e-10, 9.697608877446083891e-11, 7.943259273719549905e-11
1.876000000000000000e+03, 1.396345643623412310e-10, -3.247694362648843940e-10, 9.861717739018379291e-11, 8.344975352734604491e-11
1.877000000000000000e+03, 1.403739609464604840e-10, -3.439030765705471180e-10, 9.976260851150064414e-11, 9.204205409586561510e-11
1.878000000000000000e+03, 1.411691239133632486e-10, -3.274377522797853154e-10, 1.015505263287659790e-10, 9.240398419163502441e-11
1.879000000000000000e+03, 1.412738684064387650e-10, -3.473227761398839921e-10, 1.050866481075633611e-10, 8.157686101725282429e-11
1.880000000000000000e+03, 1.417425216877874391e-10, -3.858955804785559740e-10, 1.074431202961083617e-10, 9.598700722420821667e-11
1.881000000000000000e+03, 1.468417804774666153e-10, -3.607307307823582277e-10, 1.152614303302098506e-10, 8.817346874117252076e-11
1.882000000000000000e+03, 1.468537733035751191e-10, -3.486463673496873558e-10, 1.159987479297591193e-10, 9.042376956341254892e-11
1.883000000000000000e+03, 1.469137314830673531e-10, -3.162815950636421280e-10, 1.163033254908176607e-10, 8.827133720077800757e-11
1.884000000000000000e+03, 1.473057617156835503e-10, -3.241618947876955754e-10, 1.170568609090648023e-10, 9.962259538549831519e-11
1.885000000000000000e+03, 1.480323777562732692e-10, -3.070252464316620643e-10, 1.181622976536933959e-10, 9.583309254357961493e-11
1.886000000000000000e+03, 1.487602005961517536e-10, -3.143253636155319065e-10, 1.184594707820652400e-10, 7.929030304179658860e-11
1.887000000000000000e+03, 1.496745097838482880e-10, -3.502494422846192326e-10, 1.195978312601339313e-10, 9.297983738966543956e-11
1.888000000000000000e+03, 1.499761463773485964e-10, -3.350114361286075506e-10, 1.206744478457324611e-10, 8.518699877072985671e-11
1.889000000000000000e+03, 1.498254303892266316e-10, -3.210648954461333647e-10, 1.213935880761149212e-10, 9.051782843013985206e-11
1.890000000000000000e+03, 1.503705548738469794e-10, -3.522611029130400569e-10, 1.224160439281177137e-10, 9.340926015649400581e-11
1.891000000000000000e+03, 1.465451952240642020e-10, -3.566167557651208438e-10, 1.125148243725081748e-10, 1.093700159787079597e-10
1.892000000000000000e+03, 1.468870546289274581e-10, -4.122229745719107856e-10, 1.118208164217944781e-10, 1.312919171246480094e-10
1.893000000000000000e+03, 1.478279630905536478e-10, -4.057308720689732568e-10, 1.115640059384040339e-10, 1.464183007792717827e-10
1.894000000000000000e+03, 1.487637084853339104e-10, -3.944183155671772829e-10, 1.104716890983896765e-10, 1.468033389669425231e-10
1.895000000000000000e+03, 1.494886221774723613e-10, -4.092838732926592543e-10, 1.112033650025475597e-10, 1.205770175028057571e-10
1.896000000000000000e+03, 1.498983843700346377e-10, -4.152606465693801011e-10, 1.109189840769101401e-10, 1.362483329392619712e-10
1.897000000000000000e+03, 1.503016544415915839e-10, -4.183183135222186223e-10, 1.103176306134584183e-10, 1.324817786256532006e-10
1.898000000000000000e+03, 1.505280786757662465e-10, -4.015091704461769481e-10, 1.111781224180424371e-10, 1.251099148817912675e-10
1.899000000000000000e+03, 1.506067233800209510e-10, -3.830528091696403173e-10, 1.119627502413511448e-10, 1.336304026346790315e-10
1.900000000000000000e+03, 1.506935101937308134e-10, -3.682906631775499793e-10, 1.124071483676688941e-10, 1.296380858999180456e-10
1.901000000000000000e+03, 2.107990628454720831e-10, -4.166419911214414756e-10, 2.160030369120538139e-10, 1.466085971349998659e-10
1.902000000000000000e+03, 2.144713848869422223e-10, -4.200805552983695292e-10, 2.236602192460069103e-10, 1.562016916117985633e-10
1.903000000000000000e+03, 2.165801299136206572e-10, -4.876472101336243549e-10, 2.309178353763569809e-10, 1.503603117360842361e-10
1.904000000000000000e+03, 2.191727832380208480e-10, -4.552796830614988703e-10, 2.345401740393515236e-10, 1.256796498128978370e-10
1.905000000000000000e+03, 2.209120509023941007e-10, -4.654518177410297401e-10, 2.362881691651364653e-10, 1.522991892271515224e-10
1.906000000000000000e+03, 2.226394230319600643e-10, -5.059617847203914137e-10, 2.417962205688823997e-10, 1.741558741010849402e-10
1.907000000000000000e+03, 2.234340451406445113e-10, -4.985398087413441939e-10, 2.486286258206553722e-10, 1.509432658616883796e-10
1.908000000000000000e+03, 2.248901905519191044e-10, -4.479224180891685992e-10, 2.512883526876495097e-10, 1.934850292930119446e-10
1.909000000000000000e+03, 2.271645915842473227e-10, -4.295702451503484018e-10, 2.493406772818070302e-10, 1.589345583702095898e-10
1.910000000000000000e+03, 2.298780947710743316e-10, -4.459494617411207038e-10, 2.480821280469994962e-10, 1.508860170201100047e-10
1.911000000000000000e+03, 1.448322867808211656e-10, -4.599245055284679698e-10, 9.583098657671307027e-11, 1.398610349955983962e-10
1.912000000000000000e+03, 1.409891116646699756e-10, -4.428007730006572586e-10, 8.696585685952996296e-11, 1.519715767197647976e-10
1.913000000000000000e+03, 1.373828960202293605e-10, -4.881265247520001655e-10, 7.781019534296432354e-11, 1.427391749882199513e-10
1.914000000000000000e+03, 1.342397223582521569e-10, -4.597391038853474487e-10, 6.901957026594498578e-11, 1.820156827152930712e-10
1.915000000000000000e+03, 1.306775628440846263e-10, -4.520312243532990477e-10, 6.044655326680632067e-11, 1.674346661201326835e-10
1.916000000000000000e+03, 1.278092339278617918e-10, -4.855827122561155453e-10, 5.176596607004322798e-11, 1.621884088067554000e-10
1.917000000000000000e+03, 1.248839692146038638e-10, -4.523126792692803397e-10, 4.303825172678482200e-11, 1.733695803797454955e-10
1.918000000000000000e+03, 1.225042646965696690e-10, -4.290591615665804525e-10, 3.453754625271738671e-11, 1.609915017942031043e-10
1.919000000000000000e+03, 1.195271123706363809e-10, -4.479294577017800458e-10, 2.631969910944668059e-11, 1.653974695550674508e-10
1.920000000000000000e+03, 1.170718626406807153e-10, -4.363627530965528756e-10, 1.839035861883672897e-11, 1.585057661039349878e-10
1.921000000000000000e+03, 1.377161165949778031e-10, -4.830117110365329295e-10, 6.511208353742777658e-11, 1.220962306399803393e-10
1.922000000000000000e+03, 1.382724213344775889e-10, -5.052281440253027161e-10, 6.776651719544225574e-11, 1.498005138276888580e-10
1.923000000000000000e+03, 1.375551190395688254e-10, -4.101464065495919110e-10, 7.050582125574683133e-11, 1.473087376379656268e-10
1.924000000000000000e+03, 1.384799436365872092e-10, -4.431867267147982327e-10, 7.365020915871226544e-11, 1.566657021422990802e-10
1.925000000000000000e+03, 1.390885301135912327e-10, -4.367777805234234523e-10, 7.628058919976343740e-11, 1.569843369609592721e-10
1.926000000000000000e+03, 1.401900017540065644e-10, -4.335983057128604565e-10, 7.823176649462617549e-11, 1.593333607548664493e-10
1.927000000000000000e+03, 1.405566694232288346e-10, -4.601316262508420943e-10, 8.088089344568569075e-11, 1.880868297578214843e-10
1.928000000000000000e+03, 1.414831101972482329e-10, -4.915998594035194761e-10, 8.313942325486280563e-11, 1.794662219966793660e-10
1.929000000000000000e+03, 1.412196816286540551e-10, -5.115748478856910107e-10, 8.577556958102140226e-11, 2.138363022223544781e-10
1.930000000000000000e+03, 1.420441590388110929e-10, -5.043739950964410891e-10, 8.872490102464704541e-11, 2.198860414249533495e-10
1.931000000000000000e+03, 2.161781863778202215e-10, -5.529940480360583850e-10, 1.942108247839284027e-10, 2.341266737404797111e-10
1.932000000000000000e+03, 2.233104702347124493e-10, -4.636838821189295989e-10, 2.012879047736564843e-10, 1.988733468193769776e-10
1.933000000000000000e+03, 2.274258690599168761e-10, -4.941070748840964462e-10, 2.083233396665708880e-10, 2.027742304566701703e-10
1.934000000000000000e+03, 2.323840272701963834e-10, -4.741071406079641099e-10, 2.157635571269290473e-10, 1.768761328173304463e-10
1.935000000000000000e+03, 2.367296083914384607e-10, -4.651204968603553833e-10, 2.211389820491268693e-10, 1.798797844280005242e-10
1.936000000000000000e+03, 2.418137461347216597e-10, -4.841607691692372078e-10, 2.249121366792736563e-10, 2.489917639148512119e-10
1.937000000000000000e+03, 2.455749725346828909e-10, -4.716795172306954697e-10, 2.290134058987499210e-10, 2.147768250821349277e-10
1.938000000000000000e+03, 2.495773823615342084e-10, -5.104555585317101424e-10, 2.351183505603158640e-10, 1.780255936152549624e-10
1.939000000000000000e+03, 2.494707056730111089e-10, -6.263220479146741564e-10, 2.385533001083140131e-10, 1.664731135575518138e-10
1.940000000000000000e+03, 2.518982216296830773e-10, -5.517761729810033457e-10, 2.419657168225994032e-10, 1.757297266670118538e-10
1.941000000000000000e+03, 1.642340425806914965e-10, -4.922134390273997119e-10, 9.093348409462218332e-11, 2.192211427557690183e-10
1.942000000000000000e+03, 1.584415721764207455e-10, -5.030398423838290212e-10, 8.251260593561436770e-11, 2.283099149646308109e-10
1.943000000000000000e+03, 1.537757236789094998e-10, -5.578533215007386846e-10, 7.383969966788739290e-11, 1.934231287439406121e-10
1.944000000000000000e+03, 1.497461516102611381e-10, -6.412717760931653429e-10, 6.508132174106771460e-11, 2.446198498074911688e-10
1.945000000000000000e+03, 1.476240207691802821e-10, -5.747401784460039053e-10, 5.668337430685707311e-11, 2.373275745610342728e-10
1.946000000000000000e+03, 1.463668112442243862e-10, -5.996715405901677172e-10, 4.796423250887301024e-11, 2.065210910842006187e-10
1.947000000000000000e+03, 1.438047242401894913e-10, -5.672519193468901924e-10, 3.945596129645658138e-11, 2.083557165881532816e-10
1.948000000000000000e+03, 1.420981491242650074e-10, -4.895861778220770853e-10, 3.045567354004756567e-11, 1.995327411258860394e-10
1.949000000000000000e+03, 1.408188255048276800e-10, -4.902183270345138639e-10, 2.202234939018917691e-11, 1.739861573290028004e-10
1.950000000000000000e+03, 1.400427872880409120e-10, -4.637759068742608657e-10, 1.375518852937814908e-11, 1.745591602932108627e-10
1.951000000000000000e+03, 1.629431769360643673e-10, -5.190199064690566620e-10, 5.311986044271162282e-11, 1.676664454796592484e-10
1.952000000000000000e+03, 1.662761801207856223e-10, -5.811372499357734303e-10, 5.628172644054723028e-11, 1.755517272266007254e-10
1.953000000000000000e+03, 1.691236031547458977e-10, -5.632053022525939740e-10, 5.925858633542112644e-11, 1.801615211624975057e-10
1.954000000000000000e+03, 1.692572894018572641e-10, -5.264509046657553146e-10, 6.119379725532833284e-11, 2.086833246365403256e-10
1.955000000000000000e+03, 1.712215205076401761e-10, -5.208971403143581100e-10, 6.436425227909618972e-11, 2.077320021188370272e-10
1.956000000000000000e+03, 1.735912119302031398e-10, -5.729158175690688089e-10, 6.833523745520044138e-11, 2.345422620020979617e-10
1.957000000000000000e+03, 1.757058003961742887e-10, -5.465254368023409481e-10, 6.975763941638127894e-11, 2.121140704316834236e-10
1.958000000000000000e+03, 1.775061862208101242e-10, -5.560532033649955933e-10, 7.124194052774620648e-11, 2.421357469952842538e-10
1.959000000000000000e+03, 1.813606382121847270e-10, -6.144856865525623037e-10, 7.292221385458250500e-11, 2.116152132856723412e-10
1.960000000000000000e+03, 1.837379858807169796e-10, -6.220993667509456423e-10, 7.471356623331204003e-11, 2.324093885385857342e-10
1.961000000000000000e+03, 1.442766745813679421e-10, -6.084012119285701518e-10, 3.434094391024607936e-11, 2.247478394366169974e-10
1.962000000000000000e+03, 1.440428191908212161e-10, -6.571565027138175184e-10, 3.213225662921742187e-11, 2.240169036772565512e-10
1.963000000000000000e+03, 1.439619599645597377e-10, -6.447538279879709160e-10, 2.990310603238199276e-11, 2.117629716847130630e-10
1.964000000000000000e+03, 1.450112715780415302e-10, -6.127163367916095550e-10, 2.773813151722141237e-11, 1.870687382233115089e-10
1.965000000000000000e+03, 1.469019874945306995e-10, -6.897402265357024845e-10, 2.542687802727447816e-11, 2.194427821939178740e-10
1.966000000000000000e+03, 1.480218767976605466e-10, -6.487649985122272456e-10, 2.304819656441525867e-11, 2.267686601445402845e-10
1.967000000000000000e+03, 1.484889064147936192e-10, -7.071089344457632054e-10, 2.071532336156302908e-11, 2.228718607359597189e-10
1.968000000000000000e+03, 1.495658693615097678e-10, -7.163568269952074244e-10, 1.844763892504220371e-11, 2.261663078643366352e-10
1.969000000000000000e+03, 1.502706814323040662e-10, -7.465571906591806937e-10, 1.619155750060593433e-11, 2.107092817275923905e-10
1.970000000000000000e+03, 1.504723902735219988e-10, -6.457894397988738129e-10, 1.394873982601411828e-11, 2.187275694059677491e-10
1.971000000000000000e+03, 1.517095891016693126e-10, -6.272618913091503271e-10, 1.436130008646417343e-11, 2.221935399725716849e-10
1.972000000000000000e+03, 1.525199759803987852e-10, -6.175113941560167443e-10, 1.376104194349197075e-11, 2.308713852537694393e-10
1.973000000000000000e+03, 1.528429929550563835e-10, -6.784822110472923803e-10, 1.313614623356134051e-11, 2.400125886102188940e-10
1.974000000000000000e+03, 1.532147747193327103e-10, -6.085396897898798021e-10, 1.251446019560612815e-11, 2.360243389844604624e-10
1.975000000000000000e+03, 1.535501988455154846e-10, -7.152412214713081815e-10, 1.192724316784695746e-11, 2.590765747635590482e-10
1.976000000000000000e+03, 1.541795788251079626e-10, -7.090855663248768563e-10, 1.132913728666127721e-11, 2.569524560653209517e-10
1.977000000000000000e+03, 1.540353836334359873e-10, -5.490632645184550805e-10, 1.073454830857236184e-11, 2.038160955150811813e-10
1.978000000000000000e+03, 1.534513166988572740e-10, -6.197726484477673924e-10, 1.013994778972733017e-11, 2.256899938013004970e-10
1.979000000000000000e+03, 1.520324144185341337e-10, -6.127818217790713878e-10, 9.546775361821532152e-12, 2.548521926263319343e-10
1.980000000000000000e+03, 1.504392010009071816e-10, -6.166843759886692567e-10, 8.986049906190290536e-12, 2.367327196147070120e-10
1.981000000000000000e+03, 1.479273645944190485e-10, -6.117013788176677500e-10, 6.854885860675450525e-12, 2.170056478299008055e-10
1.982000000000000000e+03, 1.471055130143453646e-10, -5.754030985640234047e-10, 6.775697847211448410e-12, 2.284228489144504555e-10
1.983000000000000000e+03, 1.462987919907160112e-10, -6.976979632819320253e-10, 6.670499115883865623e-12, 2.514990816434623930e-10
1.984000000000000000e+03, 1.456513099784105368e-10, -6.724863799979887362e-10, 6.576822483333120136e-12, 2.691353659215970179e-10
1.985000000000000000e+03, 1.459096839163857292e-10, -6.907273974892714569e-10, 6.612466207269792149e-12, 2.355756858269010637e-10
1.986000000000000000e+03, 1.461393893432039069e-10, -6.148668694307213597e-10, 6.551454169149958489e-12, 2.632494254610167259e-10
1.987000000000000000e+03, 1.465830679475951999e-10, -7.746172299454548056e-10, 6.463391596329290816e-12, 2.164479138041728068e-10
1.988000000000000000e+03, 1.475188174958617227e-10, -6.752066400778642813e-10, 6.368239939749221517e-12, 2.028002002856646267e-10
1.989000000000000000e+03, 1.482534436750882403e-10, -6.678013338374944926e-10, 6.275189838969849814e-12, 2.285081073989199161e-10
1.990000000000000000e+03, 1.488597218846499201e-10, -7.089516306879752556e-10, 6.192905106112558686e-12, 2.342085965657266590e-10
1.991000000000000000e+03, 1.499401945038351652e-10, -7.248170612588443177e-10, 1.158119310365245237e-11, 2.672564207841359861e-10
1.992000000000000000e+03, 1.485546293119009321e-10, -6.288408520065628742e-10, 1.165693686373655142e-11, 2.247376755900387873e-10
1.993000000000000000e+03, 1.419527699002009123e-10, -6.904004513052671765e-10, 1.172176791533395476e-11, 2.394955573275299580e-10
1.994000000000000000e+03, 1.332376453069996326e-10, -6.795961938680248562e-10, 1.176612503180723764e-11, 2.126634126999158227e-10
1.995000000000000000e+03, 1.222933192299156607e-10, -6.463279635603576080e-10, 1.195054872955564459e-11, 2.372873833265195790e-10
1.996000000000000000e+03, 1.143486296362974949e-10, -6.485243086355736641e-10, 1.203461902411466079e-11, 2.385267549835628065e-10
1.997000000000000000e+03, 1.073021060785164567e-10, -6.397131136223335610e-10, 1.217071778339518851e-11, 2.103908571525744530e-10
1.998000000000000000e+03, 1.041860392361281268e-10, -6.600156841775429728e-10, 1.240009972947838884e-11, 1.866799718218411985e-10
1.999000000000000000e+03, 1.006760702143878839e-10, -6.910465801025559954e-10, 1.254156698804168185e-11, 2.187804433459784468e-10
2.000000000000000000e+03, 1.009035844464384461e-10, -6.532339336493801995e-10, 1.278608337493331049e-11, 2.351555472520167944e-10
2.001000000000000000e+03, 1.019027911561306577e-10, -6.505123302025326902e-10, 1.176472723134199629e-11, 2.051379906170200929e-10
2.002000000000000000e+03, 9.846388088494274367e-11, -5.872115056530156313e-10, 8.092479041453063549e-12, 2.500351064264666672e-10
2.003000000000000000e+03, 1.003729996998732681e-10, -6.840358254305295800e-10, 8.732123723765197751e-12, 2.232923532992413689e-10
2.004000000000000000e+03, 1.003713901299859137e-10, -5.859474014237566360e-10, 6.332333199809452169e-12, 2.243271247525262275e-10
