year, IPSL-CM6A-LR, CMCC-CM2-SR5, ACCESS-ESM1-5, MPI-ESM1-2-LR, TaiESM1, CNRM-ESM2-1, GFDL-ESM4, CanESM5, CESM2-WACCM, EC-Earth3-Veg, NorESM2-MM, MIROC-ES2L, NorESM2-LM
1.869000000000000000e+03, 9.429924624429016689e+00, 9.358311556932928710e+00, 8.747935890151158134e+00, 4.957008965769018971e+01, 1.463775014870494662e+00, 5.165361249168062585e+01, 4.949905535082863395e+01, 1.439276243948640754e+01, 8.372240082592742993e+00, 1.310797745223814204e+01, 8.001961644149551134e+00, 5.617078945224056241e+01, 7.091311338153699850e+00
1.870000000000000000e+03, 9.397072601351402099e+00, 9.232145039874723125e+00, 8.721029594457586853e+00, 4.955362284586601618e+01, 1.559005128867108958e+00, 5.168567315683840491e+01, 4.947557758495106128e+01, 1.435315368410820369e+01, 8.288233234515262282e+00, 1.304802312120924590e+01, 8.108576390106698284e+00, 5.632318236306191750e+01, 7.128615633362896276e+00
1.871000000000000000e+03, 9.388634565193298087e+00, 9.211340183890088795e+00, 8.682246115600813496e+00, 4.965979691295718368e+01, 1.553786918895937674e+00, 5.186353266600120548e+01, 4.951350178908992916e+01, 1.433134831366855622e+01, 8.435330567670847657e+00, 1.300038404566184624e+01, 8.106761847069975602e+00, 5.646241667725725932e+01, 7.166804005333860417e+00
1.872000000000000000e+03, 9.374457811568813526e+00, 9.215985924656180828e+00, 8.719162280695115896e+00, 4.972042942783247810e+01, 1.557861644875314200e+00, 5.188915076325252329e+01, 4.955487329722285494e+01, 1.439087528961959705e+01, 8.598315761738062335e+00, 1.264142104775068276e+01, 8.168366903374716159e+00, 5.643759353781575783e+01, 7.160104421084259485e+00
1.873000000000000000e+03, 9.351321024179124919e+00, 9.351976979943703583e+00, 8.735051263371589769e+00, 4.975401322203327936e+01, 1.517483826047492101e+00, 5.193636269121283533e+01, 4.956482183256881058e+01, 1.445515524038533961e+01, 8.630646627696430429e+00, 1.274163187792900942e+01, 8.323055566273573902e+00, 5.649141265298710124e+01, 7.081166093478926449e+00
1.874000000000000000e+03, 9.364742020830732372e+00, 9.263545594778410219e+00, 8.728308980691226182e+00, 4.974970387176827558e+01, 1.520443872781184647e+00, 5.205272421363287094e+01, 4.954379509175178242e+01, 1.449912076358547708e+01, 8.685162313798203471e+00, 1.288593687218706840e+01, 8.311393199700273016e+00, 5.661164290929033172e+01, 7.033314976402397001e+00
1.875000000000000000e+03, 9.397607110638361405e+00, 9.226836982885542326e+00, 8.726600256496103825e+00, 4.975892830606500183e+01, 1.449103844597999791e+00, 5.214565837401945458e+01, 4.943727108463256315e+01, 1.453375789435426491e+01, 8.686643510435411386e+00, 1.317428380163366519e+01, 8.298518728535304589e+00, 5.661931045463852996e+01, 6.951550952442185682e+00
1.876000000000000000e+03, 9.410698544195389204e+00, 9.288915096898861634e+00, 8.711341541085447560e+00, 4.975069223053988310e+01, 1.434908863833108450e+00, 5.201986394058432950e+01, 4.938794977386677232e+01, 1.470125593182228130e+01, 8.582366682885924192e+00, 1.351169549000927361e+01, 8.309930137609756073e+00, 5.651699636048172692e+01, 6.996238619791619762e+00
1.877000000000000000e+03, 9.431998650010640972e+00, 9.345493772280267564e+00, 8.734614621967365267e+00, 4.976705217085355315e+01, 1.454479146563588010e+00, 5.205529676936527750e+01, 4.929748184120296628e+01, 1.495775685410198363e+01, 8.564918593956411641e+00, 1.337736737182487623e+01, 8.247233653722863878e+00, 5.634200615300008508e+01, 7.102230544995205896e+00
1.878000000000000000e+03, 9.450850095823492225e+00, 9.394249087154621591e+00, 8.726946974091557507e+00, 4.974540687134167172e+01, 1.468962750559454244e+00, 5.204937282491327721e+01, 4.923502335031556498e+01, 1.489359571321130282e+01, 8.533405125664490498e+00, 1.314616467432622393e+01, 8.147074674962704322e+00, 5.630517910257672298e+01, 7.238530940032001482e+00
1.879000000000000000e+03, 9.481125031118205371e+00, 9.479083229299011037e+00, 8.680582538564406647e+00, 4.978483090913103126e+01, 1.475957178810581416e+00, 5.214283577709917950e+01, 4.914861542201995093e+01, 1.486596423012953316e+01, 8.543872010061285494e+00, 1.308525262884019469e+01, 8.167398863923553520e+00, 5.635742401385858358e+01, 7.248940345011614106e+00
1.880000000000000000e+03, 9.539905909702968145e+00, 9.508847987183893125e+00, 8.653837570887793262e+00, 4.984200384054670963e+01, 1.440586299858205299e+00, 5.206061231150209778e+01, 4.910706639199026569e+01, 1.482131666049204455e+01, 8.536502278832012180e+00, 1.336537422521507601e+01, 8.145161971789397271e+00, 5.649274175115610319e+01, 7.159323368018576161e+00
1.881000000000000000e+03, 9.538891440095154550e+00, 9.559676105767614729e+00, 8.617535751986276082e+00, 4.990147974333529390e+01, 1.470788083951946934e+00, 5.197544288781291044e+01, 4.914556481760124740e+01, 1.477824114605116534e+01, 8.391802420711709232e+00, 1.323933538830344858e+01, 8.060257248831835142e+00, 5.652713668637610311e+01, 7.130720166547230399e+00
1.882000000000000000e+03, 9.569219517606075698e+00, 9.525361480433405248e+00, 8.667048164333536420e+00, 4.991657701747563181e+01, 1.529176147515615369e+00, 5.219488348139822875e+01, 4.913200866343924389e+01, 1.480534344259443635e+01, 8.351000960487956704e+00, 1.316379668240789158e+01, 8.065885016298516064e+00, 5.646387699609109490e+01, 7.152445099785759375e+00
1.883000000000000000e+03, 9.591786900416181538e+00, 9.463137876594826636e+00, 8.713371799425893016e+00, 4.987048374885771551e+01, 1.505115980360673289e+00, 5.215129300610308150e+01, 4.902177611113309297e+01, 1.497458499813283339e+01, 8.391353414397826782e+00, 1.278097288674253029e+01, 8.053597326868725759e+00, 5.644208372345893565e+01, 7.089496380243493157e+00
1.884000000000000000e+03, 9.584590246956654624e+00, 9.482607858495674336e+00, 8.801359490762685311e+00, 4.992688540577552914e+01, 1.500371505882610812e+00, 5.215747565549217057e+01, 4.897528422677473259e+01, 1.500345624597265548e+01, 8.371627181949023111e+00, 1.231688255803200960e+01, 8.003683899793475831e+00, 5.660962837057077479e+01, 7.115078861568921553e+00
1.885000000000000000e+03, 9.585695737872276467e+00, 9.414296315729691500e+00, 8.881772804153529322e+00, 4.994273264271967605e+01, 1.568785290819694866e+00, 5.221536944080057197e+01, 4.904512840384859373e+01, 1.502118890880480606e+01, 8.416028133147412049e+00, 1.247900444887521054e+01, 8.055721880830917669e+00, 5.678207741043077306e+01, 7.093100814262643716e+00
1.886000000000000000e+03, 9.561951747173216276e+00, 9.430352220227939952e+00, 8.964025595688079662e+00, 4.981041861259854642e+01, 1.491811423869090270e+00, 5.224380324891121319e+01, 4.898759134721855446e+01, 1.515690956336211670e+01, 8.510179545490279551e+00, 1.297292088407822241e+01, 8.128098591065883838e+00, 5.696849667262986117e+01, 7.032148714506742060e+00
1.887000000000000000e+03, 9.524545931768285456e+00, 9.509421829693101458e+00, 9.088465483823453539e+00, 4.983886273340794304e+01, 1.540716698390953932e+00, 5.232046994444780097e+01, 4.892687435020507536e+01, 1.512323983752377465e+01, 8.576163659749843404e+00, 1.319875372461357088e+01, 8.265178854370168082e+00, 5.716935839886174620e+01, 6.987870374776818494e+00
1.888000000000000000e+03, 9.525700365753543508e+00, 9.563345072781862299e+00, 9.167579482897654231e+00, 4.985994592200157172e+01, 1.526681932087760041e+00, 5.247589331477741581e+01, 4.899523243364609471e+01, 1.506604042921229691e+01, 8.666914051775004069e+00, 1.301591623742034187e+01, 8.455581115858006314e+00, 5.720808638433278048e+01, 6.989127877305024938e+00
1.889000000000000000e+03, 9.522100370287756022e+00, 9.509078361981785577e+00, 9.163176335451439058e+00, 4.995337965095608013e+01, 1.558368444933174946e+00, 5.265686034030889573e+01, 4.898274470216392729e+01, 1.520520006087451215e+01, 8.645408603429258321e+00, 1.278837188753479914e+01, 8.439766011593858863e+00, 5.713311465687572621e+01, 6.890512541546844005e+00
1.890000000000000000e+03, 9.517709955471811867e+00, 9.325450775456662456e+00, 9.103144393114144250e+00, 4.997456468520858408e+01, 1.619026054487789912e+00, 5.270050974099363827e+01, 4.891663563069776188e+01, 1.516441557205747870e+01, 8.637925317485178667e+00, 1.234707624681746196e+01, 8.301305475558566016e+00, 5.711431388614433757e+01, 6.768625800428317518e+00
1.891000000000000000e+03, 9.570375929981599583e+00, 9.295431602129072601e+00, 9.026301826007813389e+00, 5.000961583800807375e+01, 1.575732183036305800e+00, 5.284410701078638084e+01, 4.885352282967348003e+01, 1.510499097469388730e+01, 8.571283902348568517e+00, 1.228014504089261116e+01, 8.329415244330045098e+00, 5.724449053829150813e+01, 6.848465831600430320e+00
1.892000000000000000e+03, 9.554571392419237696e+00, 9.442831468167314668e+00, 9.010901036141984122e+00, 5.003436191997892735e+01, 1.494144238028592309e+00, 5.291726254350424341e+01, 4.880034190275321038e+01, 1.508748001762189439e+01, 8.567360165964419849e+00, 1.245584294145527338e+01, 8.278580810420882230e+00, 5.725698022832379763e+01, 6.852527568238029332e+00
1.893000000000000000e+03, 9.595483917237340066e+00, 9.416845147834603580e+00, 9.044113985713634563e+00, 4.998835686787802501e+01, 1.485270014521148596e+00, 5.302232436436765539e+01, 4.883024796373059218e+01, 1.516990885027496638e+01, 8.453076208882301046e+00, 1.256448289722409584e+01, 8.143176269956420299e+00, 5.708638947290149446e+01, 6.772228043363307748e+00
1.894000000000000000e+03, 9.624709108803306989e+00, 9.155407330668790422e+00, 8.976143142451125101e+00, 5.007465010890138046e+01, 1.513739804073245709e+00, 5.301753505809717382e+01, 4.882247108342360065e+01, 1.526499984201089610e+01, 8.303296697859614994e+00, 1.266064980045915789e+01, 8.068219008101278789e+00, 5.699477449225845760e+01, 6.760330277066758597e+00
1.895000000000000000e+03, 9.613977978651142564e+00, 8.950812775084758144e+00, 8.896497538936506189e+00, 5.006779816015141904e+01, 1.553086390343917378e+00, 5.325459524638587538e+01, 4.876602822998682996e+01, 1.537427110018212417e+01, 8.270175207737322509e+00, 1.227365718738472289e+01, 7.995971504402394459e+00, 5.695338315287006026e+01, 6.772999629392892018e+00
1.896000000000000000e+03, 9.651503085594123732e+00, 9.110160641894292866e+00, 8.899617528595396010e+00, 5.008750737652121643e+01, 1.498216107361489247e+00, 5.338537268931010260e+01, 4.866676693226750672e+01, 1.530852090736473059e+01, 8.230199905215759060e+00, 1.241880494414330194e+01, 7.906494222093868984e+00, 5.698349766843750075e+01, 6.757831588208991214e+00
1.897000000000000000e+03, 9.701283047723485709e+00, 9.197928694143497452e+00, 8.931720194133605517e+00, 5.006040086861011673e+01, 1.503907438846945999e+00, 5.344522292913969608e+01, 4.858693810448912132e+01, 1.537477990076227030e+01, 8.251109906294777474e+00, 1.247272896965582234e+01, 7.882512022639727611e+00, 5.695519173051708606e+01, 6.810760514990797709e+00
1.898000000000000000e+03, 9.751526269386220136e+00, 9.259977106660421953e+00, 8.914829935538342909e+00, 5.006756271229309618e+01, 1.552010569304761223e+00, 5.356228067012884964e+01, 4.850331774044237676e+01, 1.553149964738302735e+01, 8.369311564757705213e+00, 1.225754774873089836e+01, 8.051679328158469318e+00, 5.683942053170731157e+01, 6.927728642856917141e+00
1.899000000000000000e+03, 9.756829623716857469e+00, 9.221244964342183437e+00, 8.927059498179634289e+00, 5.001216787774447425e+01, 1.543556680243945767e+00, 5.361239969842007724e+01, 4.838174945034867847e+01, 1.570055959056863948e+01, 8.453042841989095280e+00, 1.228583458000529127e+01, 8.211769764570590269e+00, 5.659503717808906487e+01, 7.002370810665363265e+00
1.900000000000000000e+03, 9.782733587465004987e+00, 9.296930429654702621e+00, 8.974089815164356665e+00, 4.994502213526623535e+01, 1.499178108833263190e+00, 5.369821966974274829e+01, 4.836490211551620888e+01, 1.568310034844486900e+01, 8.533257137478294396e+00, 1.253331530738519817e+01, 8.241319212033500818e+00, 5.647496710953164012e+01, 7.054678055889162636e+00
1.901000000000000000e+03, 9.773498783233169007e+00, 9.522365476214147861e+00, 9.022487172111755882e+00, 4.980441978565321648e+01, 1.533887274260220757e+00, 5.368746541003930872e+01, 4.829197998200972108e+01, 1.578483956374016905e+01, 8.507772085630733727e+00, 1.280814499774914417e+01, 8.083456550904198679e+00, 5.642208088551340239e+01, 7.074082720514265787e+00
1.902000000000000000e+03, 9.771733442723954610e+00, 9.431636568973198465e+00, 9.025139911072606935e+00, 4.975561595243285495e+01, 1.510859171105149557e+00, 5.374009697312985168e+01, 4.830761133484246983e+01, 1.575056045198797605e+01, 8.483046976528054728e+00, 1.293585324580649853e+01, 7.986938323099209036e+00, 5.628169682863369161e+01, 6.972938394650207705e+00
1.903000000000000000e+03, 9.797231088943403776e+00, 9.324021854059710179e+00, 9.024520732635942011e+00, 4.985169083453448025e+01, 1.574583680623069304e+00, 5.394466653826201963e+01, 4.835552104345789104e+01, 1.584067805422774633e+01, 8.510922847465616670e+00, 1.305210631110736585e+01, 8.045416871989448993e+00, 5.630187981538427522e+01, 7.009456023251728674e+00
1.904000000000000000e+03, 9.823447441780448486e+00, 9.053145375827826413e+00, 9.021915611206079433e+00, 4.998892906812188386e+01, 1.574235128166022957e+00, 5.389861518938851503e+01, 4.844012999554180965e+01, 1.580589670776460665e+01, 8.524356425952070992e+00, 1.336647787363151707e+01, 8.073818828179962992e+00, 5.640274812232239299e+01, 6.937916669687447246e+00
1.905000000000000000e+03, 9.806262667918950626e+00, 9.152056767563783168e+00, 9.057927081119375501e+00, 5.011678258914334094e+01, 1.531926728905381063e+00, 5.391540447312345918e+01, 4.846757878961822996e+01, 1.578054615690475160e+01, 8.559580609983974853e+00, 1.336144334802718703e+01, 8.080757659753741606e+00, 5.638597029618286172e+01, 6.886702667494216890e+00
1.906000000000000000e+03, 9.834623645542604820e+00, 9.325809151928476481e+00, 9.127664551479126587e+00, 5.017169413300787539e+01, 1.487598900349834219e+00, 5.392730103110317685e+01, 4.842894727248832254e+01, 1.565638037675769922e+01, 8.569979383916884075e+00, 1.338436230519659276e+01, 8.275555758096897918e+00, 5.627911559653090734e+01, 6.940803921554992151e+00
1.907000000000000000e+03, 9.892896617018953620e+00, 9.242675505331177988e+00, 9.152393054155051999e+00, 5.017019784543350625e+01, 1.558620551585522929e+00, 5.414199820231603155e+01, 4.836255355632675190e+01, 1.572570281039096329e+01, 8.481862102648420887e+00, 1.333543503621036308e+01, 8.453107040242374026e+00, 5.605970339481703490e+01, 6.872338573133793815e+00
1.908000000000000000e+03, 9.910681756422192734e+00, 9.300363830832782952e+00, 9.142093906201063547e+00, 5.013915419940349949e+01, 1.605900083971965930e+00, 5.430127300086424214e+01, 4.828894730961611970e+01, 1.593301570459114735e+01, 8.460652240662518864e+00, 1.305482480866900552e+01, 8.532986798880362045e+00, 5.601553096150514932e+01, 6.935252076178112901e+00
1.909000000000000000e+03, 9.919794964681011962e+00, 9.326807239767783031e+00, 9.126653491194618439e+00, 5.016401366838726261e+01, 1.549655781629193818e+00, 5.432017357325692331e+01, 4.820802758797539411e+01, 1.615659595999736453e+01, 8.311487771907774658e+00, 1.300960239125986817e+01, 8.564912527025814626e+00, 5.608439077665494921e+01, 6.989450935489797345e+00
1.910000000000000000e+03, 9.929630886121723066e+00, 9.196662167707360780e+00, 9.049697316539875303e+00, 5.020718658249964506e+01, 1.547571078003804113e+00, 5.448108879152655248e+01, 4.822269422489402757e+01, 1.610712807696294746e+01, 8.325613459096748770e+00, 1.286889704834220360e+01, 8.421245085358957994e+00, 5.608505572880898882e+01, 6.996266191838115489e+00
1.911000000000000000e+03, 9.947410898009435343e+00, 8.992488283113260650e+00, 9.014428841799015046e+00, 5.018421675061760112e+01, 1.497997776031347650e+00, 5.448429628998483309e+01, 4.820233302189706137e+01, 1.600711776100957806e+01, 8.406177191120795200e+00, 1.318686449966196683e+01, 8.249285516101911853e+00, 5.603119070409362479e+01, 6.992611652315272153e+00
1.912000000000000000e+03, 9.969829183439543385e+00, 8.979412600491233576e+00, 9.006933791896582164e+00, 5.017296946945692326e+01, 1.482071390245266462e+00, 5.462695919619345375e+01, 4.814280407452441324e+01, 1.584083678461592548e+01, 8.452391680508251071e+00, 1.355617756034616050e+01, 8.165497386597598606e+00, 5.610424988886322240e+01, 7.062899697267692289e+00
