year, TaiESM1, MPI-ESM1-2-LR, CNRM-ESM2-1, MIROC-ES2L, CESM2-WACCM, IPSL-CM6A-LR, UKESM1-0-LL, NorESM2-LM, ACCESS-ESM1-5, GFDL-ESM4, EC-Earth3-Veg, NorESM2-MM, CMCC-CM2-SR5, CanESM5
1.850000000000000000e+03, 6.437266716815149437e+01, 1.244622324810663230e+02, 3.771062473623586015e+02, 3.474056695833961044e+02, 6.101465672672752589e+02, 5.980259666631604887e+01, 2.514704202693399679e+02, 9.947293209812510213e+02, 1.889212760032422125e+02, 9.546991746903496789e+01, 3.267332879093664246e+02, 5.920051580824547273e+02, 8.713662013831237800e+02, 2.443611172135439631e+02
1.851000000000000000e+03, 6.437927439640043303e+01, 1.245440532524466164e+02, 3.770609153004826908e+02, 3.474339568658036228e+02, 6.101141349128937463e+02, 5.980474639296267725e+01, 2.515329643674824638e+02, 9.947418013415284577e+02, 1.889275089985798672e+02, 9.548363549315200771e+01, 3.267282617934569089e+02, 5.919683923071629579e+02, 8.712579854862688080e+02, 2.443353812421802331e+02
1.852000000000000000e+03, 6.438744069890361743e+01, 1.245985267489736117e+02, 3.770146571287048687e+02, 3.474758687567267543e+02, 6.100390906192603779e+02, 5.978567298265178209e+01, 2.515012696958929439e+02, 9.947478005502607630e+02, 1.889116098751203765e+02, 9.551037302466382073e+01, 3.267150242367740134e+02, 5.919318683459297290e+02, 8.711234775083664772e+02, 2.443158783389113751e+02
1.853000000000000000e+03, 6.439086397857913369e+01, 1.245589575050682498e+02, 3.770281397518622271e+02, 3.474877353387824996e+02, 6.099687199015027090e+02, 5.976623139282034458e+01, 2.514634963384576736e+02, 9.947354385480311976e+02, 1.888951603134791810e+02, 9.546318860973218534e+01, 3.266461760108281283e+02, 5.918891223523564804e+02, 8.709944996391370751e+02, 2.443134337105518910e+02
1.854000000000000000e+03, 6.441795536259772348e+01, 1.244721374017787383e+02, 3.769962864642848785e+02, 3.474829445552605307e+02, 6.099634829743297360e+02, 5.976016096931953570e+01, 2.515090134650256175e+02, 9.946797777664862679e+02, 1.888842298609046395e+02, 9.538572191499369524e+01, 3.265187274776872641e+02, 5.918805819632027578e+02, 8.708663471287959510e+02, 2.443222190161997958e+02
1.855000000000000000e+03, 6.442901083957042374e+01, 1.244374138651699440e+02, 3.769708898748804700e+02, 3.474401516181025045e+02, 6.099820164420711990e+02, 5.976367048015176664e+01, 2.516968856346119310e+02, 9.946301052878048949e+02, 1.888850615566956606e+02, 9.538509092769280073e+01, 3.263975005205924731e+02, 5.919001162754254892e+02, 8.707262681905763202e+02, 2.443331158913019294e+02
1.856000000000000000e+03, 6.442453165101500190e+01, 1.244671444639208460e+02, 3.769662135129329386e+02, 3.473967799111865133e+02, 6.099688219329273124e+02, 5.976825169425373474e+01, 2.515498992348929335e+02, 9.946032604044435175e+02, 1.888821619335923572e+02, 9.541796255927488346e+01, 3.262956889296003737e+02, 5.919273108993061214e+02, 8.706061121358576429e+02, 2.443502495486818304e+02
1.857000000000000000e+03, 6.441444968753013711e+01, 1.244818661063532517e+02, 3.769812774057425031e+02, 3.474030218724004726e+02, 6.099112973136930123e+02, 5.976701377237515800e+01, 2.512714023533947341e+02, 9.945578564830009327e+02, 1.888611107489180085e+02, 9.537806438991283642e+01, 3.262547477209355407e+02, 5.919596514840504824e+02, 8.704846948480411584e+02, 2.443727343268439540e+02
1.858000000000000000e+03, 6.441497608242637796e+01, 1.244558340961658160e+02, 3.770246761106111535e+02, 3.473592687070592433e+02, 6.098705131563082205e+02, 5.976405341058948295e+01, 2.512328681981234695e+02, 9.944984690104045058e+02, 1.888241249501013215e+02, 9.532750658763363560e+01, 3.262361655662367639e+02, 5.919940385774494871e+02, 8.703293048212144640e+02, 2.444266394300228171e+02
1.859000000000000000e+03, 6.438583227129475972e+01, 1.244341456163494826e+02, 3.770256562400472262e+02, 3.473081310626378126e+02, 6.098752167707996250e+02, 5.976489420788823281e+01, 2.512145454872521100e+02, 9.944759239830386832e+02, 1.887963293922169896e+02, 9.525902192633600407e+01, 3.262084502777891544e+02, 5.920141783111105269e+02, 8.702163329596966150e+02, 2.444676902435118961e+02
1.860000000000000000e+03, 6.437699036233661332e+01, 1.244426244012634299e+02, 3.770189274910625272e+02, 3.472731245159631044e+02, 6.098911151866027467e+02, 5.977501648240198762e+01, 2.510464600949340195e+02, 9.945037939524029298e+02, 1.887802558125312657e+02, 9.522067803185113632e+01, 3.261736896921132711e+02, 5.920404756417169665e+02, 8.701323479326414372e+02, 2.444977911835031534e+02
1.861000000000000000e+03, 6.440002762534486180e+01, 1.244877620413996056e+02, 3.769766826054088824e+02, 3.472784617594401766e+02, 6.098860460438291966e+02, 5.978538511768817187e+01, 2.508840380343643801e+02, 9.945132733052537333e+02, 1.887885479079864979e+02, 9.524653338255663471e+01, 3.261291033546922336e+02, 5.920662915844336567e+02, 8.700385084943042102e+02, 2.445111299812824939e+02
1.862000000000000000e+03, 6.439775058751045833e+01, 1.245026245175450583e+02, 3.768837881045010363e+02, 3.472665525736508130e+02, 6.098848823910986994e+02, 5.978628597697674252e+01, 2.507820387502410711e+02, 9.945096284703030278e+02, 1.887981584436239757e+02, 9.523997759982135847e+01, 3.260695501489938692e+02, 5.920842503914290091e+02, 8.699553795772179683e+02, 2.445225509652107121e+02
1.863000000000000000e+03, 6.438255682592705398e+01, 1.245250025786398993e+02, 3.768049722229029044e+02, 3.471919996518509492e+02, 6.099017787137339610e+02, 5.979080339616093909e+01, 2.508239734310115239e+02, 9.944997113760664433e+02, 1.888110235820288665e+02, 9.528534045742824787e+01, 3.260324392431901970e+02, 5.920921753169263866e+02, 8.698788392730029955e+02, 2.445093986736912939e+02
1.864000000000000000e+03, 6.438268916212699366e+01, 1.244963974749142892e+02, 3.767481084305112518e+02, 3.471169992787847605e+02, 6.098971828018037513e+02, 5.979322779045688918e+01, 2.508181995776001258e+02, 9.944829627334704583e+02, 1.888361228406848511e+02, 9.526786790595947707e+01, 3.259705657686499194e+02, 5.920654900538806942e+02, 8.697850938511060122e+02, 2.445031064665041072e+02
1.865000000000000000e+03, 6.441320548207757213e+01, 1.243407661781767501e+02, 3.767281808644149805e+02, 3.470948545499013562e+02, 6.098878987433158727e+02, 5.979603526560193671e+01, 2.507337152368222348e+02, 9.944364560768062802e+02, 1.888740937223015521e+02, 9.519950776573291762e+01, 3.259018428535152339e+02, 5.920257393446178185e+02, 8.697168491954689671e+02, 2.444992913391805587e+02
1.866000000000000000e+03, 6.441450844377281726e+01, 1.242801354516176104e+02, 3.767074538619492614e+02, 3.470860215575090137e+02, 6.098814613319541422e+02, 5.978719016809032638e+01, 2.505302275492611841e+02, 9.944026914765115635e+02, 1.889010876489324460e+02, 9.519736286474028475e+01, 3.258497004803638220e+02, 5.920231976491220394e+02, 8.696469577048867450e+02, 2.444913841592993720e+02
