year, CMCC-CM2-SR5, CanESM5, INM-CM5-0, MIROC-ES2L, EC-Earth3-Veg, MPI-ESM1-2-LR, IPSL-CM6A-LR, NorESM2-LM, GFDL-ESM4, INM-CM4-8, CNRM-ESM2-1, CESM2-WACCM, NorESM2-MM, UKESM1-0-LL, ACCESS-ESM1-5, TaiESM1
1.850000000000000000e+03, 2.671072192093546960e+02, 2.700818154361914480e+02, 2.694651966157576908e+02, 2.680366721102251404e+02, 2.647247068781852022e+02, 2.679500172771685129e+02, 2.674982139868972126e+02, 2.687077954520010508e+02, 2.667042488914350429e+02, 2.682040346810004507e+02, 2.704764818611237729e+02, 2.694644192054046812e+02, 2.691376200532934035e+02, 2.664572032600870557e+02, 2.695662835713362711e+02, 2.667184921061378873e+02
1.851000000000000000e+03, 2.680629696848806702e+02, 2.687884516048836758e+02, 2.682374619433116436e+02, 2.686565171797686844e+02, 2.648986116135997690e+02, 2.663375620866889903e+02, 2.686870619988949898e+02, 2.689379814458551436e+02, 2.679212390880341559e+02, 2.689543464858672905e+02, 2.712157963485565801e+02, 2.695779393351459703e+02, 2.688263256357945465e+02, 2.660820557570334586e+02, 2.705544052018052525e+02, 2.667472573181163966e+02
1.852000000000000000e+03, 2.681057509430018513e+02, 2.692647816857935936e+02, 2.684927614723419538e+02, 2.686430201871726808e+02, 2.650941326592037512e+02, 2.665472544456580408e+02, 2.681498636219685068e+02, 2.697930329530411200e+02, 2.685917920519605104e+02, 2.679673757280899054e+02, 2.694165764051914493e+02, 2.695697446640324415e+02, 2.687507735230200865e+02, 2.672179939064013183e+02, 2.698165770007646529e+02, 2.669084951375742776e+02
1.853000000000000000e+03, 2.691698533239104449e+02, 2.685971580362117379e+02, 2.683985359690470318e+02, 2.688572470252150310e+02, 2.656705917314399130e+02, 2.672255465288237701e+02, 2.684880019421211159e+02, 2.715507769847176291e+02, 2.678936846748803191e+02, 2.678540581742973359e+02, 2.701413288568938356e+02, 2.675208768621882882e+02, 2.678139623344952156e+02, 2.669818626019027192e+02, 2.696631788219647206e+02, 2.671938598975470427e+02
1.854000000000000000e+03, 2.677277900820777177e+02, 2.678949668739005006e+02, 2.685389878850060086e+02, 2.689662388713113614e+02, 2.650145326224788960e+02, 2.684124899175491237e+02, 2.676431632825616589e+02, 2.697461281208480841e+02, 2.680001733105584663e+02, 2.681164208349709384e+02, 2.697411611369902857e+02, 2.686155421617316392e+02, 2.679010835938821060e+02, 2.664290037389369559e+02, 2.694335903066922242e+02, 2.662563816239037351e+02
1.855000000000000000e+03, 2.680203726876254677e+02, 2.682715249245891300e+02, 2.691020184638121009e+02, 2.692059738945322351e+02, 2.653020338644792560e+02, 2.682011028891471938e+02, 2.676388919955202823e+02, 2.697737544084423575e+02, 2.678481554587265236e+02, 2.676937255237083377e+02, 2.693822439719402269e+02, 2.689201963831648641e+02, 2.688023780562926959e+02, 2.656785242091112877e+02, 2.694919567500861604e+02, 2.680785438492675326e+02
1.856000000000000000e+03, 2.684467186296381556e+02, 2.689447823889257165e+02, 2.687298499632698281e+02, 2.684924809993624990e+02, 2.653952027261471471e+02, 2.677252448971798913e+02, 2.686517141956967976e+02, 2.704488474536666445e+02, 2.684693200951446670e+02, 2.682952462894844530e+02, 2.688670854326600193e+02, 2.695458995458641311e+02, 2.690026280627341180e+02, 2.672498606268283652e+02, 2.700081751629226119e+02, 2.676588599216076432e+02
1.857000000000000000e+03, 2.685597226526152213e+02, 2.679246627844046316e+02, 2.687698940076140275e+02, 2.688837625240415719e+02, 2.648847879462558694e+02, 2.680303182919897154e+02, 2.683671771899502687e+02, 2.693460192804650433e+02, 2.686889401106454329e+02, 2.674150147186774689e+02, 2.685826953761242066e+02, 2.682704468731261613e+02, 2.685842084050362359e+02, 2.669342926496652808e+02, 2.702928509140515416e+02, 2.670147298764898665e+02
1.858000000000000000e+03, 2.689168216503828148e+02, 2.676733707937257236e+02, 2.683033998338835886e+02, 2.682723746332639507e+02, 2.654561362323104277e+02, 2.677776356416255794e+02, 2.691781055048605822e+02, 2.696085492731684212e+02, 2.684870412126320502e+02, 2.680935602722568660e+02, 2.696497140231681442e+02, 2.674606626781547902e+02, 2.682451658217542558e+02, 2.674647838952557208e+02, 2.693876193583779468e+02, 2.681534486720308905e+02
1.859000000000000000e+03, 2.667286824937298206e+02, 2.694057790626339965e+02, 2.682040094005592437e+02, 2.693150306391819413e+02, 2.649852598772389456e+02, 2.681453333349261925e+02, 2.687487758287699080e+02, 2.683262375472760368e+02, 2.686299986847847094e+02, 2.675263759127940375e+02, 2.700920736025157680e+02, 2.682092812488050413e+02, 2.681196408105703313e+02, 2.667550808768280604e+02, 2.697647349951478759e+02, 2.686874051960761562e+02
