year, INM-CM4-8, TaiESM1, CESM2-WACCM, UKESM1-0-LL, EC-Earth3-Veg, IPSL-CM6A-LR, MIROC-ES2L, MPI-ESM1-2-LR, GFDL-ESM4, NorESM2-LM, CNRM-ESM2-1, ACCESS-ESM1-5, INM-CM5-0, NorESM2-MM, CMCC-CM2-SR5, CanESM5
1.860000000000000000e+03, 7.834174593406454612e+00, 6.067679984725714348e+00, 8.232530061485178408e+00, 8.267271946304882491e+00, 5.972001148187306541e+00, 4.544082280560076015e+00, 9.403342840555628968e+00, 8.374969198584585328e+00, 8.592093510871954720e+00, 6.941089517511334073e+00, 6.142396253405745910e+00, 5.979147890793797160e+00, 8.013363429038665942e+00, 7.289053124211527290e+00, 8.539800495159445504e+00, 8.002008307621631289e+00
1.861000000000000000e+03, 7.986412014332744391e+00, 6.068949943479950981e+00, 8.026866760857489069e+00, 9.088116158339797579e+00, 6.131976739257088305e+00, 4.842051983432852147e+00, 9.891848415745291945e+00, 8.628572629207587497e+00, 8.984888377950451144e+00, 7.366178291759601926e+00, 6.137273219423378556e+00, 6.063138684301511816e+00, 8.447037663889840786e+00, 7.378629990926063087e+00, 8.661450434925113129e+00, 7.836330837022030593e+00
1.862000000000000000e+03, 8.042095743745514724e+00, 6.197349358083223514e+00, 7.425004593739439329e+00, 8.711734389492590935e+00, 5.836093146761643702e+00, 4.547221097677659252e+00, 9.722921668605330581e+00, 8.266508473998365858e+00, 8.358592327852857551e+00, 7.320511506338584162e+00, 6.543120062670197079e+00, 6.159707363247364675e+00, 8.142055819117821613e+00, 7.208217614678628316e+00, 8.248433393599439611e+00, 8.387283499842386192e+00
1.863000000000000000e+03, 8.209697637458777564e+00, 5.981262234601302019e+00, 7.668734320768814783e+00, 9.027448247503155443e+00, 5.777623505121145975e+00, 4.689454228458416196e+00, 9.157631694294904534e+00, 8.737348405742274338e+00, 8.467789277272869342e+00, 7.175333986420717736e+00, 6.506631444642999362e+00, 6.256910011922944825e+00, 7.538216694657261741e+00, 7.683937532573956730e+00, 8.887078659735868413e+00, 8.140008055657752095e+00
1.864000000000000000e+03, 7.908064232488065670e+00, 6.074869880090200347e+00, 7.589594881549174943e+00, 8.320781368378559861e+00, 6.560325475418330221e+00, 4.442378165578787730e+00, 9.134936294660299438e+00, 8.043896228791433956e+00, 9.199317188443160376e+00, 7.184511416485992008e+00, 5.947638807004916650e+00, 6.224419623670130797e+00, 7.799848534143561274e+00, 7.687164705655561647e+00, 8.688707513948981997e+00, 7.688942047968440718e+00
1.865000000000000000e+03, 8.042523254053021375e+00, 6.179024825810458310e+00, 7.846662095721081975e+00, 8.388614722090359521e+00, 6.341201676182930846e+00, 4.740374838507566579e+00, 9.543307139836755937e+00, 8.333018855590980323e+00, 8.909358843020047658e+00, 7.372499154304604119e+00, 6.378954220100541583e+00, 6.334844502200265737e+00, 8.166209102275656662e+00, 7.239351277970948573e+00, 8.607665301999031016e+00, 7.807383020605125346e+00
1.866000000000000000e+03, 7.960517589945708572e+00, 5.934052689486398080e+00, 8.049873818358992850e+00, 9.030168321640408280e+00, 6.246095679151022040e+00, 4.724340620877569563e+00, 9.872146494592875854e+00, 8.166512007258798889e+00, 8.741084014502593647e+00, 7.173067767332684141e+00, 6.305806890575284207e+00, 6.461778501165326816e+00, 7.753374779640819447e+00, 7.341921687612057212e+00, 8.601168436374230453e+00, 8.105076221905118672e+00
1.867000000000000000e+03, 8.174640021875847040e+00, 6.441457058957873016e+00, 7.636331261414034621e+00, 8.251100692148176208e+00, 5.863120261024457491e+00, 4.520165294000591416e+00, 9.697093652029375122e+00, 8.691595876869911308e+00, 8.553609974592340848e+00, 6.980606145856183886e+00, 6.489431812295446633e+00, 6.406370232765902450e+00, 8.386834303081741382e+00, 7.287618790413053382e+00, 8.697481432085883313e+00, 7.828332136894824878e+00
1.868000000000000000e+03, 8.378616438891114626e+00, 6.534267224729590318e+00, 8.054851356236191862e+00, 8.375723386012269955e+00, 5.934266094431577265e+00, 4.541456014841862121e+00, 9.534797082247283839e+00, 8.055820977862925503e+00, 8.444950896283399899e+00, 7.203866830448949266e+00, 5.991521967612328581e+00, 6.332538275778231807e+00, 8.660291600612325169e+00, 7.760036660204513659e+00, 8.507326766869740098e+00, 8.306266599633010728e+00
1.869000000000000000e+03, 8.298079150174913821e+00, 6.228738655201028429e+00, 8.013629976251987586e+00, 8.314765020554469643e+00, 6.144243324832102893e+00, 4.141309617949187505e+00, 9.638353733740077089e+00, 8.275102467782032178e+00, 9.060579967950614488e+00, 6.874329426491494921e+00, 6.560473420497874741e+00, 6.096352252626653367e+00, 7.995223048192148241e+00, 7.408147133179744159e+00, 8.208033318775120435e+00, 8.065968179621657796e+00
