year, GFDL-ESM4, CanESM5, NorESM2-LM, EC-Earth3-Veg, NorESM2-MM, CESM2-WACCM, IPSL-CM6A-LR, MPI-ESM1-2-LR, CMCC-CM2-SR5, ACCESS-ESM1-5, MIROC-ES2L, UKESM1-0-LL, CNRM-ESM2-1, TaiESM1
1.860000000000000000e+03, 4.088454493704849035e+00, 4.505755865003235883e+00, 3.445830226594777113e+00, 2.458377979436295213e+00, 3.562880228613688249e+00, 3.938615614400315934e+00, 1.891701351730390002e+00, 4.729632819325798820e+00, 4.038341234722199857e+00, 3.463017371436108771e+00, 5.640069228272018620e+00, 4.878261875953373128e+00, 4.103291556727177714e+00, 2.216223828827843967e+00
1.861000000000000000e+03, 4.188938938556862723e+00, 4.484238462402915459e+00, 3.418830966063931331e+00, 2.863682448178028750e+00, 3.572250525069440741e+00, 3.945192134789872629e+00, 1.984557031087760492e+00, 4.806966862750626568e+00, 3.987129130698618074e+00, 3.543458436453005955e+00, 5.832818310996689348e+00, 5.101317863934864860e+00, 4.227927341283648666e+00, 2.285383677387694323e+00
1.862000000000000000e+03, 3.921831007498123522e+00, 4.647027797550093098e+00, 3.478437820735274411e+00, 2.252549805038490227e+00, 3.637518321831291424e+00, 3.750735045210082497e+00, 1.883807641963996415e+00, 4.666126087756983232e+00, 3.884733401593143398e+00, 3.579070635940443168e+00, 5.805359275538520158e+00, 4.805452897037998383e+00, 4.293109237556385516e+00, 2.237636068380191912e+00
1.863000000000000000e+03, 4.007918260997810123e+00, 4.617336856013413815e+00, 3.572711545432463165e+00, 2.885705248249102794e+00, 3.625038741980016077e+00, 3.971916359493466331e+00, 1.913676022611994210e+00, 4.718304376906909070e+00, 4.109699711949348355e+00, 3.619829086925401285e+00, 5.656950699520121972e+00, 5.055605729909622426e+00, 4.315602020859078181e+00, 2.170939536267526115e+00
1.864000000000000000e+03, 4.306040441907479810e+00, 4.516329113955923624e+00, 3.556473883757966803e+00, 2.652543155365356231e+00, 3.638225177953640088e+00, 3.795870316620105989e+00, 1.891493595660924454e+00, 4.925099779177318560e+00, 4.002751855371418088e+00, 3.552037740571808211e+00, 5.538335220991738694e+00, 4.827784138333158559e+00, 4.059538299881786827e+00, 2.174233161400008107e+00
1.865000000000000000e+03, 4.151632463031631026e+00, 4.496442921155964001e+00, 3.391014446694291085e+00, 2.607081543187705908e+00, 3.466644119115505962e+00, 3.725860519869293341e+00, 1.943816106870937643e+00, 4.943239724552713099e+00, 4.126809359517443987e+00, 3.672247388322056771e+00, 5.705486956818269562e+00, 4.963342345973241088e+00, 4.199336201625906817e+00, 2.329718284524570304e+00
1.866000000000000000e+03, 4.165348362743930721e+00, 4.685277042171281714e+00, 3.257675592625414840e+00, 2.533660430026082100e+00, 3.584167541498753273e+00, 3.896314257661855684e+00, 1.929533290497187581e+00, 4.767146780485760793e+00, 4.148172409078235034e+00, 3.771423570827094895e+00, 5.966419574947299687e+00, 5.020844485766226661e+00, 4.062413263567621335e+00, 2.212392749027538574e+00
1.867000000000000000e+03, 4.004297050752411380e+00, 4.564618637965751624e+00, 3.329073214552439097e+00, 2.330686975960574614e+00, 3.573798834246358247e+00, 3.999826528207958365e+00, 1.882480012879197639e+00, 4.770358262487338408e+00, 4.106513794889989910e+00, 3.676667472931156588e+00, 5.728113887367350721e+00, 4.761607177349250541e+00, 4.309966108137548879e+00, 2.292177377885737055e+00
1.868000000000000000e+03, 4.037244828335411206e+00, 4.635807607931905494e+00, 3.488870651518881427e+00, 2.490508062251597377e+00, 3.496611563466019756e+00, 3.860985841558168374e+00, 1.902284271281858175e+00, 4.600043564668673923e+00, 3.947806332189137013e+00, 3.630503970530208235e+00, 5.690398754140098880e+00, 4.863746805705267739e+00, 4.005121383442219241e+00, 2.288095956158534783e+00
1.869000000000000000e+03, 4.296717616830553865e+00, 4.564956155952695660e+00, 3.272676824161408593e+00, 2.976360101823016358e+00, 3.426912441326490200e+00, 3.983658689256382779e+00, 1.846576931775802954e+00, 4.739679360335670388e+00, 4.082302008624712819e+00, 3.690049020137040170e+00, 5.846828608420079121e+00, 4.738358484796196812e+00, 4.344677607740265124e+00, 2.252490537600485343e+00
