year, EC-Earth3-Veg, CMCC-CM2-SR5, CNRM-ESM2-1, UKESM1-0-LL, MPI-ESM1-2-LR, IPSL-CM6A-LR, MIROC-ES2L, CESM2-WACCM, ACCESS-ESM1-5
1.850000000000000000e+03, 0.000000000000000000e+00, 2.698184393746531559e-02, 0.000000000000000000e+00, 2.006249631520996428e-05, 9.169487746636727499e-01, 9.970632245304664187e-02, 1.764327196581613744e-01, 6.141443422863059054e-02, 0.000000000000000000e+00
1.851000000000000000e+03, 2.212021756014555859e-03, 7.304339806188865636e-02, 5.316258868138431723e-03, 4.418262783637575487e-05, 9.235063099701555922e-01, 1.025126276567938227e-01, 2.095008130304116256e-01, 1.110207632079492635e-01, 2.257505900902677387e-02
1.852000000000000000e+03, 4.411919005262321218e-03, 1.096610000680769970e-01, 1.012216628388710148e-02, 5.704175711292540487e-05, 9.289434380048471329e-01, 1.034162223459859781e-01, 2.337753953537365093e-01, 1.524984809545202047e-01, 4.159061017347198685e-02
1.853000000000000000e+03, 6.569650900512959135e-03, 1.406542238225139130e-01, 1.447487265950020072e-02, 6.912758528481971856e-05, 9.345869906946480121e-01, 1.038762456011961821e-01, 2.525740565969383233e-01, 1.870981865876872596e-01, 5.879537166965490697e-02
1.854000000000000000e+03, 8.679323681214975994e-03, 1.671272609168713286e-01, 1.832945830041528626e-02, 7.281965396320471014e-05, 9.393746820894596228e-01, 1.042683370101410156e-01, 2.671339939007010833e-01, 2.182056559233324644e-01, 7.532692929065055998e-02
1.855000000000000000e+03, 1.073757791887574101e-02, 1.900646348188296531e-01, 2.170976279832721040e-02, 7.208607011499323914e-05, 9.428321998606000731e-01, 1.043256064110957837e-01, 2.785905685131134790e-01, 2.449832876377922575e-01, 9.067449385034369314e-02
1.856000000000000000e+03, 1.276514807631293040e-02, 2.099273696669645140e-01, 2.471699083015599721e-02, 8.172667832013034040e-05, 9.446074824245940249e-01, 1.042851809298858401e-01, 2.882731603732042736e-01, 2.680636527665519186e-01, 1.054030678805579907e-01
1.857000000000000000e+03, 1.480648209316834558e-02, 2.274299399071066652e-01, 2.733249713924343349e-02, 8.644081553026532736e-05, 9.463790579620349197e-01, 1.042555431725767645e-01, 2.965830746282603902e-01, 2.910520087140802681e-01, 1.194814219244698800e-01
1.858000000000000000e+03, 1.681390010147741643e-02, 2.430831443728485031e-01, 2.961748783032244758e-02, 8.908594279591875950e-05, 9.476326307814596506e-01, 1.040157707006061777e-01, 3.034448267932010612e-01, 3.101612771996625773e-01, 1.329855336594306103e-01
1.859000000000000000e+03, 1.877990204390982132e-02, 2.572559646952005119e-01, 3.147577231273678694e-02, 9.346233736017722261e-05, 9.475245490944552706e-01, 1.038694673153401221e-01, 3.093806194805810983e-01, 3.277992714529924800e-01, 1.460008271571551497e-01
1.860000000000000000e+03, 2.070568928207905043e-02, 2.687785589638387318e-01, 3.246316720364885583e-02, 9.294178005951194235e-05, 9.487045653116312760e-01, 1.057343544295907406e-01, 3.113174365253675302e-01, 3.454314368959360837e-01, 1.585613330257987508e-01
1.861000000000000000e+03, 2.142671273329225731e-02, 2.808970157080924457e-01, 3.111958534395546996e-02, 8.718873371298478377e-05, 9.556739718384457127e-01, 1.049695892923390855e-01, 3.142679748993803535e-01, 3.608005543662496373e-01, 1.656611229555277620e-01
1.862000000000000000e+03, 2.211552788648601942e-02, 2.946849901002286387e-01, 2.991494366050602427e-02, 8.461538442569784696e-05, 9.578979194009766829e-01, 1.050092633086868177e-01, 3.175273560631738379e-01, 3.767443430718824815e-01, 1.731041833169713051e-01
1.863000000000000000e+03, 2.279712004393180669e-02, 3.073455072161812018e-01, 2.888942541481723941e-02, 8.713041861591112837e-05, 9.579726691856180754e-01, 1.048163640324179524e-01, 3.214845703754738437e-01, 3.925666160325030907e-01, 1.807368269862140164e-01
1.864000000000000000e+03, 2.343720268592864794e-02, 3.191324924473596392e-01, 2.800051936059814311e-02, 8.812580684950132887e-05, 9.605366409879422251e-01, 1.048791897027226555e-01, 3.250788842585347060e-01, 4.045472267109936348e-01, 1.882489902881750721e-01
1.865000000000000000e+03, 2.407687453229771790e-02, 3.301776708750066014e-01, 2.723372507434488471e-02, 8.623888898118278550e-05, 9.642845547665038763e-01, 1.048864978560060807e-01, 3.289556723775661773e-01, 4.172430337603383332e-01, 1.957065310308529205e-01
1.866000000000000000e+03, 2.454203215480432049e-02, 3.405876354821821272e-01, 2.662374271801702663e-02, 8.498773792746074562e-05, 9.694482411574678604e-01, 1.049794159575558328e-01, 3.327662284278748439e-01, 4.309668250064440653e-01, 2.030995465990850790e-01
1.867000000000000000e+03, 2.501219560727760763e-02, 3.503932424825054737e-01, 2.613560914537139609e-02, 8.364556273947398662e-05, 9.740212583587316564e-01, 1.051670357478372564e-01, 3.366686230147546977e-01, 4.458571478597190829e-01, 2.104338821275138494e-01
1.868000000000000000e+03, 2.547572279819337870e-02, 3.596880404844376988e-01, 2.582766769841709012e-02, 8.352980684656887908e-05, 9.767261009743528621e-01, 1.054740895671783113e-01, 3.409858510854580360e-01, 4.560300090188665334e-01, 2.179345255659041469e-01
1.869000000000000000e+03, 2.593472199101473641e-02, 3.685191370617235673e-01, 2.566745175303369875e-02, 8.381218082305728217e-05, 9.729493482189156550e-01, 1.056897417020227770e-01, 3.450920546146756251e-01, 4.674001774439405232e-01, 2.251446486324654717e-01
1.870000000000000000e+03, 2.638361471097714142e-02, 3.788782713647953493e-01, 2.586405592934671802e-02, 9.477549277322680488e-05, 9.745880487336685549e-01, 1.034820628364861994e-01, 3.564179995998125183e-01, 4.778252156032810616e-01, 2.322848387879995480e-01
1.871000000000000000e+03, 2.849536101652874395e-02, 3.872908572793912207e-01, 2.933266245388548368e-02, 1.075680112522724537e-04, 9.740559974946813027e-01, 1.048070483404677927e-01, 3.644854042270812555e-01, 4.887248878555753850e-01, 2.475503979706336344e-01
1.872000000000000000e+03, 3.058900478047377886e-02, 3.926880730476527970e-01, 3.239284190546996151e-02, 1.142202868027956519e-04, 9.799121769930884129e-01, 1.056394681485455789e-01, 3.720451541556159536e-01, 4.973691858810130317e-01, 2.617182325157197953e-01
1.873000000000000000e+03, 3.266080417020928578e-02, 3.985908412940619150e-01, 3.514561045173821008e-02, 1.248691131154967869e-04, 9.828858687233960056e-01, 1.061204113338493488e-01, 3.794499884062956241e-01, 5.065876451938208236e-01, 2.755584180164887820e-01
1.874000000000000000e+03, 3.466701600579445708e-02, 4.048677915893042489e-01, 3.758852252929512777e-02, 1.318488804477878666e-04, 9.853056187725258708e-01, 1.063531031197861437e-01, 3.854228825574895767e-01, 5.169620192720980612e-01, 2.887970352362336235e-01
1.875000000000000000e+03, 3.669655216918847607e-02, 4.114227180040004872e-01, 3.972179409227864777e-02, 1.341437587836846539e-04, 9.865470650086834992e-01, 1.066273071357623087e-01, 3.898879715400839219e-01, 5.268366843900156304e-01, 3.016307489523631924e-01
1.876000000000000000e+03, 3.868782498225548788e-02, 4.181556312975832079e-01, 4.148966803418956822e-02, 1.385796849517139208e-04, 9.889552811211025363e-01, 1.069293517587011910e-01, 3.943920373080704311e-01, 5.370223784348968632e-01, 3.142118272701302506e-01
1.877000000000000000e+03, 4.060508536913395861e-02, 4.250621788205200535e-01, 4.290435082718768028e-02, 1.522257231636223553e-04, 9.859056650218032125e-01, 1.070252578623848705e-01, 3.997671187487280564e-01, 5.461845239655900297e-01, 3.265811724587883158e-01
1.878000000000000000e+03, 4.251864237062927265e-02, 4.321076164767398420e-01, 4.394845254563023440e-02, 1.602828828840696803e-04, 9.873756400031775682e-01, 1.072639848333736129e-01, 4.057551691203549749e-01, 5.551763460409703255e-01, 3.385486072705960470e-01
1.879000000000000000e+03, 4.438949347018459474e-02, 4.391777336465607084e-01, 4.476038836908198537e-02, 1.577785019916076443e-04, 9.961335966138928910e-01, 1.074904992511950541e-01, 4.115125666208350741e-01, 5.640472955757684925e-01, 3.503774808901151672e-01
1.880000000000000000e+03, 4.624951273121792605e-02, 4.466126024776745917e-01, 4.502211897247954814e-02, 1.589610136876666124e-04, 1.001150464736252133e+00, 1.072545433523135194e-01, 4.196700329061834878e-01, 5.729416943128299300e-01, 3.616626729431851039e-01
1.881000000000000000e+03, 4.841342614985737203e-02, 4.537661934593378299e-01, 4.590182908327164468e-02, 1.600259286867520658e-04, 1.007499521426256761e+00, 1.082524166468417648e-01, 4.266544345473937683e-01, 5.815441745179016353e-01, 3.755089619728281813e-01
1.882000000000000000e+03, 5.053063962062200737e-02, 4.601958242054500214e-01, 4.666067933906414139e-02, 1.619590371039356048e-04, 1.008831177932900447e+00, 1.089881621978247700e-01, 4.339064153027114012e-01, 5.891233989549943262e-01, 3.895243117465464477e-01
1.883000000000000000e+03, 5.260839886440912827e-02, 4.664073685691270121e-01, 4.722888865867334862e-02, 1.662086940849628360e-04, 1.006410598173597570e+00, 1.095320315261224392e-01, 4.402507495220280287e-01, 5.985134853099294272e-01, 4.030072216495884097e-01
1.884000000000000000e+03, 5.470792505877924983e-02, 4.724817517047733562e-01, 4.766946164080357318e-02, 1.718076043098888900e-04, 1.009897727815319612e+00, 1.102110915304955613e-01, 4.450587133221178271e-01, 6.087775559415560256e-01, 4.170389392128269757e-01
1.885000000000000000e+03, 5.666660415675678353e-02, 4.785925304799326097e-01, 4.808747970144235107e-02, 1.719498952483410525e-04, 1.015511058933206368e+00, 1.109199049008858518e-01, 4.498733521111865086e-01, 6.166314721849147640e-01, 4.297902783207767086e-01
1.886000000000000000e+03, 5.870672495731261986e-02, 4.847601793832199135e-01, 4.838451753762860325e-02, 1.680872695239420968e-04, 1.022648984821598717e+00, 1.109943788810522913e-01, 4.548278970943113175e-01, 6.244811392483738954e-01, 4.423973033204890437e-01
1.887000000000000000e+03, 6.074254232992443853e-02, 4.909371940244376398e-01, 4.860899473559077144e-02, 1.664805755223143404e-04, 1.026747525205210954e+00, 1.111766870864903944e-01, 4.587774335031760131e-01, 6.341952759813754836e-01, 4.548712481356202431e-01
1.888000000000000000e+03, 6.276268228650468128e-02, 4.970102676245204409e-01, 4.874892416699828229e-02, 1.668400409303598452e-04, 1.027018561868999313e+00, 1.110377243822286697e-01, 4.621826021595535905e-01, 6.410211775942403767e-01, 4.673542490157428508e-01
1.889000000000000000e+03, 6.476715490059327396e-02, 5.030257436925277270e-01, 4.876537238285846843e-02, 1.696516156028748750e-04, 1.034470046737202553e+00, 1.109120970810853618e-01, 4.661931580987596080e-01, 6.491794158930721537e-01, 4.796338755814802957e-01
1.890000000000000000e+03, 6.677787041437550919e-02, 5.084410671364951728e-01, 4.863305823922261378e-02, 1.719680502686886977e-04, 1.035487070269792476e+00, 1.107903002506481355e-01, 4.689051680385320497e-01, 6.582874631467764415e-01, 4.922735212514264824e-01
1.891000000000000000e+03, 6.812561677326374465e-02, 5.137744745149239733e-01, 4.790375800945208956e-02, 1.730925407507493427e-04, 1.040098966862934127e+00, 1.104074450033940558e-01, 4.725464660119783611e-01, 6.653700430009685807e-01, 5.011568437200117909e-01
1.892000000000000000e+03, 6.948292845224238179e-02, 5.193419782296969656e-01, 4.718756755790972507e-02, 1.793363377673498616e-04, 1.039947433639486274e+00, 1.097369259564024702e-01, 4.751276074571401109e-01, 6.740517019111773589e-01, 5.108996727102442792e-01
1.893000000000000000e+03, 7.084192435416125644e-02, 5.246996980259367449e-01, 4.652117784919351101e-02, 1.853160102336570063e-04, 1.042682625548053466e+00, 1.090771681114322267e-01, 4.780572639349533470e-01, 6.858011799609193826e-01, 5.206750045366990154e-01
1.894000000000000000e+03, 7.224166091665487621e-02, 5.299916173694810828e-01, 4.583024411369454598e-02, 4.144460926029581343e-04, 1.049845289596399445e+00, 1.089292114266680184e-01, 4.817469307944802770e-01, 6.922304918105187665e-01, 5.301758980379605024e-01
1.895000000000000000e+03, 7.360370057706269731e-02, 5.351860261431388155e-01, 4.523919670454040753e-02, 9.127470991468267019e-04, 1.051482775832733196e+00, 1.085709661885843336e-01, 4.849787649061376160e-01, 6.978343449025774525e-01, 5.397023400717962938e-01
1.896000000000000000e+03, 7.499305098865319263e-02, 5.403423955369524023e-01, 4.471574247804121355e-02, 1.264411229915667241e-03, 1.054541596364555911e+00, 1.082924675473372206e-01, 4.881320476478600567e-01, 7.048128696272035754e-01, 5.492174971587302501e-01
1.897000000000000000e+03, 7.642502094306331817e-02, 5.454909434003406554e-01, 4.422965638839524566e-02, 1.560845485498706716e-03, 1.054281680269416155e+00, 1.080438355576609777e-01, 4.914571495164674064e-01, 7.121701221477516608e-01, 5.586026553480883949e-01
1.898000000000000000e+03, 7.780154475237165135e-02, 5.505044011582984620e-01, 4.384528211680024934e-02, 1.821235974181276487e-03, 1.057303376187265664e+00, 1.080840076460981986e-01, 4.953044210513453671e-01, 7.200354211924779868e-01, 5.680594992514583774e-01
