year, EC-Earth3-Veg, TaiESM1, UKESM1-0-LL, IPSL-CM6A-LR, CMCC-ESM2, MPI-ESM1-2-LR, NorESM2-MM, CESM2-WACCM, NorESM2-LM, CNRM-ESM2-1
1.877000000000000000e+03, 1.244239307742439248e-10, 7.754742362972281481e-11, 1.019771539782233552e-13, 1.519765088171289225e-11, 1.056737019805441432e-10, 3.364679295259010924e-11, 1.480330495045293285e-10, 1.396946857923463256e-10, 1.735893036367803956e-10, 9.976260851150064414e-11
1.878000000000000000e+03, 1.257908333710385802e-10, 7.765600369877791498e-11, 1.117518316498221595e-13, 1.547640052476659297e-11, 1.061343992884001646e-10, 3.387535906745585496e-11, 1.441136765339460511e-10, 1.404872814853438544e-10, 1.794209963385795964e-10, 1.015505263287659790e-10
1.879000000000000000e+03, 1.252675139656257054e-10, 7.778471268769434261e-11, 1.032833639706058843e-13, 1.576769535804978577e-11, 1.064914213847372497e-10, 3.445581947624296912e-11, 1.392474110875425102e-10, 1.406023380071071392e-10, 1.833334654948713790e-10, 1.050866481075633611e-10
1.880000000000000000e+03, 1.254721975596728088e-10, 8.098879834220402533e-11, 9.917387683292963333e-14, 1.607835249093100166e-11, 1.102791872250543334e-10, 3.684753622314283994e-11, 1.400691660028054969e-10, 1.410745478704218975e-10, 1.804155077590225651e-10, 1.074431202961083617e-10
1.881000000000000000e+03, 1.349259745257405478e-10, 8.134002653606141651e-11, 9.468512658017220063e-14, 1.770429376922172220e-11, 1.100020606728775348e-10, 3.876838378923213419e-11, 1.491964493038988395e-10, 1.460904021351331063e-10, 1.867861767072660985e-10, 1.152614303302098506e-10
1.882000000000000000e+03, 1.336566006296034913e-10, 8.129018270922209772e-11, 9.210328345656983615e-14, 1.785076492977482878e-11, 1.101386946483192867e-10, 3.891453900777049684e-11, 1.509503650073754302e-10, 1.461141190777660472e-10, 1.840570616977681398e-10, 1.159987479297591193e-10
1.883000000000000000e+03, 1.330698014494953931e-10, 8.124884444336079063e-11, 9.522314980994780542e-14, 1.794487012721580454e-11, 1.107142716242629476e-10, 3.885104764710224656e-11, 1.465758043494859097e-10, 1.461845460596054265e-10, 1.822781831573911521e-10, 1.163033254908176607e-10
1.884000000000000000e+03, 1.344556688274381763e-10, 8.161005695478000410e-11, 9.942244343849944396e-14, 1.802030642621250253e-11, 1.110644737946775384e-10, 3.915935449913249688e-11, 1.433726934608728180e-10, 1.465809995691435214e-10, 1.820116720919327588e-10, 1.170568609090648023e-10
1.885000000000000000e+03, 1.306775133664547507e-10, 8.178493514215905309e-11, 9.466182667827715614e-14, 1.808696182119748521e-11, 1.107015323112446146e-10, 3.945286559210068685e-11, 1.432860390635937730e-10, 1.473061584243829697e-10, 1.873461283530891971e-10, 1.181622976536933959e-10
1.886000000000000000e+03, 1.351051616815544099e-10, 8.198915518961165481e-11, 8.468442987613496278e-14, 1.811636176552132643e-11, 1.106610085820500802e-10, 4.009433845030060513e-11, 1.445705113603394839e-10, 1.480328352061931917e-10, 1.935988156276437398e-10, 1.184594707820652400e-10
1.887000000000000000e+03, 1.353071037630430544e-10, 8.207820487266244026e-11, 7.943570972175356483e-14, 1.815840982014068616e-11, 1.108618412288512281e-10, 4.031055918861076400e-11, 1.436729992185595348e-10, 1.489426022360704138e-10, 1.872371620066396699e-10, 1.195978312601339313e-10
