year, MPI-ESM1-2-LR, INM-CM5-0, EC-Earth3-Veg, CanESM5, CESM2-WACCM, INM-CM4-8, UKESM1-0-LL, NorESM2-MM, TaiESM1, MIROC-ES2L, CNRM-ESM2-1, CMCC-CM2-SR5, ACCESS-ESM1-5, NorESM2-LM, GFDL-ESM4, IPSL-CM6A-LR
1.860000000000000000e+03, 1.746227272724273583e+00, 1.608604246427417062e+00, 1.276590255163596810e+00, 1.461289503548764079e+00, 1.399227470003951757e+00, 1.586500634636342388e+00, 1.573192163655384723e+00, 1.382550949091076786e+00, 1.448721863764397932e+00, 1.680972248514692291e+00, 1.525977933837957545e+00, 1.401868916060893921e+00, 1.861133288601153790e+00, 1.478021169660715728e+00, 1.821874327191767007e+00, 1.620715630131892127e+00
1.861000000000000000e+03, 1.730359166369889623e+00, 1.653046963582050388e+00, 1.336538308330362357e+00, 1.430318432201845846e+00, 1.491669631619332526e+00, 1.519060027071080565e+00, 1.629054399883578030e+00, 1.475741104910571311e+00, 1.392086392456647115e+00, 1.593224239700833378e+00, 1.528839976166008308e+00, 1.452620788465052826e+00, 1.988453713626811670e+00, 1.552991887837722906e+00, 1.704153478966222490e+00, 1.631348763567497029e+00
1.862000000000000000e+03, 1.729594867697568095e+00, 1.610058386382483331e+00, 1.271045851409202898e+00, 1.427647045898724487e+00, 1.404276155631211775e+00, 1.612165784609659536e+00, 1.544453379058738030e+00, 1.419998729850221020e+00, 1.427045337009384296e+00, 1.730611696812442757e+00, 1.581710737283888113e+00, 1.497919729148521562e+00, 1.901536259537240259e+00, 1.512165841979378422e+00, 1.707548855943861854e+00, 1.672370468120949916e+00
1.863000000000000000e+03, 1.704863366765390298e+00, 1.608970695472777601e+00, 1.305804259002231849e+00, 1.398711423863528536e+00, 1.493628238426034427e+00, 1.605240219195876783e+00, 1.580006068957310772e+00, 1.355061367366704017e+00, 1.421879243859120345e+00, 1.689853852119964639e+00, 1.601279001947790492e+00, 1.455249395616215136e+00, 1.909117845085932963e+00, 1.527458186565817222e+00, 1.733028518559988296e+00, 1.531182050070566847e+00
1.864000000000000000e+03, 1.897718231856352578e+00, 1.575934928627464648e+00, 1.362430107233524978e+00, 1.457645828134113586e+00, 1.402320842956777502e+00, 1.593900671748149867e+00, 1.511520656756175862e+00, 1.425342504497222107e+00, 1.423389393340604325e+00, 1.638142536748541156e+00, 1.539852657814499315e+00, 1.480086810765738559e+00, 1.898278351588535307e+00, 1.490469286264354709e+00, 1.733307098308340732e+00, 1.497776833688554188e+00
1.865000000000000000e+03, 1.900711062006179786e+00, 1.598537375370393532e+00, 1.304110381288816845e+00, 1.509313834059742510e+00, 1.412913931801199841e+00, 1.600892974944558622e+00, 1.618988001455660797e+00, 1.465758774029676026e+00, 1.460141533965407579e+00, 1.741046352035507949e+00, 1.533392081210981361e+00, 1.502834173939255891e+00, 1.988589284967647419e+00, 1.487662952751756418e+00, 1.695310561966955953e+00, 1.578559798188945651e+00
1.866000000000000000e+03, 1.922130262868572803e+00, 1.655039320057819285e+00, 1.264704100400478870e+00, 1.464228569686653936e+00, 1.444526316884635841e+00, 1.584693749275773778e+00, 1.612736484682029348e+00, 1.407687229522831540e+00, 1.399427644679914984e+00, 1.730534851339288638e+00, 1.529778668870171110e+00, 1.438434151353778168e+00, 1.903150454880158771e+00, 1.510136919321680926e+00, 1.761907293898361093e+00, 1.635404051806779169e+00
1.867000000000000000e+03, 1.774441525571366807e+00, 1.564230131143068192e+00, 1.329788773233864463e+00, 1.458360503226876936e+00, 1.475793022665259357e+00, 1.641571012222030390e+00, 1.504225235252224291e+00, 1.457374732755516211e+00, 1.445242662166830172e+00, 1.827732380802546297e+00, 1.589236648825619325e+00, 1.471447596607023289e+00, 1.915801653174559860e+00, 1.482271680768948663e+00, 1.677218890164582366e+00, 1.569814725386174725e+00
1.868000000000000000e+03, 1.786532560343879084e+00, 1.622920490066044552e+00, 1.365438712832674151e+00, 1.464565036123615549e+00, 1.415321317864480344e+00, 1.618288091460836409e+00, 1.571265068054366498e+00, 1.410100797678272011e+00, 1.481131796267598721e+00, 1.697424792874524968e+00, 1.521285535660603427e+00, 1.424661311186109058e+00, 1.897583629563792451e+00, 1.519443693049802535e+00, 1.716065171048807070e+00, 1.622010882540653176e+00
1.869000000000000000e+03, 1.834170177491322162e+00, 1.562822501288100741e+00, 1.288187834747050564e+00, 1.452873935094727287e+00, 1.452749525924078577e+00, 1.641880060365505267e+00, 1.580011299914109157e+00, 1.435098291858512454e+00, 1.410318331027835326e+00, 1.723351840069740959e+00, 1.637791704227317346e+00, 1.580957328821301022e+00, 2.002895453874915077e+00, 1.472592467938254712e+00, 1.732399559007712586e+00, 1.534024596064524015e+00
1.870000000000000000e+03, 1.734875778307647831e+00, 1.601138277148335565e+00, 1.347085381170058715e+00, 1.511819477952597746e+00, 1.426635031539277065e+00, 1.623678073923240595e+00, 1.540374335228070324e+00, 1.348480033880164575e+00, 1.355681142727864996e+00, 1.764729912729952499e+00, 1.646821791046271022e+00, 1.394694131780224833e+00, 1.825543380946368144e+00, 1.521256907896013866e+00, 1.711331371178028027e+00, 1.603092493057198809e+00
1.871000000000000000e+03, 1.807098136010432343e+00, 1.588241418862031074e+00, 1.343236874205157472e+00, 1.472370305421654146e+00, 1.465026485953817792e+00, 1.615603815226721585e+00, 1.477582818019521405e+00, 1.417631001290271753e+00, 1.309620375891874300e+00, 1.664382342970403439e+00, 1.489063469712554877e+00, 1.515550635751396591e+00, 1.869382345084663610e+00, 1.560005143060566590e+00, 1.632792167200243671e+00, 1.700352293040187313e+00
1.872000000000000000e+03, 1.784817370945333881e+00, 1.662483359122379989e+00, 1.312919184288368291e+00, 1.474094495250745318e+00, 1.446002847472211750e+00, 1.640226012958643009e+00, 1.571644971536924063e+00, 1.419429561168940701e+00, 1.425995855727494543e+00, 1.716140749554065037e+00, 1.598688912579824262e+00, 1.515746141438268690e+00, 1.924587726324971326e+00, 1.492564304696361477e+00, 1.684458120736905595e+00, 1.747748820618651555e+00
1.873000000000000000e+03, 1.786941233092077752e+00, 1.623136972287403390e+00, 1.402277789100400573e+00, 1.451599808828810456e+00, 1.399964500794298683e+00, 1.616770299259980392e+00, 1.626982806491730882e+00, 1.374656139863010162e+00, 1.352400761412535513e+00, 1.755041415796707138e+00, 1.574687327853955487e+00, 1.427092319701786849e+00, 1.902330672017433111e+00, 1.459436507808320238e+00, 1.712713244445012828e+00, 1.615663935640326621e+00
