year, TaiESM1, CMCC-CM2-SR5, MPI-ESM1-2-LR, GFDL-ESM4, ACCESS-ESM1-5, IPSL-CM6A-LR, MIROC-ES2L, NorESM2-LM, NorESM2-MM, UKESM1-0-LL, CNRM-ESM2-1, CanESM5, INM-CM4-8, EC-Earth3-Veg, INM-CM5-0, CESM2-WACCM
1.860000000000000000e+03, 2.626298317142997263e+01, 3.575942571308385709e+01, 3.160578386629217107e+01, 6.669698516915994446e+01, 7.210144105507484369e+01, 1.208178502288133771e+01, 4.067894120001258074e+01, 5.355680817057629639e+01, 5.209682620006827136e+01, 3.938005343926616320e+01, 5.356365449977099757e+01, 4.661533421179873216e+01, 5.257889992811787749e+01, 2.257823191020671771e+01, 5.264107760913304901e+01, 5.966837731698046809e+01
1.861000000000000000e+03, 2.613526362104021317e+01, 3.582025583371018485e+01, 3.162959470635615844e+01, 6.665530409494796515e+01, 7.207846711375864857e+01, 1.211320108449132604e+01, 4.101535966875945149e+01, 5.355376527744434867e+01, 5.203989808115565552e+01, 3.954229116759504592e+01, 5.349878368944664686e+01, 4.659526788915208328e+01, 5.257432316530294258e+01, 2.239031461228357500e+01, 5.267973045448425751e+01, 5.965090875579969065e+01
1.862000000000000000e+03, 2.613434621117704282e+01, 3.581578822870319811e+01, 3.161948341551135400e+01, 6.641650453875033122e+01, 7.216762635539036808e+01, 1.208874100935470430e+01, 4.140187250458603785e+01, 5.355388486802041115e+01, 5.201287198110016874e+01, 3.974470904827929729e+01, 5.355906710904896784e+01, 4.667113291200142555e+01, 5.261373446970974754e+01, 2.213487334165472475e+01, 5.272105968061654124e+01, 5.935862068292200178e+01
1.863000000000000000e+03, 2.617752630753835064e+01, 3.596658688191529052e+01, 3.166376453602067897e+01, 6.629288836156153764e+01, 7.222204015509586839e+01, 1.207889746939203945e+01, 4.150294040367889892e+01, 5.351094352847290025e+01, 5.207935282063927929e+01, 3.983783526760861804e+01, 5.361754742155753917e+01, 4.674557526934672325e+01, 5.267904853481527994e+01, 2.193983685905288183e+01, 5.257924011224842076e+01, 5.915304819593384167e+01
1.864000000000000000e+03, 2.614263036311728072e+01, 3.607813202026864730e+01, 3.159903388624298159e+01, 6.636588694854994230e+01, 7.228744261460536791e+01, 1.202491753020664689e+01, 4.145064664203924565e+01, 5.349272036945534836e+01, 5.222221278420519752e+01, 3.977114385263194407e+01, 5.348226417863026683e+01, 4.665436938631189889e+01, 5.271816423206851709e+01, 2.159896780474505817e+01, 5.249513406144799177e+01, 5.907593231806408340e+01
1.865000000000000000e+03, 2.603841740550945971e+01, 3.587319094217421167e+01, 3.160768025106593981e+01, 6.632215528986972686e+01, 7.235673190282051337e+01, 1.204938120056283068e+01, 4.153405604922467376e+01, 5.353068332011908836e+01, 5.226584512464382470e+01, 3.978008434751030364e+01, 5.349562574685903371e+01, 4.648171259695001822e+01, 5.269908796695514752e+01, 2.172175002963080104e+01, 5.252796473915838504e+01, 5.901530424747308956e+01
1.866000000000000000e+03, 2.598245081492941466e+01, 3.574918545165759554e+01, 3.154752364029313227e+01, 6.626714286930469200e+01, 7.245330575559445663e+01, 1.206647775247253485e+01, 4.182552835570412242e+01, 5.342348018463286508e+01, 5.214711174726173226e+01, 3.996110222032810100e+01, 5.350989884262330065e+01, 4.651849748932388451e+01, 5.266867484411920941e+01, 2.169303242818217825e+01, 5.246938241577463202e+01, 5.896374388946259160e+01
1.867000000000000000e+03, 2.612292930879795705e+01, 3.578062685336890070e+01, 3.156447860271254058e+01, 6.632346861948111894e+01, 7.254421996159963726e+01, 1.203770283969547172e+01, 4.207274230378350666e+01, 5.317846449094535188e+01, 5.204960917412652321e+01, 4.003288004200244643e+01, 5.353706218698016528e+01, 4.652260425548447387e+01, 5.270886040104878134e+01, 2.173162915188528999e+01, 5.254014161252907655e+01, 5.886757980333280216e+01
1.868000000000000000e+03, 2.628046852916899212e+01, 3.571489077139176516e+01, 3.146605235304050652e+01, 6.619033191212926681e+01, 7.260783726876229593e+01, 1.202638646537285183e+01, 4.219058744186590104e+01, 5.304371883366879814e+01, 5.210909011101427524e+01, 4.008460770192966294e+01, 5.345271561815400929e+01, 4.662945803544130285e+01, 5.283678969836336137e+01, 2.157805406477377730e+01, 5.272129026042602362e+01, 5.883999115800058632e+01
1.869000000000000000e+03, 2.628052836184782137e+01, 3.542694987744577162e+01, 3.143089365801889556e+01, 6.614509263311390441e+01, 7.259316412215414971e+01, 1.193091169346658553e+01, 4.233803717287631230e+01, 5.295353352130701552e+01, 5.209689475480467280e+01, 4.006839185462088437e+01, 5.355807970349865599e+01, 4.673598308983349625e+01, 5.295245488842018489e+01, 2.148162774262478436e+01, 5.275820361880034426e+01, 5.875483166252142553e+01
1.870000000000000000e+03, 2.607135330703501097e+01, 3.550358111595367916e+01, 3.150520283290999402e+01, 6.611201027201549607e+01, 7.253730741323259679e+01, 1.191126055875843015e+01, 4.216713694495010856e+01, 5.288605390801644290e+01, 5.191643192522153782e+01, 4.004946792659970356e+01, 5.364601476783337120e+01, 4.686404049712557196e+01, 5.296091396291162567e+01, 2.134594207664180132e+01, 5.261697898299365761e+01, 5.890876152233661855e+01
1.871000000000000000e+03, 2.590506971078524145e+01, 3.568297306994455198e+01, 3.144587660310670785e+01, 6.596894045505908366e+01, 7.249476476523169310e+01, 1.199196623633629422e+01, 4.199070391319273199e+01, 5.277156904956561334e+01, 5.187854681582174976e+01, 3.992205138658496111e+01, 5.367001565677234254e+01, 4.692057282120376271e+01, 5.313583304330033741e+01, 2.121085700038740640e+01, 5.256903804553152071e+01, 5.892915595416366159e+01
1.872000000000000000e+03, 2.585778523763391235e+01, 3.582197931254780343e+01, 3.144568534999276821e+01, 6.572436633124181071e+01, 7.252936221311649945e+01, 1.202566483670136677e+01, 4.201916482271418118e+01, 5.250688843110398807e+01, 5.188469864321221792e+01, 3.993448982448727236e+01, 5.366542038558824146e+01, 4.686698902241388964e+01, 5.322684382445557105e+01, 2.115305152663765043e+01, 5.267732327306219986e+01, 5.868670438485484908e+01
1.873000000000000000e+03, 2.578221587943452775e+01, 3.551981203188409353e+01, 3.134603222937816014e+01, 6.540326354371364914e+01, 7.258649993459901850e+01, 1.200257697996253903e+01, 4.204563647993825271e+01, 5.239123114851258833e+01, 5.175071638753060910e+01, 3.998394869514872596e+01, 5.369183611387617816e+01, 4.694202906155540234e+01, 5.321024207107491577e+01, 2.108230579913921332e+01, 5.267992853084349036e+01, 5.849128426021819394e+01
1.874000000000000000e+03, 2.565344412982227240e+01, 3.559580967974733312e+01, 3.128363464070162436e+01, 6.522066658481135448e+01, 7.264594035320477872e+01, 1.195522527381959321e+01, 4.181071741659333441e+01, 5.234219663002608058e+01, 5.162551989948642017e+01, 3.997602975531984271e+01, 5.377971919649242949e+01, 4.703234439134993039e+01, 5.312411137564580343e+01, 2.102456160454064715e+01, 5.256134910954414607e+01, 5.831109050129610694e+01
